Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <01-APR-2002>,Settlement No <2002062>,Settlement Date <04-APR-2002>
10,MTO,01042002,031217032,0000745
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,ABANLLOYD,EQ,18763,15784,84.12
20,2,ABB,EQ,7518,5977,79.50
20,3,ABBALPO,EQ,11549,9966,86.29
20,4,ABBOTTLAB,EQ,397,393,98.99
20,5,ABSIND,EQ,3575,2725,76.22
20,6,ACC,EQ,566316,180659,31.90
20,7,ADANIEXPO,EQ,50017,14528,29.05
20,8,ADLABSFILM,EQ,77779,43911,56.46
20,9,ADVANIORLI,EQ,1897,1297,68.37
20,10,AEGISCHEM,EQ,200,200,100.00
20,11,AFTEKINFO,EQ,901673,93203,10.34
20,12,AGEEGOLD,EQ,1855,1635,88.14
20,13,AGREVOIND,EQ,560,520,92.86
20,14,AGRODUTCH,EQ,8210,7633,92.97
20,15,AHMEDELEC,EQ,2043,1490,72.93
20,16,AJANTPHARM,EQ,4000,0,0.00
20,17,AKSHOPTFBR,EQ,35773,16955,47.40
20,18,ALEMBICLTD,EQ,790,785,99.37
20,19,ALFALAVAL,EQ,3482,3356,96.38
20,20,ALOKTEXT,EQ,24615,17380,70.61
20,21,ALPSINDUS,EQ,135,135,100.00
20,22,AMARAJABAT,EQ,28524,13529,47.43
20,23,AMBUJARAJN,EQ,16636,14174,85.20
20,24,AMTREXAPPL,EQ,6501,5901,90.77
20,25,ANDHRABANK,EQ,164805,127350,77.27
20,26,ANDHRSUGAR,EQ,100,100,100.00
20,27,ANTGRAPHIC,EQ,100,100,100.00
20,28,APCOTEXLAT,EQ,70,70,100.00
20,29,APOLLOHOSP,EQ,159244,40147,25.21
20,30,APOLLOTYRE,EQ,22215,9557,43.02
20,31,APPAPER,EQ,164,164,100.00
20,32,ARCHIES,EQ,103801,24766,23.86
20,33,ARHAMFISCL,EQ,60330,51239,84.93
20,34,ARIHANTCRE,EQ,47135,15133,32.11
20,35,ARIHANTRED,EQ,1,0,0.00
20,36,ARVINDMILL,EQ,312249,162038,51.89
20,37,ASHAPURMIN,EQ,60,60,100.00
20,38,ASHIMASYN,EQ,686,468,68.22
20,39,ASHKLEYFIN,EQ,1882,1832,97.34
20,40,ASHOKLEY,EQ,66858,52209,78.09
20,41,ASIANELEC,EQ,13069,10640,81.41
20,42,ASIANHOTEL,EQ,465,465,100.00
20,43,ASIANPAINT,EQ,54842,52269,95.31
20,44,ASSAMCO,EQ,21,21,100.00
20,45,ASSAMFRONT,EQ,1328,600,45.18
20,46,ASTRAIDL,EQ,920,910,98.91
20,47,ATCOIND,EQ,8479,5120,60.38
20,48,ATLASCOPCO,EQ,5543,4701,84.81
20,49,ATLASCYCLE,EQ,322,300,93.17
20,50,ATULPROD,EQ,5680,4629,81.50
20,51,AUROPHARMA,EQ,4540,2846,62.69
20,52,AUTOAXLES,EQ,100,100,100.00
20,53,AZTEC,EQ,164596,57424,34.89
20,54,BAGYAMETAL,EQ,100,100,100.00
20,55,BAJAJAUTO,EQ,19424,10163,52.32
20,56,BAJAJHIND,EQ,15,15,100.00
20,57,BAJAUTOFIN,EQ,1000,1000,100.00
20,58,BALAJHOTEL,EQ,300,300,100.00
20,59,BALAJIDIST,EQ,342,320,93.57
20,60,BALAJIIND,EQ,575,575,100.00
20,61,BALAJITELE,EQ,293842,76447,26.02
20,62,BALMLAWRIE,EQ,32320,21555,66.69
20,63,BALRAMCHIN,EQ,8559,7574,88.49
20,64,BANARISUG,EQ,750,575,76.67
20,65,BANKBARODA,EQ,171108,93161,54.45
20,66,BANKINDIA,EQ,1098577,619981,56.43
20,67,BANKPUNJAB,EQ,38060,28765,75.58
20,68,BANKRAJAS,EQ,102491,75888,74.04
20,69,BASF,EQ,48452,28123,58.04
20,70,BATAINDIA,EQ,188961,106256,56.23
20,71,BAUSCHLOMB,EQ,110213,70310,63.79
20,72,BAYER,EQ,247,226,91.50
20,73,BEL,EQ,517048,130633,25.27
20,74,BELCERAMIC,EQ,500,500,100.00
20,75,BEML,EQ,1193163,406364,34.06
20,76,BERGEPAINT,EQ,297,297,100.00
20,77,BFLSOFTWAR,EQ,27095,11386,42.02
20,78,BGFL,EQ,24464,19487,79.66
20,79,BHARATFORG,EQ,16360,6856,41.91
20,80,BHARATHOT,EQ,792,600,75.76
20,81,BHARATRAS,EQ,4,4,100.00
20,82,BHARTI,EQ,169309,79957,47.23
20,83,BHEL,EQ,1289761,386024,29.93
20,84,BHUSANSTL,EQ,304,302,99.34
20,85,BIL,EQ,4850,4248,87.59
20,86,BILT,EQ,39605,22811,57.60
20,87,BIMETBRG,EQ,100,100,100.00
20,88,BINANIZINC,EQ,5446,4300,78.96
20,89,BINDALAGRO,EQ,24843,23191,93.35
20,90,BIOFILCHEM,EQ,100,100,100.00
20,91,BIRLA3M,EQ,1533,1250,81.54
20,92,BIRLAERIC,EQ,7714,6470,83.87
20,93,BIRLAJUTE,EQ,140828,90998,64.62
20,94,BLUECHIP,EQ,800,800,100.00
20,95,BLUEDART,EQ,20776,15777,75.94
20,96,BLUESTARCO,EQ,3546,2588,72.98
20,97,BLUESTINFO,EQ,60730,22504,37.06
20,98,BOMDYEING,EQ,4722,3842,81.36
20,99,BONGAIREFN,EQ,595077,307919,51.74
20,100,BOOTSPHARM,EQ,948,739,77.95
20,101,BPCL,EQ,2762544,394915,14.30
20,102,BPL,EQ,148207,67380,45.46
20,103,BPLENGG,EQ,7101,6500,91.54
20,104,BPLREFRIG,EQ,349,349,100.00
20,105,BPLSANTECH,EQ,1,0,0.00
20,106,BPLSANUTIL,EQ,350,350,100.00
20,107,BRITANNIA,EQ,2717,2057,75.71
20,108,BSELINFO,EQ,100,100,100.00
20,109,BSES,EQ,76883,67320,87.56
20,110,BSL,EQ,2264,2264,100.00
20,111,BURRWELCOM,EQ,698,471,67.48
20,112,CABOTINDIA,EQ,220,170,77.27
20,113,CADBURY,EQ,773,645,83.44
20,114,CADILAHC,EQ,25011,12044,48.15
20,115,CALSOFT,EQ,25,25,100.00
20,116,CANFINHOME,EQ,6260,5560,88.82
20,117,CARBEVFLOW,EQ,500,500,100.00
20,118,CARBORUNIV,EQ,729,729,100.00
20,119,CARRIERAIR,EQ,576,576,100.00
20,120,CASTROL,EQ,32197,17667,54.87
20,121,CEAT,EQ,14606,11786,80.69
20,122,CENTENKA,EQ,1780,1680,94.38
20,123,CENTURION,EQ,172464,124531,72.21
20,124,CENTURYTEX,EQ,202062,147634,73.06
20,125,CESC,EQ,6655,5314,79.85
20,126,CGIGARSH,EQ,775,625,80.65
20,127,CHAMBLFERT,EQ,72390,48440,66.92
20,128,CHEMPLAST,EQ,3370,3226,95.73
20,129,CHENNPETRO,EQ,793143,328574,41.43
20,130,CHETNADCEM,EQ,5130,2649,51.64
20,131,CHLORIDIND,EQ,2018,1488,73.74
20,132,CHOLAINV,EQ,8867,7711,86.96
20,133,CIBASPEC,EQ,1435,1180,82.23
20,134,CIMCOBIRLA,EQ,134,66,49.25
20,135,CINEVISTA,EQ,9067,5750,63.42
20,136,CIPLA,EQ,27821,22821,82.03
20,137,CITICORSEC,EQ,13436,8632,64.25
20,138,CLARIANT,EQ,516,375,72.67
20,139,CMC,EQ,1664507,65802,3.95
20,140,COATESIND,EQ,100,100,100.00
20,141,COATVIYELA,EQ,3702,3652,98.65
20,142,COCHINREFN,EQ,347962,141957,40.80
20,143,COLGATE,EQ,58506,38644,66.05
20,144,COLORCHEM,EQ,2795,2025,72.45
20,145,COMPUDYNE,EQ,142807,53055,37.15
20,146,COMPUTECH,EQ,25240,16500,65.37
20,147,CONCOR,EQ,488353,176717,36.19
20,148,CONSCOFFEE,EQ,925,865,93.51
20,149,COREPARENT,EQ,3360,3360,100.00
20,150,COROMNFERT,EQ,9310,9310,100.00
20,151,CORPBANK,EQ,155242,56100,36.14
20,152,COSMOFILMS,EQ,11026,7930,71.92
20,153,CREATIVEYE,EQ,8930,6760,75.70
20,154,CRESTCOMM,EQ,36623,15799,43.14
20,155,CRISIL,EQ,1413,1175,83.16
20,156,CROMPGREAV,EQ,590208,237891,40.31
20,157,CUB,EQ,12113,9619,79.41
20,158,CYBERTECH,EQ,14035,7467,53.20
20,159,D-LINK,EQ,59181,47955,81.03
20,160,DABUR,EQ,55169,41486,75.20
20,161,DALMIACEM,EQ,183,183,100.00
20,162,DCM,EQ,12,10,83.33
20,163,DCMDAEWOO,EQ,16540,13140,79.44
20,164,DCMFINSERV,EQ,500,500,100.00
20,165,DCMSRMCONS,EQ,18,18,100.00
20,166,DCW,EQ,173998,136653,78.54
20,167,DECCANCEM,EQ,50,50,100.00
20,168,DEEPAKFERT,EQ,10200,9875,96.81
20,169,DENABANK,EQ,13660,11930,87.34
20,170,DHAMPURSUG,EQ,4400,4400,100.00
20,171,DIGITALEQP,EQ,1028437,77553,7.54
20,172,DRBECK,EQ,729,689,94.51
20,173,DRIND,EQ,1,1,100.00
20,174,DRREDDY,EQ,92121,29811,32.36
20,175,DUNCANSIND,EQ,100,100,100.00
20,176,DYNACONS,EQ,200,200,100.00
20,177,EASTSILK,EQ,250,250,100.00
20,178,EASUNREYRL,EQ,101,100,99.01
20,179,EICHERLTD,EQ,35624,20080,56.37
20,180,EICHERMOT,EQ,8900,5900,66.29
20,181,EIDERTELE,EQ,200,200,100.00
20,182,EIDPARRY,EQ,5735,5335,93.03
20,183,EIHOTEL,EQ,771,721,93.51
20,184,ELDERPHARM,EQ,4497,4067,90.44
20,185,ELECTCAST,EQ,5495,3645,66.33
20,186,ELGIEQUIP,EQ,18959,16788,88.55
20,187,ELGITYRE,EQ,50,50,100.00
20,188,EMCOTRANS,EQ,14951,12316,82.38
20,189,EMERCK,EQ,4802,2605,54.25
20,190,ENGINERSIN,EQ,837901,114774,13.70
20,191,ESABINDIA,EQ,3359,3128,93.12
20,192,ESCORTS,EQ,51343,26605,51.82
20,193,ESSARGUJ,EQ,180143,125956,69.92
20,194,ESSAROIL,EQ,99149,78070,78.74
20,195,ESSELPACK,EQ,8490,5250,61.84
20,196,ETERNEVRST,EQ,100,100,100.00
20,197,EUROSOFTAL,EQ,2700,2700,100.00
20,198,EUROTEXIND,EQ,204,204,100.00
20,199,EXCELIND,EQ,5210,4400,84.45
20,200,FACT,EQ,2,1,50.00
20,201,FDC,EQ,270,120,44.44
20,202,FEDERALBNK,EQ,504926,97951,19.40
20,203,FINCABLES,EQ,8947,7676,85.79
20,204,FINPIPE,EQ,10914,10664,97.71
20,205,FIRSTLEASE,EQ,1100,1100,100.00
20,206,FLEX,EQ,7102,5439,76.58
