Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01042003,027649994,0000669
Trade Date <01-APR-2003>,Settlement Type <D>,Settlement No <2003063>,Settlement Date <04-APR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0985J15,GC,500,500,100.00
20,2,1025E21,GC,10,10,100.00
20,3,1150K11,GC,9930,9430,94.96
20,4,1240H13,GC,10,10,100.00
Trade Date <01-APR-2003>,Settlement Type <N>,Settlement No <2003063>,Settlement Date <04-APR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,5,AARTIIND,EQ,349,325,93.12
20,6,ABANLLOYD,EQ,33090,30405,91.89
20,7,ABB,EQ,9523,5034,52.86
20,8,ABBALPO,EQ,12216,9075,74.29
20,9,ABSHEKINDS,EQ,1411,1311,92.91
20,10,ABSIND,EQ,3238,2764,85.36
20,11,ACC,EQ,460007,179627,39.05
20,12,ADANIEXPO,EQ,35434,783,2.21
20,13,ADLABSFILM,EQ,18632,9765,52.41
20,14,ADVANIORLI,EQ,2676,2364,88.34
20,15,AEGISCHEM,EQ,1800,1400,77.78
20,16,AFTEKINFO,EQ,1128995,50062,4.43
20,17,AGEEGOLD,EQ,1,0,0.00
20,18,AGREVOIND,EQ,501,300,59.88
20,19,AGRODUTCH,EQ,11096,9988,90.01
20,20,AHMEDELEC,EQ,550,450,81.82
20,21,AHMEDFORGE,EQ,640,538,84.06
20,22,AJANTPHARM,EQ,4718,400,8.48
20,23,AKSHOPTFBR,EQ,3842,2905,75.61
20,24,ALBK,EQ,168067,95994,57.12
20,25,ALEMBICLTD,EQ,1091,980,89.83
20,26,ALFALAVAL,EQ,2829,2716,96.01
20,27,ALOKTEXT,EQ,23900,18450,77.20
20,28,AMARAJABAT,EQ,5940,5050,85.02
20,29,AMBUJARAJN,EQ,8505,6005,70.61
20,30,AMTREXAPPL,EQ,3276,2826,86.26
20,31,ANDHRABANK,EQ,1936328,651308,33.64
20,32,ANDHRSUGAR,EQ,2100,1500,71.43
20,33,APCOTEXLAT,EQ,200,200,100.00
20,34,APOLLOHOSP,EQ,53818,27837,51.72
20,35,APOLLOTYRE,EQ,7740,3506,45.30
20,36,APTECHT,EQ,99906,82616,82.69
20,37,ARCHIES,EQ,704,584,82.95
20,38,ARHAMFISCL,EQ,9800,8300,84.69
20,39,ARIHANTCRE,EQ,41150,2450,5.95
20,40,ARL,EQ,76300,25300,33.16
20,41,ARVINDMILL,EQ,109145,63535,58.21
20,42,ASAHIINDIA,EQ,24836,23672,95.31
20,43,ASHIMASYN,EQ,400,300,75.00
20,44,ASHKLEYFIN,EQ,11305,10224,90.44
20,45,ASHOKLEY,EQ,14164,8485,59.91
20,46,ASIANELEC,EQ,1435,1385,96.52
20,47,ASIANHOTEL,EQ,200,200,100.00
20,48,ASIANPAINT,EQ,2323,564,24.28
20,49,ASTRAIDL,EQ,100,100,100.00
20,50,ATCOIND,EQ,7143,4790,67.06
20,51,ATFL,EQ,214,153,71.50
20,52,ATLASCYCLE,EQ,100,100,100.00
20,53,ATULPROD,EQ,1202,1202,100.00
20,54,AUROPHARMA,EQ,4535,3339,73.63
20,55,AUTORIDFIN,EQ,5,5,100.00
20,56,AZTEC,EQ,48362,22491,46.51
20,57,BAJAJAUTO,EQ,164545,101832,61.89
20,58,BAJAJHIND,EQ,451,99,21.95
20,59,BAJAJPLAST,EQ,2124,1079,50.80
20,60,BAJAUTOFIN,EQ,20750,20545,99.01
20,61,BALAJIDIST,EQ,5400,4400,81.48
20,62,BALAJITELE,EQ,42741,14936,34.95
20,63,BALMLAWRIE,EQ,4013,3006,74.91
20,64,BALRAMCHIN,EQ,2585,2535,98.07
20,65,BANKBARODA,EQ,675623,101150,14.97
20,66,BANKINDIA,EQ,753399,333279,44.24
20,67,BANKPUNJAB,EQ,70764,50065,70.75
20,68,BANKRAJAS,EQ,61241,51500,84.09
20,69,BASF,EQ,5119,2356,46.02
20,70,BATAINDIA,EQ,143527,132941,92.62
20,71,BAYER,EQ,24,24,100.00
20,72,BBTC,EQ,50,50,100.00
20,73,BEL,EQ,35846,15738,43.90
20,74,BELCERAMIC,EQ,27400,26000,94.89
20,75,BEML,EQ,55597,20866,37.53
20,76,BERGEPAINT,EQ,875,750,85.71
20,77,BFLSOFTWAR,EQ,7417,3571,48.15
20,78,BGFL,EQ,2752,2242,81.47
20,79,BHARATFORG,EQ,12024,10540,87.66
20,80,BHARATRAS,EQ,200,200,100.00
20,81,BHARTI,EQ,95883,69610,72.60
20,82,BHEL,EQ,1801142,535258,29.72
20,83,BIL,EQ,1018,459,45.09
20,84,BILT,EQ,31898,26228,82.22
20,85,BINDALAGRO,EQ,10149,7208,71.02
20,86,BIRLA3M,EQ,945,680,71.96
20,87,BIRLAERIC,EQ,3430,3430,100.00
20,88,BIRLAJUTE,EQ,4917,2925,59.49
20,89,BLBLIMITED,EQ,200,200,100.00
20,90,BLUECHIP,EQ,1051,1051,100.00
20,91,BLUEDART,EQ,9414,6999,74.35
20,92,BLUESTARCO,EQ,1388,1372,98.85
20,93,BLUESTINFO,EQ,8278,3536,42.72
20,94,BOMDYEING,EQ,10186,6345,62.29
20,95,BONGAIREFN,EQ,30877,28800,93.27
20,96,BPCL,EQ,519999,201776,38.80
20,97,BPL,EQ,6962,4906,70.47
20,98,BPLENGG,EQ,1486,1486,100.00
20,99,BPLREFRIG,EQ,1000,1000,100.00
20,100,BPLSANTECH,EQ,2,0,0.00
20,101,BPLSANUTIL,EQ,204,201,98.53
20,102,BRITANNIA,EQ,2106,1164,55.27
20,103,BSELINFO,EQ,4,0,0.00
20,104,BSES,EQ,12308,6233,50.64
20,105,BSL,EQ,100,100,100.00
20,106,CADILAHC,EQ,17821,10707,60.08
20,107,CALSOFT,EQ,500,400,80.00
20,108,CANBK,EQ,4836735,744139,15.39
20,109,CANFINHOME,EQ,2405,1625,67.57
20,110,CARBORUNIV,EQ,512,412,80.47
20,111,CASTROL,EQ,8719,3623,41.55
20,112,CEAT,EQ,17107,10390,60.74
20,113,CENTENKA,EQ,4440,3545,79.84
20,114,CENTURION,EQ,71064,35010,49.27
20,115,CENTURYTEX,EQ,154595,56787,36.73
20,116,CESC,EQ,14006,12506,89.29
20,117,CGIGARSH,EQ,1675,1525,91.04
20,118,CHAMBLFERT,EQ,107661,95554,88.75
20,119,CHEMPLAST,EQ,1205,1201,99.67
20,120,CHENNPETRO,EQ,32353,23797,73.55
20,121,CHESLINTEX,EQ,471,471,100.00
20,122,CHLORIDIND,EQ,350,200,57.14
20,123,CHOLAINV,EQ,3347,3235,96.65
20,124,CIBASPEC,EQ,105,80,76.19
20,125,CINEVISTA,EQ,1136,760,66.90
20,126,CIPL,EQ,16050,16050,100.00
20,127,CIPLA,EQ,7413,2499,33.71
20,128,CITICORSEC,EQ,5949,4266,71.71
20,129,CLARIANT,EQ,1403,1283,91.45
20,130,CMC,EQ,46241,6615,14.31
