Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01092009,624212897,0001223
Trade Date <01-SEP-2009>,Settlement Type <D>,Settlement No <2009163>,Settlement Date <03-SEP-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,20,0,0.00
Trade Date <01-SEP-2009>,Settlement Type <N>,Settlement No <2009163>,Settlement Date <03-SEP-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,152473,73112,47.95
20,3,3IINFOTECH,EQ,1255562,525720,41.87
20,4,3MINDIA,EQ,646,442,68.42
20,5,AARTIDRUGS,EQ,14114,9262,65.62
20,6,AARTIIND,EQ,133972,66552,49.68
20,7,AARVEEDEN,EQ,1444,1444,100.00
20,8,ABAN,EQ,3870722,544159,14.06
20,9,ABB,EQ,251784,88667,35.22
20,10,ABCIL,EQ,126065,50338,39.93
20,11,ABGSHIP,EQ,284342,112567,39.59
20,12,ABHISHEK,EQ,6807,3956,58.12
20,13,ABIRLANUVO,EQ,316187,148200,46.87
20,14,ABSHEKINDS,EQ,138679,94014,67.79
20,15,ACC,EQ,642926,176124,27.39
20,16,ACE,EQ,570884,164670,28.84
20,17,ACKRUTI,EQ,725751,161100,22.20
20,18,ADANIENT,EQ,45886,26783,58.37
20,19,ADANIPOWER,EQ,4343009,2510876,57.81
20,20,ADHUNIK,EQ,145874,91799,62.93
20,21,ADLABSFILM,EQ,1465125,244019,16.66
20,22,ADORWELD,EQ,2565,1640,63.94
20,23,ADSL,EQ,181910,61857,34.00
20,24,ADVANIHOTR,EQ,1315,1314,99.92
20,25,ADVANTA,EQ,2435,1103,45.30
20,26,AEGISCHEM,EQ,401959,72289,17.98
20,27,AFL,EQ,24647,17002,68.98
20,28,AFTEK,EQ,2503405,844692,33.74
20,29,AGRODUTCH,EQ,58308,45098,77.34
20,30,AHMEDFORGE,EQ,131477,76521,58.20
20,31,AIAENG,EQ,125210,56798,45.36
20,32,AICHAMP,EQ,1300,1300,100.00
20,33,AJANTPHARM,EQ,4850,4232,87.26
20,34,AJMERA,EQ,48641,19937,40.99
20,35,AKSHOPTFBR,EQ,91598,68124,74.37
20,36,ALBK,EQ,589338,340352,57.75
20,37,ALCHEM,EQ,102989,46429,45.08
20,38,ALEMBICLTD,EQ,453781,215008,47.38
20,39,ALFALAVAL,EQ,2582,2357,91.29
20,40,ALKALI,EQ,93017,23567,25.34
20,41,ALKYLAMINE,EQ,420,344,81.90
20,42,ALLCARGO,EQ,22172,12475,56.26
20,43,ALMONDZ,EQ,7707,7607,98.70
20,44,ALOKTEXT,EQ,9105936,3798330,41.71
20,45,ALPHAGEO,EQ,183388,64520,35.18
20,46,ALPSINDUS,EQ,462806,302097,65.28
20,47,AMAR,EQ,142505,65776,46.16
20,48,AMARAJABAT,EQ,393921,104887,26.63
20,49,AMBICAAGAR,EQ,17137,12122,70.74
20,50,AMBIKCO,EQ,2561,1503,58.69
20,51,AMBUJACEM,EQ,3005872,2056103,68.40
20,52,AMDIND,EQ,11670,7005,60.03
20,53,AMTEKAUTO,EQ,643878,216127,33.57
20,54,AMTEKINDIA,EQ,815885,425304,52.13
20,55,ANANTRAJ,EQ,378979,213568,56.35
20,56,ANDHRABANK,EQ,201404,96337,47.83
20,57,ANDHRSUGAR,EQ,466639,168188,36.04
20,58,ANGAUTO,EQ,101171,72470,71.63
20,59,ANIKINDS,EQ,7892,5506,69.77
20,60,ANKURDRUGS,EQ,38550,25825,66.99
20,61,ANSALHSG,EQ,181047,78531,43.38
20,62,ANSALINFRA,EQ,2264646,748654,33.06
20,63,ANTGRAPHIC,EQ,133072,56473,42.44
20,64,APARINDS,EQ,4692,2609,55.61
20,65,APCOTEXIND,EQ,14722,13531,91.91
20,66,APIL,EQ,186156,62624,33.64
20,67,APOLLOHOSP,EQ,11993,5297,44.17
20,68,APOLLOSIND,EQ,69119,42178,61.02
20,69,APOLLOTYRE,EQ,1560361,760437,48.73
20,70,APPAPER,EQ,995,795,79.90
20,71,APTECHT,EQ,5910383,643354,10.89
20,72,ARCHIDPLY,EQ,19061,14130,74.13
20,73,ARCHIES,EQ,45204,17059,37.74
20,74,AREVAT&D,EQ,696081,316520,45.47
20,75,ARIES,EQ,142620,85758,60.13
20,76,ARL,EQ,481906,290727,60.33
20,77,AROGRANITE,EQ,27605,21712,78.65
20,78,ARROWTEX,EQ,204366,139904,68.46
20,79,ARVIND,EQ,2454134,1136795,46.32
20,80,ASAHIINDIA,EQ,145575,51194,35.17
20,81,ASAL,EQ,5285,5060,95.74
20,82,ASHAPURMIN,EQ,152104,99749,65.58
20,83,ASHCO,EQ,2162,2162,100.00
20,84,ASHIMASYN,EQ,10055,9320,92.69
20,85,ASHOKLEY,EQ,6934042,3816897,55.05
20,86,ASIANELEC,EQ,153867,91147,59.24
20,87,ASIANHOTEL,EQ,8298,5503,66.32
20,88,ASIANPAINT,EQ,5215,1942,37.24
20,89,ASIANTILES,EQ,8507,7459,87.68
20,90,ASIL,EQ,6324,5600,88.55
20,91,ASSAMCO,EQ,2026267,909016,44.86
20,92,ASTRAL,EQ,7216,2175,30.14
20,93,ASTRAMICRO,EQ,687024,324920,47.29
20,94,ASTRAZEN,EQ,730,312,42.74
20,95,ATFL,EQ,28047,11083,39.52
20,96,ATLANTA,EQ,266040,60348,22.68
20,97,ATLASCYCLE,EQ,6021,2617,43.46
20,98,ATNINTER,EQ,15831,12022,75.94
20,99,ATUL,EQ,78104,58216,74.54
20,100,AURIONPRO,EQ,1347,1347,100.00
20,101,AUROPHARMA,EQ,115561,57440,49.71
20,102,AUSTRAL,EQ,743273,235799,31.72
20,103,AUTOIND,EQ,56618,34960,61.75
20,104,AVAYAGCL,EQ,10609,7421,69.95
20,105,AVENTIS,EQ,1625,1384,85.17
20,106,AVTNPL,EQ,1160,995,85.78
20,107,AXIS-IT&T,EQ,59916,54540,91.03
20,108,AXISBANK,EQ,1634893,378391,23.14
20,109,BAGFILMS,EQ,158279,102918,65.02
20,110,BAJAJ-AUTO,EQ,272735,186193,68.27
20,111,BAJAJELEC,EQ,7217,5424,75.16
20,112,BAJAJFINSV,EQ,17899,10937,61.10
20,113,BAJAJHIND,EQ,6097330,1271826,20.86
20,114,BAJAJHLDNG,EQ,22728,14718,64.76
20,115,BAJAUTOFIN,EQ,61939,23941,38.65
20,116,BALAJITELE,EQ,606073,262149,43.25
20,117,BALAMINES,EQ,949,875,92.20
20,118,BALKRISIND,EQ,2038,1254,61.53
20,119,BALLARPUR,EQ,2038496,944315,46.32
20,120,BALMLAWRIE,EQ,33461,25946,77.54
20,121,BALRAMCHIN,EQ,5532351,1431291,25.87
20,122,BANARISUG,EQ,1117,764,68.40
20,123,BANCOINDIA,EQ,82931,57015,68.75
20,124,BANG,EQ,21340,14846,69.57
20,125,BANKBARODA,EQ,664848,336157,50.56
20,126,BANKBEES,EQ,108,102,94.44
20,127,BANKINDIA,EQ,1396976,813780,58.25
20,128,BANKRAJAS,EQ,1154857,508245,44.01
20,129,BANSWRAS,EQ,1740,1640,94.25
20,130,BARTRONICS,EQ,273781,133195,48.65
20,131,BASF,EQ,5236,3819,72.94
20,132,BASML,EQ,3615,3510,97.10
