Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <14-FEB-2002>,Settlement No <2002033>,Settlement Date <21-FEB-2002>
10,MTO,14022002,046070531,0000773
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,148,147,99.32
20,2,ABANLLOYD,EQ,1568,1516,96.68
20,3,ABB,EQ,22310,18511,82.97
20,4,ABBALPO,EQ,148093,97219,65.65
20,5,ABBOTTLAB,EQ,939,790,84.13
20,6,ABSIND,EQ,9700,8050,82.99
20,7,ACC,EQ,694898,257772,37.09
20,8,ADANIEXPO,EQ,40683,4586,11.27
20,9,ADLABSFILM,EQ,14435,13100,90.75
20,10,ADVANIORLI,EQ,2380,2380,100.00
20,11,AEGISCHEM,EQ,100,100,100.00
20,12,AFTEKINFO,EQ,642441,66021,10.28
20,13,AGEEGOLD,EQ,1045,875,83.73
20,14,AGREVOIND,EQ,4094,2690,65.71
20,15,AGRODUTCH,EQ,4124,3970,96.27
20,16,AHMEDELEC,EQ,4440,4205,94.71
20,17,AJANTPHARM,EQ,7032,2767,39.35
20,18,AKSHOPTFBR,EQ,40841,21510,52.67
20,19,ALEMBICLTD,EQ,12361,10885,88.06
20,20,ALFALAVAL,EQ,856,782,91.36
20,21,ALOKTEXT,EQ,48775,41291,84.66
20,22,ALPSINDUS,EQ,2500,1500,60.00
20,23,AMARAJABAT,EQ,29775,23821,80.00
20,24,AMBUJARAJN,EQ,12901,12101,93.80
20,25,AMITSPIN,EQ,100,100,100.00
20,26,AMTREXAPPL,EQ,1500,1000,66.67
20,27,ANAMALFIN,EQ,1000,1000,100.00
20,28,ANDHRABANK,EQ,243401,180951,74.34
20,29,ANDHRSUGAR,EQ,2199,2099,95.45
20,30,ANTGRAPHIC,EQ,2150,2150,100.00
20,31,APCOTEXLAT,EQ,2307,2106,91.29
20,32,APOLLOHOSP,EQ,11189,9197,82.20
20,33,APOLLOTYRE,EQ,22202,18362,82.70
20,34,APPAPER,EQ,221,220,99.55
20,35,ARCHIES,EQ,38409,25987,67.66
20,36,ARHAMFISCL,EQ,25210,19955,79.16
20,37,ARIHANTCRE,EQ,68411,18311,26.77
20,38,ARIHANTRED,EQ,100,100,100.00
20,39,ARVINDMILL,EQ,696113,458170,65.82
20,40,ASAHIINDIA,EQ,1365,1365,100.00
20,41,ASHAPURMIN,EQ,750,750,100.00
20,42,ASHIMASYN,EQ,400,400,100.00
20,43,ASHKLEYFIN,EQ,8100,7573,93.49
20,44,ASHOKLEY,EQ,198315,113650,57.31
20,45,ASIANELEC,EQ,1476,1476,100.00
20,46,ASIANHOTEL,EQ,1850,1475,79.73
20,47,ASIANPAINT,EQ,9699,6608,68.13
20,48,ASSAMCO,EQ,1000,950,95.00
