Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <28-FEB-2002>,Settlement No <2002043>,Settlement Date <07-MAR-2002>
10,MTO,28022002,071216263,0000746
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,2375,2175,91.58
20,2,ABANLLOYD,EQ,10096,8466,83.85
20,3,ABB,EQ,68109,46489,68.26
20,4,ABBALPO,EQ,65306,39040,59.78
20,5,ABBOTTLAB,EQ,959,909,94.79
20,6,ABSIND,EQ,3900,3900,100.00
20,7,ACC,EQ,4202937,1403012,33.38
20,8,ADANIEXPO,EQ,47688,12456,26.12
20,9,ADLABSFILM,EQ,30476,13161,43.18
20,10,ADVANIORLI,EQ,3750,3750,100.00
20,11,AFTEKINFO,EQ,701280,182540,26.03
20,12,AGEEGOLD,EQ,275,185,67.27
20,13,AGREVOIND,EQ,15617,12095,77.45
20,14,AGRODUTCH,EQ,18298,13060,71.37
20,15,AHMEDELEC,EQ,6395,3910,61.14
20,16,AJANTPHARM,EQ,5253,841,16.01
20,17,AKSHOPTFBR,EQ,160991,75661,47.00
20,18,ALEMBICLTD,EQ,15651,10038,64.14
20,19,ALFALAVAL,EQ,3755,2835,75.50
20,20,ALOKTEXT,EQ,78090,61564,78.84
20,21,AMARAJABAT,EQ,46816,27928,59.65
20,22,AMBUJARAJN,EQ,23446,20712,88.34
20,23,AMTREXAPPL,EQ,3850,3800,98.70
20,24,ANDHRABANK,EQ,460788,319564,69.35
20,25,ANDHRSUGAR,EQ,3995,2895,72.47
20,26,APCOTEXLAT,EQ,221,221,100.00
20,27,APOLLOHOSP,EQ,259565,80769,31.12
20,28,APOLLOTYRE,EQ,41837,28910,69.10
20,29,APPAPER,EQ,900,900,100.00
20,30,ARCHIES,EQ,20728,14835,71.57
20,31,ARHAMFISCL,EQ,10099,8199,81.19
20,32,ARIHANTCRE,EQ,71302,52401,73.49
20,33,ARVINDMILL,EQ,1096355,631175,57.57
20,34,ASAHIINDIA,EQ,300,300,100.00
20,35,ASHAPURMIN,EQ,228,226,99.12
20,36,ASHIMASYN,EQ,1000,1000,100.00
20,37,ASHKLEYFIN,EQ,18206,15220,83.60
20,38,ASHOKLEY,EQ,435702,208422,47.84
20,39,ASIANELEC,EQ,1630,1300,79.75
20,40,ASIANHOTEL,EQ,1276,1016,79.62
20,41,ASIANPAINT,EQ,24308,17332,71.30
20,42,ASSAMCO,EQ,3163,2628,83.09
20,43,ASSAMFRONT,EQ,4951,2935,59.28
20,44,ASTRAIDL,EQ,791,766,96.84
20,45,ATCOIND,EQ,5903,5388,91.28
