Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <15-MAR-2002>,Settlement No <2002053>,Settlement Date <22-MAR-2002>
10,MTO,15032002,048519561,0000741
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1000,0,0.00
20,2,ABANLLOYD,EQ,9645,6505,67.44
20,3,ABB,EQ,6810,3309,48.59
20,4,ABBALPO,EQ,7906,6332,80.09
20,5,ABBOTTLAB,EQ,1452,1415,97.45
20,6,ABSIND,EQ,81158,48803,60.13
20,7,ACC,EQ,350903,128896,36.73
20,8,ADANIEXPO,EQ,37568,6387,17.00
20,9,ADLABSFILM,EQ,42918,28323,65.99
20,10,ADVANIORLI,EQ,3661,3661,100.00
20,11,AEGISCHEM,EQ,201,201,100.00
20,12,AFTEKINFO,EQ,2054804,195104,9.50
20,13,AGEEGOLD,EQ,3208,2616,81.55
20,14,AGREVOIND,EQ,990,890,89.90
20,15,AGRODUTCH,EQ,6730,6490,96.43
20,16,AHMEDELEC,EQ,631,606,96.04
20,17,AJANTPHARM,EQ,8268,4067,49.19
20,18,AKSHOPTFBR,EQ,154335,81376,52.73
20,19,ALEMBICLTD,EQ,3455,2645,76.56
20,20,ALFALAVAL,EQ,692,460,66.47
20,21,ALOKTEXT,EQ,122146,87992,72.04
20,22,AMARAJABAT,EQ,16213,11795,72.75
20,23,AMBUJARAJN,EQ,8770,7670,87.46
20,24,AMITSPIN,EQ,1000,0,0.00
20,25,ANAMALFIN,EQ,100,100,100.00
20,26,ANDHRABANK,EQ,112953,74451,65.91
20,27,ANDHRSUGAR,EQ,1000,500,50.00
20,28,ANTGRAPHIC,EQ,1101,1100,99.91
20,29,APCOTEXLAT,EQ,1257,1156,91.96
20,30,APOLLOHOSP,EQ,1029623,255598,24.82
20,31,APOLLOTYRE,EQ,23479,14426,61.44
20,32,APPAPER,EQ,409,260,63.57
20,33,ARCHIES,EQ,271810,50787,18.68
20,34,ARHAMFISCL,EQ,27270,26770,98.17
20,35,ARIHANTCRE,EQ,100699,67885,67.41
20,36,ARIHANTRED,EQ,1,0,0.00
20,37,ARVINDMILL,EQ,8081960,2689033,33.27
20,38,ASAHIINDIA,EQ,6590,6485,98.41
20,39,ASHOKLEY,EQ,33306,23074,69.28
20,40,ASIANELEC,EQ,2300,2300,100.00
20,41,ASIANHOTEL,EQ,710,695,97.89
20,42,ASIANPAINT,EQ,113566,112619,99.17
20,43,ASSAMCO,EQ,1539,1339,87.00
20,44,ASSAMFRONT,EQ,3348,3297,98.48
20,45,ASTRAIDL,EQ,846,846,100.00
20,46,ATCOIND,EQ,25184,14136,56.13
20,47,ATLASCOPCO,EQ,84820,49135,57.93
20,48,ATLASCYCLE,EQ,592,497,83.95
20,49,ATULPROD,EQ,400,400,100.00
20,50,AUROPHARMA,EQ,3042,2016,66.27
20,51,AUTOAXLES,EQ,10287,5874,57.10
20,52,AZTEC,EQ,202865,77315,38.11
20,53,BAGYAMETAL,EQ,1500,1500,100.00
20,54,BAJAJAUTO,EQ,23312,6347,27.23
20,55,BAJAJHIND,EQ,80,80,100.00
20,56,BAJAUTOFIN,EQ,5275,4525,85.78
20,57,BALAJHOTEL,EQ,300,300,100.00
20,58,BALAJIDIST,EQ,10591,9215,87.01
20,59,BALAJIIND,EQ,17250,15550,90.14
20,60,BALAJITELE,EQ,222707,66110,29.68
20,61,BALMLAWRIE,EQ,37691,28865,76.58
20,62,BALRAMCHIN,EQ,3641,3355,92.15
20,63,BANARISUG,EQ,375,359,95.73
20,64,BANKBARODA,EQ,105286,54539,51.80
20,65,BANKINDIA,EQ,111523,91038,81.63
20,66,BANKPUNJAB,EQ,65671,46820,71.29
20,67,BANKRAJAS,EQ,61697,50799,82.34
20,68,BASF,EQ,4701,3405,72.43
20,69,BATAINDIA,EQ,351896,144716,41.12
20,70,BAUSCHLOMB,EQ,91775,61923,67.47
20,71,BAYER,EQ,71,71,100.00
20,72,BEL,EQ,388262,113801,29.31
20,73,BELCERAMIC,EQ,600,600,100.00
20,74,BEML,EQ,229113,100852,44.02
20,75,BFLSOFTWAR,EQ,120854,34271,28.36
20,76,BGFL,EQ,40550,31224,77.00
20,77,BHARATFORG,EQ,17524,14389,82.11
20,78,BHARATGEAR,EQ,550,550,100.00
20,79,BHARATHOT,EQ,200,200,100.00
20,80,BHARTI,EQ,402993,237945,59.04
20,81,BHEL,EQ,587690,235480,40.07
20,82,BHUSANSTL,EQ,4212,3912,92.88
20,83,BIL,EQ,7250,6039,83.30
20,84,BILT,EQ,445267,344882,77.46
20,85,BIMETBRG,EQ,2,1,50.00
20,86,BINANIZINC,EQ,3589,3134,87.32
20,87,BINDALAGRO,EQ,9395,8593,91.46
20,88,BIOFILCHEM,EQ,5900,5900,100.00
20,89,BIRLA3M,EQ,17471,10157,58.14
20,90,BIRLAERIC,EQ,18053,14215,78.74
20,91,BIRLAJUTE,EQ,21571,17493,81.09
20,92,BLBLIMITED,EQ,2900,2900,100.00
20,93,BLOWPLAST,EQ,1056,1056,100.00
20,94,BLUEDART,EQ,3060,2105,68.79
20,95,BLUESTARCO,EQ,10521,9156,87.03
20,96,BLUESTINFO,EQ,16205,8903,54.94
20,97,BOMDYEING,EQ,4198,3998,95.24
20,98,BONGAIREFN,EQ,185755,131705,70.90
20,99,BOOTSPHARM,EQ,2585,2250,87.04
20,100,BPCL,EQ,1174162,273640,23.31
20,101,BPL,EQ,21350,11924,55.85
20,102,BPLENGG,EQ,3960,3950,99.75
20,103,BPLREFRIG,EQ,23153,20132,86.95
20,104,BPLSANTECH,EQ,681,575,84.43
20,105,BPLSANUTIL,EQ,3093,2682,86.71
20,106,BRITANNIA,EQ,3487,2241,64.27
20,107,BSELINFO,EQ,875,825,94.29
20,108,BSES,EQ,62553,59274,94.76
20,109,BSL,EQ,158,158,100.00
20,110,BURRWELCOM,EQ,4534,2969,65.48
20,111,CADBURY,EQ,756,689,91.14
20,112,CADILAHC,EQ,29934,25043,83.66
20,113,CALSOFT,EQ,401,400,99.75
20,114,CANFINHOME,EQ,5971,5966,99.92
20,115,CARBEVFLOW,EQ,1671,1671,100.00
20,116,CARBORUNIV,EQ,1214,1214,100.00
20,117,CARRIERAIR,EQ,500,450,90.00
20,118,CASTROL,EQ,27125,21321,78.60
20,119,CEAT,EQ,61708,53261,86.31
20,120,CEATFIN,EQ,500,500,100.00
20,121,CENTENKA,EQ,5873,5673,96.59
20,122,CENTURION,EQ,538394,318039,59.07
20,123,CENTURYTEX,EQ,74940,50947,67.98
20,124,CESC,EQ,12750,10550,82.75
20,125,CGIGARSH,EQ,1010,860,85.15
20,126,CHAMBLFERT,EQ,181860,118074,64.93
20,127,CHEMPLAST,EQ,2311,2308,99.87
20,128,CHENNPETRO,EQ,197676,127246,64.37
20,129,CHETNADCEM,EQ,17530,15030,85.74
20,130,CHLORIDIND,EQ,2490,2266,91.00
20,131,CHOLAINV,EQ,153357,78719,51.33
20,132,CIBASPEC,EQ,2373,1914,80.66
20,133,CINEVISTA,EQ,21903,10038,45.83
20,134,CIPLA,EQ,42759,38014,88.90
20,135,CITICORSEC,EQ,26465,13148,49.68
20,136,CLARIANT,EQ,482,482,100.00
20,137,CMC,EQ,9152,5683,62.10
20,138,COATESIND,EQ,756,753,99.60
20,139,COATVIYELA,EQ,8450,8150,96.45
20,140,COCHINREFN,EQ,378619,281974,74.47
20,141,COLGATE,EQ,45868,34286,74.75
20,142,COLORCHEM,EQ,24775,20753,83.77
20,143,COMPUDYNE,EQ,983158,280955,28.58
20,144,COMPUTECH,EQ,61106,46937,76.81
20,145,CONCOR,EQ,64967,37603,57.88
20,146,CONSCOFFEE,EQ,568,491,86.44
20,147,COREPARENT,EQ,54092,37906,70.08
20,148,COROMNFERT,EQ,76157,65804,86.41
20,149,CORPBANK,EQ,58105,36769,63.28
20,150,COSMOFILMS,EQ,2062,2062,100.00
20,151,CREATIVEYE,EQ,80508,40326,50.09
20,152,CRESTCOMM,EQ,211806,75774,35.78
20,153,CRISIL,EQ,35374,20208,57.13
20,154,CROMPGREAV,EQ,132104,72365,54.78
20,155,CUB,EQ,19184,16240,84.65
20,156,CYBERTECH,EQ,83175,45693,54.94
20,157,D-LINK,EQ,52245,25977,49.72
20,158,DABUR,EQ,120258,97964,81.46
20,159,DALMIACEM,EQ,200,100,50.00
20,160,DCM,EQ,500,500,100.00
20,161,DCMDAEWOO,EQ,26651,14640,54.93
20,162,DCMFINSERV,EQ,2024,2000,98.81
20,163,DCMSRMCONS,EQ,529,529,100.00
20,164,DCW,EQ,37820,33845,89.49
20,165,DECCANCEM,EQ,2250,1600,71.11
20,166,DEEPAKFERT,EQ,11237,10275,91.44
20,167,DENABANK,EQ,16226,14293,88.09
20,168,DGPWINDSOR,EQ,469,469,100.00
20,169,DHAMPURSUG,EQ,6585,4330,65.76
20,170,DIGITALEQP,EQ,1391088,78061,5.61
20,171,DRBECK,EQ,500,500,100.00
20,172,DRREDDY,EQ,135882,45160,33.23
20,173,DUNCANSIND,EQ,3300,3200,96.97
20,174,DYNACONS,EQ,1714,1714,100.00
20,175,EASTSILK,EQ,25,25,100.00
20,176,EASUNREYRL,EQ,609,605,99.34
20,177,EICHERLTD,EQ,10228,7932,77.55
20,178,EICHERMOT,EQ,11531,10481,90.89
20,179,EIDERTELE,EQ,1580,1379,87.28
20,180,EIDPARRY,EQ,6665,4185,62.79
20,181,EIHOTEL,EQ,5494,4159,75.70
20,182,EIMCOELECO,EQ,350,350,100.00
20,183,ELDERPHARM,EQ,825,700,84.85
20,184,ELECTCAST,EQ,8232,5621,68.28
20,185,ELGIEQUIP,EQ,12320,10195,82.75
20,186,ELGITYRE,EQ,9850,9850,100.00
20,187,EMCOTRANS,EQ,10203,9675,94.83
20,188,EMERCK,EQ,2686,2386,88.83
20,189,ENGINERSIN,EQ,294309,105779,35.94
20,190,ESABINDIA,EQ,12552,8339,66.44
20,191,ESCORTS,EQ,702276,251278,35.78
20,192,ESSARGUJ,EQ,264566,217865,82.35
20,193,ESSAROIL,EQ,270099,238074,88.14
20,194,ESSELPACK,EQ,38416,26121,68.00
20,195,ETERNEVRST,EQ,2700,2700,100.00
20,196,EUROSOFTAL,EQ,5900,5900,100.00
20,197,EUROTEXIND,EQ,20050,50,0.25
20,198,EXCELIND,EQ,17926,12794,71.37
20,199,FAGBEARING,EQ,2941,2236,76.03
20,200,FDC,EQ,200,200,100.00
20,201,FEDERALBNK,EQ,1018281,236141,23.19
20,202,FINCABLES,EQ,15094,14214,94.17
20,203,FINPIPE,EQ,50131,46041,91.84
20,204,FIRSTLEASE,EQ,19448,18530,95.28
20,205,FLEX,EQ,20114,17912,89.05
20,206,FLEXCHEM,EQ,1050,950,90.48
20,207,FLOATGLASS,EQ,7100,5800,81.69
20,208,FORBESGOK,EQ,433,333,76.91
20,209,FOSECOIND,EQ,360,360,100.00
20,210,FUJITSICIM,EQ,1158532,141516,12.22
20,211,FULFORD,EQ,3070,2620,85.34
20,212,GAEL,EQ,1935,1935,100.00
20,213,GAIL,EQ,441102,199095,45.14
20,214,GAMMONIND,EQ,1911,1500,78.49
20,215,GANESHBENZ,EQ,800,800,100.00
20,216,GARWALLROP,EQ,600,600,100.00
20,217,GECALSTHOM,EQ,9138,8068,88.29
20,218,GEOMETRIC,EQ,403030,48498,12.03
20,219,GEORGWILIM,EQ,400,400,100.00
20,220,GERMANREM,EQ,1088,1038,95.40
20,221,GESCOCORP,EQ,1682,1480,87.99
20,222,GESHIPPING,EQ,245505,157819,64.28
20,223,GHCL,EQ,26045,25345,97.31
20,224,GICHSGFIN,EQ,12658,10908,86.17
20,225,GIPCL,EQ,29804,27004,90.61
20,226,GKW,EQ,262,262,100.00
20,227,GLAXO,EQ,32692,18034,55.16
20,228,GLENMARK,EQ,8386,7985,95.22
20,229,GLFL,EQ,3545,3545,100.00
20,230,GLOBALTELE,EQ,4359463,575839,13.21
20,231,GLOBLTRUST,EQ,2274036,1120661,49.28
20,232,GMDCLTD,EQ,15747,8400,53.34
20,233,GMRVASAVI,EQ,538,538,100.00
20,234,GNFC,EQ,38044,28456,74.80
20,235,GODAVRFERT,EQ,6400,4400,68.75
20,236,GODFRYPHLP,EQ,238,203,85.29
20,237,GODREJCP,EQ,272899,150456,55.13
20,238,GODREJINDS,EQ,41256,37905,91.88
20,239,GOETZEIND,EQ,1525,1325,86.89
20,240,GOLDTECH,EQ,67996,40803,60.01
20,241,GOODLASNER,EQ,5840,3920,67.12
20,242,GOODYEAR,EQ,301,237,78.74
20,243,GPELECT,EQ,50,50,100.00
20,244,GRAPHIT,EQ,796,746,93.72
20,245,GRASIM,EQ,59962,39587,66.02
20,246,GREAVES,EQ,350,350,100.00
20,247,GSFC,EQ,41775,40167,96.15
20,248,GTCIND,EQ,1300,1290,99.23
20,249,GTNTEXT,EQ,200,200,100.00
20,250,GUJALKALI,EQ,3202,2052,64.08
20,251,GUJAMBCEM,EQ,133566,113810,85.21
20,252,GUJFLUORO,EQ,1200,1200,100.00
20,253,GUJRATGAS,EQ,9467,1057,11.17
20,254,GUJSIDHCEM,EQ,11877,10800,90.93
20,255,GULFOIL,EQ,1011,960,94.96
20,256,HARRMALAYA,EQ,2187,2187,100.00
20,257,HAVELLS,EQ,2156,129,5.98
20,258,HCL-INSYS,EQ,184630,52102,28.22
20,259,HCLTECH,EQ,1399408,325981,23.29
20,260,HDFC,EQ,5431,4182,77.00
20,261,HDFCBANK,EQ,33543,28920,86.22
20,262,HEG,EQ,726,726,100.00
20,263,HERITGFOOD,EQ,16450,16100,97.87
20,264,HEROHONDA,EQ,190392,61101,32.09
20,265,HIKAL,EQ,1317,1112,84.43
20,266,HIMACHLFUT,EQ,6769793,1200596,17.73
20,267,HIMATSEIDE,EQ,800,700,87.50
20,268,HINDALC0,EQ,9559,8089,84.62
20,269,HINDCONS,EQ,1874,1838,98.08
20,270,HINDDORROL,EQ,20,20,100.00
20,271,HINDINKS,EQ,1634,1623,99.33
20,272,HINDLEVCHM,EQ,2184,2056,94.14
20,273,HINDLEVER,EQ,208447,114002,54.69
20,274,HINDMOTOR,EQ,106633,97253,91.20
20,275,HINDOILEXP,EQ,114491,64735,56.54
20,276,HINDPETRO,EQ,2112838,542613,25.68
20,277,HINDSANIT,EQ,1612,1462,90.69
20,278,HINDUJAFIN,EQ,328856,52870,16.08
20,279,HINDZINC,EQ,368933,263187,71.34
20,280,HINPOWPLUS,EQ,3600,3550,98.61
20,281,HITECDRIL,EQ,3275,1951,59.57
20,282,HMT,EQ,14249,13249,92.98
20,283,HOCL,EQ,283221,185130,65.37
20,284,HOECHST,EQ,4254,3587,84.32
20,285,HOGANAS,EQ,116,116,100.00
20,286,HOTELEELA,EQ,12934,9586,74.11
