Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <27-MAR-2002>,Settlement No <2002060>,Settlement Date <05-APR-2002>
10,MTO,27032002,032096363,0000761
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,100,100,100.00
20,2,ABANLLOYD,EQ,27615,14128,51.16
20,3,ABB,EQ,6812,4295,63.05
20,4,ABBALPO,EQ,6689,5931,88.67
20,5,ABBOTTLAB,EQ,1220,1219,99.92
20,6,ABSIND,EQ,2541,2143,84.34
20,7,ACC,EQ,482732,213229,44.17
20,8,ADANIEXPO,EQ,32519,1903,5.85
20,9,ADLABSFILM,EQ,13897,10722,77.15
20,10,ADVANIORLI,EQ,1287,1137,88.34
20,11,AEGISCHEM,EQ,881,700,79.46
20,12,AFTEKINFO,EQ,1675598,68697,4.10
20,13,AGEEGOLD,EQ,19546,19375,99.13
20,14,AGREVOIND,EQ,3248,2568,79.06
20,15,AGRODUTCH,EQ,5062,4644,91.74
20,16,AHMEDELEC,EQ,1607,1522,94.71
20,17,AJANTPHARM,EQ,5573,1573,28.23
20,18,AKSHOPTFBR,EQ,52202,32620,62.49
20,19,ALEMBICLTD,EQ,1797,1420,79.02
20,20,ALFALAVAL,EQ,5243,5196,99.10
20,21,ALOKTEXT,EQ,16825,10111,60.10
20,22,ALPSINDUS,EQ,220,120,54.55
20,23,AMARAJABAT,EQ,30031,16328,54.37
20,24,AMBUJARAJN,EQ,12910,11910,92.25
20,25,AMITSPIN,EQ,50,0,0.00
20,26,AMTREXAPPL,EQ,2056,2056,100.00
20,27,ANAMALFIN,EQ,2100,2100,100.00
20,28,ANDHRABANK,EQ,156832,111324,70.98
20,29,ANDHRSUGAR,EQ,1430,1430,100.00
20,30,ANTGRAPHIC,EQ,2600,2600,100.00
20,31,APCOTEXLAT,EQ,615,555,90.24
20,32,APOLLOHOSP,EQ,111826,28598,25.57
20,33,APOLLOTYRE,EQ,51814,21335,41.18
20,34,APPAPER,EQ,3515,2910,82.79
20,35,ARCHIES,EQ,35796,21445,59.91
20,36,ARHAMFISCL,EQ,10400,8300,79.81
20,37,ARIHANTCRE,EQ,52656,11246,21.36
20,38,ARVINDMILL,EQ,334395,196280,58.70
20,39,ASAHIINDIA,EQ,9810,9440,96.23
20,40,ASHAPURMIN,EQ,50,50,100.00
20,41,ASHIMASYN,EQ,10,10,100.00
20,42,ASHKLEYFIN,EQ,71872,38431,53.47
20,43,ASHOKLEY,EQ,133837,102814,76.82
20,44,ASIANELEC,EQ,5572,5572,100.00
20,45,ASIANHOTEL,EQ,257,232,90.27
20,46,ASIANPAINT,EQ,62792,61124,97.34
20,47,ASSAMCO,EQ,195,195,100.00
20,48,ASSAMFRONT,EQ,60,60,100.00
20,49,ASTRAIDL,EQ,651,551,84.64
20,50,ATCOIND,EQ,14380,6830,47.50
20,51,ATLASCOPCO,EQ,4355,3765,86.45
20,52,ATLASCYCLE,EQ,312,202,64.74
20,53,ATULPROD,EQ,2476,2376,95.96
20,54,AUROPHARMA,EQ,11398,8614,75.57
20,55,AUTOAXLES,EQ,163,163,100.00
20,56,AZTEC,EQ,83276,45935,55.16
20,57,BAGYAMETAL,EQ,322,322,100.00
20,58,BAJAJAUTO,EQ,50551,35852,70.92
20,59,BAJAUTOFIN,EQ,6,6,100.00
20,60,BALAJIDIST,EQ,641,513,80.03
20,61,BALAJIIND,EQ,2010,2010,100.00
20,62,BALAJITELE,EQ,75403,33314,44.18
20,63,BALMLAWRIE,EQ,6682,5580,83.51
20,64,BALRAMCHIN,EQ,22176,21221,95.69
20,65,BANARISUG,EQ,20,20,100.00
20,66,BANKBARODA,EQ,22444,16692,74.37
20,67,BANKINDIA,EQ,529619,355269,67.08
20,68,BANKPUNJAB,EQ,94121,85411,90.75
20,69,BANKRAJAS,EQ,57746,44600,77.23
20,70,BASF,EQ,49388,33095,67.01
20,71,BATAINDIA,EQ,53657,28165,52.49
20,72,BAUSCHLOMB,EQ,34097,18513,54.30
20,73,BAYER,EQ,124,123,99.19
20,74,BBTC,EQ,421,421,100.00
20,75,BEL,EQ,107930,50499,46.79
20,76,BELCERAMIC,EQ,907,907,100.00
20,77,BEML,EQ,78562,30442,38.75
20,78,BERGEPAINT,EQ,425,407,95.76
