Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <02-APR-2002>,Settlement No <2002063>,Settlement Date <05-APR-2002>
10,MTO,02042002,035573862,0000763
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,100,100,100.00
20,2,ABANLLOYD,EQ,37088,31398,84.66
20,3,ABBALPO,EQ,20383,18488,90.70
20,4,ABBOTTLAB,EQ,45361,44768,98.69
20,5,ABSIND,EQ,10611,9795,92.31
20,6,ACC,EQ,1092128,303502,27.79
20,7,ADANIEXPO,EQ,43802,17449,39.84
20,8,ADLABSFILM,EQ,48128,16786,34.88
20,9,ADVANIORLI,EQ,1955,1594,81.53
20,10,AEGISCHEM,EQ,150,75,50.00
20,11,AFTEKINFO,EQ,1776478,161085,9.07
20,12,AGEEGOLD,EQ,1400,1340,95.71
20,13,AGREVOIND,EQ,3145,2665,84.74
20,14,AGRODUTCH,EQ,10555,7200,68.21
20,15,AHMEDELEC,EQ,4405,2085,47.33
20,16,AHMEDFORGE,EQ,100,100,100.00
20,17,AJANTPHARM,EQ,4240,240,5.66
20,18,AKSHOPTFBR,EQ,78654,27353,34.78
20,19,ALEMBICLTD,EQ,1800,1735,96.39
20,20,ALFALAVAL,EQ,8486,7451,87.80
20,21,ALOKTEXT,EQ,12457,11155,89.55
20,22,ALPSINDUS,EQ,10,5,50.00
20,23,AMARAJABAT,EQ,20410,14372,70.42
20,24,AMBUJARAJN,EQ,19406,14805,76.29
20,25,AMTREXAPPL,EQ,3555,3200,90.01
20,26,ANAMALFIN,EQ,730,520,71.23
20,27,ANDHRABANK,EQ,203055,177114,87.22
20,28,ANDHRSUGAR,EQ,1101,1100,99.91
20,29,ANTGRAPHIC,EQ,1200,1200,100.00
20,30,APCOTEXLAT,EQ,400,400,100.00
20,31,APOLLOHOSP,EQ,308420,119864,38.86
20,32,APOLLOTYRE,EQ,31148,10227,32.83
20,33,APPAPER,EQ,305,305,100.00
20,34,ARCHIES,EQ,68505,21152,30.88
20,35,ARHAMFISCL,EQ,6704,5702,85.05
20,36,ARIHANTCRE,EQ,34600,21950,63.44
20,37,ARVINDMILL,EQ,184118,119282,64.79
20,38,ASAHIINDIA,EQ,55,55,100.00
20,39,ASHAPURMIN,EQ,55,55,100.00
20,40,ASHIMASYN,EQ,290,205,70.69
20,41,ASHKLEYFIN,EQ,10710,9709,90.65
20,42,ASHOKLEY,EQ,25529,18506,72.49
20,43,ASIANELEC,EQ,1553,1553,100.00
20,44,ASIANHOTEL,EQ,315,280,88.89
20,45,ASIANPAINT,EQ,12348,9494,76.89
20,46,ASSAMCO,EQ,5300,5125,96.70
20,47,ASSAMFRONT,EQ,360,255,70.83
20,48,ASTRAIDL,EQ,980,930,94.90
20,49,ATCOIND,EQ,5666,4304,75.96
20,50,ATLASCOPCO,EQ,6135,5145,83.86
20,51,ATLASCYCLE,EQ,1480,1455,98.31
20,52,ATULPROD,EQ,2943,2538,86.24
20,53,AUROPHARMA,EQ,8185,4259,52.03
20,54,AUTOAXLES,EQ,25,25,100.00
20,55,AZTEC,EQ,114177,41624,36.46
20,56,BAGYAMETAL,EQ,60,50,83.33
20,57,BAJAJAUTO,EQ,63994,35472,55.43
20,58,BAJAJHIND,EQ,100,100,100.00
20,59,BAJAUTOFIN,EQ,1760,1505,85.51
20,60,BALAJHOTEL,EQ,115,105,91.30
20,61,BALAJIDIST,EQ,206,205,99.51
20,62,BALAJIIND,EQ,3455,3455,100.00
20,63,BALAJITELE,EQ,463672,80036,17.26
20,64,BALMLAWRIE,EQ,45275,27458,60.65
20,65,BALRAMCHIN,EQ,51004,27732,54.37
20,66,BANARISUG,EQ,1916,1916,100.00
20,67,BANKBARODA,EQ,85124,41279,48.49
20,68,BANKINDIA,EQ,604303,366351,60.62
20,69,BANKPUNJAB,EQ,38589,28449,73.72
20,70,BANKRAJAS,EQ,110418,97140,87.97
20,71,BASF,EQ,26740,18649,69.74
20,72,BATAINDIA,EQ,176393,93740,53.14
20,73,BAUSCHLOMB,EQ,70440,52154,74.04
20,74,BAYER,EQ,252,252,100.00
20,75,BEL,EQ,1196581,246563,20.61
20,76,BELCERAMIC,EQ,6700,6700,100.00
20,77,BEML,EQ,579017,142392,24.59
20,78,BERGEPAINT,EQ,1387,987,71.16
20,79,BFLSOFTWAR,EQ,40811,20000,49.01
20,80,BGFL,EQ,25516,16030,62.82
20,81,BHARATFORG,EQ,20146,7907,39.25
20,82,BHARATHOT,EQ,2053,2000,97.42
20,83,BHARTI,EQ,401427,270756,67.45
20,84,BHEL,EQ,1092825,341118,31.21
20,85,BHUSANSTL,EQ,3277,2770,84.53
20,86,BIL,EQ,2998,2998,100.00
20,87,BILT,EQ,34778,25514,73.36
20,88,BIMETBRG,EQ,305,305,100.00
20,89,BINANIZINC,EQ,1880,1405,74.73
20,90,BINDALAGRO,EQ,6583,4883,74.18
20,91,BIOFILCHEM,EQ,500,500,100.00
20,92,BIRLA3M,EQ,596,460,77.18
20,93,BIRLAERIC,EQ,17638,9450,53.58
20,94,BIRLAJUTE,EQ,142317,100110,70.34
20,95,BLBLIMITED,EQ,1050,1050,100.00
20,96,BLOWPLAST,EQ,2745,1975,71.95
20,97,BLUECHIP,EQ,100,100,100.00
20,98,BLUEDART,EQ,9302,6904,74.22
20,99,BLUESTARCO,EQ,8221,8021,97.57
20,100,BLUESTINFO,EQ,42158,15776,37.42
20,101,BOMDYEING,EQ,10316,8970,86.95
20,102,BONGAIREFN,EQ,671431,353645,52.67
20,103,BOOTSPHARM,EQ,1775,1310,73.80
20,104,BPCL,EQ,1161958,279618,24.06
20,105,BPL,EQ,272532,75975,27.88
20,106,BPLENGG,EQ,17099,13599,79.53
20,107,BPLSANTECH,EQ,403,400,99.26
20,108,BPLSANUTIL,EQ,757,357,47.16
20,109,BRITANNIA,EQ,2653,1729,65.17
20,110,BSELINFO,EQ,1300,1300,100.00
20,111,BSES,EQ,129154,124194,96.16
20,112,BSL,EQ,3353,3248,96.87
20,113,BURRWELCOM,EQ,1758,1245,70.82
20,114,CABOTINDIA,EQ,155,155,100.00
20,115,CADBURY,EQ,708,708,100.00
20,116,CADILAHC,EQ,91754,42405,46.22
20,117,CALSOFT,EQ,105,105,100.00
20,118,CANFINHOME,EQ,9154,7729,84.43
20,119,CARBEVFLOW,EQ,915,915,100.00
20,120,CARBORUNIV,EQ,899,699,77.75
20,121,CARRIERAIR,EQ,250,250,100.00
20,122,CASTROL,EQ,9020,6815,75.55
20,123,CEAT,EQ,27191,24618,90.54
20,124,CEATFIN,EQ,503,500,99.40
20,125,CENTENKA,EQ,6768,6488,95.86
20,126,CENTURION,EQ,178917,143031,79.94
20,127,CENTURYTEX,EQ,213213,110200,51.69
20,128,CESC,EQ,20306,17755,87.44
20,129,CGIGARSH,EQ,1815,1715,94.49
20,130,CHAMBLFERT,EQ,72351,46032,63.62
20,131,CHEMPLAST,EQ,5954,5754,96.64
20,132,CHENNPETRO,EQ,731404,270548,36.99
20,133,CHESLINTEX,EQ,790,790,100.00
20,134,CHETNADCEM,EQ,8561,6951,81.19
20,135,CHLORIDIND,EQ,469,428,91.26
20,136,CHOLAINV,EQ,8135,7080,87.03
20,137,CIBASPEC,EQ,7375,6800,92.20
20,138,CIMCOBIRLA,EQ,32,30,93.75
20,139,CINEVISTA,EQ,6569,4970,75.66
20,140,CIPLA,EQ,25842,18054,69.86
20,141,CITICORSEC,EQ,19192,15489,80.71
20,142,CLARIANT,EQ,713,586,82.19
20,143,CMC,EQ,1632733,49186,3.01
20,144,COATESIND,EQ,667,654,98.05
20,145,COATVIYELA,EQ,4396,3710,84.39
20,146,COCHINREFN,EQ,210632,90355,42.90
20,147,COLGATE,EQ,188348,148142,78.65
20,148,COLORCHEM,EQ,82125,54765,66.68
20,149,COMPUDYNE,EQ,359641,117670,32.72
20,150,COMPUTECH,EQ,18400,15480,84.13
20,151,CONCOR,EQ,772656,156035,20.19
20,152,CONSCOFFEE,EQ,1980,1225,61.87
20,153,COREPARENT,EQ,4860,4860,100.00
20,154,COROMNFERT,EQ,1345,1345,100.00
20,155,CORPBANK,EQ,128860,81043,62.89
20,156,COSMOFILMS,EQ,6075,4660,76.71
20,157,CREATIVEYE,EQ,177263,76641,43.24
20,158,CRESTCOMM,EQ,45871,19128,41.70
20,159,CRISIL,EQ,2270,2200,96.92
20,160,CROMPGREAV,EQ,534959,192441,35.97
20,161,CUB,EQ,10609,9759,91.99
20,162,CYBERTECH,EQ,12832,8830,68.81
20,163,D-LINK,EQ,117326,75478,64.33
20,164,DABUR,EQ,57174,40792,71.35
20,165,DALMIACEM,EQ,776,776,100.00
20,166,DCM,EQ,2187,2185,99.91
20,167,DCMDAEWOO,EQ,21735,20035,92.18
20,168,DCMFINSERV,EQ,600,600,100.00
20,169,DCMSRMCONS,EQ,178,178,100.00
20,170,DCW,EQ,87876,79233,90.16
20,171,DECCANCEM,EQ,1855,1855,100.00
20,172,DEEPAKFERT,EQ,14480,13655,94.30
20,173,DENABANK,EQ,25650,19152,74.67
20,174,DHAMPURSUG,EQ,2190,1990,90.87
20,175,DHARSUGAR,EQ,100,100,100.00
20,176,DIGITALEQP,EQ,1165240,59295,5.09
20,177,DRBECK,EQ,650,425,65.38
20,178,DRREDDY,EQ,171960,81035,47.12
20,179,DUNCANSIND,EQ,243,243,100.00
20,180,DYNACONS,EQ,600,600,100.00
20,181,EASUNREYRL,EQ,25,25,100.00
20,182,EICHERLTD,EQ,36931,29150,78.93
20,183,EICHERMOT,EQ,7127,6209,87.12
20,184,EIDERTELE,EQ,1158,1100,94.99
20,185,EIDPARRY,EQ,5825,5136,88.17
20,186,EIHOTEL,EQ,3882,365,9.40
20,187,EIMCOELECO,EQ,200,200,100.00
20,188,ELDERPHARM,EQ,7405,6930,93.59
20,189,ELECTCAST,EQ,5409,4343,80.29
20,190,ELGIEQUIP,EQ,192528,87439,45.42
20,191,ELGITYRE,EQ,42,42,100.00
20,192,EMCOTRANS,EQ,6205,3792,61.11
20,193,EMERCK,EQ,10632,5535,52.06
20,194,ENGINERSIN,EQ,859565,110256,12.83
20,195,ESABINDIA,EQ,11437,8705,76.11
20,196,ESCORTS,EQ,230747,83572,36.22
20,197,ESSARGUJ,EQ,73995,67475,91.19
20,198,ESSAROIL,EQ,48542,41672,85.85
20,199,ESSELPACK,EQ,6567,5492,83.63
20,200,ETERNEVRST,EQ,405,300,74.07
20,201,EUROSOFTAL,EQ,1000,1000,100.00
20,202,EUROTEXIND,EQ,100,100,100.00
20,203,EXCELIND,EQ,2761,2291,82.98
20,204,FACT,EQ,2,1,50.00
20,205,FAGBEARING,EQ,104996,85016,80.97
20,206,FDC,EQ,885,715,80.79
20,207,FEDERALBNK,EQ,314315,96104,30.58
20,208,FINCABLES,EQ,4981,3273,65.71
20,209,FINPIPE,EQ,5257,4928,93.74
20,210,FIRSTLEASE,EQ,710,580,81.69
20,211,FLEX,EQ,9018,8482,94.06
20,212,FLEXCHEM,EQ,355,355,100.00
20,213,FLEXENGG,EQ,105,105,100.00
