Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <26-APR-2002>,Settlement No <2002080>,Settlement Date <02-MAY-2002>
10,MTO,26042002,036536900,0000777
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1100,1100,100.00
20,2,ABANLLOYD,EQ,1945,1675,86.12
20,3,ABB,EQ,29469,7939,26.94
20,4,ABBALPO,EQ,53096,45943,86.53
20,5,ABBOTTLAB,EQ,435,335,77.01
20,6,ABSHEKINDS,EQ,408,301,73.77
20,7,ABSIND,EQ,44309,25120,56.69
20,8,ACC,EQ,653914,308142,47.12
20,9,ADANIEXPO,EQ,111083,17348,15.62
20,10,ADLABSFILM,EQ,79653,42674,53.57
20,11,ADVANIORLI,EQ,1347,1247,92.58
20,12,AEGISCHEM,EQ,1000,950,95.00
20,13,AFTEKINFO,EQ,4803182,417182,8.69
20,14,AGEEGOLD,EQ,564,511,90.60
20,15,AGREVOIND,EQ,55591,30589,55.03
20,16,AGRODUTCH,EQ,16882,12343,73.11
20,17,AHMEDELEC,EQ,1613,1613,100.00
20,18,AHMEDFORGE,EQ,7901,5600,70.88
20,19,AJANTPHARM,EQ,7096,896,12.63
20,20,AKSHOPTFBR,EQ,62100,38078,61.32
20,21,ALEMBICLTD,EQ,3136,2017,64.32
20,22,ALFALAVAL,EQ,1721,1721,100.00
20,23,ALOKTEXT,EQ,36166,27887,77.11
20,24,ALPSINDUS,EQ,600,600,100.00
20,25,AMARAJABAT,EQ,37031,23737,64.10
20,26,AMBUJARAJN,EQ,31140,29883,95.96
20,27,AMITSPIN,EQ,1,0,0.00
20,28,AMTREXAPPL,EQ,3225,2963,91.88
20,29,ANAMALFIN,EQ,400,400,100.00
20,30,ANDHRABANK,EQ,729688,498879,68.37
20,31,ANDHRSUGAR,EQ,100,100,100.00
20,32,ANTGRAPHIC,EQ,2900,2800,96.55
20,33,APCOTEXLAT,EQ,695,686,98.71
20,34,APOLLOHOSP,EQ,304549,104282,34.24
20,35,APOLLOTYRE,EQ,8276,6825,82.47
20,36,ARCHIES,EQ,34042,12320,36.19
20,37,ARHAMFISCL,EQ,193638,118093,60.99
20,38,ARIHANTCRE,EQ,71451,23599,33.03
20,39,ARVINDMILL,EQ,1646125,748066,45.44
20,40,ASAHIINDIA,EQ,825,735,89.09
20,41,ASHAPURMIN,EQ,200,200,100.00
20,42,ASHIMASYN,EQ,2250,2250,100.00
20,43,ASHKLEYFIN,EQ,2985,2850,95.48
20,44,ASHOKLEY,EQ,73244,43446,59.32
20,45,ASIANELEC,EQ,4770,4415,92.56
20,46,ASIANHOTEL,EQ,2404,1828,76.04
20,47,ASIANPAINT,EQ,3488,2604,74.66
20,48,ASSAMCO,EQ,301,300,99.67
20,49,ASSAMFRONT,EQ,1300,1200,92.31
20,50,ASTRAIDL,EQ,820,800,97.56
20,51,ATCOIND,EQ,52997,29889,56.40
20,52,ATLASCOPCO,EQ,3313,3058,92.30
20,53,ATLASCYCLE,EQ,3273,2630,80.35
20,54,ATULPROD,EQ,1183,959,81.07
20,55,AUROPHARMA,EQ,18256,10988,60.19
20,56,AUTOAXLES,EQ,842,664,78.86
20,57,AUTORIDFIN,EQ,1275,1275,100.00
20,58,AZTEC,EQ,850584,252632,29.70
20,59,BAGYAMETAL,EQ,70,70,100.00
20,60,BAJAJAUTO,EQ,8542,4918,57.57
20,61,BAJAUTOFIN,EQ,700,600,85.71
20,62,BALAJIDIST,EQ,4112,3302,80.30
20,63,BALAJIIND,EQ,2118,1615,76.25
20,64,BALAJITELE,EQ,256542,12260,4.78
20,65,BALMLAWRIE,EQ,4594,3953,86.05
20,66,BALRAMCHIN,EQ,5069,4495,88.68
20,67,BANARISUG,EQ,171,171,100.00
20,68,BANKBARODA,EQ,59411,42971,72.33
20,69,BANKINDIA,EQ,212054,150243,70.85
20,70,BANKPUNJAB,EQ,43373,30408,70.11
20,71,BANKRAJAS,EQ,191844,134155,69.93
20,72,BASF,EQ,4692,3630,77.37
20,73,BATAINDIA,EQ,28449,18704,65.75
20,74,BAUSCHLOMB,EQ,29448,24352,82.69
20,75,BAYER,EQ,69,68,98.55
20,76,BEL,EQ,189850,60279,31.75
20,77,BELCERAMIC,EQ,515,515,100.00
20,78,BEML,EQ,117559,46703,39.73
20,79,BERGEPAINT,EQ,2973,2950,99.23
20,80,BFLSOFTWAR,EQ,17530,5166,29.47
20,81,BGFL,EQ,6324,6125,96.85
20,82,BHARATFORG,EQ,144234,64782,44.91
20,83,BHARATGEAR,EQ,204,201,98.53
20,84,BHARATHOT,EQ,657,503,76.56
20,85,BHARATRAS,EQ,102,51,50.00
20,86,BHARTI,EQ,324142,247914,76.48
20,87,BHEL,EQ,351367,180800,51.46
20,88,BHUSANSTL,EQ,3315,2940,88.69
20,89,BIL,EQ,13943,12317,88.34
20,90,BILT,EQ,25429,20647,81.19
20,91,BIMETBRG,EQ,510,510,100.00
20,92,BINANIZINC,EQ,3147,2921,92.82
20,93,BINDALAGRO,EQ,13643,13141,96.32
20,94,BIOFILCHEM,EQ,53327,33600,63.01
20,95,BIRLA3M,EQ,547,431,78.79
20,96,BIRLAERIC,EQ,4782,4332,90.59
20,97,BIRLAJUTE,EQ,25750,22650,87.96
20,98,BLBLIMITED,EQ,591,590,99.83
20,99,BLUECHIP,EQ,6100,1500,24.59
20,100,BLUEDART,EQ,8775,7069,80.56
20,101,BLUESTARCO,EQ,7575,5975,78.88
20,102,BLUESTINFO,EQ,20167,11219,55.63
20,103,BOMDYEING,EQ,16206,12591,77.69
20,104,BONGAIREFN,EQ,57581,48345,83.96
20,105,BOOTSPHARM,EQ,2068,2061,99.66
20,106,BPCL,EQ,502678,128284,25.52
20,107,BPL,EQ,14066,7836,55.71
20,108,BPLENGG,EQ,3150,3050,96.83
20,109,BPLREFRIG,EQ,301,300,99.67
20,110,BPLSANUTIL,EQ,401,401,100.00
20,111,BRITANNIA,EQ,4019,3146,78.28
20,112,BSELINFO,EQ,2001,2000,99.95
20,113,BSES,EQ,22718,19373,85.28
20,114,BSL,EQ,17560,17560,100.00
20,115,BURRWELCOM,EQ,2739,2030,74.11
20,116,CADBURY,EQ,546,546,100.00
20,117,CADILAHC,EQ,20840,17049,81.81
20,118,CALSOFT,EQ,100,100,100.00
20,119,CANFINHOME,EQ,15299,9449,61.76
20,120,CARBEVFLOW,EQ,1052,1046,99.43
20,121,CARBORUNIV,EQ,7740,7606,98.27
20,122,CARRIERAIR,EQ,1360,1210,88.97
20,123,CASTROL,EQ,19573,13638,69.68
20,124,CEAT,EQ,6878,5487,79.78
20,125,CEATFIN,EQ,1000,1000,100.00
20,126,CENTENKA,EQ,16209,9834,60.67
20,127,CENTEXTRU,EQ,3250,3200,98.46
20,128,CENTURION,EQ,125456,110522,88.10
20,129,CENTURYTEX,EQ,159062,56383,35.45
20,130,CESC,EQ,19776,17274,87.35
20,131,CGIGARSH,EQ,41806,33733,80.69
20,132,CHAMBLFERT,EQ,68251,61950,90.77
20,133,CHEMPLAST,EQ,1441,1391,96.53
20,134,CHENNPETRO,EQ,30961,23416,75.63
20,135,CHESLINTEX,EQ,4802,4800,99.96
20,136,CHETNADCEM,EQ,5715,5290,92.56
20,137,CHLORIDIND,EQ,1320,1220,92.42
20,138,CHOLAINV,EQ,12602,11925,94.63
20,139,CIBASPEC,EQ,5014,5014,100.00
20,140,CIMCOBIRLA,EQ,902,700,77.61
20,141,CINEVISTA,EQ,85654,28881,33.72
20,142,CIPLA,EQ,32637,22786,69.82
20,143,CITICORSEC,EQ,19046,10719,56.28
20,144,CLARIANT,EQ,1408,1277,90.70
20,145,CMC,EQ,81932,13258,16.18
20,146,COATESIND,EQ,15962,10416,65.25
20,147,COATVIYELA,EQ,6463,5687,87.99
20,148,COCHINREFN,EQ,24581,16019,65.17
20,149,COLGATE,EQ,27662,18160,65.65
20,150,COLORCHEM,EQ,3859,3647,94.51
20,151,COMPUDYNE,EQ,178739,50113,28.04
20,152,COMPUTECH,EQ,26742,21791,81.49
20,153,CONCOR,EQ,105032,53017,50.48
20,154,CONSCOFFEE,EQ,3264,2864,87.75
20,155,COREPARENT,EQ,5002,5002,100.00
20,156,COROMNFERT,EQ,3114,3079,98.88
20,157,CORPBANK,EQ,22439,11353,50.59
20,158,COSMOFILMS,EQ,220655,66432,30.11
20,159,CREATIVEYE,EQ,31358,18992,60.57
20,160,CRESTCOMM,EQ,119537,40761,34.10
20,161,CRISIL,EQ,15192,10326,67.97
20,162,CROMPGREAV,EQ,139776,73144,52.33
20,163,CUB,EQ,5900,5300,89.83
20,164,CYBERTECH,EQ,24361,13544,55.60
20,165,D-LINK,EQ,212869,116233,54.60
20,166,DABUR,EQ,12175,8621,70.81
20,167,DALALSTCOM,EQ,6500,6500,100.00
20,168,DALMIACEM,EQ,201,201,100.00
20,169,DCM,EQ,604,603,99.83
20,170,DCMDAEWOO,EQ,60233,54566,90.59
20,171,DCMFINSERV,EQ,9026,9026,100.00
20,172,DCMSRMCONS,EQ,543,538,99.08
20,173,DCW,EQ,21970,19768,89.98
20,174,DECCANCEM,EQ,102,100,98.04
20,175,DEEPAKFERT,EQ,10210,8860,86.78
20,176,DENABANK,EQ,71195,59728,83.89
20,177,DGPWINDSOR,EQ,60,60,100.00
20,178,DHAMPURSUG,EQ,527,325,61.67
20,179,DHARSUGAR,EQ,108,106,98.15
20,180,DIGITALEQP,EQ,2925519,140027,4.79
20,181,DRREDDY,EQ,61682,37418,60.66
20,182,DSKULKARNI,EQ,300,300,100.00
20,183,DUNCANSIND,EQ,1052,700,66.54
20,184,DYNACONS,EQ,2558,1505,58.84
20,185,EASTSILK,EQ,200,200,100.00
20,186,EASUNREYRL,EQ,10,5,50.00
20,187,EICHERLTD,EQ,2701,2599,96.22
20,188,EICHERMOT,EQ,29483,24702,83.78
20,189,EIDERTELE,EQ,256,251,98.05
20,190,EIDPARRY,EQ,38953,29845,76.62
20,191,EIHOTEL,EQ,569,449,78.91
20,192,EIMCOELECO,EQ,150,100,66.67
20,193,ELDERPHARM,EQ,3235,2910,89.95
20,194,ELECTCAST,EQ,8937,7090,79.33
20,195,ELGIEQUIP,EQ,16275,12850,78.96
20,196,EMCOTRANS,EQ,5161,4687,90.82
20,197,EMERCK,EQ,5993,4731,78.94
20,198,ENGINERSIN,EQ,44874,15537,34.62
20,199,ESABINDIA,EQ,9642,5990,62.12
20,200,ESCORTS,EQ,65896,52702,79.98
20,201,ESSARGUJ,EQ,236945,146808,61.96
20,202,ESSAROIL,EQ,69903,61945,88.62
20,203,ESSELPACK,EQ,14142,6679,47.23
20,204,EUROSOFTAL,EQ,701,700,99.86
20,205,EUROTEXIND,EQ,797,548,68.76
20,206,EXCELIND,EQ,3305,2955,89.41
20,207,FACT,EQ,710,510,71.83
20,208,FAGBEARING,EQ,7439,6689,89.92
20,209,FDC,EQ,766,547,71.41
20,210,FEDERALBNK,EQ,239087,92932,38.87
20,211,FINCABLES,EQ,7980,6771,84.85
20,212,FINPIPE,EQ,20836,18385,88.24
20,213,FIRSTLEASE,EQ,1200,1200,100.00
20,214,FLEX,EQ,137687,87183,63.32
20,215,FLEXCHEM,EQ,833,833,100.00
20,216,FLEXENGG,EQ,22,11,50.00
20,217,FLOATGLASS,EQ,86665,78700,90.81
20,218,FORBESGOK,EQ,263,203,77.19
20,219,FOSECOIND,EQ,170,170,100.00
20,220,FUJITSICIM,EQ,275641,36453,13.22
20,221,FULFORD,EQ,11037,7732,70.06
20,222,GAEL,EQ,1153,1148,99.57
20,223,GAIL,EQ,123723,77173,62.38
20,224,GAMMONIND,EQ,7258,7158,98.62
20,225,GARDENSILK,EQ,37677,30698,81.48
20,226,GARWALLROP,EQ,2610,2610,100.00
20,227,GECALSTHOM,EQ,2545,2335,91.75
20,228,GEOMETRIC,EQ,1978007,98211,4.97
20,229,GEORGWILIM,EQ,1200,950,79.17
20,230,GERMANREM,EQ,6878,6198,90.11
20,231,GESCOCORP,EQ,579,437,75.47
20,232,GESHIPPING,EQ,93191,59398,63.74
20,233,GHCL,EQ,42603,35423,83.15
20,234,GICHSGFIN,EQ,10550,8701,82.47
20,235,GINNIFILA,EQ,1325,1125,84.91
20,236,GIPCL,EQ,36803,28509,77.46
20,237,GKW,EQ,6908,6908,100.00
20,238,GLAXO,EQ,111395,71016,63.75
20,239,GLENMARK,EQ,5581,3740,67.01
20,240,GLFL,EQ,9598,8609,89.70
20,241,GLOBALTELE,EQ,5924629,609458,10.29
20,242,GLOBLTRUST,EQ,251491,168090,66.84
20,243,GMBREW,EQ,200,100,50.00
20,244,GMDCLTD,EQ,18412,13391,72.73
20,245,GMRVASAVI,EQ,904,601,66.48
20,246,GNFC,EQ,89307,78577,87.99
20,247,GODAVRFERT,EQ,1200,1200,100.00
20,248,GODFRYPHLP,EQ,190,170,89.47
20,249,GODREJCP,EQ,18866,17890,94.83
20,250,GODREJINDS,EQ,33320,30490,91.51
20,251,GOETZEIND,EQ,2345,2245,95.74
20,252,GOLDTECH,EQ,201035,70077,34.86
20,253,GOLDTELE,EQ,27986,22195,79.31
20,254,GOODLASNER,EQ,15376,13843,90.03
20,255,GOODRICKE,EQ,650,595,91.54
20,256,GOODYEAR,EQ,334,324,97.01
20,257,GPELECT,EQ,301,300,99.67
20,258,GRAPHIT,EQ,277,276,99.64
20,259,GRASIM,EQ,15582,11865,76.15
20,260,GREAVES,EQ,3454,2395,69.34
20,261,GSFC,EQ,20222,18319,90.59
20,262,GTCIND,EQ,1341,1050,78.30
20,263,GTNTEXT,EQ,205,204,99.51
20,264,GUJALKALI,EQ,2853,2339,81.98
20,265,GUJAMBCEM,EQ,199726,142360,71.28
20,266,GUJFLUORO,EQ,5769,5754,99.74
20,267,GUJRATGAS,EQ,43215,18260,42.25
20,268,GUJSIDHCEM,EQ,1700,1700,100.00
20,269,GULFOIL,EQ,850,749,88.12
20,270,HARRMALAYA,EQ,1622,1620,99.88
20,271,HAVELLS,EQ,2045,35,1.71
20,272,HBSTOCK,EQ,802,450,56.11
20,273,HCL-INSYS,EQ,174893,50250,28.73
20,274,HCLTECH,EQ,989624,142506,14.40
20,275,HDFC,EQ,8563,5020,58.62
20,276,HDFCBANK,EQ,76480,69495,90.87
20,277,HEG,EQ,3200,3200,100.00
20,278,HERITGFOOD,EQ,3682,3321,90.20
20,279,HEROHONDA,EQ,141651,69938,49.37
20,280,HIKAL,EQ,536,535,99.81
20,281,HIMACHLFUT,EQ,2380474,351758,14.78
20,282,HIMATSEIDE,EQ,2810,2810,100.00
20,283,HINDALC0,EQ,8769,7102,80.99
20,284,HINDCONS,EQ,7292,4934,67.66
20,285,HINDDORROL,EQ,303,200,66.01
20,286,HINDINKS,EQ,4118,3761,91.33
20,287,HINDLEVCHM,EQ,3223,2384,73.97
20,288,HINDLEVER,EQ,598612,424536,70.92
20,289,HINDMOTOR,EQ,61263,55975,91.37
20,290,HINDOILEXP,EQ,74150,60834,82.04
20,291,HINDPETRO,EQ,651143,136496,20.96
20,292,HINDSANIT,EQ,900,875,97.22
20,293,HINDSYNTEX,EQ,1804,1800,99.78
20,294,HINDUJAFIN,EQ,713164,72103,10.11
20,295,HINDZINC,EQ,1038901,1024451,98.61
20,296,HINPOWPLUS,EQ,3454,3179,92.04
20,297,HITECDRIL,EQ,2005,1445,72.07
20,298,HMT,EQ,6638,5137,77.39
20,299,HOCL,EQ,61539,47714,77.53
20,300,HOECHST,EQ,8248,7297,88.47
20,301,HOTELEELA,EQ,18896,12802,67.75
20,302,HUGHESSOFT,EQ,225284,62017,27.53
20,303,HUGHESTELE,EQ,607038,384087,63.27
20,304,HYDRBADIND,EQ,201,100,49.75
20,305,IBP,EQ,5927,5342,90.13
20,306,ICI,EQ,3447,2634,76.41
20,307,ICICI,EQ,324149,142978,44.11
20,308,ICICIBANK,EQ,145123,75005,51.68
20,309,IDBI,EQ,93991,82068,87.31
20,310,IDBIBANK,EQ,92600,60696,65.55
20,311,IFBIND,EQ,12450,12100,97.19
20,312,IFCI,EQ,163788,107177,65.44
20,313,IFCI,N2,2,2,100.00
20,314,INDAL,EQ,4038,3160,78.26
20,315,INDGYPSUM,EQ,1062,956,90.02
20,316,INDHOTEL,EQ,13655,12047,88.22
20,317,INDIACEM,EQ,101613,54440,53.58
20,318,INDIAFOILS,EQ,3396,3396,100.00
20,319,INDIAGLYCO,EQ,11525,9274,80.47
20,320,INDIANCARD,EQ,100,100,100.00
20,321,INDNIPPON,EQ,1027,1027,100.00
20,322,INDOGULF,EQ,916062,576701,62.95
20,323,INDORAMSYN,EQ,1637404,884526,54.02
20,324,INDRAMEDCO,EQ,30825,30550,99.11
20,325,INDRAYON,EQ,41449,23858,57.56
20,326,INDSHAVING,EQ,2266,1916,84.55
20,327,INDSWFTLAB,EQ,1653,1500,90.74
20,328,INDUJENERT,EQ,27222,26690,98.05
20,329,INDUSINDBK,EQ,13150,12950,98.48
20,330,INFOSYSTCH,EQ,249415,34628,13.88
20,331,INFOTECENT,EQ,129591,21020,16.22
20,332,INGERRAND,EQ,5170,3580,69.25
20,333,INSILCO,EQ,19201,17740,92.39
20,334,INTLTRAVHS,EQ,1094,638,58.32
20,335,INVELTRANS,EQ,500,500,100.00
20,336,INVESTCORP,EQ,3084,2140,69.39
20,337,IOB,EQ,189514,165158,87.15
20,338,IOC,EQ,39968,17379,43.48
20,339,IOL,EQ,10121,8719,86.15
20,340,IONEXCHANG,EQ,4580,4333,94.61
20,341,IPCALAB,EQ,6089,4292,70.49
20,342,IPCL,EQ,2482030,1070625,43.14
20,343,IPITATASPO,EQ,18221,18096,99.31
20,344,ISPATPROF,EQ,10501,10500,99.99
