Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <03-MAY-2002>,Settlement No <2002084>,Settlement Date <08-MAY-2002>
10,MTO,03052002,042426459,0000781
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,2554,2050,80.27
20,2,ABANLLOYD,EQ,33427,24718,73.95
20,3,ABB,EQ,23844,9312,39.05
20,4,ABBALPO,EQ,26147,22494,86.03
20,5,ABBOTTLAB,EQ,433,311,71.82
20,6,ABSHEKINDS,EQ,1701,1398,82.19
20,7,ABSIND,EQ,6497,5528,85.09
20,8,ACC,EQ,843400,459724,54.51
20,9,ADANIEXPO,EQ,78281,8152,10.41
20,10,ADLABSFILM,EQ,528863,135833,25.68
20,11,ADVANIORLI,EQ,2521,1841,73.03
20,12,AEGISCHEM,EQ,1050,850,80.95
20,13,AFTEKINFO,EQ,2537381,191609,7.55
20,14,AGEEGOLD,EQ,5232,2055,39.28
20,15,AGREVOIND,EQ,9644,6731,69.79
20,16,AGRODUTCH,EQ,7808,4108,52.61
20,17,AHMEDELEC,EQ,2928,2628,89.75
20,18,AHMEDFORGE,EQ,10002,9600,95.98
20,19,AJANTPHARM,EQ,9726,5575,57.32
20,20,AKSHOPTFBR,EQ,57265,44094,77.00
20,21,ALEMBICLTD,EQ,6465,2865,44.32
20,22,ALFALAVAL,EQ,1272,939,73.82
20,23,ALOKTEXT,EQ,241791,160038,66.19
20,24,ALPSINDUS,EQ,637,506,79.43
20,25,AMARAJABAT,EQ,20810,12488,60.01
20,26,AMBUJARAJN,EQ,8951,8944,99.92
20,27,AMITSPIN,EQ,100,100,100.00
20,28,AMTREXAPPL,EQ,3351,3226,96.27
20,29,ANDHRABANK,EQ,178363,130990,73.44
20,30,ANDHRSUGAR,EQ,1135,900,79.30
20,31,ANTGRAPHIC,EQ,3001,3000,99.97
20,32,APCOTEXLAT,EQ,6412,5146,80.26
20,33,APOLLOHOSP,EQ,275875,114443,41.48
20,34,APOLLOTYRE,EQ,105972,52082,49.15
20,35,ARCHIES,EQ,16777,4730,28.19
20,36,ARHAMFISCL,EQ,15071,11720,77.77
20,37,ARIHANTCRE,EQ,98752,52351,53.01
20,38,ARVINDMILL,EQ,737983,429256,58.17
20,39,ASAHIINDIA,EQ,1021,870,85.21
20,40,ASHAPURMIN,EQ,300,300,100.00
20,41,ASHIMASYN,EQ,2207,2207,100.00
20,42,ASHKLEYFIN,EQ,52917,37753,71.34
20,43,ASHOKLEY,EQ,264550,164323,62.11
20,44,ASIANELEC,EQ,7000,7000,100.00
20,45,ASIANHOTEL,EQ,1083,894,82.55
20,46,ASIANPAINT,EQ,1507,860,57.07
20,47,ASSAMCO,EQ,520,390,75.00
20,48,ASSAMFRONT,EQ,466,413,88.63
20,49,ASTRAIDL,EQ,95,95,100.00
20,50,ATCOIND,EQ,564553,218686,38.74
20,51,ATLASCOPCO,EQ,5737,5456,95.10
20,52,ATLASCYCLE,EQ,3003,2222,73.99
20,53,ATULPROD,EQ,5275,3698,70.10
20,54,AUROPHARMA,EQ,9712,6925,71.30
20,55,AUTOAXLES,EQ,3469,3019,87.03
20,56,AZTEC,EQ,418298,148753,35.56
20,57,BAGYAMETAL,EQ,4873,4283,87.89
20,58,BAJAJAUTO,EQ,15993,12899,80.65
20,59,BAJAJHIND,EQ,75,75,100.00
20,60,BAJAUTOFIN,EQ,30491,19118,62.70
20,61,BALAJIDIST,EQ,22268,1913,8.59
20,62,BALAJIIND,EQ,3499,3399,97.14
20,63,BALAJITELE,EQ,516048,91822,17.79
20,64,BALMLAWRIE,EQ,8484,8160,96.18
20,65,BALRAMCHIN,EQ,1733,1270,73.28
20,66,BANARISUG,EQ,269,267,99.26
20,67,BANKBARODA,EQ,26492,18106,68.35
20,68,BANKINDIA,EQ,121957,86292,70.76
20,69,BANKPUNJAB,EQ,19105,17830,93.33
20,70,BANKRAJAS,EQ,69421,56297,81.10
20,71,BASF,EQ,6036,5356,88.73
20,72,BATAINDIA,EQ,53152,33124,62.32
20,73,BAUSCHLOMB,EQ,808798,493797,61.05
20,74,BAYER,EQ,49,39,79.59
20,75,BBTC,EQ,100,100,100.00
20,76,BEL,EQ,1787607,244384,13.67
20,77,BELCERAMIC,EQ,700,700,100.00
20,78,BEML,EQ,1096090,405418,36.99
20,79,BERGEPAINT,EQ,1176,1126,95.75
20,80,BFLSOFTWAR,EQ,39317,14202,36.12
20,81,BGFL,EQ,15263,13305,87.17
20,82,BHARATFORG,EQ,60043,39408,65.63
20,83,BHARATGEAR,EQ,300,300,100.00
20,84,BHARATHOT,EQ,3844,3594,93.50
20,85,BHARATRAS,EQ,1000,900,90.00
20,86,BHARTI,EQ,418258,304124,72.71
20,87,BHEL,EQ,682971,311060,45.55
