Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <30-MAY-2002>,Settlement No <2002103>,Settlement Date <04-JUN-2002>
10,MTO,30052002,050661515,0000754
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,350,300,85.71
20,2,ABANLLOYD,EQ,10167,6027,59.28
20,3,ABB,EQ,2231,1252,56.12
20,4,ABBALPO,EQ,34138,25760,75.46
20,5,ABBOTTLAB,EQ,170,160,94.12
20,6,ABSHEKINDS,EQ,21790,15792,72.47
20,7,ABSIND,EQ,2005,2001,99.80
20,8,ACC,EQ,768220,503292,65.51
20,9,ADANIEXPO,EQ,64637,2221,3.44
20,10,ADLABSFILM,EQ,772983,163878,21.20
20,11,ADVANIORLI,EQ,3967,3317,83.61
20,12,AEGISCHEM,EQ,316,316,100.00
20,13,AFTEKINFO,EQ,2415219,110647,4.58
20,14,AGEEGOLD,EQ,20,20,100.00
20,15,AGREVOIND,EQ,3531,3200,90.63
20,16,AGRODUTCH,EQ,3885,3285,84.56
20,17,AHMEDELEC,EQ,4420,3765,85.18
20,18,AHMEDFORGE,EQ,2170,2060,94.93
20,19,AJANTPHARM,EQ,6301,1116,17.71
20,20,AKSHOPTFBR,EQ,22142,14895,67.27
20,21,ALEMBICLTD,EQ,3480,2350,67.53
20,22,ALFALAVAL,EQ,621,537,86.47
20,23,ALOKTEXT,EQ,42351,35200,83.11
20,24,ALPSINDUS,EQ,10250,10250,100.00
20,25,AMARAJABAT,EQ,8524,6373,74.77
20,26,AMBUJARAJN,EQ,11687,11587,99.14
20,27,AMITSPIN,EQ,10,10,100.00
20,28,AMTREXAPPL,EQ,1606,1606,100.00
20,29,ANAMALFIN,EQ,200,200,100.00
20,30,ANDHRABANK,EQ,196647,147560,75.04
20,31,ANDHRSUGAR,EQ,510,510,100.00
20,32,ANTGRAPHIC,EQ,4200,4200,100.00
20,33,APCOTEXLAT,EQ,657,657,100.00
20,34,APOLLOHOSP,EQ,195210,102132,52.32
20,35,APOLLOTYRE,EQ,21081,12378,58.72
20,36,ARCHIES,EQ,15837,6581,41.55
20,37,ARHAMFISCL,EQ,7050,5650,80.14
20,38,ARIHANTCRE,EQ,67850,22350,32.94
20,39,ARVINDMILL,EQ,174130,113619,65.25
20,40,ASAHIINDIA,EQ,10,10,100.00
20,41,ASHAPURMIN,EQ,200,200,100.00
20,42,ASHKLEYFIN,EQ,15600,13594,87.14
20,43,ASHOKLEY,EQ,138731,83752,60.37
20,44,ASIANELEC,EQ,2650,2171,81.92
20,45,ASIANHOTEL,EQ,269,215,79.93
20,46,ASIANPAINT,EQ,23961,19140,79.88
20,47,ASSAMCO,EQ,542,540,99.63
20,48,ASSAMFRONT,EQ,1158,1078,93.09
20,49,ASTRAIDL,EQ,1210,630,52.07
20,50,ATCOIND,EQ,126667,69353,54.75
20,51,ATLASCOPCO,EQ,3439,3338,97.06
20,52,ATLASCYCLE,EQ,1039,939,90.38
20,53,ATULPROD,EQ,8131,8131,100.00
20,54,AUROPHARMA,EQ,8748,7332,83.81
20,55,AUTOAXLES,EQ,610,600,98.36
20,56,AZTEC,EQ,141224,47012,33.29
20,57,BAGYAMETAL,EQ,1025,1025,100.00
20,58,BAJAJAUTO,EQ,69468,51248,73.77
20,59,BAJAUTOFIN,EQ,1990,1890,94.97
20,60,BALAJIDIST,EQ,19195,17095,89.06
20,61,BALAJIIND,EQ,38387,32685,85.15
20,62,BALAJITELE,EQ,199217,12888,6.47
20,63,BALMLAWRIE,EQ,334488,96095,28.73
20,64,BALRAMCHIN,EQ,16875,16450,97.48
20,65,BANARISUG,EQ,116,116,100.00
20,66,BANKBARODA,EQ,18867,12958,68.68
20,67,BANKINDIA,EQ,178310,123270,69.13
20,68,BANKPUNJAB,EQ,51830,43820,84.55
20,69,BANKRAJAS,EQ,25934,23134,89.20
20,70,BASF,EQ,2570,1524,59.30
20,71,BATAINDIA,EQ,74111,60161,81.18
20,72,BAUSCHLOMB,EQ,275067,129116,46.94
20,73,BAYER,EQ,75,68,90.67
20,74,BEL,EQ,1181599,175111,14.82
20,75,BELCERAMIC,EQ,35902,27449,76.46
20,76,BEML,EQ,3918346,477454,12.19
20,77,BERGEPAINT,EQ,332,273,82.23
20,78,BFLSOFTWAR,EQ,47383,22364,47.20
20,79,BGFL,EQ,4350,3802,87.40
20,80,BHARATFORG,EQ,40788,27550,67.54
20,81,BHARATGEAR,EQ,75,50,66.67
20,82,BHARATHOT,EQ,1433,1433,100.00
20,83,BHARTI,EQ,268915,212756,79.12
20,84,BHEL,EQ,1101388,321236,29.17
20,85,BHUSANSTL,EQ,23690,14813,62.53
20,86,BIL,EQ,2575,1200,46.60
20,87,BILT,EQ,61722,48642,78.81
20,88,BIMETBRG,EQ,75,75,100.00
20,89,BINANIZINC,EQ,642,591,92.06
20,90,BINDALAGRO,EQ,74981,43348,57.81
20,91,BIOFILCHEM,EQ,1600,1600,100.00
20,92,BIRLA3M,EQ,137,135,98.54
20,93,BIRLAERIC,EQ,11976,10725,89.55
20,94,BIRLAJUTE,EQ,189287,127150,67.17
20,95,BLBLIMITED,EQ,300,300,100.00
20,96,BLUECHIP,EQ,4901,701,14.30
20,97,BLUEDART,EQ,46632,23402,50.18
20,98,BLUESTARCO,EQ,5833,5033,86.28
20,99,BLUESTINFO,EQ,16896,5126,30.34
20,100,BOMDYEING,EQ,14131,10088,71.39
20,101,BONGAIREFN,EQ,1828447,639864,34.99
20,102,BOOTSPHARM,EQ,662,662,100.00
20,103,BPCL,EQ,1704472,586204,34.39
20,104,BPL,EQ,11107,7680,69.15
20,105,BPLENGG,EQ,3705,3605,97.30
20,106,BPLREFRIG,EQ,800,600,75.00
20,107,BPLSANTECH,EQ,100,100,100.00
20,108,BRITANNIA,EQ,1276,1204,94.36
20,109,BSES,EQ,81868,68738,83.96
20,110,BSL,EQ,4381,3956,90.30
20,111,BURRWELCOM,EQ,2152,1875,87.13
20,112,CADBURY,EQ,1109,1109,100.00
20,113,CADILAHC,EQ,19545,17600,90.05
20,114,CALSOFT,EQ,100,100,100.00
20,115,CANFINHOME,EQ,2125,2125,100.00
20,116,CARBEVFLOW,EQ,1400,1400,100.00
20,117,CARBORUNIV,EQ,1174,1044,88.93
20,118,CARRIERAIR,EQ,5669,4768,84.11
20,119,CASTROL,EQ,18246,16647,91.24
20,120,CEAT,EQ,12435,11292,90.81
20,121,CENTENKA,EQ,59246,44305,74.78
20,122,CENTEXTRU,EQ,1302,1300,99.85
20,123,CENTURION,EQ,188892,135375,71.67
20,124,CENTURYTEX,EQ,180003,114892,63.83
20,125,CESC,EQ,69856,64828,92.80
20,126,CGIGARSH,EQ,600,500,83.33
20,127,CHAMBLFERT,EQ,375752,295049,78.52
20,128,CHEMPLAST,EQ,1474,844,57.26
20,129,CHENNPETRO,EQ,51191,27536,53.79
20,130,CHETNADCEM,EQ,3975,3175,79.87
20,131,CHLORIDIND,EQ,4329,3836,88.61
20,132,CHOLAINV,EQ,83734,65584,78.32
20,133,CIBASPEC,EQ,7752,7752,100.00
20,134,CIMCOBIRLA,EQ,7285,6984,95.87
