Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <18-JUN-2002>,Settlement No <2002116>,Settlement Date <21-JUN-2002>
10,MTO,18062002,081659960,0000805
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1236,1036,83.82
20,2,ABANLLOYD,EQ,63370,40574,64.03
20,3,ABB,EQ,3080,1716,55.71
20,4,ABBALPO,EQ,101715,81871,80.49
20,5,ABBOTTLAB,EQ,200,165,82.50
20,6,ABSHEKINDS,EQ,8143,7343,90.18
20,7,ABSIND,EQ,16692,15403,92.28
20,8,ACC,EQ,510049,226247,44.36
20,9,ADANIEXPO,EQ,82156,9208,11.21
20,10,ADLABSFILM,EQ,387725,142846,36.84
20,11,ADVANIORLI,EQ,14664,10187,69.47
20,12,AEGISCHEM,EQ,23150,18552,80.14
20,13,AFTEKINFO,EQ,1995942,158975,7.96
20,14,AGEEGOLD,EQ,759,720,94.86
20,15,AGREVOIND,EQ,52669,48061,91.25
20,16,AGRODUTCH,EQ,324741,198937,61.26
20,17,AHMEDELEC,EQ,730,510,69.86
20,18,AHMEDFORGE,EQ,11010,10710,97.28
20,19,AJANTPHARM,EQ,6730,2210,32.84
20,20,AKSHOPTFBR,EQ,32628,27100,83.06
20,21,ALEMBICLTD,EQ,3453,2380,68.93
20,22,ALFALAVAL,EQ,1786,1486,83.20
20,23,ALOKTEXT,EQ,514781,313884,60.97
20,24,ALPSINDUS,EQ,1215,1115,91.77
20,25,AMARAJABAT,EQ,419466,153405,36.57
20,26,AMBUJARAJN,EQ,228384,200878,87.96
20,27,AMITSPIN,EQ,6100,5800,95.08
20,28,AMTREXAPPL,EQ,11494,10394,90.43
20,29,ANAMALFIN,EQ,1350,1350,100.00
20,30,ANDHRABANK,EQ,1018583,723898,71.07
20,31,ANDHRSUGAR,EQ,24589,15709,63.89
20,32,ANTGRAPHIC,EQ,14653,13551,92.48
20,33,APCOTEXLAT,EQ,1391,1295,93.10
20,34,APOLLOHOSP,EQ,477037,202837,42.52
20,35,APOLLOTYRE,EQ,409377,53188,12.99
20,36,ARCHIES,EQ,23165,10187,43.98
20,37,ARHAMFISCL,EQ,21723,17700,81.48
20,38,ARIHANTCRE,EQ,113020,77090,68.21
20,39,ARIHANTRED,EQ,651,551,84.64
20,40,ARVINDMILL,EQ,1184575,553201,46.70
20,41,ASHAPURMIN,EQ,146,146,100.00
20,42,ASHIMASYN,EQ,11171,8737,78.21
20,43,ASHKLEYFIN,EQ,15377,14183,92.24
20,44,ASHOKLEY,EQ,106470,54953,51.61
20,45,ASIANELEC,EQ,46200,28582,61.87
20,46,ASIANHOTEL,EQ,1610,1210,75.16
20,47,ASIANPAINT,EQ,6893,6004,87.10
20,48,ASSAMCO,EQ,28045,22456,80.07
20,49,ASSAMFRONT,EQ,7247,5376,74.18
20,50,ASTRAIDL,EQ,410,350,85.37
