Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <27-JUN-2002>,Settlement No <2002123>,Settlement Date <02-JUL-2002>
10,MTO,27062002,047940208,0000783
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,825,825,100.00
20,2,ABANLLOYD,EQ,42054,32548,77.40
20,3,ABB,EQ,4217,2911,69.03
20,4,ABBALPO,EQ,107907,51194,47.44
20,5,ABBOTTLAB,EQ,319,319,100.00
20,6,ABSHEKINDS,EQ,6119,5819,95.10
20,7,ABSIND,EQ,1177,1152,97.88
20,8,ACC,EQ,1059457,679953,64.18
20,9,ADANIEXPO,EQ,73152,1538,2.10
20,10,ADLABSFILM,EQ,68427,20199,29.52
20,11,ADVANIORLI,EQ,3570,3302,92.49
20,12,AEGISCHEM,EQ,1853,1851,99.89
20,13,AFTEKINFO,EQ,1455917,70165,4.82
20,14,AGEEGOLD,EQ,3491,2699,77.31
20,15,AGREVOIND,EQ,33577,21303,63.45
20,16,AGRODUTCH,EQ,58503,33800,57.77
20,17,AHMEDELEC,EQ,290,270,93.10
20,18,AHMEDFORGE,EQ,21369,18256,85.43
20,19,AJANTPHARM,EQ,332,330,99.40
20,20,AKSHOPTFBR,EQ,9387,7412,78.96
20,21,ALEMBICLTD,EQ,19977,14916,74.67
20,22,ALFALAVAL,EQ,340,340,100.00
20,23,ALOKTEXT,EQ,77050,47110,61.14
20,24,ALPSINDUS,EQ,255,255,100.00
20,25,AMARAJABAT,EQ,91748,47235,51.48
20,26,AMBUJARAJN,EQ,40359,34709,86.00
20,27,AMITSPIN,EQ,1408,1407,99.93
20,28,AMTREXAPPL,EQ,3408,3308,97.07
20,29,ANAMALFIN,EQ,500,500,100.00
20,30,ANDHRABANK,EQ,497271,330939,66.55
20,31,ANDHRSUGAR,EQ,1000,1000,100.00
20,32,ANTGRAPHIC,EQ,16899,14201,84.03
20,33,APCOTEXLAT,EQ,3682,3582,97.28
20,34,APOLLOHOSP,EQ,105718,74664,70.63
20,35,APOLLOTYRE,EQ,591022,137522,23.27
20,36,ARCHIES,EQ,3067,2333,76.07
20,37,ARHAMFISCL,EQ,17857,13645,76.41
20,38,ARIHANTCRE,EQ,90285,55030,60.95
20,39,ARVINDMILL,EQ,638646,430961,67.48
20,40,ASAHIINDIA,EQ,2,1,50.00
20,41,ASHAPURMIN,EQ,100,50,50.00
20,42,ASHIMASYN,EQ,2246,2145,95.50
20,43,ASHKLEYFIN,EQ,37763,29670,78.57
20,44,ASHOKLEY,EQ,1209964,486298,40.19
20,45,ASIANELEC,EQ,5603,5151,91.93
20,46,ASIANHOTEL,EQ,200,200,100.00
20,47,ASIANPAINT,EQ,2131,1362,63.91
20,48,ASSAMCO,EQ,128681,38713,30.08
20,49,ASSAMFRONT,EQ,7070,5137,72.66
20,50,ASTRAIDL,EQ,152,100,65.79
20,51,ATCOIND,EQ,93434,49875,53.38
20,52,ATLASCOPCO,EQ,4598,3336,72.55
20,53,ATLASCYCLE,EQ,2936,2052,69.89
20,54,ATULPROD,EQ,23978,15020,62.64
20,55,AUROPHARMA,EQ,9818,6866,69.93
20,56,AUTOAXLES,EQ,598,598,100.00
20,57,AUTORIDFIN,EQ,1600,1600,100.00
20,58,AZTEC,EQ,37242,18986,50.98
20,59,BAGYAMETAL,EQ,100,100,100.00
20,60,BAJAJAUTO,EQ,43370,29711,68.51
20,61,BAJAJHIND,EQ,1054,1051,99.72
20,62,BAJAUTOFIN,EQ,1320,1265,95.83
20,63,BALAJIDIST,EQ,92295,61483,66.62
20,64,BALAJIIND,EQ,379837,314028,82.67
20,65,BALAJITELE,EQ,48607,5981,12.30
20,66,BALMLAWRIE,EQ,159105,68207,42.87
20,67,BALRAMCHIN,EQ,6107,6057,99.18
20,68,BANARISUG,EQ,1315,1296,98.56
20,69,BANKBARODA,EQ,160827,126402,78.60
20,70,BANKINDIA,EQ,195549,126552,64.72
20,71,BANKPUNJAB,EQ,39304,35954,91.48
20,72,BANKRAJAS,EQ,218889,141933,64.84
20,73,BASF,EQ,15352,7385,48.10
20,74,BATAINDIA,EQ,56006,26592,47.48
20,75,BAUSCHLOMB,EQ,228299,73521,32.20
20,76,BAYER,EQ,100,100,100.00
20,77,BBTC,EQ,11419,11184,97.94
20,78,BEL,EQ,279671,41461,14.82
20,79,BELCERAMIC,EQ,19130,17130,89.55
20,80,BEML,EQ,883390,281096,31.82
20,81,BERGEPAINT,EQ,2225,2100,94.38
20,82,BFLSOFTWAR,EQ,2493,1517,60.85
20,83,BGFL,EQ,20270,15488,76.41
20,84,BHARATFORG,EQ,103730,85024,81.97
20,85,BHARATGEAR,EQ,564,502,89.01
20,86,BHARATHOT,EQ,694,689,99.28
20,87,BHARATRAS,EQ,210,205,97.62
20,88,BHARTI,EQ,117921,86635,73.47
20,89,BHEL,EQ,442573,309237,69.87
20,90,BHUSANSTL,EQ,46127,31985,69.34
20,91,BIL,EQ,1001,900,89.91
20,92,BILT,EQ,801037,502776,62.77
20,93,BIMETBRG,EQ,68,68,100.00
20,94,BINANIZINC,EQ,6762,6112,90.39
20,95,BINDALAGRO,EQ,19479,16765,86.07
20,96,BIRLA3M,EQ,776,710,91.49
20,97,BIRLAERIC,EQ,13092,11371,86.85
20,98,BIRLAJUTE,EQ,23371,17732,75.87
20,99,BLBLIMITED,EQ,14025,12256,87.39
20,100,BLUECHIP,EQ,5950,4050,68.07
20,101,BLUEDART,EQ,3215,2655,82.58
20,102,BLUESTARCO,EQ,21336,18680,87.55
20,103,BLUESTINFO,EQ,6724,5264,78.29
20,104,BOMDYEING,EQ,91666,43561,47.52
20,105,BONGAIREFN,EQ,357283,168526,47.17
20,106,BOOTSPHARM,EQ,400,400,100.00
20,107,BPCL,EQ,1149572,354260,30.82
20,108,BPL,EQ,129924,51083,39.32
20,109,BPLENGG,EQ,45559,34419,75.55
20,110,BPLREFRIG,EQ,11410,10400,91.15
20,111,BPLSANTECH,EQ,4100,4100,100.00
20,112,BPLSANUTIL,EQ,7680,5700,74.22
20,113,BRITANNIA,EQ,2494,1892,75.86
20,114,BSELINFO,EQ,640,640,100.00
20,115,BSES,EQ,109328,90032,82.35
20,116,BSL,EQ,4500,3525,78.33
20,117,BURRWELCOM,EQ,1728,1568,90.74
20,118,CADBURY,EQ,546,546,100.00
20,119,CADILAHC,EQ,9141,5112,55.92
20,120,CALSOFT,EQ,200,200,100.00
20,121,CANFINHOME,EQ,4232,3772,89.13
20,122,CARBEVFLOW,EQ,12249,12149,99.18
20,123,CARBORUNIV,EQ,13258,8790,66.30
20,124,CARRIERAIR,EQ,2550,2205,86.47
20,125,CASTROL,EQ,21118,18125,85.83
20,126,CEAT,EQ,155998,61159,39.20
20,127,CEATFIN,EQ,2307,2254,97.70
20,128,CENTENKA,EQ,67132,33819,50.38
20,129,CENTEXTRU,EQ,600,600,100.00
20,130,CENTURION,EQ,158563,110622,69.77
20,131,CENTURYTEX,EQ,326035,81181,24.90
20,132,CESC,EQ,22462,19634,87.41
20,133,CGIGARSH,EQ,5068,4492,88.63
20,134,CHAMBLFERT,EQ,393400,301521,76.64
20,135,CHEMPLAST,EQ,43395,40088,92.38
20,136,CHENNPETRO,EQ,19280,12975,67.30
20,137,CHESLINTEX,EQ,3864,3663,94.80
20,138,CHETNADCEM,EQ,164,161,98.17
20,139,CHLORIDIND,EQ,3190,2954,92.60
20,140,CHOLAINV,EQ,20632,13880,67.27
20,141,CIBASPEC,EQ,5380,4120,76.58
20,142,CIMCOBIRLA,EQ,5351,5251,98.13
20,143,CINEVISTA,EQ,10945,8795,80.36
20,144,CIPLA,EQ,53641,37487,69.88
20,145,CITICORSEC,EQ,16243,9242,56.90
20,146,CLARIANT,EQ,353,326,92.35
20,147,CMC,EQ,22896,7902,34.51
20,148,COATESIND,EQ,78,78,100.00
20,149,COATVIYELA,EQ,16384,15125,92.32
20,150,COCHINREFN,EQ,29132,15904,54.59
20,151,COLGATE,EQ,12609,7938,62.96
20,152,COLORCHEM,EQ,14672,8564,58.37
20,153,COMPUDYNE,EQ,170342,52173,30.63
20,154,COMPUTECH,EQ,57105,35118,61.50
20,155,CONCOR,EQ,48724,34827,71.48
20,156,CONSCOFFEE,EQ,3309,3309,100.00
20,157,COREPARENT,EQ,6801,6801,100.00
20,158,COROMNFERT,EQ,100,100,100.00
20,159,CORPBANK,EQ,21406,13085,61.13
20,160,COSMOFILMS,EQ,204135,75713,37.09
20,161,CREATIVEYE,EQ,36598,29374,80.26
20,162,CRESTCOMM,EQ,13157,6177,46.95
20,163,CRISIL,EQ,604,567,93.87
20,164,CROMPGREAV,EQ,147122,83692,56.89
20,165,CUB,EQ,5901,4175,70.75
20,166,CYBERTECH,EQ,10361,9616,92.81
20,167,D-LINK,EQ,131435,64317,48.93
20,168,DABUR,EQ,142053,91705,64.56
20,169,DALALSTCOM,EQ,637224,551642,86.57
20,170,DALMIACEM,EQ,272,272,100.00
20,171,DCM,EQ,2341,1989,84.96
20,172,DCMDAEWOO,EQ,25091,22389,89.23
20,173,DCMFINSERV,EQ,6899,6899,100.00
20,174,DCMSRMCONS,EQ,2323,2309,99.40
20,175,DCW,EQ,59693,36533,61.20
20,176,DECCANCEM,EQ,11150,9400,84.30
20,177,DEEPAKFERT,EQ,13395,12225,91.27
20,178,DENABANK,EQ,43097,28506,66.14
20,179,DGPWINDSOR,EQ,2400,2300,95.83
20,180,DHAMPURSUG,EQ,4116,3765,91.47
20,181,DHARSUGAR,EQ,3700,3600,97.30
20,182,DIGITALEQP,EQ,2234758,156517,7.00
20,183,DRREDDY,EQ,160292,117796,73.49
20,184,DSKULKARNI,EQ,200,200,100.00
20,185,DUNCANSIND,EQ,42524,21816,51.30
20,186,DYNACONS,EQ,200321,84046,41.96
20,187,EASTSILK,EQ,2960,2360,79.73
20,188,EASUNREYRL,EQ,2001,1400,69.97
20,189,EICHERLTD,EQ,20660,15006,72.63
20,190,EICHERMOT,EQ,6968,4414,63.35
20,191,EIDPARRY,EQ,3410,2625,76.98
20,192,EIHOTEL,EQ,2182,2103,96.38
20,193,EIMCOELECO,EQ,290,150,51.72
20,194,ELDERPHARM,EQ,1126,925,82.15
20,195,ELECTCAST,EQ,6946,5426,78.12
20,196,ELGIEQUIP,EQ,14400,10950,76.04
20,197,ELGITYRE,EQ,187,187,100.00
20,198,EMCOTRANS,EQ,21992,17406,79.15
20,199,EMERCK,EQ,1766,690,39.07
20,200,ENGINERSIN,EQ,64117,15080,23.52
20,201,ESABINDIA,EQ,37369,28623,76.60
20,202,ESCORTS,EQ,454155,149736,32.97
20,203,ESSARGUJ,EQ,3214822,1473241,45.83
20,204,ESSAROIL,EQ,292583,256099,87.53
20,205,ESSELPACK,EQ,1803,1282,71.10
20,206,ETERNEVRST,EQ,1760,1710,97.16
20,207,EUROTEXIND,EQ,2667,2400,89.99
20,208,EXCELIND,EQ,22046,12965,58.81
20,209,FACT,EQ,63561,23816,37.47
20,210,FAGBEARING,EQ,84224,43780,51.98
20,211,FDC,EQ,17918,13645,76.15
20,212,FEDERALBNK,EQ,154761,56409,36.45
20,213,FINCABLES,EQ,12773,11997,93.92
20,214,FINPIPE,EQ,26538,23062,86.90
20,215,FIRSTLEASE,EQ,6227,6027,96.79
20,216,FLEX,EQ,118329,105635,89.27
20,217,FLEXCHEM,EQ,250,250,100.00
20,218,FLEXENGG,EQ,1999,1599,79.99
20,219,FLOATGLASS,EQ,4250,3550,83.53
20,220,FORBESGOK,EQ,102,101,99.02
