Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <15-JUL-2002>,Settlement No <2002135>,Settlement Date <18-JUL-2002>
10,MTO,15072002,043772026,0000790
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1025,1025,100.00
20,2,ABANLLOYD,EQ,16773,10332,61.60
20,3,ABB,EQ,6676,4978,74.57
20,4,ABBALPO,EQ,138983,94633,68.09
20,5,ABBOTTLAB,EQ,19028,12995,68.29
20,6,ABSHEKINDS,EQ,39060,34431,88.15
20,7,ABSIND,EQ,2743,2528,92.16
20,8,ACC,EQ,268573,146577,54.58
20,9,ADANIEXPO,EQ,74657,1257,1.68
20,10,ADLABSFILM,EQ,102739,40421,39.34
20,11,ADVANIORLI,EQ,8175,6942,84.92
20,12,AEGISCHEM,EQ,3505,3002,85.65
20,13,AFTEKINFO,EQ,1812370,118418,6.53
20,14,AGEEGOLD,EQ,1531,1249,81.58
20,15,AGREVOIND,EQ,7406,5080,68.59
20,16,AGRODUTCH,EQ,148898,74886,50.29
20,17,AHMEDELEC,EQ,390,390,100.00
20,18,AHMEDFORGE,EQ,900,800,88.89
20,19,AJANTPHARM,EQ,6161,1391,22.58
20,20,AKSHOPTFBR,EQ,19044,15928,83.64
20,21,ALEMBICLTD,EQ,20958,11192,53.40
20,22,ALFALAVAL,EQ,35,35,100.00
20,23,ALOKTEXT,EQ,298209,173207,58.08
20,24,ALPSINDUS,EQ,52,51,98.08
20,25,AMARAJABAT,EQ,33696,20877,61.96
20,26,AMBUJARAJN,EQ,158955,99158,62.38
20,27,AMITSPIN,EQ,12023,8722,72.54
20,28,AMTREXAPPL,EQ,6320,6220,98.42
20,29,ANAMALFIN,EQ,1200,1200,100.00
20,30,ANDHRABANK,EQ,454780,335180,73.70
20,31,ANDHRSUGAR,EQ,880,550,62.50
20,32,ANTGRAPHIC,EQ,10252,9950,97.05
20,33,APCOTEXLAT,EQ,684,659,96.35
20,34,APOLLOHOSP,EQ,78706,47744,60.66
20,35,APOLLOTYRE,EQ,141265,51546,36.49
20,36,ARCHIES,EQ,3982,3633,91.24
20,37,ARHAMFISCL,EQ,33095,25165,76.04
20,38,ARIHANTCRE,EQ,120108,60137,50.07
20,39,ARVINDMILL,EQ,861173,441428,51.26
20,40,ASAHIINDIA,EQ,290,265,91.38
20,41,ASHIMASYN,EQ,3203,3002,93.72
20,42,ASHKLEYFIN,EQ,16691,13608,81.53
20,43,ASHOKLEY,EQ,129967,99441,76.51
20,44,ASIANELEC,EQ,3801,3200,84.19
20,45,ASIANHOTEL,EQ,3594,2984,83.03
20,46,ASIANPAINT,EQ,4279,2717,63.50
20,47,ASSAMCO,EQ,16869,9519,56.43
20,48,ASSAMFRONT,EQ,3123,2143,68.62
20,49,ASTRAIDL,EQ,100,100,100.00
20,50,ATCOIND,EQ,55434,36852,66.48
20,51,ATLASCOPCO,EQ,3790,3515,92.74
20,52,ATLASCYCLE,EQ,660,630,95.45
20,53,ATULPROD,EQ,10703,10177,95.09
20,54,AUROPHARMA,EQ,2113,1660,78.56
20,55,AUTOAXLES,EQ,10176,10175,99.99
20,56,AUTORIDFIN,EQ,2870,2870,100.00
20,57,AZTEC,EQ,76485,37687,49.27
20,58,BAGYAMETAL,EQ,1020,10,0.98
20,59,BAJAJAUTO,EQ,17061,12031,70.52
20,60,BAJAJHIND,EQ,630,230,36.51
20,61,BAJAJPLAST,EQ,20274,15600,76.95
20,62,BAJAUTOFIN,EQ,4890,4165,85.17
20,63,BALAJIDIST,EQ,378307,201917,53.37
20,64,BALAJIIND,EQ,107755,73250,67.98
20,65,BALAJITELE,EQ,63767,15723,24.66
20,66,BALMLAWRIE,EQ,34608,23754,68.64
20,67,BALRAMCHIN,EQ,4380,4028,91.96
20,68,BANARISUG,EQ,305,305,100.00
20,69,BANKBARODA,EQ,165612,143924,86.90
20,70,BANKINDIA,EQ,328556,183004,55.70
20,71,BANKPUNJAB,EQ,51144,46994,91.89
20,72,BANKRAJAS,EQ,584350,283407,48.50
20,73,BASF,EQ,66883,40360,60.34
20,74,BATAINDIA,EQ,98722,70067,70.97
20,75,BAUSCHLOMB,EQ,751387,249922,33.26
20,76,BAYER,EQ,848,668,78.77
20,77,BBTC,EQ,65,50,76.92
20,78,BEL,EQ,133750,44598,33.34
20,79,BELCERAMIC,EQ,19375,15795,81.52
20,80,BEML,EQ,299823,88612,29.55
20,81,BERGEPAINT,EQ,2372,2326,98.06
20,82,BFLSOFTWAR,EQ,15362,8485,55.23
20,83,BGFL,EQ,8218,7038,85.64
20,84,BHARATFORG,EQ,36812,24453,66.43
20,85,BHARATGEAR,EQ,550,550,100.00
20,86,BHARATHOT,EQ,3555,3322,93.45
20,87,BHARATRAS,EQ,100,100,100.00
20,88,BHARTI,EQ,276326,228793,82.80
20,89,BHEL,EQ,389253,222354,57.12
20,90,BHUSANSTL,EQ,58687,33207,56.58
20,91,BIL,EQ,7681,7000,91.13
20,92,BILT,EQ,293182,165525,56.46
20,93,BIMETBRG,EQ,392,392,100.00
20,94,BINANIZINC,EQ,7065,5500,77.85
20,95,BINDALAGRO,EQ,72747,60480,83.14
20,96,BIRLA3M,EQ,280,250,89.29
20,97,BIRLAERIC,EQ,19243,14552,75.62
20,98,BIRLAJUTE,EQ,94591,77310,81.73
20,99,BLBLIMITED,EQ,2200,2200,100.00
20,100,BLUECHIP,EQ,7800,2200,28.21
20,101,BLUEDART,EQ,6069,4604,75.86
20,102,BLUESTARCO,EQ,4169,3459,82.97
20,103,BLUESTINFO,EQ,3811,1856,48.70
20,104,BOMDYEING,EQ,129721,60063,46.30
20,105,BONGAIREFN,EQ,2144671,1001936,46.72
20,106,BOOTSPHARM,EQ,1233,1096,88.89
20,107,BPCL,EQ,1190177,474646,39.88
20,108,BPL,EQ,83854,32954,39.30
20,109,BPLENGG,EQ,26875,24036,89.44
20,110,BPLREFRIG,EQ,5751,5650,98.24
20,111,BPLSANTECH,EQ,14556,11902,81.77
20,112,BPLSANUTIL,EQ,1352,1350,99.85
20,113,BRITANNIA,EQ,7064,6928,98.07
20,114,BSELINFO,EQ,1590,1590,100.00
20,115,BSES,EQ,8344,5205,62.38
20,116,BSL,EQ,1196,1196,100.00
20,117,BURRWELCOM,EQ,2725,2390,87.71
20,118,CADBURY,EQ,854,596,69.79
20,119,CADILAHC,EQ,13181,7274,55.19
20,120,CALSOFT,EQ,1215,1084,89.22
20,121,CANFINHOME,EQ,8696,7448,85.65
20,122,CARBEVFLOW,EQ,11766,8105,68.88
20,123,CARBORUNIV,EQ,3533,2270,64.25
20,124,CARRIERAIR,EQ,3243,3117,96.11
20,125,CASTROL,EQ,23777,17139,72.08
20,126,CEAT,EQ,43697,24497,56.06
20,127,CEATFIN,EQ,1725,1588,92.06
20,128,CENTENKA,EQ,40479,23839,58.89
20,129,CENTEXTRU,EQ,2785,2375,85.28
20,130,CENTURION,EQ,116990,78453,67.06
20,131,CENTURYTEX,EQ,815593,164425,20.16
20,132,CESC,EQ,117923,75306,63.86
20,133,CGIGARSH,EQ,8956,6589,73.57
20,134,CHAMBLFERT,EQ,779454,486941,62.47
20,135,CHEMPLAST,EQ,1954,1804,92.32
20,136,CHENNPETRO,EQ,32744,23997,73.29
20,137,CHESLINTEX,EQ,9401,5300,56.38
20,138,CHETNADCEM,EQ,500,400,80.00
20,139,CHLORIDIND,EQ,6078,4361,71.75
20,140,CHOLAINV,EQ,31825,29175,91.67
20,141,CIBASPEC,EQ,5966,4675,78.36
20,142,CIMCOBIRLA,EQ,17341,17341,100.00
20,143,CINEVISTA,EQ,3242,3042,93.83
20,144,CIPLA,EQ,4267,2924,68.53
20,145,CITICORSEC,EQ,5776,3152,54.57
20,146,CLARIANT,EQ,2411,1671,69.31
20,147,CMC,EQ,21609,6859,31.74
20,148,COATESIND,EQ,740,543,73.38
20,149,COATVIYELA,EQ,18780,15934,84.85
20,150,COCHINREFN,EQ,36952,26181,70.85
20,151,COLGATE,EQ,87689,63121,71.98
20,152,COLORCHEM,EQ,10859,5274,48.57
20,153,COMPUDYNE,EQ,65489,18721,28.59
20,154,COMPUTECH,EQ,37342,32917,88.15
20,155,CONCOR,EQ,69635,56903,81.72
20,156,CONSCOFFEE,EQ,8426,8001,94.96
20,157,COREPARENT,EQ,10983,8640,78.67
20,158,COROMNFERT,EQ,15445,15365,99.48
20,159,CORPBANK,EQ,34871,30983,88.85
20,160,COSMOFILMS,EQ,49875,22863,45.84
20,161,CREATIVEYE,EQ,25093,21376,85.19
20,162,CRESTCOMM,EQ,30214,16810,55.64
20,163,CRISIL,EQ,2026,1257,62.04
20,164,CROMPGREAV,EQ,113216,57703,50.97
20,165,CUB,EQ,32425,26325,81.19
20,166,CYBERTECH,EQ,10006,8751,87.46
20,167,D-LINK,EQ,96577,43189,44.72
20,168,DABUR,EQ,74537,56621,75.96
20,169,DALALSTCOM,EQ,199326,145149,72.82
20,170,DALMIACEM,EQ,200,150,75.00
20,171,DCM,EQ,2890,2797,96.78
20,172,DCMDAEWOO,EQ,47500,44950,94.63
20,173,DCMFINSERV,EQ,4177,3656,87.53
20,174,DCMSRMCONS,EQ,429,414,96.50
20,175,DCW,EQ,255743,132349,51.75
20,176,DECCANCEM,EQ,2550,2550,100.00
20,177,DEEPAKFERT,EQ,69660,46700,67.04
20,178,DENABANK,EQ,26383,20095,76.17
20,179,DGPWINDSOR,EQ,15501,12201,78.71
20,180,DHAMPURSUG,EQ,22259,17132,76.97
20,181,DHARSUGAR,EQ,2470,2470,100.00
20,182,DIGITALEQP,EQ,1379064,63222,4.58
20,183,DRREDDY,EQ,49172,36762,74.76
20,184,DUNCANSIND,EQ,2385,2380,99.79
20,185,DYNACONS,EQ,146742,104357,71.12
20,186,EASTSILK,EQ,2515,2174,86.44
20,187,EASTSUGIND,EQ,400,400,100.00
20,188,EASUNREYRL,EQ,3385,3385,100.00
20,189,EICHERLTD,EQ,43585,32116,73.69
20,190,EICHERMOT,EQ,32059,26127,81.50
20,191,EIDPARRY,EQ,20290,18485,91.10
20,192,EIHOTEL,EQ,16408,10235,62.38
20,193,EIMCOELECO,EQ,398,200,50.25
20,194,ELDERPHARM,EQ,950,800,84.21
20,195,ELECTCAST,EQ,87059,35422,40.69
20,196,ELGIEQUIP,EQ,22013,16358,74.31
20,197,ELGITYRE,EQ,112,112,100.00
20,198,EMCOTRANS,EQ,59382,29413,49.53
20,199,EMERCK,EQ,9254,7248,78.32
20,200,ENGINERSIN,EQ,51341,15842,30.86
20,201,ESABINDIA,EQ,32510,20450,62.90
20,202,ESCORTS,EQ,552898,215655,39.00
20,203,ESSARGUJ,EQ,6965751,1815726,26.07
20,204,ESSAROIL,EQ,299679,194894,65.03
20,205,ESSELPACK,EQ,2672,1932,72.31
20,206,ETERNEVRST,EQ,4444,4109,92.46
20,207,EUROTEXIND,EQ,6631,6186,93.29
20,208,EXCELIND,EQ,22834,9420,41.25
20,209,FACT,EQ,13957,7533,53.97
20,210,FAGBEARING,EQ,25490,20499,80.42
20,211,FDC,EQ,14574,11895,81.62
20,212,FEDERALBNK,EQ,46909,25532,54.43
20,213,FINCABLES,EQ,2971,2232,75.13
20,214,FINPIPE,EQ,21968,19819,90.22
20,215,FIRSTLEASE,EQ,16297,12727,78.09
20,216,FLEX,EQ,132252,83596,63.21
20,217,FLEXCHEM,EQ,100,100,100.00
20,218,FLEXENGG,EQ,625,625,100.00
20,219,FLOATGLASS,EQ,12500,12100,96.80
20,220,FORBESGOK,EQ,216,216,100.00
20,221,FOSECOIND,EQ,3058,1885,61.64
20,222,FUJITSICIM,EQ,59700,20644,34.58
20,223,FULFORD,EQ,2855,2510,87.92
20,224,GAEL,EQ,1865,1235,66.22
20,225,GAIL,EQ,1043073,430986,41.32
20,226,GAMMONIND,EQ,13400,2750,20.52
20,227,GARDENSILK,EQ,72561,43678,60.19
20,228,GARWALLROP,EQ,14801,12157,82.14
20,229,GECALSTHOM,EQ,16588,13202,79.59
20,230,GEOMETRIC,EQ,1219089,53871,4.42
20,231,GEORGWILIM,EQ,14857,9260,62.33
20,232,GERMANREM,EQ,165,165,100.00
