Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <31-JUL-2002>,Settlement No <2002147>,Settlement Date <05-AUG-2002>
10,MTO,31072002,039461949,0000767
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1127,1002,88.91
20,2,ABANLLOYD,EQ,28679,19104,66.61
20,3,ABB,EQ,26603,13713,51.55
20,4,ABBALPO,EQ,92162,75673,82.11
20,5,ABBOTTLAB,EQ,244,142,58.20
20,6,ABSHEKINDS,EQ,18081,13741,76.00
20,7,ABSIND,EQ,7676,6165,80.32
20,8,ACC,EQ,521095,153459,29.45
20,9,ADANIEXPO,EQ,73688,1467,1.99
20,10,ADLABSFILM,EQ,122263,55140,45.10
20,11,ADVANIORLI,EQ,2968,2243,75.57
20,12,AEGISCHEM,EQ,5599,5599,100.00
20,13,AFTEKINFO,EQ,4296063,197656,4.60
20,14,AGEEGOLD,EQ,1170,880,75.21
20,15,AGREVOIND,EQ,9013,8392,93.11
20,16,AGRODUTCH,EQ,37368,30156,80.70
20,17,AHMEDELEC,EQ,892,892,100.00
20,18,AHMEDFORGE,EQ,12660,10810,85.39
20,19,AJANTPHARM,EQ,9599,2805,29.22
20,20,AKSHOPTFBR,EQ,72974,53008,72.64
20,21,ALEMBICLTD,EQ,9282,5876,63.31
20,22,ALFALAVAL,EQ,695,590,84.89
20,23,ALOKTEXT,EQ,193532,84831,43.83
20,24,ALPSINDUS,EQ,144,144,100.00
20,25,AMARAJABAT,EQ,34823,25935,74.48
20,26,AMBUJARAJN,EQ,14609,13604,93.12
20,27,AMITSPIN,EQ,504,501,99.40
20,28,AMTREXAPPL,EQ,3150,2800,88.89
20,29,ANAMALFIN,EQ,2400,2400,100.00
20,30,ANDHRABANK,EQ,719728,551008,76.56
20,31,ANDHRSUGAR,EQ,700,700,100.00
20,32,ANTGRAPHIC,EQ,1200,1200,100.00
20,33,APCOTEXLAT,EQ,555,555,100.00
20,34,APOLLOHOSP,EQ,157874,110879,70.23
20,35,APOLLOTYRE,EQ,151568,33056,21.81
20,36,ARCHIES,EQ,4005,2616,65.32
20,37,ARHAMFISCL,EQ,33762,20090,59.50
20,38,ARIHANTCRE,EQ,75652,34541,45.66
20,39,ARVINDMILL,EQ,1612743,630063,39.07
20,40,ASAHIINDIA,EQ,115,110,95.65
20,41,ASHAPURMIN,EQ,250,200,80.00
20,42,ASHIMASYN,EQ,1275,1275,100.00
20,43,ASHKLEYFIN,EQ,4331,3723,85.96
20,44,ASHOKLEY,EQ,110644,51941,46.94
20,45,ASIANELEC,EQ,11805,10195,86.36
20,46,ASIANHOTEL,EQ,240,240,100.00
20,47,ASIANPAINT,EQ,24725,20531,83.04
20,48,ASSAMFRONT,EQ,1066,866,81.24
20,49,ASTRAIDL,EQ,365,265,72.60
20,50,ATCOIND,EQ,48079,30382,63.19
20,51,ATLASCOPCO,EQ,11336,9376,82.71
20,52,ATLASCYCLE,EQ,369,257,69.65
20,53,ATULPROD,EQ,10808,9958,92.14
20,54,AUROPHARMA,EQ,17248,9764,56.61
20,55,AUTOAXLES,EQ,766,675,88.12
20,56,AUTORIDFIN,EQ,1135,1100,96.92
20,57,AZTEC,EQ,79092,36704,46.41
20,58,BAJAJAUTO,EQ,112920,75405,66.78
20,59,BAJAJHIND,EQ,300,300,100.00
20,60,BAJAJPLAST,EQ,5100,4800,94.12
20,61,BAJAUTOFIN,EQ,540,320,59.26
20,62,BALAJIDIST,EQ,88792,52089,58.66
20,63,BALAJIIND,EQ,54025,35685,66.05
20,64,BALAJITELE,EQ,67970,17247,25.37
20,65,BALMLAWRIE,EQ,20920,14921,71.32
20,66,BALRAMCHIN,EQ,3195,3095,96.87
20,67,BANARISUG,EQ,370,370,100.00
