Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <27-AUG-2002>,Settlement No <2002165>,Settlement Date <30-AUG-2002>
10,MTO,27082002,025474318,0000781
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,555,500,90.09
20,2,ABANLLOYD,EQ,16301,9352,57.37
20,3,ABB,EQ,6088,2649,43.51
20,4,ABBALPO,EQ,28493,21796,76.50
20,5,ABBOTTLAB,EQ,80,40,50.00
20,6,ABSHEKINDS,EQ,20905,15121,72.33
20,7,ABSIND,EQ,2255,2155,95.57
20,8,ACC,EQ,368890,138527,37.55
20,9,ADANIEXPO,EQ,38637,1246,3.22
20,10,ADLABSFILM,EQ,53388,25073,46.96
20,11,ADVANIORLI,EQ,3177,3177,100.00
20,12,AEGISCHEM,EQ,3072,2972,96.74
20,13,AFTEKINFO,EQ,2513314,141168,5.62
20,14,AGEEGOLD,EQ,932,680,72.96
20,15,AGREVOIND,EQ,16484,14357,87.10
20,16,AGRODUTCH,EQ,7631,6050,79.28
20,17,AHMEDELEC,EQ,650,550,84.62
20,18,AHMEDFORGE,EQ,1000,1000,100.00
20,19,AJANTPHARM,EQ,6177,1215,19.67
20,20,AKSHOPTFBR,EQ,23163,10814,46.69
20,21,ALEMBICLTD,EQ,1547,1046,67.61
20,22,ALFALAVAL,EQ,2169,2018,93.04
20,23,ALOKTEXT,EQ,72714,47567,65.42
20,24,ALPSINDUS,EQ,201,200,99.50
20,25,AMARAJABAT,EQ,10129,7947,78.46
20,26,AMBUJARAJN,EQ,11452,9302,81.23
20,27,AMITSPIN,EQ,202,0,0.00
20,28,AMTREXAPPL,EQ,1225,1125,91.84
20,29,ANAMALFIN,EQ,2153,1550,71.99
20,30,ANDHRABANK,EQ,161099,133197,82.68
20,31,ANTGRAPHIC,EQ,2652,2550,96.15
20,32,APCOTEXLAT,EQ,75,75,100.00
20,33,APOLLOHOSP,EQ,57871,35008,60.49
20,34,APOLLOTYRE,EQ,124723,28272,22.67
20,35,ARCHIES,EQ,24334,17033,70.00
20,36,ARHAMFISCL,EQ,5525,4925,89.14
20,37,ARIHANTCRE,EQ,41740,13740,32.92
20,38,ARVINDMILL,EQ,125384,78658,62.73
20,39,ASAHIINDIA,EQ,7,6,85.71
20,40,ASHAPURMIN,EQ,50,50,100.00
20,41,ASHIMASYN,EQ,1028,1025,99.71
20,42,ASHKLEYFIN,EQ,3621,3080,85.06
20,43,ASHOKLEY,EQ,23754,12374,52.09
20,44,ASIANELEC,EQ,7723,6350,82.22
20,45,ASIANHOTEL,EQ,3419,3294,96.34
20,46,ASIANPAINT,EQ,5797,3686,63.58
20,47,ASSAMFRONT,EQ,1935,1885,97.42
20,48,ATCOIND,EQ,9736,6860,70.46
20,49,ATLASCOPCO,EQ,10400,9275,89.18
20,50,ATLASCYCLE,EQ,1230,1230,100.00
20,51,ATULPROD,EQ,5294,4190,79.15
20,52,AUROPHARMA,EQ,3786,3184,84.10
20,53,AUTOAXLES,EQ,450,450,100.00
20,54,AUTORIDFIN,EQ,2651,2575,97.13
20,55,AZTEC,EQ,37494,21160,56.44
20,56,BAJAJAUTO,EQ,158270,123509,78.04
20,57,BAJAJHIND,EQ,1052,918,87.26
