Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <28-AUG-2002>,Settlement No <2002166>,Settlement Date <02-SEP-2002>
10,MTO,28082002,021710919,0000778
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,200,200,100.00
20,2,ABANLLOYD,EQ,7929,4567,57.60
20,3,ABB,EQ,4335,3332,76.86
20,4,ABBALPO,EQ,14283,11858,83.02
20,5,ABBOTTLAB,EQ,92,91,98.91
20,6,ABSHEKINDS,EQ,34163,23962,70.14
20,7,ABSIND,EQ,2673,2673,100.00
20,8,ACC,EQ,463241,165631,35.75
20,9,ADANIEXPO,EQ,37655,298,0.79
20,10,ADLABSFILM,EQ,31707,17940,56.58
20,11,ADVANIORLI,EQ,1700,1200,70.59
20,12,AEGISCHEM,EQ,750,750,100.00
20,13,AFTEKINFO,EQ,4134184,244113,5.90
20,14,AGEEGOLD,EQ,1086,700,64.46
20,15,AGREVOIND,EQ,5187,4462,86.02
20,16,AGRODUTCH,EQ,16604,13937,83.94
20,17,AHMEDELEC,EQ,1775,1675,94.37
20,18,AHMEDFORGE,EQ,301,300,99.67
20,19,AJANTPHARM,EQ,5895,748,12.69
20,20,AKSHOPTFBR,EQ,7531,4640,61.61
20,21,ALEMBICLTD,EQ,1725,1375,79.71
20,22,ALFALAVAL,EQ,150,100,66.67
20,23,ALOKTEXT,EQ,35525,24171,68.04
20,24,ALPSINDUS,EQ,52,50,96.15
20,25,AMARAJABAT,EQ,4346,2739,63.02
20,26,AMBUJARAJN,EQ,8700,8200,94.25
20,27,AMITSPIN,EQ,5,0,0.00
20,28,AMTREXAPPL,EQ,1902,1750,92.01
20,29,ANAMALFIN,EQ,1155,1155,100.00
20,30,ANDHRABANK,EQ,118907,83950,70.60
20,31,ANDHRSUGAR,EQ,777,650,83.66
20,32,ANTGRAPHIC,EQ,500,500,100.00
20,33,APCOTEXLAT,EQ,1385,1285,92.78
20,34,APOLLOHOSP,EQ,62411,26341,42.21
20,35,APOLLOTYRE,EQ,64115,15396,24.01
20,36,ARCHIES,EQ,376131,84252,22.40
20,37,ARHAMFISCL,EQ,10890,10689,98.15
20,38,ARIHANTCRE,EQ,48830,16828,34.46
20,39,ARVINDMILL,EQ,213315,129603,60.76
20,40,ASHAPURMIN,EQ,150,150,100.00
20,41,ASHIMASYN,EQ,3,1,33.33
20,42,ASHKLEYFIN,EQ,5200,3880,74.62
20,43,ASHOKLEY,EQ,31827,21959,68.99
20,44,ASIANELEC,EQ,2246,1346,59.93
