Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <11-SEP-2002>,Settlement No <2002175>,Settlement Date <16-SEP-2002>
10,MTO,11092002,026073230,0000777
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,300,300,100.00
20,2,ABANLLOYD,EQ,8764,6301,71.90
20,3,ABB,EQ,11111,7022,63.20
20,4,ABBALPO,EQ,7103,5803,81.70
20,5,ABSHEKINDS,EQ,25317,24817,98.03
20,6,ABSIND,EQ,400,400,100.00
20,7,ACC,EQ,523877,273579,52.22
20,8,ADANIEXPO,EQ,43238,1836,4.25
20,9,ADLABSFILM,EQ,29279,15419,52.66
20,10,ADVANIORLI,EQ,3150,3150,100.00
20,11,AEGISCHEM,EQ,500,450,90.00
20,12,AFTEKINFO,EQ,1847330,126874,6.87
20,13,AGEEGOLD,EQ,1505,1483,98.54
20,14,AGREVOIND,EQ,3070,2805,91.37
20,15,AGRODUTCH,EQ,8052,5976,74.22
20,16,AHMEDELEC,EQ,620,620,100.00
20,17,AHMEDFORGE,EQ,106,106,100.00
20,18,AJANTPHARM,EQ,6537,2042,31.24
20,19,AKSHOPTFBR,EQ,1780,1320,74.16
20,20,ALEMBICLTD,EQ,2672,2210,82.71
20,21,ALFALAVAL,EQ,1634,1584,96.94
20,22,ALOKTEXT,EQ,87152,78351,89.90
20,23,ALPSINDUS,EQ,551,500,90.74
20,24,AMARAJABAT,EQ,6851,4882,71.26
20,25,AMBUJARAJN,EQ,11247,9020,80.20
20,26,AMITSPIN,EQ,687,687,100.00
20,27,AMTREXAPPL,EQ,1973,1573,79.73
20,28,ANDHRABANK,EQ,176078,135370,76.88
20,29,ANDHRSUGAR,EQ,2272,2202,96.92
20,30,ANTGRAPHIC,EQ,2300,2200,95.65
20,31,APCOTEXLAT,EQ,4,4,100.00
20,32,APOLLOHOSP,EQ,50276,21392,42.55
20,33,APOLLOTYRE,EQ,38325,10565,27.57
20,34,ARCHIES,EQ,3467,2895,83.50
20,35,ARHAMFISCL,EQ,147488,73592,49.90
20,36,ARIHANTCRE,EQ,36136,9825,27.19
20,37,ARVINDMILL,EQ,217466,165300,76.01
20,38,ASAHIINDIA,EQ,14,10,71.43
20,39,ASHAPURMIN,EQ,100,100,100.00
20,40,ASHIMASYN,EQ,558,352,63.08
20,41,ASHKLEYFIN,EQ,6814,6814,100.00
20,42,ASHOKLEY,EQ,13499,10753,79.66
20,43,ASIANELEC,EQ,203,200,98.52
20,44,ASIANHOTEL,EQ,1652,1051,63.62
20,45,ASIANPAINT,EQ,31808,27003,84.89
20,46,ASSAMFRONT,EQ,770,600,77.92
20,47,ASTRAIDL,EQ,60,55,91.67
20,48,ATCOIND,EQ,11005,9019,81.95
20,49,ATLASCOPCO,EQ,827,527,63.72
20,50,ATLASCYCLE,EQ,2136,1971,92.28
20,51,ATULPROD,EQ,4933,4633,93.92
20,52,AUROPHARMA,EQ,2208,1718,77.81
20,53,AUTOAXLES,EQ,31,31,100.00
20,54,AUTORIDFIN,EQ,1900,1900,100.00
20,55,AZTEC,EQ,264181,126988,48.07
20,56,BAGYAMETAL,EQ,100,100,100.00
20,57,BAJAJAUTO,EQ,33760,25231,74.74
20,58,BAJAJHIND,EQ,700,700,100.00
20,59,BAJAJPLAST,EQ,1,0,0.00
20,60,BAJAUTOFIN,EQ,625,450,72.00
20,61,BALAJIDIST,EQ,9043,8250,91.23
20,62,BALAJIIND,EQ,7112,6000,84.36
20,63,BALAJITELE,EQ,77963,37020,47.48
20,64,BALMLAWRIE,EQ,20840,10035,48.15
20,65,BALRAMCHIN,EQ,1740,1525,87.64
20,66,BANARISUG,EQ,126,126,100.00
20,67,BANKBARODA,EQ,53651,45555,84.91
20,68,BANKINDIA,EQ,68664,44435,64.71
20,69,BANKPUNJAB,EQ,33582,28901,86.06
20,70,BANKRAJAS,EQ,89639,49301,55.00
20,71,BASF,EQ,8709,6829,78.41
20,72,BATAINDIA,EQ,11765,10005,85.04
20,73,BAUSCHLOMB,EQ,57770,36902,63.88
20,74,BAYER,EQ,111,73,65.77
20,75,BBTC,EQ,6130,5430,88.58
20,76,BEL,EQ,622060,133251,21.42
20,77,BELCERAMIC,EQ,3805,3800,99.87
20,78,BEML,EQ,248185,65366,26.34
20,79,BERGEPAINT,EQ,4368,2452,56.14
20,80,BFLSOFTWAR,EQ,9990,2748,27.51
20,81,BGFL,EQ,3972,3471,87.39
20,82,BHARATFORG,EQ,16955,11742,69.25
20,83,BHARATGEAR,EQ,1202,1196,99.50
20,84,BHARATHOT,EQ,1561,1561,100.00
20,85,BHARTI,EQ,38624,31739,82.17
20,86,BHEL,EQ,1085727,705409,64.97
20,87,BHUSANSTL,EQ,69242,68940,99.56
20,88,BIL,EQ,6393,6190,96.82
20,89,BILT,EQ,29879,19060,63.79
20,90,BIMETBRG,EQ,71,50,70.42
20,91,BINANIZINC,EQ,1221,1120,91.73
20,92,BINDALAGRO,EQ,4840,4240,87.60
20,93,BIRLA3M,EQ,894,583,65.21
20,94,BIRLAERIC,EQ,2450,2200,89.80
20,95,BIRLAJUTE,EQ,5655,5230,92.48
20,96,BLBLIMITED,EQ,200,200,100.00
20,97,BLUECHIP,EQ,4602,0,0.00
20,98,BLUEDART,EQ,1923,801,41.65
20,99,BLUESTARCO,EQ,1654,929,56.17
20,100,BLUESTINFO,EQ,3681,2739,74.41
20,101,BOMDYEING,EQ,21404,14257,66.61
20,102,BONGAIREFN,EQ,191576,98532,51.43
20,103,BOOTSPHARM,EQ,538,538,100.00
20,104,BPCL,EQ,5375539,1005498,18.71
20,105,BPL,EQ,13501,9345,69.22
20,106,BPLENGG,EQ,1926,1850,96.05
20,107,BPLREFRIG,EQ,200,200,100.00
20,108,BPLSANTECH,EQ,1700,1200,70.59
20,109,BPLSANUTIL,EQ,1,0,0.00
20,110,BRITANNIA,EQ,2605,1660,63.72
20,111,BSELINFO,EQ,12,10,83.33
20,112,BSES,EQ,6190,4294,69.37
20,113,BSL,EQ,1550,1400,90.32
20,114,BURRWELCOM,EQ,947,573,60.51
20,115,CADBURY,EQ,394,394,100.00
20,116,CADILAHC,EQ,4704,2802,59.57
20,117,CALSOFT,EQ,100,100,100.00
20,118,CANFINHOME,EQ,6646,6646,100.00
20,119,CARBEVFLOW,EQ,780,780,100.00
20,120,CARBORUNIV,EQ,475,425,89.47
20,121,CARRIERAIR,EQ,839,839,100.00
20,122,CASTROL,EQ,10547,5000,47.41
20,123,CEAT,EQ,30602,27296,89.20
20,124,CEATFIN,EQ,500,500,100.00
20,125,CENTENKA,EQ,9216,6542,70.99
20,126,CENTEXTRU,EQ,1,0,0.00
20,127,CENTURION,EQ,131401,93703,71.31
20,128,CENTURYTEX,EQ,71905,42772,59.48
20,129,CESC,EQ,14361,9500,66.15
20,130,CGIGARSH,EQ,4182,4079,97.54
20,131,CHAMBLFERT,EQ,59095,49695,84.09
20,132,CHEMPLAST,EQ,550,550,100.00
20,133,CHENNPETRO,EQ,27236,20360,74.75
20,134,CHESLINTEX,EQ,500,500,100.00
20,135,CHETNADCEM,EQ,700,700,100.00
20,136,CHLORIDIND,EQ,508,349,68.70
20,137,CHOLAINV,EQ,3625,2656,73.27
20,138,CIBASPEC,EQ,235,190,80.85
20,139,CIMCOBIRLA,EQ,307,300,97.72
20,140,CINEVISTA,EQ,892,599,67.15
20,141,CIPL,EQ,19651,19651,100.00
20,142,CIPLA,EQ,58788,51353,87.35
20,143,CITICORSEC,EQ,9415,2865,30.43
20,144,CLARIANT,EQ,743,602,81.02
20,145,CMC,EQ,38974,15822,40.60
20,146,COATESIND,EQ,582,582,100.00
20,147,COATVIYELA,EQ,23750,23750,100.00
20,148,COCHINREFN,EQ,95226,45688,47.98
20,149,COLGATE,EQ,22248,19788,88.94
20,150,COLORCHEM,EQ,8912,6529,73.26
20,151,COMPUDYNE,EQ,49828,21697,43.54
20,152,COMPUTECH,EQ,9901,6600,66.66
20,153,CONCOR,EQ,58198,40038,68.80
20,154,CONSCOFFEE,EQ,5710,4600,80.56
20,155,COREEMBLG,EQ,202,200,99.01
20,156,COREPARENT,EQ,1451,1450,99.93
20,157,COROMNFERT,EQ,400,0,0.00
20,158,CORPBANK,EQ,10427,7076,67.86
20,159,COSMOFILMS,EQ,23844,3301,13.84
20,160,CREATIVEYE,EQ,30641,30060,98.10
20,161,CRESTCOMM,EQ,12285,6526,53.12
20,162,CRISIL,EQ,40,20,50.00
20,163,CROMPGREAV,EQ,422992,408550,96.59
20,164,CUB,EQ,9670,9119,94.30
20,165,CYBERTECH,EQ,44812,24879,55.52
20,166,D-LINK,EQ,66811,34624,51.82
20,167,DABUR,EQ,24915,17246,69.22
20,168,DALALSTCOM,EQ,15812,12805,80.98
20,169,DALMIACEM,EQ,532,332,62.41
20,170,DCM,EQ,1005,775,77.11
20,171,DCMDAEWOO,EQ,25625,16600,64.78
20,172,DCMFINSERV,EQ,405,400,98.77
20,173,DCW,EQ,16475,11765,71.41
20,174,DECCANCEM,EQ,500,500,100.00
20,175,DEEPAKFERT,EQ,8825,8650,98.02
20,176,DENABANK,EQ,8271,6770,81.85
20,177,DGPWINDSOR,EQ,1303,1301,99.85
20,178,DHAMPURSUG,EQ,3207,2706,84.38
20,179,DHARSUGAR,EQ,724,724,100.00
20,180,DIGITALEQP,EQ,2324649,88101,3.79
20,181,DRREDDY,EQ,20091,11865,59.06
20,182,DSKULKARNI,EQ,302,300,99.34
20,183,DUNCANSIND,EQ,802,599,74.69
20,184,DYNACONS,EQ,274195,91496,33.37
20,185,EASTSUGIND,EQ,1,0,0.00
20,186,EASUNREYRL,EQ,1148,1067,92.94
20,187,EICHERLTD,EQ,8175,6168,75.45
20,188,EICHERMOT,EQ,45861,33149,72.28
20,189,EIDPARRY,EQ,4177,3071,73.52
20,190,EIHOTEL,EQ,2739,1943,70.94
20,191,EIMCOELECO,EQ,56,50,89.29
20,192,ELDERPHARM,EQ,1382,1332,96.38
