Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <30-SEP-2002>,Settlement No <2002187>,Settlement Date <04-OCT-2002>
10,MTO,30092002,048818932,0000789
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,975,950,97.44
20,2,ABANLLOYD,EQ,16413,9571,58.31
20,3,ABB,EQ,25389,11698,46.08
20,4,ABBALPO,EQ,20070,13458,67.06
20,5,ABBOTTLAB,EQ,2463,2255,91.56
20,6,ABSHEKINDS,EQ,51079,47552,93.10
20,7,ABSIND,EQ,725,674,92.97
20,8,ACC,EQ,557635,197333,35.39
20,9,ADANIEXPO,EQ,85037,2648,3.11
20,10,ADLABSFILM,EQ,50516,15517,30.72
20,11,ADVANIORLI,EQ,550,550,100.00
20,12,AEGISCHEM,EQ,2502,1940,77.54
20,13,AFTEKINFO,EQ,4632758,245679,5.30
20,14,AGEEGOLD,EQ,7650,5949,77.76
20,15,AGREVOIND,EQ,3170,3060,96.53
20,16,AGRODUTCH,EQ,28348,21322,75.22
20,17,AHMEDELEC,EQ,1400,1400,100.00
20,18,AHMEDFORGE,EQ,12268,6813,55.53
20,19,AJANTPHARM,EQ,12787,2365,18.50
20,20,AKSHOPTFBR,EQ,16267,10481,64.43
20,21,ALEMBICLTD,EQ,1320,1110,84.09
20,22,ALFALAVAL,EQ,5076,4831,95.17
20,23,ALOKTEXT,EQ,28718,24030,83.68
20,24,ALPSINDUS,EQ,853,851,99.77
20,25,AMARAJABAT,EQ,8239,5232,63.50
20,26,AMBUJARAJN,EQ,37659,33784,89.71
20,27,AMITSPIN,EQ,601,600,99.83
20,28,AMTREXAPPL,EQ,4662,3933,84.36
20,29,ANAMALFIN,EQ,250,250,100.00
20,30,ANDHRABANK,EQ,170325,110405,64.82
20,31,ANDHRSUGAR,EQ,4314,3889,90.15
20,32,ANTGRAPHIC,EQ,2304,2100,91.15
20,33,APCOTEXLAT,EQ,900,900,100.00
20,34,APOLLOHOSP,EQ,308102,62115,20.16
20,35,APOLLOTYRE,EQ,753889,128417,17.03
20,36,APTECHT,EQ,964971,146616,15.19
20,37,ARCHIES,EQ,9309,6903,74.15
20,38,ARHAMFISCL,EQ,34118,30641,89.81
20,39,ARIHANTCRE,EQ,56011,21925,39.14
20,40,ARVINDMILL,EQ,271868,173382,63.77
20,41,ASAHIINDIA,EQ,56,56,100.00
20,42,ASHAPURMIN,EQ,311,310,99.68
20,43,ASHIMASYN,EQ,1800,1500,83.33
20,44,ASHKLEYFIN,EQ,4026,3440,85.44
20,45,ASHOKLEY,EQ,47761,23300,48.78
20,46,ASIANELEC,EQ,8752,6750,77.13
20,47,ASIANHOTEL,EQ,789,699,88.59
20,48,ASIANPAINT,EQ,4277,2793,65.30
20,49,ASSAMFRONT,EQ,3311,3073,92.81
20,50,ASTRAIDL,EQ,2870,1814,63.21
20,51,ATCOIND,EQ,17018,13814,81.17
20,52,ATLASCOPCO,EQ,13070,12254,93.76
20,53,ATLASCYCLE,EQ,272,197,72.43
20,54,ATULPROD,EQ,23141,22914,99.02
20,55,AUROPHARMA,EQ,4848,2923,60.29
20,56,AUTOAXLES,EQ,604,552,91.39
20,57,AUTORIDFIN,EQ,100,100,100.00
20,58,AZTEC,EQ,257582,77831,30.22
20,59,BAGYAMETAL,EQ,40,40,100.00
20,60,BAJAJAUTO,EQ,210139,64867,30.87
20,61,BAJAJHIND,EQ,482,482,100.00
20,62,BAJAJPLAST,EQ,3202,3202,100.00
20,63,BAJAUTOFIN,EQ,700,700,100.00
20,64,BALAJIDIST,EQ,87629,68340,77.99
20,65,BALAJIIND,EQ,47516,32915,69.27
20,66,BALMLAWRIE,EQ,28734,13702,47.69
20,67,BALRAMCHIN,EQ,3520,3142,89.26
20,68,BANARISUG,EQ,152,151,99.34
20,69,BANKBARODA,EQ,85548,71533,83.62
20,70,BANKINDIA,EQ,72664,48278,66.44
20,71,BANKPUNJAB,EQ,43626,38906,89.18
20,72,BANKRAJAS,EQ,246249,133423,54.18
20,73,BASF,EQ,6073,4564,75.15
20,74,BATAINDIA,EQ,29829,21730,72.85
20,75,BAUSCHLOMB,EQ,59378,33069,55.69
20,76,BAYER,EQ,65,41,63.08
20,77,BBTC,EQ,750,140,18.67
20,78,BEL,EQ,597016,89885,15.06
20,79,BELCERAMIC,EQ,1378,1220,88.53
20,80,BEML,EQ,216864,48190,22.22
20,81,BERGEPAINT,EQ,2100,1950,92.86
20,82,BFLSOFTWAR,EQ,25786,19041,73.84
20,83,BGFL,EQ,196,196,100.00
20,84,BHARATFORG,EQ,4864,3924,80.67
20,85,BHARATGEAR,EQ,549,549,100.00
20,86,BHARATHOT,EQ,4763,3343,70.19
20,87,BHARATRAS,EQ,978,778,79.55
20,88,BHARTI,EQ,227006,138451,60.99
20,89,BHEL,EQ,810808,536673,66.19
20,90,BHUSANSTL,EQ,29132,23845,81.85
20,91,BIL,EQ,542,375,69.19
20,92,BILT,EQ,109469,71148,64.99
20,93,BIMETBRG,EQ,103,101,98.06
20,94,BINANIZINC,EQ,3795,3175,83.66
20,95,BINDALAGRO,EQ,24064,12275,51.01
20,96,BIRLA3M,EQ,1565,1280,81.79
20,97,BIRLAERIC,EQ,5361,4186,78.08
20,98,BIRLAJUTE,EQ,15545,9280,59.70
20,99,BLBLIMITED,EQ,4045,3000,74.17
20,100,BLUECHIP,EQ,6706,900,13.42
20,101,BLUEDART,EQ,115430,46163,39.99
20,102,BLUESTARCO,EQ,2363,1851,78.33
20,103,BLUESTINFO,EQ,9166,5202,56.75
20,104,BOMDYEING,EQ,35842,24814,69.23
20,105,BONGAIREFN,EQ,305986,149797,48.96
20,106,BOOTSPHARM,EQ,2294,2045,89.15
20,107,BPCL,EQ,6390057,1420342,22.23
20,108,BPL,EQ,21982,16566,75.36
20,109,BPLENGG,EQ,7005,5999,85.64
20,110,BPLREFRIG,EQ,11523,7488,64.98
20,111,BPLSANTECH,EQ,103,101,98.06
20,112,BPLSANUTIL,EQ,2964,2000,67.48
20,113,BRITANNIA,EQ,3667,2443,66.62
20,114,BSELINFO,EQ,4579,3556,77.66
20,115,BSES,EQ,693902,660998,95.26
20,116,BSL,EQ,3492,2832,81.10
20,117,BURRWELCOM,EQ,1214,841,69.28
20,118,CADBURY,EQ,775,765,98.71
20,119,CADILAHC,EQ,6523,4735,72.59
20,120,CALSOFT,EQ,37,30,81.08
20,121,CANFINHOME,EQ,1950,1850,94.87
20,122,CARBEVFLOW,EQ,3670,3566,97.17
20,123,CARBORUNIV,EQ,7831,1091,13.93
20,124,CARRIERAIR,EQ,327,325,99.39
20,125,CASTROL,EQ,13253,8525,64.33
20,126,CEAT,EQ,35505,14174,39.92
20,127,CEATFIN,EQ,4,1,25.00
20,128,CENTENKA,EQ,10824,8205,75.80
20,129,CENTEXTRU,EQ,625,625,100.00
20,130,CENTURION,EQ,163736,112592,68.76
20,131,CENTURYTEX,EQ,90015,36359,40.39
20,132,CESC,EQ,22791,20213,88.69
20,133,CGIGARSH,EQ,3429,3284,95.77
20,134,CHAMBLFERT,EQ,135086,99419,73.60
20,135,CHEMPLAST,EQ,1765,1548,87.71
20,136,CHENNPETRO,EQ,38364,26889,70.09
20,137,CHESLINTEX,EQ,3000,3000,100.00
20,138,CHETNADCEM,EQ,2982,2611,87.56
20,139,CHLORIDIND,EQ,4243,3562,83.95
20,140,CHOLAINV,EQ,8162,6955,85.21
20,141,CIBASPEC,EQ,5250,2842,54.13
20,142,CIMCOBIRLA,EQ,4092,4092,100.00
20,143,CINEVISTA,EQ,3718,2717,73.08
20,144,CIPL,EQ,6525,4325,66.28
20,145,CIPLA,EQ,46387,23915,51.56
20,146,CITICORSEC,EQ,43492,25121,57.76
20,147,CLARIANT,EQ,6148,6048,98.37
20,148,CMC,EQ,63698,14683,23.05
20,149,COATESIND,EQ,1702,1145,67.27
20,150,COATVIYELA,EQ,15219,12387,81.39
20,151,COCHINREFN,EQ,33814,22527,66.62
