Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <04-OCT-2002>,Settlement No <2002190>,Settlement Date <09-OCT-2002>
10,MTO,04102002,024908809,0000718
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,765,765,100.00
20,2,ABANLLOYD,EQ,5735,4375,76.29
20,3,ABB,EQ,3279,2224,67.83
20,4,ABBALPO,EQ,4995,4704,94.17
20,5,ABBOTTLAB,EQ,248,248,100.00
20,6,ABSHEKINDS,EQ,48792,48200,98.79
20,7,ABSIND,EQ,170,170,100.00
20,8,ACC,EQ,138801,55560,40.03
20,9,ADANIEXPO,EQ,38026,570,1.50
20,10,ADLABSFILM,EQ,6235,3681,59.04
20,11,ADVANIORLI,EQ,1000,800,80.00
20,12,AEGISCHEM,EQ,528,525,99.43
20,13,AFTEKINFO,EQ,3583497,193884,5.41
20,14,AGEEGOLD,EQ,1162,1150,98.97
20,15,AGREVOIND,EQ,2710,2470,91.14
20,16,AGRODUTCH,EQ,7915,7265,91.79
20,17,AHMEDELEC,EQ,3,1,33.33
20,18,AHMEDFORGE,EQ,8646,8288,95.86
20,19,AJANTPHARM,EQ,5602,600,10.71
20,20,AKSHOPTFBR,EQ,12438,9515,76.50
20,21,ALEMBICLTD,EQ,665,415,62.41
20,22,ALFALAVAL,EQ,9008,8979,99.68
20,23,ALOKTEXT,EQ,9664,8150,84.33
20,24,ALPSINDUS,EQ,230,210,91.30
20,25,AMARAJABAT,EQ,6145,4738,77.10
20,26,AMBUJARAJN,EQ,16094,15350,95.38
20,27,AMTREXAPPL,EQ,1125,925,82.22
20,28,ANAMALFIN,EQ,103,100,97.09
20,29,ANDHRABANK,EQ,112524,85985,76.41
20,30,ANDHRSUGAR,EQ,4607,4603,99.91
20,31,ANTGRAPHIC,EQ,11050,11050,100.00
20,32,APCOTEXLAT,EQ,650,650,100.00
20,33,APOLLOHOSP,EQ,66412,28434,42.81
20,34,APOLLOTYRE,EQ,191801,38738,20.20
20,35,APTECHT,EQ,77089,26481,34.35
20,36,ARCHIES,EQ,3437,3099,90.17
20,37,ARHAMFISCL,EQ,6076,5274,86.80
20,38,ARIHANTCRE,EQ,39006,10703,27.44
20,39,ARVINDMILL,EQ,232293,142699,61.43
20,40,ASAHIINDIA,EQ,1102,1102,100.00
20,41,ASHAPURMIN,EQ,102,50,49.02
20,42,ASHIMASYN,EQ,100,100,100.00
20,43,ASHKLEYFIN,EQ,3162,2522,79.76
20,44,ASHOKLEY,EQ,16548,13291,80.32
