Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <29-OCT-2002>,Settlement No <2002206>,Settlement Date <01-NOV-2002>
10,MTO,29102002,027756169,0000715
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,381,360,94.49
20,2,ABANLLOYD,EQ,6448,4989,77.37
20,3,ABB,EQ,16997,5667,33.34
20,4,ABBALPO,EQ,17084,12220,71.53
20,5,ABBOTTLAB,EQ,10,10,100.00
20,6,ABSHEKINDS,EQ,10358,6226,60.11
20,7,ABSIND,EQ,5783,3770,65.19
20,8,ACC,EQ,703175,256957,36.54
20,9,ADANIEXPO,EQ,37835,3060,8.09
20,10,ADLABSFILM,EQ,17108,7375,43.11
20,11,ADVANIORLI,EQ,1050,1050,100.00
20,12,AEGISCHEM,EQ,803,500,62.27
20,13,AFTEKINFO,EQ,1680181,80973,4.82
20,14,AGEEGOLD,EQ,4,0,0.00
20,15,AGREVOIND,EQ,9406,7248,77.06
20,16,AGRODUTCH,EQ,18228,15349,84.21
20,17,AHMEDELEC,EQ,620,520,83.87
20,18,AHMEDFORGE,EQ,1090,850,77.98
20,19,AJANTPHARM,EQ,6125,1000,16.33
20,20,AKSHOPTFBR,EQ,5895,3564,60.46
20,21,ALEMBICLTD,EQ,2125,1710,80.47
20,22,ALFALAVAL,EQ,1414,1304,92.22
20,23,ALOKTEXT,EQ,13767,9167,66.59
20,24,ALPSINDUS,EQ,3,1,33.33
20,25,AMARAJABAT,EQ,63089,34340,54.43
20,26,AMBUJARAJN,EQ,7810,6405,82.01
20,27,AMITSPIN,EQ,300,300,100.00
20,28,AMTREXAPPL,EQ,2000,2000,100.00
20,29,ANAMALFIN,EQ,900,900,100.00
20,30,ANDHRABANK,EQ,499907,344664,68.95
20,31,ANDHRSUGAR,EQ,500,500,100.00
20,32,ANTGRAPHIC,EQ,14161,13459,95.04
20,33,APCOTEXLAT,EQ,119,119,100.00
20,34,APOLLOHOSP,EQ,24248,17014,70.17
20,35,APOLLOTYRE,EQ,712235,124594,17.49
20,36,APTECHT,EQ,51501,20944,40.67
20,37,ARCHIES,EQ,995,875,87.94
20,38,ARHAMFISCL,EQ,402,200,49.75
20,39,ARIHANTCRE,EQ,28600,8200,28.67
20,40,ARVINDMILL,EQ,122946,74323,60.45
20,41,ASAHIINDIA,EQ,515,465,90.29
20,42,ASHAPURMIN,EQ,100,100,100.00
20,43,ASHIMASYN,EQ,1003,1000,99.70
20,44,ASHKLEYFIN,EQ,9995,9865,98.70
20,45,ASHOKLEY,EQ,60413,53515,88.58
20,46,ASIANELEC,EQ,1330,1225,92.11
20,47,ASIANHOTEL,EQ,2385,2100,88.05
20,48,ASIANPAINT,EQ,3737,3102,83.01
20,49,ASTRAIDL,EQ,50,50,100.00
20,50,ATCOIND,EQ,48763,33303,68.30
20,51,ATLASCOPCO,EQ,875,598,68.34
20,52,ATLASCYCLE,EQ,325,320,98.46
20,53,ATULPROD,EQ,3001,2850,94.97
20,54,AUROPHARMA,EQ,1433,1286,89.74
20,55,AUTORIDFIN,EQ,1000,1000,100.00
20,56,AZTEC,EQ,95724,38522,40.24
20,57,BAJAJAUTO,EQ,272969,136927,50.16
20,58,BAJAJHIND,EQ,2323,1733,74.60
20,59,BAJAJPLAST,EQ,1302,1300,99.85
20,60,BAJAUTOFIN,EQ,415,360,86.75
20,61,BALAJIDIST,EQ,8750,8700,99.43
20,62,BALAJITELE,EQ,2058133,466181,22.65
20,63,BALMLAWRIE,EQ,4521,2449,54.17
20,64,BALRAMCHIN,EQ,18754,9749,51.98
20,65,BANARISUG,EQ,141,141,100.00
20,66,BANKBARODA,EQ,97996,50629,51.66
20,67,BANKINDIA,EQ,245517,173615,70.71
20,68,BANKPUNJAB,EQ,20855,17355,83.22
20,69,BANKRAJAS,EQ,73502,55661,75.73
20,70,BASF,EQ,3402,2118,62.26
20,71,BATAINDIA,EQ,19898,14688,73.82
20,72,BAUSCHLOMB,EQ,15732,11906,75.68
20,73,BAYER,EQ,12,11,91.67
20,74,BBTC,EQ,715,714,99.86
20,75,BEL,EQ,410309,114814,27.98
20,76,BELCERAMIC,EQ,1975,1845,93.42
20,77,BEML,EQ,1199576,203315,16.95
20,78,BERGEPAINT,EQ,719,575,79.97
20,79,BFLSOFTWAR,EQ,11352,6001,52.86
20,80,BGFL,EQ,1054,854,81.02
20,81,BHARATFORG,EQ,8611,5443,63.21
20,82,BHARATGEAR,EQ,14,12,85.71
20,83,BHARATHOT,EQ,24,12,50.00
20,84,BHARTI,EQ,363920,228944,62.91
20,85,BHEL,EQ,164972,127505,77.29
20,86,BIL,EQ,2201,2200,99.95
20,87,BILT,EQ,97826,85571,87.47
20,88,BINDALAGRO,EQ,18050,14350,79.50
20,89,BIRLA3M,EQ,2562,2525,98.56
20,90,BIRLAERIC,EQ,4275,2935,68.65
20,91,BIRLAJUTE,EQ,1430,1430,100.00
20,92,BLBLIMITED,EQ,103,101,98.06
20,93,BLUECHIP,EQ,3200,2200,68.75
20,94,BLUEDART,EQ,2190,1900,86.76
20,95,BLUESTARCO,EQ,3237,3237,100.00
20,96,BLUESTINFO,EQ,2840,2450,86.27
20,97,BOMDYEING,EQ,12993,8393,64.60
20,98,BONGAIREFN,EQ,161661,71364,44.14
20,99,BOOTSPHARM,EQ,1200,1180,98.33
20,100,BPCL,EQ,2323273,423422,18.23
20,101,BPL,EQ,6052,4565,75.43
20,102,BPLENGG,EQ,4527,3600,79.52
20,103,BPLREFRIG,EQ,25,0,0.00
20,104,BPLSANTECH,EQ,2,1,50.00
20,105,BPLSANUTIL,EQ,1100,650,59.09
20,106,BRITANNIA,EQ,5613,5189,92.45
20,107,BSELINFO,EQ,600,550,91.67
20,108,BSES,EQ,9897,4125,41.68
20,109,BSL,EQ,20,20,100.00
20,110,BURRWELCOM,EQ,563,543,96.45
20,111,CADBURY,EQ,156,146,93.59
20,112,CADILAHC,EQ,3970,3010,75.82
20,113,CANFINHOME,EQ,1250,1150,92.00
20,114,CARBEVFLOW,EQ,3540,3240,91.53
20,115,CARBORUNIV,EQ,725,725,100.00
20,116,CARRIERAIR,EQ,510,510,100.00
20,117,CASTROL,EQ,14825,11093,74.83
20,118,CEAT,EQ,27929,18157,65.01
20,119,CENTENKA,EQ,14996,11378,75.87
20,120,CENTEXTRU,EQ,1002,1000,99.80
20,121,CENTURION,EQ,165672,108985,65.78
20,122,CENTURYTEX,EQ,212341,109071,51.37
20,123,CESC,EQ,6400,5401,84.39
20,124,CGIGARSH,EQ,755,705,93.38
20,125,CHAMBLFERT,EQ,45151,35626,78.90
20,126,CHEMPLAST,EQ,3608,3108,86.14
20,127,CHENNPETRO,EQ,26810,19004,70.88
20,128,CHESLINTEX,EQ,1000,1000,100.00
20,129,CHLORIDIND,EQ,2122,1956,92.18
20,130,CHOLAINV,EQ,3850,3400,88.31
20,131,CIBASPEC,EQ,1200,1100,91.67
20,132,CIMCOBIRLA,EQ,1,0,0.00
20,133,CINEVISTA,EQ,2685,1950,72.63
20,134,CIPL,EQ,1600,1600,100.00
20,135,CIPLA,EQ,13376,8483,63.42
20,136,CITICORSEC,EQ,9648,3063,31.75
20,137,CLARIANT,EQ,723,623,86.17
20,138,CMC,EQ,112785,12832,11.38
20,139,COATESIND,EQ,1406,1404,99.86
20,140,COATVIYELA,EQ,2952,2952,100.00
20,141,COCHINREFN,EQ,22745,12487,54.90
20,142,COLGATE,EQ,9170,7400,80.70
20,143,COLORCHEM,EQ,9708,6609,68.08
20,144,COMPUDYNE,EQ,48426,35499,73.31
20,145,COMPUTECH,EQ,24411,19961,81.77
20,146,CONCOR,EQ,3310,2303,69.58
20,147,CONSCOFFEE,EQ,1532,1332,86.95
20,148,COREPARENT,EQ,3173,2820,88.87
20,149,COROMNFERT,EQ,525,500,95.24
20,150,CORPBANK,EQ,35248,21893,62.11
20,151,COSMOFILMS,EQ,27992,9821,35.09
20,152,CREATIVEYE,EQ,11384,9234,81.11
20,153,CRESTCOMM,EQ,8584,4385,51.08
20,154,CRISIL,EQ,110,110,100.00
20,155,CROMPGREAV,EQ,106221,56528,53.22
20,156,CUB,EQ,8251,6221,75.40
20,157,CYBERTECH,EQ,5441,4734,87.01
20,158,D-LINK,EQ,12167,7429,61.06
20,159,DABUR,EQ,32102,22814,71.07
20,160,DALALSTCOM,EQ,96200,72100,74.95
20,161,DALMIACEM,EQ,128,128,100.00
20,162,DCM,EQ,4444,3942,88.70
20,163,DCMFINSERV,EQ,756,600,79.37
20,164,DCMSRMCONS,EQ,70,49,70.00
20,165,DCW,EQ,50305,45803,91.05
20,166,DEEPAKFERT,EQ,9650,9050,93.78
20,167,DENABANK,EQ,13712,11090,80.88
20,168,DGPWINDSOR,EQ,1,0,0.00
20,169,DHAMPURSUG,EQ,3788,3787,99.97
20,170,DIGITALEQP,EQ,6938285,271760,3.92
20,171,DRREDDY,EQ,155980,89267,57.23
20,172,DSKULKARNI,EQ,1,0,0.00
20,173,DUNCANSIND,EQ,1,0,0.00
20,174,DYNACONS,EQ,145502,129000,88.66
20,175,EASTSILK,EQ,400,400,100.00
20,176,EASTSUGIND,EQ,1,0,0.00
20,177,EASUNREYRL,EQ,100,100,100.00
20,178,EICHERLTD,EQ,3367,3048,90.53
20,179,EICHERMOT,EQ,82560,41292,50.01
20,180,EIDPARRY,EQ,1210,997,82.40
20,181,EIHOTEL,EQ,6043,5991,99.14
20,182,ELDERPHARM,EQ,345,260,75.36
20,183,ELECTCAST,EQ,16935,8479,50.07
20,184,ELGIEQUIP,EQ,11571,8805,76.10
20,185,ELGITYRE,EQ,100,100,100.00
20,186,EMERCK,EQ,4487,3406,75.91
20,187,ENGINERSIN,EQ,137339,30343,22.09
20,188,ESABINDIA,EQ,1011,805,79.62
20,189,ESCORTS,EQ,8960,7818,87.25
20,190,ESSARGUJ,EQ,217728,151135,69.41
20,191,ESSAROIL,EQ,34705,30180,86.96
20,192,ESSELPACK,EQ,1013,382,37.71
20,193,EXCELIND,EQ,1975,1635,82.78
20,194,FACT,EQ,15568,8504,54.62
20,195,FAGBEARING,EQ,6320,5590,88.45
20,196,FDC,EQ,35859,9187,25.62
20,197,FEDERALBNK,EQ,78416,35513,45.29
20,198,FINCABLES,EQ,7748,5166,66.68
20,199,FINPIPE,EQ,9480,8149,85.96
20,200,FIRSTLEASE,EQ,275,275,100.00
20,201,FLEX,EQ,12752,10933,85.74
20,202,FLEXCHEM,EQ,511,503,98.43
20,203,FLEXENGG,EQ,414,408,98.55
20,204,FLOATGLASS,EQ,1625,1625,100.00
20,205,FOSECOIND,EQ,253,253,100.00
20,206,FUJITSICIM,EQ,41881,12779,30.51
20,207,GAEL,EQ,321,320,99.69
20,208,GAIL,EQ,280343,175873,62.73
20,209,GAMMONIND,EQ,11531,1518,13.16
20,210,GARDENSILK,EQ,5662,5662,100.00
20,211,GEOMETRIC,EQ,1818734,134221,7.38
20,212,GEORGWILIM,EQ,365,365,100.00
20,213,GERMANREM,EQ,100,100,100.00
20,214,GESCOCORP,EQ,2841,1233,43.40
20,215,GESHIPPING,EQ,223970,150106,67.02
20,216,GHCL,EQ,37756,34542,91.49
20,217,GICHSGFIN,EQ,7180,7180,100.00
20,218,GINNIFILA,EQ,200,200,100.00
20,219,GIPCL,EQ,6080,5650,92.93
20,220,GKW,EQ,586,496,84.64
20,221,GLAXO,EQ,6945,3466,49.91
20,222,GLENMARK,EQ,398,378,94.97
20,223,GLOBALTELE,EQ,3196117,425310,13.31
20,224,GLOBLTRUST,EQ,100466,56972,56.71
20,225,GMDCLTD,EQ,2659,2311,86.91
20,226,GNFC,EQ,65662,58846,89.62
20,227,GODAVRFERT,EQ,500,500,100.00
20,228,GODREJCP,EQ,4144,3828,92.37
20,229,GOETZEIND,EQ,28517,22699,79.60
20,230,GOLDTECH,EQ,38474,24481,63.63
20,231,GOLDTELE,EQ,6454,5280,81.81
20,232,GOODLASNER,EQ,35841,22645,63.18
20,233,GPELECT,EQ,1,0,0.00
20,234,GRANDFONRY,EQ,1,0,0.00
20,235,GRASIM,EQ,227633,200118,87.91
20,236,GSFC,EQ,5842,4440,76.00
20,237,GTCIND,EQ,726,725,99.86
20,238,GTNTEXT,EQ,687,673,97.96
20,239,GUJALKALI,EQ,4192,2142,51.10
20,240,GUJAMBCEM,EQ,88464,71926,81.31
20,241,GUJFLUORO,EQ,700,700,100.00
20,242,GUJRATGAS,EQ,1665,1600,96.10
20,243,GUJSIDHCEM,EQ,13000,11800,90.77
20,244,HARRMALAYA,EQ,1733,1530,88.29
20,245,HARYANSHET,EQ,200,100,50.00
20,246,HAVELLS,EQ,2135,123,5.76
20,247,HBSTOCK,EQ,101,50,49.50
20,248,HCL-INSYS,EQ,29643,13142,44.33
20,249,HCLTECH,EQ,2712202,239904,8.85
20,250,HDFC,EQ,62905,58260,92.62
20,251,HDFCBANK,EQ,55944,26349,47.10
20,252,HEG,EQ,4950,3976,80.32
20,253,HERITGFOOD,EQ,400,400,100.00
20,254,HEROHONDA,EQ,377029,100670,26.70
20,255,HEXAWARE,EQ,2225120,170218,7.65
20,256,HIKAL,EQ,1005,1005,100.00
20,257,HIMACHLFUT,EQ,4213561,1452886,34.48
20,258,HIMATSEIDE,EQ,1890,1790,94.71
20,259,HINDALC0,EQ,18029,15202,84.32
20,260,HINDCOMPOS,EQ,50,25,50.00
20,261,HINDCONS,EQ,11377,10243,90.03
20,262,HINDDORROL,EQ,206,200,97.09
20,263,HINDINKS,EQ,1045,997,95.41
20,264,HINDLEVCHM,EQ,3705,3024,81.62
20,265,HINDLEVER,EQ,2189455,1250301,57.11
20,266,HINDMOTOR,EQ,129755,99962,77.04
20,267,HINDOILEXP,EQ,11200,9765,87.19
20,268,HINDPETRO,EQ,4007919,501438,12.51
20,269,HINDSANIT,EQ,850,850,100.00
20,270,HINDSYNTEX,EQ,300,300,100.00
20,271,HINDUJAFIN,EQ,2214336,111349,5.03
20,272,HINDZINC,EQ,31368,24917,79.43
20,273,HMT,EQ,137780,41975,30.47
20,274,HOCL,EQ,80082,30434,38.00
20,275,HOECHST,EQ,433,368,84.99
20,276,HOTELEELA,EQ,9801,9701,98.98
20,277,HUGHESSOFT,EQ,1530121,176262,11.52
20,278,HUGHESTELE,EQ,201205,168722,83.86
20,279,HYDRBADIND,EQ,10,6,60.00
20,280,I-FLEX,EQ,67991,25753,37.88
20,281,IBP,EQ,7163,4220,58.91
20,282,ICI,EQ,4397,3745,85.17
20,283,ICICIBANK,EQ,689289,441984,64.12
20,284,IDBI,EQ,51296,41259,80.43
20,285,IDBIBANK,EQ,12634,9625,76.18
20,286,IFBIND,EQ,4402,4000,90.87
20,287,IFCI,EQ,66722,41309,61.91
20,288,IFCI,N2,1,1,100.00
20,289,INDAL,EQ,62737,62691,99.93
20,290,INDGYPSUM,EQ,166,164,98.80
20,291,INDHOTEL,EQ,11666,5099,43.71
20,292,INDIACEM,EQ,44334,32710,73.78
20,293,INDIAFOILS,EQ,680,380,55.88
20,294,INDIANCARD,EQ,1193,791,66.30
