Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <11-NOV-2002>,Settlement No <2002213>,Settlement Date <14-NOV-2002>
10,MTO,11112002,022380023,0000707
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,250,225,90.00
20,2,ABANLLOYD,EQ,9736,8143,83.64
20,3,ABB,EQ,16505,6641,40.24
20,4,ABBALPO,EQ,14341,11323,78.96
20,5,ABBOTTLAB,EQ,288,288,100.00
20,6,ABSHEKINDS,EQ,9472,8971,94.71
20,7,ABSIND,EQ,7273,6569,90.32
20,8,ACC,EQ,209635,61726,29.44
20,9,ADANIEXPO,EQ,42756,2466,5.77
20,10,ADLABSFILM,EQ,7946,6245,78.59
20,11,ADVANIORLI,EQ,4494,4459,99.22
20,12,AEGISCHEM,EQ,100,100,100.00
20,13,AFTEKINFO,EQ,2321441,139392,6.00
20,14,AGEEGOLD,EQ,1310,1299,99.16
20,15,AGREVOIND,EQ,14214,9650,67.89
20,16,AGRODUTCH,EQ,25739,18008,69.96
20,17,AHMEDELEC,EQ,200,100,50.00
20,18,AHMEDFORGE,EQ,1680,1680,100.00
20,19,AJANTPHARM,EQ,5528,526,9.52
20,20,AKSHOPTFBR,EQ,1560,1300,83.33
20,21,ALEMBICLTD,EQ,532,360,67.67
20,22,ALFALAVAL,EQ,200,200,100.00
20,23,ALOKTEXT,EQ,28237,19812,70.16
20,24,ALPSINDUS,EQ,71,70,98.59
20,25,AMARAJABAT,EQ,7059,4477,63.42
20,26,AMBUJARAJN,EQ,5660,5435,96.02
20,27,AMITSPIN,EQ,4,1,25.00
20,28,AMTREXAPPL,EQ,600,600,100.00
20,29,ANAMALFIN,EQ,800,700,87.50
20,30,ANDHRABANK,EQ,183744,126528,68.86
20,31,ANDHRSUGAR,EQ,103,101,98.06
20,32,ANTGRAPHIC,EQ,1200,1200,100.00
20,33,APCOTEXLAT,EQ,102,101,99.02
20,34,APOLLOHOSP,EQ,19779,7046,35.62
20,35,APOLLOTYRE,EQ,165134,56627,34.29
20,36,APTECHT,EQ,24624,13762,55.89
20,37,ARCHIES,EQ,20703,3628,17.52
20,38,ARHAMFISCL,EQ,2500,1500,60.00
20,39,ARIHANTCRE,EQ,33602,10600,31.55
20,40,ARVINDMILL,EQ,106965,64996,60.76
20,41,ASAHIINDIA,EQ,1440,1430,99.31
20,42,ASHIMASYN,EQ,200,200,100.00
20,43,ASHKLEYFIN,EQ,5703,4702,82.45
20,44,ASHOKLEY,EQ,52789,28883,54.71
20,45,ASIANELEC,EQ,451,450,99.78
20,46,ASIANHOTEL,EQ,1711,1227,71.71
20,47,ASIANPAINT,EQ,16130,12099,75.01
20,48,ASTRAIDL,EQ,100,100,100.00
20,49,ATCOIND,EQ,8306,8006,96.39
20,50,ATLASCOPCO,EQ,974,822,84.39
20,51,ATLASCYCLE,EQ,33,33,100.00
20,52,ATULPROD,EQ,250,250,100.00
20,53,AUROPHARMA,EQ,3012,2636,87.52
20,54,AUTORIDFIN,EQ,500,500,100.00
20,55,AZTEC,EQ,35441,24973,70.46
20,56,BAJAJAUTO,EQ,50051,16613,33.19
20,57,BAJAJPLAST,EQ,1925,1925,100.00
20,58,BAJAUTOFIN,EQ,1305,1302,99.77
20,59,BALAJIDIST,EQ,7222,6935,96.03
20,60,BALAJITELE,EQ,102493,27659,26.99
20,61,BALMLAWRIE,EQ,8530,7129,83.58
20,62,BALRAMCHIN,EQ,13644,2891,21.19
20,63,BANARISUG,EQ,124,124,100.00
20,64,BANKBARODA,EQ,26199,23770,90.73
20,65,BANKINDIA,EQ,243323,164462,67.59
20,66,BANKPUNJAB,EQ,20955,20200,96.40
20,67,BANKRAJAS,EQ,33386,26555,79.54
20,68,BASF,EQ,2427,1818,74.91
20,69,BATAINDIA,EQ,34216,24037,70.25
20,70,BAUSCHLOMB,EQ,246433,116161,47.14
20,71,BAYER,EQ,86,75,87.21
20,72,BBTC,EQ,25500,25250,99.02
20,73,BEL,EQ,127194,37169,29.22
20,74,BELCERAMIC,EQ,2461,2061,83.75
20,75,BEML,EQ,424309,136382,32.14
20,76,BERGEPAINT,EQ,1538,1338,87.00
20,77,BFLSOFTWAR,EQ,2396,527,21.99
20,78,BGFL,EQ,600,600,100.00
20,79,BHARATFORG,EQ,5887,4094,69.54
20,80,BHARATGEAR,EQ,1001,1001,100.00
20,81,BHARATHOT,EQ,209,209,100.00
20,82,BHARTI,EQ,305944,278877,91.15
20,83,BHEL,EQ,269105,129507,48.13
20,84,BIL,EQ,1402,1000,71.33
20,85,BILT,EQ,224674,117114,52.13
20,86,BINDALAGRO,EQ,13800,9530,69.06
20,87,BIRLA3M,EQ,1330,1320,99.25
20,88,BIRLAERIC,EQ,2170,2170,100.00
20,89,BIRLAJUTE,EQ,26570,25700,96.73
20,90,BLUECHIP,EQ,1901,500,26.30
