Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <28-NOV-2002>,Settlement No <2002225>,Settlement Date <03-DEC-2002>
10,MTO,28112002,043876129,0000739
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,3070,1970,64.17
20,2,ABANLLOYD,EQ,8209,6409,78.07
20,3,ABB,EQ,36204,18497,51.09
20,4,ABBALPO,EQ,13335,9416,70.61
20,5,ABBOTTLAB,EQ,499,474,94.99
20,6,ABSHEKINDS,EQ,4023,4023,100.00
20,7,ABSIND,EQ,4186,4109,98.16
20,8,ACC,EQ,1841319,601956,32.69
20,9,ADANIEXPO,EQ,34766,1266,3.64
20,10,ADLABSFILM,EQ,50492,38065,75.39
20,11,ADVANIORLI,EQ,1753,1403,80.03
20,12,AEGISCHEM,EQ,1067,1067,100.00
20,13,AFTEKINFO,EQ,978798,102475,10.47
20,14,AGEEGOLD,EQ,775,775,100.00
20,15,AGREVOIND,EQ,2206,1586,71.89
20,16,AGRODUTCH,EQ,11873,9701,81.71
20,17,AHMEDELEC,EQ,746,656,87.94
20,18,AHMEDFORGE,EQ,825,825,100.00
20,19,AJANTPHARM,EQ,12339,1939,15.71
20,20,AKSHOPTFBR,EQ,12621,9635,76.34
20,21,ALEMBICLTD,EQ,11236,8082,71.93
20,22,ALFALAVAL,EQ,161,161,100.00
20,23,ALOKTEXT,EQ,158852,85700,53.95
20,24,ALPSINDUS,EQ,108,100,92.59
20,25,AMARAJABAT,EQ,5919,3471,58.64
20,26,AMBUJARAJN,EQ,108505,98061,90.37
20,27,AMITSPIN,EQ,201,100,49.75
20,28,AMTREXAPPL,EQ,1351,1350,99.93
20,29,ANAMALFIN,EQ,500,500,100.00
20,30,ANDHRABANK,EQ,1084065,711358,65.62
20,31,ANDHRSUGAR,EQ,13890,13889,99.99
20,32,ANTGRAPHIC,EQ,1402,1301,92.80
20,33,APCOTEXLAT,EQ,75,75,100.00
20,34,APOLLOHOSP,EQ,60355,31929,52.90
20,35,APOLLOTYRE,EQ,126481,53348,42.18
20,36,APTECHT,EQ,52628,32573,61.89
20,37,ARCHIES,EQ,2971,2243,75.50
20,38,ARHAMFISCL,EQ,15828,11960,75.56
20,39,ARIHANTCRE,EQ,72879,34575,47.44
20,40,ARVINDMILL,EQ,218615,128126,58.61
20,41,ASAHIINDIA,EQ,1500,1500,100.00
20,42,ASHAPURMIN,EQ,200,0,0.00
20,43,ASHIMASYN,EQ,1300,1200,92.31
20,44,ASHKLEYFIN,EQ,6941,5760,82.99
20,45,ASHOKLEY,EQ,122096,69464,56.89
20,46,ASIANELEC,EQ,1030,1026,99.61
20,47,ASIANHOTEL,EQ,730,730,100.00
