Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <26-DEC-2002>,Settlement No <2002244>,Settlement Date <31-DEC-2002>
10,MTO,26122002,047913490,0000719
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,230,230,100.00
20,2,ABANLLOYD,EQ,14056,10831,77.06
20,3,ABB,EQ,10460,10074,96.31
20,4,ABBALPO,EQ,10170,8990,88.40
20,5,ABBOTTLAB,EQ,19,19,100.00
20,6,ABSHEKINDS,EQ,49083,41177,83.89
20,7,ABSIND,EQ,12721,9097,71.51
20,8,ACC,EQ,729246,344700,47.27
20,9,ADANIEXPO,EQ,11413,555,4.86
20,10,ADLABSFILM,EQ,80059,36872,46.06
20,11,ADVANIORLI,EQ,21129,17212,81.46
20,12,AEGISCHEM,EQ,1470,1369,93.13
20,13,AFTEKINFO,EQ,743200,100604,13.54
20,14,AGEEGOLD,EQ,2190,1650,75.34
20,15,AGREVOIND,EQ,1001,900,89.91
20,16,AGRODUTCH,EQ,11878,11478,96.63
20,17,AHMEDELEC,EQ,344,344,100.00
20,18,AHMEDFORGE,EQ,3349,3299,98.51
20,19,AJANTPHARM,EQ,5915,575,9.72
20,20,AKSHOPTFBR,EQ,10249,6548,63.89
20,21,ALBK,EQ,265161,203400,76.71
20,22,ALEMBICLTD,EQ,39906,21210,53.15
20,23,ALFALAVAL,EQ,772,699,90.54
20,24,ALOKTEXT,EQ,41365,32405,78.34
20,25,ALPSINDUS,EQ,3809,3786,99.40
20,26,AMARAJABAT,EQ,5614,4307,76.72
20,27,AMBUJARAJN,EQ,27125,20785,76.63
20,28,AMITSPIN,EQ,1702,1701,99.94
20,29,AMTREXAPPL,EQ,97015,63825,65.79
20,30,ANAMALFIN,EQ,1535,1535,100.00
20,31,ANDHRABANK,EQ,1179557,637968,54.09
20,32,ANDHRSUGAR,EQ,3752,3751,99.97
20,33,ANTGRAPHIC,EQ,2350,2350,100.00
20,34,APCOTEXLAT,EQ,919,899,97.82
20,35,APOLLOHOSP,EQ,64245,29846,46.46
20,36,APOLLOTYRE,EQ,30118,13415,44.54
20,37,APTECHT,EQ,309790,142622,46.04
20,38,ARCHIES,EQ,1090,940,86.24
20,39,ARHAMFISCL,EQ,30059,29556,98.33
20,40,ARIHANTCRE,EQ,46841,9500,20.28
20,41,ARVINDMILL,EQ,169489,100897,59.53
20,42,ASAHIINDIA,EQ,1226,1176,95.92
20,43,ASHIMASYN,EQ,100,100,100.00
20,44,ASHKLEYFIN,EQ,8490,8213,96.74
20,45,ASHOKLEY,EQ,11013,6585,59.79
20,46,ASIANELEC,EQ,3875,3875,100.00
20,47,ASIANHOTEL,EQ,685,515,75.18
20,48,ASIANPAINT,EQ,8325,2126,25.54
20,49,ATCOIND,EQ,130409,68592,52.60
20,50,ATLASCOPCO,EQ,14327,14127,98.60
20,51,ATLASCYCLE,EQ,718,700,97.49
20,52,ATULPROD,EQ,5144,4519,87.85
20,53,AUROPHARMA,EQ,24761,14713,59.42
20,54,AUTORIDFIN,EQ,1,1,100.00
20,55,AZTEC,EQ,77751,37670,48.45
20,56,BAJAJAUTO,EQ,82274,49471,60.13
20,57,BAJAJHIND,EQ,14,14,100.00
20,58,BAJAUTOFIN,EQ,4132,3852,93.22
20,59,BALAJIDIST,EQ,10000,8950,89.50
20,60,BALAJITELE,EQ,62463,25659,41.08
20,61,BALMLAWRIE,EQ,39280,22146,56.38
20,62,BALRAMCHIN,EQ,10053,2983,29.67
20,63,BANARISUG,EQ,200,200,100.00
20,64,BANKBARODA,EQ,1747174,615820,35.25
20,65,BANKINDIA,EQ,517419,222723,43.04
20,66,BANKPUNJAB,EQ,60814,50192,82.53
20,67,BANKRAJAS,EQ,98814,63829,64.60
20,68,BASF,EQ,4899,3126,63.81
20,69,BATAINDIA,EQ,16157,12524,77.51
20,70,BAUSCHLOMB,EQ,68305,49422,72.35
20,71,BAYER,EQ,62,58,93.55
20,72,BEL,EQ,63600,21716,34.14
20,73,BELCERAMIC,EQ,3870,3440,88.89
20,74,BEML,EQ,780423,177302,22.72
