Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <30-DEC-2002>,Settlement No <2002246>,Settlement Date <02-JAN-2003>
10,MTO,30122002,033060131,0000715
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1100,1025,93.18
20,2,ABANLLOYD,EQ,17099,14415,84.30
20,3,ABB,EQ,6591,3655,55.45
20,4,ABBALPO,EQ,33704,26995,80.09
20,5,ABBOTTLAB,EQ,302,225,74.50
20,6,ABSHEKINDS,EQ,11518,9190,79.79
20,7,ABSIND,EQ,14183,5818,41.02
20,8,ACC,EQ,1432822,407840,28.46
20,9,ADANIEXPO,EQ,10525,250,2.38
20,10,ADLABSFILM,EQ,65703,53394,81.27
20,11,ADVANIORLI,EQ,6513,5390,82.76
20,12,AEGISCHEM,EQ,2207,2207,100.00
20,13,AFTEKINFO,EQ,553090,45525,8.23
20,14,AGEEGOLD,EQ,2910,1960,67.35
20,15,AGREVOIND,EQ,205,185,90.24
20,16,AGRODUTCH,EQ,16716,14245,85.22
20,17,AHMEDELEC,EQ,570,470,82.46
20,18,AHMEDFORGE,EQ,12833,11175,87.08
20,19,AJANTPHARM,EQ,6940,1555,22.41
20,20,AKSHOPTFBR,EQ,11111,8171,73.54
20,21,ALBK,EQ,235345,169065,71.84
20,22,ALEMBICLTD,EQ,10183,5932,58.25
20,23,ALFALAVAL,EQ,847,804,94.92
20,24,ALOKTEXT,EQ,74925,60625,80.91
20,25,ALPSINDUS,EQ,77,76,98.70
20,26,AMARAJABAT,EQ,6084,4621,75.95
20,27,AMBUJARAJN,EQ,18373,16407,89.30
20,28,AMTREXAPPL,EQ,16686,13123,78.65
20,29,ANAMALFIN,EQ,500,500,100.00
20,30,ANDHRABANK,EQ,1256555,626033,49.82
20,31,ANDHRSUGAR,EQ,1202,1102,91.68
20,32,ANTGRAPHIC,EQ,850,850,100.00
20,33,APCOTEXLAT,EQ,1814,1813,99.94
20,34,APOLLOHOSP,EQ,21583,14317,66.33
20,35,APOLLOTYRE,EQ,89196,57656,64.64
20,36,APTECHT,EQ,329885,154628,46.87
20,37,ARCHIES,EQ,2216,1751,79.02
20,38,ARHAMFISCL,EQ,1501,1300,86.61
20,39,ARIHANTCRE,EQ,41750,6450,15.45
20,40,ARVINDMILL,EQ,273631,155336,56.77
20,41,ASAHIINDIA,EQ,1225,1225,100.00
20,42,ASHAPURMIN,EQ,104,100,96.15
20,43,ASHIMASYN,EQ,701,699,99.71
20,44,ASHKLEYFIN,EQ,2840,2639,92.92
20,45,ASHOKLEY,EQ,24106,14434,59.88
20,46,ASIANELEC,EQ,8435,7275,86.25
20,47,ASIANHOTEL,EQ,520,520,100.00
20,48,ASIANPAINT,EQ,2631,1772,67.35
20,49,ATCOIND,EQ,46349,38584,83.25
20,50,ATLASCOPCO,EQ,7741,7731,99.87
20,51,ATLASCYCLE,EQ,550,550,100.00
20,52,ATULPROD,EQ,7426,7426,100.00
20,53,AUROPHARMA,EQ,17456,10994,62.98
20,54,AUTORIDFIN,EQ,205,205,100.00
20,55,AZTEC,EQ,78448,62045,79.09
20,56,BAGYAMETAL,EQ,100,100,100.00
20,57,BAJAJAUTO,EQ,75018,25481,33.97
20,58,BAJAJHIND,EQ,1054,1052,99.81
20,59,BAJAUTOFIN,EQ,2540,2540,100.00
20,60,BALAJIDIST,EQ,12383,10550,85.20
20,61,BALAJITELE,EQ,87928,51578,58.66
20,62,BALMLAWRIE,EQ,129190,59811,46.30
20,63,BALRAMCHIN,EQ,8252,3500,42.41
20,64,BANARISUG,EQ,21,21,100.00
20,65,BANKBARODA,EQ,613213,167266,27.28
20,66,BANKINDIA,EQ,274911,157920,57.44
20,67,BANKPUNJAB,EQ,79287,58582,73.89
20,68,BANKRAJAS,EQ,78013,65425,83.86
20,69,BASF,EQ,9654,5999,62.14
20,70,BATAINDIA,EQ,37808,33357,88.23
20,71,BAUSCHLOMB,EQ,56489,32082,56.79
20,72,BAYER,EQ,24,19,79.17
20,73,BBTC,EQ,1100,100,9.09
20,74,BEL,EQ,145276,91600,63.05
20,75,BELCERAMIC,EQ,7300,6600,90.41
20,76,BEML,EQ,856528,173612,20.27
20,77,BERGEPAINT,EQ,2538,1408,55.48
20,78,BFLSOFTWAR,EQ,41919,21176,50.52
20,79,BGFL,EQ,2500,2000,80.00
20,80,BHARATFORG,EQ,139192,93515,67.18
20,81,BHARATGEAR,EQ,99,99,100.00
20,82,BHARTI,EQ,430128,242214,56.31
20,83,BHEL,EQ,92847,53397,57.51
20,84,BIL,EQ,200,200,100.00
20,85,BILT,EQ,118666,94648,79.76
20,86,BINDALAGRO,EQ,10335,9230,89.31
20,87,BIRLA3M,EQ,936,460,49.15
20,88,BIRLAERIC,EQ,4791,3150,65.75
20,89,BIRLAJUTE,EQ,27777,19425,69.93
20,90,BLBLIMITED,EQ,331,331,100.00
20,91,BLUECHIP,EQ,8465,7170,84.70
20,92,BLUEDART,EQ,7616,6344,83.30
20,93,BLUESTARCO,EQ,26271,25741,97.98
20,94,BLUESTINFO,EQ,2256,1475,65.38
20,95,BOMDYEING,EQ,7181,4955,69.00
20,96,BONGAIREFN,EQ,285594,145905,51.09
20,97,BOOTSPHARM,EQ,561,561,100.00
20,98,BPCL,EQ,2809122,430884,15.34
20,99,BPL,EQ,13804,12526,90.74
20,100,BPLENGG,EQ,5006,3202,63.96
20,101,BPLREFRIG,EQ,305,305,100.00
20,102,BPLSANTECH,EQ,101,101,100.00
20,103,BPLSANUTIL,EQ,1411,1400,99.22
20,104,BRITANNIA,EQ,3324,3108,93.50
20,105,BSELINFO,EQ,1250,1250,100.00
20,106,BSES,EQ,13510,8044,59.54
20,107,BSL,EQ,5162,5161,99.98
20,108,BURRWELCOM,EQ,907,631,69.57
20,109,CADILAHC,EQ,4351,2851,65.53
20,110,CANBK,EQ,2078946,720629,34.66
20,111,CANFINHOME,EQ,1760,1760,100.00
20,112,CARBEVFLOW,EQ,3760,3560,94.68
20,113,CARBORUNIV,EQ,1609,1259,78.25
20,114,CARRIERAIR,EQ,367,367,100.00
20,115,CASTROL,EQ,72228,35107,48.61
20,116,CEAT,EQ,19979,13194,66.04
20,117,CENTENKA,EQ,42422,17605,41.50
20,118,CENTURION,EQ,202096,134119,66.36
20,119,CENTURYTEX,EQ,563770,249823,44.31
20,120,CESC,EQ,38211,29565,77.37
20,121,CGIGARSH,EQ,3490,2390,68.48
20,122,CHAMBLFERT,EQ,182959,161550,88.30
20,123,CHEMPLAST,EQ,2110,2110,100.00
20,124,CHENNPETRO,EQ,26963,24850,92.16
20,125,CHESLINTEX,EQ,2100,2100,100.00
20,126,CHLORIDIND,EQ,3095,2708,87.50
20,127,CHOLAINV,EQ,8860,8850,99.89
20,128,CIBASPEC,EQ,750,500,66.67
20,129,CIMCOBIRLA,EQ,4500,4500,100.00
20,130,CINEVISTA,EQ,1065,865,81.22
20,131,CIPL,EQ,5107,5107,100.00
20,132,CIPLA,EQ,35515,21104,59.42
20,133,CITICORSEC,EQ,73746,33894,45.96
20,134,CLARIANT,EQ,1551,1126,72.60
20,135,CMC,EQ,139968,11857,8.47
20,136,COATESIND,EQ,1537,1512,98.37
20,137,COCHINREFN,EQ,86208,66334,76.95
