Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <15-JAN-2003>,Settlement No <2003011>,Settlement Date <20-JAN-2003>
10,MTO,15012003,040659172,0000718
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,934,914,97.86
20,2,ABANLLOYD,EQ,18962,12875,67.90
20,3,ABB,EQ,20786,17934,86.28
20,4,ABBALPO,EQ,65282,39552,60.59
20,5,ABBOTTLAB,EQ,704,654,92.90
20,6,ABSHEKINDS,EQ,31190,28522,91.45
20,7,ABSIND,EQ,19548,15276,78.15
20,8,ACC,EQ,477407,171159,35.85
20,9,ADANIEXPO,EQ,31112,625,2.01
20,10,ADLABSFILM,EQ,8706,7176,82.43
20,11,ADVANIORLI,EQ,3582,2647,73.90
20,12,AFTEKINFO,EQ,816431,63036,7.72
20,13,AGEEGOLD,EQ,2112,1660,78.60
20,14,AGREVOIND,EQ,1587,880,55.45
20,15,AGRODUTCH,EQ,3800,3620,95.26
20,16,AHMEDELEC,EQ,366,315,86.07
20,17,AHMEDFORGE,EQ,300,300,100.00
20,18,AJANTPHARM,EQ,5741,450,7.84
20,19,AKSHOPTFBR,EQ,12892,10261,79.59
20,20,ALBK,EQ,891600,509425,57.14
20,21,ALEMBICLTD,EQ,5915,3592,60.73
20,22,ALFALAVAL,EQ,432,259,59.95
20,23,ALOKTEXT,EQ,57610,48790,84.69
20,24,ALPSINDUS,EQ,2,0,0.00
20,25,AMARAJABAT,EQ,6281,4744,75.53
20,26,AMBUJARAJN,EQ,19350,13950,72.09
20,27,AMITSPIN,EQ,1400,1400,100.00
20,28,AMTREXAPPL,EQ,18793,17234,91.70
20,29,ANAMALFIN,EQ,1100,1100,100.00
20,30,ANDHRABANK,EQ,2187710,701816,32.08
20,31,ANDHRSUGAR,EQ,1400,1400,100.00
20,32,ANTGRAPHIC,EQ,100,100,100.00
20,33,APCOTEXLAT,EQ,769,754,98.05
20,34,APOLLOHOSP,EQ,38116,25361,66.54
20,35,APOLLOTYRE,EQ,151129,110069,72.83
20,36,APTECHT,EQ,186224,61930,33.26
20,37,ARCHIES,EQ,3514,2235,63.60
20,38,ARHAMFISCL,EQ,5839,4763,81.57
20,39,ARIHANTCRE,EQ,56300,16000,28.42
20,40,ARL,EQ,197702,22901,11.58
20,41,ARVINDMILL,EQ,896164,543180,60.61
20,42,ASAHIINDIA,EQ,15187,12878,84.80
20,43,ASHAPURMIN,EQ,300,300,100.00
20,44,ASHIMASYN,EQ,251,250,99.60
20,45,ASHKLEYFIN,EQ,6536,5488,83.97
20,46,ASHOKLEY,EQ,41868,22875,54.64
20,47,ASIANELEC,EQ,1176,1176,100.00
20,48,ASIANHOTEL,EQ,675,675,100.00
20,49,ASIANPAINT,EQ,5029,2997,59.59
20,50,ASTRAIDL,EQ,10250,250,2.44
20,51,ATCOIND,EQ,15952,12799,80.23
20,52,ATFL,EQ,1757,1708,97.21
20,53,ATLASCOPCO,EQ,135,135,100.00
20,54,ATLASCYCLE,EQ,2152,1651,76.72
20,55,ATULPROD,EQ,12223,10512,86.00
20,56,AUROPHARMA,EQ,157807,102927,65.22
20,57,AZTEC,EQ,30844,16245,52.67
20,58,BAJAJAUTO,EQ,578463,243222,42.05
20,59,BAJAJHIND,EQ,254,200,78.74
20,60,BAJAJPLAST,EQ,6020,6020,100.00
20,61,BAJAUTOFIN,EQ,37195,31460,84.58
20,62,BALAJIDIST,EQ,3942,3036,77.02
20,63,BALAJITELE,EQ,127407,61596,48.35
20,64,BALMLAWRIE,EQ,3610,2512,69.58
20,65,BALRAMCHIN,EQ,7969,5276,66.21
20,66,BANARISUG,EQ,10175,125,1.23
20,67,BANKBARODA,EQ,880578,217605,24.71
20,68,BANKINDIA,EQ,1193344,506289,42.43
20,69,BANKPUNJAB,EQ,249789,192617,77.11
20,70,BANKRAJAS,EQ,145915,104971,71.94
20,71,BASF,EQ,9916,8352,84.23
20,72,BATAINDIA,EQ,15529,10115,65.14
20,73,BAUSCHLOMB,EQ,13520,12316,91.09
20,74,BAYER,EQ,53,53,100.00
20,75,BBTC,EQ,54780,54080,98.72
20,76,BEL,EQ,200823,71983,35.84
20,77,BELCERAMIC,EQ,4200,3500,83.33
20,78,BEML,EQ,510334,116439,22.82
20,79,BERGEPAINT,EQ,1301,1291,99.23
20,80,BFLSOFTWAR,EQ,30450,12103,39.75
20,81,BGFL,EQ,825,825,100.00
20,82,BHARATFORG,EQ,290539,115531,39.76
20,83,BHARATGEAR,EQ,601,600,99.83
20,84,BHARATHOT,EQ,225,200,88.89
20,85,BHARATRAS,EQ,400,300,75.00
20,86,BHARTI,EQ,301680,228001,75.58
20,87,BHEL,EQ,277655,209217,75.35
20,88,BIL,EQ,408,241,59.07
20,89,BILT,EQ,80797,61163,75.70
20,90,BINDALAGRO,EQ,18405,16902,91.83
20,91,BIRLA3M,EQ,847,645,76.15
20,92,BIRLAERIC,EQ,5617,5220,92.93
20,93,BIRLAJUTE,EQ,21125,20125,95.27
20,94,BLBLIMITED,EQ,2000,1970,98.50
20,95,BLUECHIP,EQ,300,300,100.00
20,96,BLUEDART,EQ,2918,2051,70.29
20,97,BLUESTARCO,EQ,1225,1175,95.92
20,98,BLUESTINFO,EQ,3267,2476,75.79
20,99,BOMDYEING,EQ,16433,12275,74.70
20,100,BONGAIREFN,EQ,192592,152028,78.94
20,101,BOOTSPHARM,EQ,1907,1201,62.98
20,102,BPCL,EQ,926781,212641,22.94
20,103,BPL,EQ,3101,2389,77.04
20,104,BPLENGG,EQ,1100,1100,100.00
20,105,BPLREFRIG,EQ,1402,1200,85.59
20,106,BPLSANTECH,EQ,100,100,100.00
20,107,BRITANNIA,EQ,946,600,63.42
20,108,BSELINFO,EQ,264,264,100.00
20,109,BSES,EQ,22571,16847,74.64
20,110,BSL,EQ,508,508,100.00
20,111,BURRWELCOM,EQ,944,879,93.11
20,112,CADILAHC,EQ,3846,2649,68.88
20,113,CALSOFT,EQ,100,100,100.00
20,114,CANBK,EQ,4026281,1110296,27.58
20,115,CANFINHOME,EQ,2850,2500,87.72
20,116,CARBORUNIV,EQ,5567,5492,98.65
20,117,CARRIERAIR,EQ,465,315,67.74
20,118,CASTROL,EQ,17083,11433,66.93
20,119,CEAT,EQ,6865,5411,78.82
20,120,CENTENKA,EQ,6119,4520,73.87
20,121,CENTEXTRU,EQ,1700,1700,100.00
20,122,CENTURION,EQ,1143887,615592,53.82
20,123,CENTURYTEX,EQ,769006,303371,39.45
20,124,CESC,EQ,39548,38798,98.10
20,125,CGIGARSH,EQ,830,780,93.98
20,126,CHAMBLFERT,EQ,258376,204290,79.07
20,127,CHEMPLAST,EQ,4129,3220,77.98
20,128,CHENNPETRO,EQ,61279,47662,77.78
20,129,CHESLINTEX,EQ,500,500,100.00
20,130,CHLORIDIND,EQ,1832,1512,82.53
20,131,CHOLAINV,EQ,5627,5550,98.63
20,132,CIBASPEC,EQ,380,330,86.84
20,133,CIMCOBIRLA,EQ,1370,1370,100.00
20,134,CINEVISTA,EQ,1837,1542,83.94
20,135,CIPL,EQ,2427,2427,100.00
20,136,CIPLA,EQ,22697,14057,61.93
20,137,CITICORSEC,EQ,19177,8470,44.17
20,138,CLARIANT,EQ,446,355,79.60
20,139,CMC,EQ,682357,154366,22.62
20,140,COATESIND,EQ,253,177,69.96
20,141,COCHINREFN,EQ,72606,46446,63.97
20,142,COLGATE,EQ,21943,13573,61.86
20,143,COLORCHEM,EQ,14837,9281,62.55
20,144,COMPUDYNE,EQ,27142,18564,68.40
20,145,COMPUTECH,EQ,20560,19060,92.70
20,146,CONCOR,EQ,10311,8403,81.50
20,147,CONSCOFFEE,EQ,1710,1205,70.47
20,148,COREPARENT,EQ,17000,16100,94.71
20,149,COROMNFERT,EQ,7150,7150,100.00
20,150,CORPBANK,EQ,34386,20812,60.52
20,151,COSMOFILMS,EQ,253960,104030,40.96
20,152,CREATIVEYE,EQ,9384,8948,95.35
20,153,CRESTCOMM,EQ,7742,5855,75.63
20,154,CRISIL,EQ,301,250,83.06
20,155,CROMPGREAV,EQ,89047,58196,65.35
20,156,CUB,EQ,17981,16465,91.57
20,157,CYBERTECH,EQ,13612,11371,83.54
20,158,D-LINK,EQ,19248,14971,77.78
20,159,DABUR,EQ,26661,19439,72.91
20,160,DALALSTCOM,EQ,18300,17700,96.72
20,161,DALMIACEM,EQ,650,520,80.00
20,162,DCM,EQ,345,345,100.00
20,163,DCMFINSERV,EQ,1200,1200,100.00
20,164,DCMSRMCONS,EQ,647,472,72.95
20,165,DCW,EQ,216952,120005,55.31
20,166,DEEPAKFERT,EQ,17650,15125,85.69
20,167,DENABANK,EQ,684777,404547,59.08
20,168,DEWANHOUS,EQ,4002,3800,94.95
20,169,DGPWINDSOR,EQ,3836,3634,94.73
20,170,DHAMPURSUG,EQ,2810,2810,100.00
20,171,DHARSUGAR,EQ,1900,1900,100.00
20,172,DIGITALEQP,EQ,3079734,118637,3.85
20,173,DRREDDY,EQ,170141,77240,45.40
20,174,DUNCANSIND,EQ,1198,1198,100.00
20,175,DYNACONS,EQ,26705,26703,99.99
20,176,EASUNREYRL,EQ,4533,3704,81.71
20,177,EICHERLTD,EQ,18792,18182,96.75
20,178,EICHERMOT,EQ,20327,15500,76.25
20,179,EIDPARRY,EQ,1870,1870,100.00
20,180,EIHOTEL,EQ,1894,1432,75.61
20,181,EIMCOELECO,EQ,803,600,74.72
20,182,ELDERPHARM,EQ,13322,9261,69.52
20,183,ELECTCAST,EQ,12011,8116,67.57
20,184,ELGIEQUIP,EQ,1505,1380,91.69
20,185,ELGITYRE,EQ,200,200,100.00
20,186,EMERCK,EQ,3824,1752,45.82
20,187,ENGINERSIN,EQ,16287,6346,38.96
20,188,ESABINDIA,EQ,1882,1740,92.45
20,189,ESCORTS,EQ,27959,18302,65.46
20,190,ESSARGUJ,EQ,456288,311777,68.33
20,191,ESSAROIL,EQ,91681,73830,80.53
20,192,ESSELPACK,EQ,24445,18866,77.18
20,193,ETERNEVRST,EQ,3,0,0.00
20,194,EUROTEXIND,EQ,800,800,100.00
20,195,EXCELIND,EQ,48957,22445,45.85
20,196,FACT,EQ,26674,16121,60.44
20,197,FAGBEARING,EQ,11354,10911,96.10
20,198,FDC,EQ,13352,6050,45.31
20,199,FEDERALBNK,EQ,173840,72915,41.94
20,200,FINCABLES,EQ,7150,6610,92.45
20,201,FINPIPE,EQ,17405,15330,88.08
20,202,FIRSTLEASE,EQ,1700,1700,100.00
20,203,FLEX,EQ,4821,4301,89.21
20,204,FLEXCHEM,EQ,750,750,100.00
20,205,FLEXENGG,EQ,3200,2600,81.25
20,206,FLOATGLASS,EQ,19200,18240,95.00
20,207,FOSECOIND,EQ,980,730,74.49
20,208,FUJITSICIM,EQ,51197,17817,34.80
20,209,GAEL,EQ,2648,2083,78.66
20,210,GAIL,EQ,35609,27809,78.10
20,211,GAMMONIND,EQ,1150,1150,100.00
20,212,GARDENSILK,EQ,14005,12800,91.40
20,213,GEOMETRIC,EQ,1226809,65196,5.31
20,214,GEORGWILIM,EQ,1471,1255,85.32
20,215,GERMANREM,EQ,330,320,96.97
20,216,GESCOCORP,EQ,1680,1572,93.57
20,217,GESHIPPING,EQ,198221,143657,72.47
20,218,GHCL,EQ,35667,33567,94.11
20,219,GICHSGFIN,EQ,13750,9350,68.00
20,220,GINNIFILA,EQ,3250,3250,100.00
20,221,GIPCL,EQ,40425,33600,83.12
20,222,GKW,EQ,1200,1200,100.00
20,223,GLAXO,EQ,24807,16989,68.48
20,224,GLENMARK,EQ,14246,11559,81.14
20,225,GLOBALTELE,EQ,2590844,308576,11.91
20,226,GLOBLTRUST,EQ,448930,258679,57.62
20,227,GMBREW,EQ,200,0,0.00
20,228,GMDCLTD,EQ,3376,3125,92.57
20,229,GNFC,EQ,41611,35789,86.01
20,230,GODAVRFERT,EQ,10571,9371,88.65
20,231,GODFRYPHLP,EQ,244,134,54.92
20,232,GODREJCP,EQ,8067,6457,80.04
20,233,GOETZEIND,EQ,4647,3793,81.62
20,234,GOLDTECH,EQ,664060,131729,19.84
20,235,GOLDTELE,EQ,84873,47218,55.63
20,236,GOODLASNER,EQ,39940,32519,81.42
20,237,GPELECT,EQ,120,110,91.67
20,238,GRANDFONRY,EQ,3255,2203,67.68
20,239,GRAPHITE,EQ,5651,5451,96.46
20,240,GRASIM,EQ,24535,13511,55.07
20,241,GSFC,EQ,69441,59607,85.84
20,242,GTCIND,EQ,7458,7237,97.04
20,243,GTNTEXT,EQ,1128,1128,100.00
20,244,GUJALKALI,EQ,16539,11230,67.90
20,245,GUJAMBCEM,EQ,144154,89997,62.43
20,246,GUJFLUORO,EQ,15474,14690,94.93
20,247,GUJRATGAS,EQ,2931,2660,90.75
20,248,GUJSIDHCEM,EQ,19089,18969,99.37
20,249,HARRMALAYA,EQ,4291,4001,93.24
20,250,HAVELLS,EQ,62,61,98.39
20,251,HBSTOCK,EQ,220,220,100.00
20,252,HCL-INSYS,EQ,26576,4602,17.32
20,253,HCLTECH,EQ,577207,140052,24.26
20,254,HDFC,EQ,15993,11177,69.89
20,255,HDFCBANK,EQ,135584,48408,35.70
20,256,HEG,EQ,25570,22110,86.47
20,257,HERDILCHEM,EQ,1050,1000,95.24
20,258,HERITGFOOD,EQ,4936,4350,88.13
20,259,HEROHONDA,EQ,419788,262626,62.56
20,260,HEXAWARE,EQ,8665262,383190,4.42
20,261,HIKAL,EQ,300,300,100.00
20,262,HIMACHLFUT,EQ,4766231,921187,19.33
20,263,HIMATSEIDE,EQ,1669,1669,100.00
20,264,HINDALC0,EQ,59720,56411,94.46
20,265,HINDCONS,EQ,2129,1623,76.23
20,266,HINDDORROL,EQ,500,500,100.00
20,267,HINDINKS,EQ,5233,2979,56.93
20,268,HINDLEVCHM,EQ,1803,1473,81.70
20,269,HINDLEVER,EQ,1132488,768361,67.85
20,270,HINDMOTOR,EQ,584745,388126,66.38
20,271,HINDOILEXP,EQ,17050,15004,88.00
20,272,HINDPETRO,EQ,1775471,394471,22.22
20,273,HINDSANIT,EQ,375,375,100.00
20,274,HINDSYNTEX,EQ,2806,2806,100.00
20,275,HINDZINC,EQ,28700,23820,83.00
20,276,HMT,EQ,7642,7195,94.15
20,277,HOCL,EQ,84296,57297,67.97
20,278,HOECHST,EQ,14462,10411,71.99
20,279,HOTELEELA,EQ,16353,12750,77.97
20,280,HTMT,EQ,1413637,142533,10.08
