Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29012003,053936895,0000715
Trade Date <29-JAN-2003>,Settlement Type <D>,Settlement No <2003021>,Settlement Date <03-FEB-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,1020,0,0.00
20,2,0807A17,GC,570,560,98.25
20,3,0835E22,GC,500,0,0.00
20,4,0939G11,GC,500,0,0.00
Trade Date <29-JAN-2003>,Settlement Type <N>,Settlement No <2003021>,Settlement Date <03-FEB-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,5,AARTIIND,EQ,601,551,91.68
20,6,ABANLLOYD,EQ,15494,9051,58.42
20,7,ABB,EQ,3162,2073,65.56
20,8,ABBALPO,EQ,9795,8068,82.37
20,9,ABBOTTLAB,EQ,226,221,97.79
20,10,ABSHEKINDS,EQ,27134,23713,87.39
20,11,ABSIND,EQ,3600,2880,80.00
20,12,ACC,EQ,300018,127290,42.43
20,13,ADANIEXPO,EQ,31323,932,2.98
20,14,ADLABSFILM,EQ,52716,36821,69.85
20,15,ADVANIORLI,EQ,5425,4225,77.88
20,16,AEGISCHEM,EQ,100,100,100.00
20,17,AFTEKINFO,EQ,2377467,126583,5.32
20,18,AGEEGOLD,EQ,335,335,100.00
20,19,AGREVOIND,EQ,500,400,80.00
20,20,AGRODUTCH,EQ,6371,5271,82.73
20,21,AHMEDELEC,EQ,355,350,98.59
20,22,AHMEDFORGE,EQ,925,825,89.19
20,23,AJANTPHARM,EQ,5904,672,11.38
20,24,AKSHOPTFBR,EQ,9195,6924,75.30
20,25,ALBK,EQ,728462,353996,48.59
20,26,ALEMBICLTD,EQ,4718,2334,49.47
20,27,ALFALAVAL,EQ,260,200,76.92
20,28,ALOKTEXT,EQ,43295,32700,75.53
20,29,ALPSINDUS,EQ,10160,10002,98.44
20,30,AMARAJABAT,EQ,4760,2687,56.45
20,31,AMBUJARAJN,EQ,29005,28805,99.31
20,32,AMITSPIN,EQ,10,5,50.00
20,33,AMTREXAPPL,EQ,9250,7349,79.45
20,34,ANAMALFIN,EQ,100,100,100.00
20,35,ANDHRABANK,EQ,6459315,1988171,30.78
20,36,ANDHRSUGAR,EQ,1635,1535,93.88
20,37,ANTGRAPHIC,EQ,400,400,100.00
20,38,APCOTEXLAT,EQ,100,50,50.00
20,39,APOLLOHOSP,EQ,45742,27560,60.25
20,40,APOLLOTYRE,EQ,117027,54123,46.25
20,41,APTECHT,EQ,215344,63400,29.44
20,42,ARCHIES,EQ,5768,4823,83.62
20,43,ARHAMFISCL,EQ,12889,10691,82.95
20,44,ARIHANTCRE,EQ,63458,24358,38.38
20,45,ARL,EQ,396843,235402,59.32
20,46,ARVINDMILL,EQ,317281,143403,45.20
20,47,ASAHIINDIA,EQ,24694,23433,94.89
20,48,ASHAPURMIN,EQ,400,400,100.00
20,49,ASHKLEYFIN,EQ,12085,10991,90.95
20,50,ASHOKLEY,EQ,19295,11921,61.78
20,51,ASIANELEC,EQ,290,100,34.48
20,52,ASIANHOTEL,EQ,204,201,98.53
20,53,ASIANPAINT,EQ,3311,2989,90.27
20,54,ASTRAIDL,EQ,225,175,77.78
20,55,ATCOIND,EQ,13440,10805,80.39
20,56,ATFL,EQ,827,500,60.46
20,57,ATLASCOPCO,EQ,4488,4438,98.89
20,58,ATLASCYCLE,EQ,700,550,78.57
20,59,ATULPROD,EQ,8135,8135,100.00
20,60,AUROPHARMA,EQ,27268,9769,35.83
20,61,AUTORIDFIN,EQ,1000,1000,100.00
20,62,AZTEC,EQ,31695,17598,55.52
20,63,BAJAJAUTO,EQ,116505,81660,70.09
20,64,BAJAJHIND,EQ,570,570,100.00
20,65,BAJAJPLAST,EQ,450,450,100.00
20,66,BAJAUTOFIN,EQ,700,600,85.71
20,67,BALAJIDIST,EQ,21511,14408,66.98
20,68,BALAJITELE,EQ,81670,41797,51.18
20,69,BALMLAWRIE,EQ,4467,3337,74.70
20,70,BALRAMCHIN,EQ,8451,7554,89.39
20,71,BANARISUG,EQ,517,501,96.91
20,72,BANKBARODA,EQ,1481358,409390,27.64
20,73,BANKINDIA,EQ,941309,310319,32.97
20,74,BANKPUNJAB,EQ,123057,67199,54.61
20,75,BANKRAJAS,EQ,249287,151911,60.94
20,76,BASF,EQ,4376,3050,69.70
20,77,BATAINDIA,EQ,21764,17938,82.42
20,78,BAUSCHLOMB,EQ,19354,15921,82.26
20,79,BAYER,EQ,5,5,100.00
20,80,BEL,EQ,148248,56327,38.00
20,81,BELCERAMIC,EQ,12150,10300,84.77
20,82,BEML,EQ,366348,136813,37.35
20,83,BERGEPAINT,EQ,571,471,82.49
20,84,BFLSOFTWAR,EQ,18003,9137,50.75
20,85,BGFL,EQ,2126,2126,100.00
20,86,BHARATFORG,EQ,15434,12629,81.83
20,87,BHARATGEAR,EQ,1597,1097,68.69
20,88,BHARATHOT,EQ,967,967,100.00
20,89,BHARATRAS,EQ,100,100,100.00
20,90,BHARTI,EQ,2267634,1189199,52.44
20,91,BHEL,EQ,412553,251970,61.08
20,92,BIL,EQ,1800,1700,94.44
20,93,BILT,EQ,76118,59241,77.83
20,94,BINDALAGRO,EQ,15900,12999,81.75
20,95,BIRLA3M,EQ,145,145,100.00
20,96,BIRLAERIC,EQ,6692,5792,86.55
20,97,BIRLAJUTE,EQ,1167,1167,100.00
20,98,BLUECHIP,EQ,100,100,100.00
20,99,BLUEDART,EQ,5262,4607,87.55
20,100,BLUESTARCO,EQ,10370,9670,93.25
20,101,BLUESTINFO,EQ,7133,4854,68.05
20,102,BOMDYEING,EQ,14654,12503,85.32
20,103,BONGAIREFN,EQ,124769,70196,56.26
20,104,BOOTSPHARM,EQ,1275,1200,94.12
20,105,BPCL,EQ,1720197,562946,32.73
20,106,BPL,EQ,23484,14131,60.17
20,107,BPLENGG,EQ,1688,1200,71.09
20,108,BPLREFRIG,EQ,6000,6000,100.00
20,109,BRITANNIA,EQ,1935,1591,82.22
20,110,BSELINFO,EQ,650,500,76.92
20,111,BSES,EQ,937969,904920,96.48
