Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28022003,058230959,0000714
Trade Date <28-FEB-2003>,Settlement Type <D>,Settlement No <2003042>,Settlement Date <05-MAR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,10,10,100.00
20,2,0807A17,GC,100,100,100.00
Trade Date <28-FEB-2003>,Settlement Type <N>,Settlement No <2003042>,Settlement Date <05-MAR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3,AARTIIND,EQ,500,500,100.00
20,4,ABANLLOYD,EQ,8097,6404,79.09
20,5,ABB,EQ,171555,74762,43.58
20,6,ABBALPO,EQ,148169,61074,41.22
20,7,ABBOTTLAB,EQ,3080,2676,86.88
20,8,ABSHEKINDS,EQ,9297,5695,61.26
20,9,ABSIND,EQ,4046,2846,70.34
20,10,ACC,EQ,2165497,462170,21.34
20,11,ADANIEXPO,EQ,37812,2097,5.55
20,12,ADLABSFILM,EQ,30043,13127,43.69
20,13,ADVANIORLI,EQ,7192,4535,63.06
20,14,AEGISCHEM,EQ,496,296,59.68
20,15,AFTEKINFO,EQ,673415,65293,9.70
20,16,AGEEGOLD,EQ,110,110,100.00
20,17,AGREVOIND,EQ,2870,2360,82.23
20,18,AGRODUTCH,EQ,9151,7551,82.52
20,19,AHMEDELEC,EQ,3892,3554,91.32
20,20,AHMEDFORGE,EQ,2463,2463,100.00
20,21,AJANTPHARM,EQ,5485,875,15.95
20,22,AKSHOPTFBR,EQ,18275,9560,52.31
20,23,ALBK,EQ,617605,321195,52.01
20,24,ALEMBICLTD,EQ,22172,11775,53.11
20,25,ALFALAVAL,EQ,1865,1514,81.18
20,26,ALOKTEXT,EQ,349608,195416,55.90
20,27,ALPSINDUS,EQ,100,100,100.00
20,28,AMARAJABAT,EQ,4926,3583,72.74
20,29,AMBUJARAJN,EQ,16840,10820,64.25
20,30,AMITSPIN,EQ,932,930,99.79
20,31,AMTREXAPPL,EQ,8437,5999,71.10
20,32,ANAMALFIN,EQ,201,200,99.50
20,33,ANDHRABANK,EQ,8727536,2054702,23.54
20,34,ANDHRSUGAR,EQ,21645,20549,94.94
20,35,ANTGRAPHIC,EQ,800,700,87.50
20,36,APCOTEXLAT,EQ,432,400,92.59
20,37,APOLLOHOSP,EQ,1688524,382274,22.64
20,38,APOLLOTYRE,EQ,153766,43720,28.43
20,39,APTECHT,EQ,80071,40561,50.66
20,40,ARCHIES,EQ,2141,1941,90.66
20,41,ARHAMFISCL,EQ,200,200,100.00
20,42,ARIHANTCRE,EQ,52782,13700,25.96
20,43,ARL,EQ,75804,18651,24.60
20,44,ARVINDMILL,EQ,3466626,1151816,33.23
20,45,ASAHIINDIA,EQ,6559,6400,97.58
20,46,ASHIMASYN,EQ,200,100,50.00
20,47,ASHKLEYFIN,EQ,13507,12595,93.25
20,48,ASHOKLEY,EQ,148148,79523,53.68
20,49,ASIANELEC,EQ,1520,1350,88.82
20,50,ASIANHOTEL,EQ,10653,9037,84.83
20,51,ASIANPAINT,EQ,4541,3611,79.52
20,52,ATCOIND,EQ,9696,8700,89.73
20,53,ATFL,EQ,900,900,100.00
20,54,ATLASCOPCO,EQ,1114,1114,100.00
20,55,ATLASCYCLE,EQ,94,94,100.00
20,56,ATULPROD,EQ,7245,6211,85.73
20,57,AUROPHARMA,EQ,11142,5292,47.50
20,58,AUTORIDFIN,EQ,4630,3405,73.54
20,59,AZTEC,EQ,42539,31130,73.18
20,60,BAJAJAUTO,EQ,140547,53260,37.89
20,61,BAJAJHIND,EQ,7788,7038,90.37
20,62,BAJAUTOFIN,EQ,3542,2239,63.21
20,63,BALAJIDIST,EQ,13280,10810,81.40
20,64,BALAJITELE,EQ,61031,24835,40.69
20,65,BALMLAWRIE,EQ,2539,1778,70.03
20,66,BALRAMCHIN,EQ,44384,20803,46.87
20,67,BANARISUG,EQ,117,116,99.15
20,68,BANKBARODA,EQ,1434811,283078,19.73
20,69,BANKINDIA,EQ,1117395,445022,39.83
20,70,BANKPUNJAB,EQ,310656,178749,57.54
20,71,BANKRAJAS,EQ,255835,150910,58.99
20,72,BASF,EQ,3568,2079,58.27
20,73,BATAINDIA,EQ,30327,18471,60.91
20,74,BAUSCHLOMB,EQ,69953,39454,56.40
20,75,BAYER,EQ,11,8,72.73
20,76,BEL,EQ,264148,79101,29.95
20,77,BELCERAMIC,EQ,1780,1730,97.19
20,78,BEML,EQ,242047,50744,20.96
20,79,BERGEPAINT,EQ,420,395,94.05
20,80,BFLSOFTWAR,EQ,32409,20590,63.53
20,81,BGFL,EQ,4023,3923,97.51
20,82,BHARATFORG,EQ,26136,16284,62.30
20,83,BHARATGEAR,EQ,100,100,100.00
20,84,BHARATHOT,EQ,3243,2688,82.89
20,85,BHARATRAS,EQ,300,300,100.00
20,86,BHARTI,EQ,1477357,721293,48.82
20,87,BHEL,EQ,2025828,627160,30.96
20,88,BIL,EQ,2506,1906,76.06
20,89,BILT,EQ,130877,85937,65.66
20,90,BINDALAGRO,EQ,28556,24049,84.22
20,91,BIRLA3M,EQ,1294,765,59.12
20,92,BIRLAERIC,EQ,8850,6050,68.36
20,93,BIRLAJUTE,EQ,43125,33156,76.88
20,94,BLBLIMITED,EQ,659,659,100.00
20,95,BLUEDART,EQ,2975,2075,69.75
20,96,BLUESTARCO,EQ,12183,8658,71.07
20,97,BLUESTINFO,EQ,6829,4520,66.19
20,98,BOMDYEING,EQ,66335,30845,46.50
20,99,BONGAIREFN,EQ,155067,107162,69.11
20,100,BOOTSPHARM,EQ,6242,4130,66.16
20,101,BPCL,EQ,1535649,315671,20.56
20,102,BPL,EQ,36124,19063,52.77
20,103,BPLENGG,EQ,1900,1900,100.00
20,104,BPLSANUTIL,EQ,100,100,100.00
20,105,BRITANNIA,EQ,12377,7808,63.08
20,106,BSELINFO,EQ,187,93,49.73
20,107,BSES,EQ,124384,35544,28.58
20,108,BSL,EQ,910,810,89.01
20,109,BURRWELCOM,EQ,2818,2642,93.75
20,110,CADILAHC,EQ,21031,13486,64.12
20,111,CANBK,EQ,11685248,1774435,15.19
20,112,CANFINHOME,EQ,26053,17369,66.67
20,113,CARBORUNIV,EQ,8345,7775,93.17
20,114,CARRIERAIR,EQ,478,378,79.08
20,115,CASTROL,EQ,27691,14623,52.81
20,116,CEAT,EQ,53338,30160,56.55
20,117,CENTENKA,EQ,73128,47337,64.73
20,118,CENTEXTRU,EQ,398,398,100.00
20,119,CENTURION,EQ,364086,209061,57.42
20,120,CENTURYTEX,EQ,2042477,664562,32.54
20,121,CESC,EQ,124055,47491,38.28
20,122,CGIGARSH,EQ,5350,5000,93.46
20,123,CHAMBLFERT,EQ,1322553,727984,55.04
20,124,CHEMPLAST,EQ,2596,2091,80.55
20,125,CHENNPETRO,EQ,175693,154354,87.85
20,126,CHESLINTEX,EQ,4002,2499,62.44
20,127,CHLORIDIND,EQ,1499,1181,78.79
20,128,CHOLAINV,EQ,17667,14957,84.66
20,129,CIBASPEC,EQ,3230,2730,84.52
20,130,CIMCOBIRLA,EQ,163,163,100.00
20,131,CINEVISTA,EQ,1185,725,61.18
20,132,CIPL,EQ,21900,19400,88.58
20,133,CIPLA,EQ,43814,19377,44.23
20,134,CITICORSEC,EQ,4765,2680,56.24
20,135,CLARIANT,EQ,765,540,70.59
20,136,CMC,EQ,144033,35936,24.95
20,137,COATESIND,EQ,70,50,71.43
20,138,COCHINREFN,EQ,39902,26972,67.60
20,139,COLGATE,EQ,62522,37760,60.39
20,140,COLORCHEM,EQ,10383,7156,68.92
20,141,COMPUDYNE,EQ,28386,17440,61.44
20,142,COMPUTECH,EQ,35715,24850,69.58
20,143,CONCOR,EQ,23566,16852,71.51
20,144,CONSCOFFEE,EQ,1561,1221,78.22
20,145,COREPARENT,EQ,12903,11900,92.23
20,146,COROMNFERT,EQ,100,100,100.00
20,147,CORPBANK,EQ,111815,56028,50.11
20,148,COSMOFILMS,EQ,61993,16839,27.16
20,149,CREATIVEYE,EQ,8304,8204,98.80
20,150,CRESTCOMM,EQ,20902,10750,51.43
20,151,CRISIL,EQ,25,25,100.00
20,152,CROMPGREAV,EQ,310450,138299,44.55
20,153,CUB,EQ,74347,50513,67.94
20,154,CYBERTECH,EQ,7197,5684,78.98
20,155,D-LINK,EQ,25589,18078,70.65
20,156,DABUR,EQ,169870,85796,50.51
20,157,DALALSTCOM,EQ,71983,54981,76.38
20,158,DALMIACEM,EQ,150,145,96.67
20,159,DCM,EQ,2939,2939,100.00
20,160,DCMFINSERV,EQ,1105,1000,90.50
20,161,DCMSRMCONS,EQ,859,770,89.64
20,162,DCW,EQ,17496,14969,85.56
20,163,DEEPAKFERT,EQ,46742,30087,64.37
20,164,DENABANK,EQ,112713,61900,54.92
20,165,DEWANHOUS,EQ,1800,1250,69.44
20,166,DGPWINDSOR,EQ,2,0,0.00
20,167,DHAMPURSUG,EQ,12668,9420,74.36
20,168,DHARSUGAR,EQ,1100,1100,100.00
20,169,DIGITALEQP,EQ,6700535,276230,4.12
20,170,DRREDDY,EQ,156383,68258,43.65
20,171,DUNCANSIND,EQ,725,725,100.00
20,172,DYNACONS,EQ,76002,76002,100.00
20,173,EASUNREYRL,EQ,1612,1310,81.27
20,174,EICHERLTD,EQ,1459,1157,79.30
20,175,EICHERMOT,EQ,11212,8541,76.18
20,176,EIDPARRY,EQ,1398,1320,94.42
20,177,EIHOTEL,EQ,17462,9276,53.12
20,178,EIMCOELECO,EQ,5,5,100.00
20,179,ELDERPHARM,EQ,4302,4002,93.03
20,180,ELECTCAST,EQ,11002,6292,57.19
20,181,ELGIEQUIP,EQ,1961,1860,94.85
20,182,ELGITYRE,EQ,137,100,72.99
20,183,EMERCK,EQ,1161,1061,91.39
20,184,ENGINERSIN,EQ,27705,7849,28.33
20,185,ESABINDIA,EQ,355,350,98.59
20,186,ESCORTS,EQ,56218,22937,40.80
20,187,ESSARGUJ,EQ,786964,396775,50.42
20,188,ESSAROIL,EQ,125126,95026,75.94
20,189,ESSELPACK,EQ,16896,12296,72.77
20,190,ETERNEVRST,EQ,1550,1550,100.00
20,191,EXCELIND,EQ,2103,1606,76.37
20,192,FACT,EQ,20320,9754,48.00
20,193,FAGBEARING,EQ,29113,20795,71.43
20,194,FDC,EQ,1711,1430,83.58
20,195,FEDERALBNK,EQ,624861,205055,32.82
20,196,FINCABLES,EQ,11181,5715,51.11
20,197,FINPIPE,EQ,38258,24485,64.00
20,198,FIRSTLEASE,EQ,13474,11535,85.61
20,199,FLEX,EQ,9519,7110,74.69
20,200,FLEXCHEM,EQ,100,100,100.00
20,201,FLEXENGG,EQ,1204,1202,99.83
20,202,FLOATGLASS,EQ,17820,17520,98.32
20,203,FOSECOIND,EQ,3099,2348,75.77
20,204,FUJITSICIM,EQ,100112,34302,34.26
20,205,GAEL,EQ,2356,1600,67.91
20,206,GAIL,EQ,1202319,642856,53.47
20,207,GAMMONIND,EQ,5012,4366,87.11
20,208,GARDENSILK,EQ,13040,10715,82.17
20,209,GENESYS,EQ,1538,871,56.63
20,210,GEOMETRIC,EQ,1111178,52886,4.76
20,211,GEORGWILIM,EQ,12051,5746,47.68
20,212,GERMANREM,EQ,568,490,86.27
