Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21032003,032746177,0000710
Trade Date <21-MAR-2003>,Settlement Type <D>,Settlement No <2003055>,Settlement Date <26-MAR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0650G03,GC,70,70,100.00
20,2,0740E12,GC,1000,500,50.00
20,3,0807A17,GC,1010,1010,100.00
20,4,0981E13,GC,500,500,100.00
20,5,0985J15,GC,1500,1000,66.67
Trade Date <21-MAR-2003>,Settlement Type <N>,Settlement No <2003055>,Settlement Date <26-MAR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,6,AARTIIND,EQ,200,200,100.00
20,7,ABANLLOYD,EQ,5708,4723,82.74
20,8,ABB,EQ,13319,5890,44.22
20,9,ABBALPO,EQ,33303,22636,67.97
20,10,ABBOTTLAB,EQ,2630,2630,100.00
20,11,ABSHEKINDS,EQ,11470,10870,94.77
20,12,ABSIND,EQ,2475,2200,88.89
20,13,ACC,EQ,540162,244644,45.29
20,14,ADANIEXPO,EQ,34385,435,1.27
20,15,ADLABSFILM,EQ,12731,7387,58.02
20,16,ADVANIORLI,EQ,4712,1212,25.72
20,17,AEGISCHEM,EQ,3450,3400,98.55
20,18,AFTEKINFO,EQ,2696700,157627,5.85
20,19,AGREVOIND,EQ,1104,964,87.32
20,20,AGRODUTCH,EQ,22319,20200,90.51
20,21,AHMEDELEC,EQ,994,943,94.87
20,22,AJANTPHARM,EQ,4830,780,16.15
20,23,AKSHOPTFBR,EQ,9024,8649,95.84
20,24,ALBK,EQ,203294,132130,64.99
20,25,ALEMBICLTD,EQ,3091,2170,70.20
20,26,ALFALAVAL,EQ,4998,4973,99.50
20,27,ALOKTEXT,EQ,53516,34916,65.24
20,28,ALPSINDUS,EQ,1033,1000,96.81
20,29,AMARAJABAT,EQ,12757,9240,72.43
20,30,AMBUJARAJN,EQ,25165,23365,92.85
20,31,AMTREXAPPL,EQ,13366,13181,98.62
20,32,ANDHRABANK,EQ,1840852,520621,28.28
20,33,ANDHRSUGAR,EQ,21909,20400,93.11
20,34,ANTGRAPHIC,EQ,602,300,49.83
20,35,APCOTEXLAT,EQ,1538,1376,89.47
20,36,APOLLOHOSP,EQ,91968,35792,38.92
20,37,APOLLOTYRE,EQ,117724,64906,55.13
20,38,APTECHT,EQ,61776,48299,78.18
20,39,ARCHIES,EQ,623,501,80.42
20,40,ARHAMFISCL,EQ,31350,8550,27.27
20,41,ARIHANTCRE,EQ,60559,21659,35.77
20,42,ARL,EQ,195104,157670,80.81
20,43,ARVINDMILL,EQ,196694,159263,80.97
20,44,ASAHIINDIA,EQ,2970,2960,99.66
20,45,ASHAPURMIN,EQ,20,10,50.00
20,46,ASHIMASYN,EQ,800,400,50.00
20,47,ASHKLEYFIN,EQ,6633,6483,97.74
20,48,ASHOKLEY,EQ,182341,170704,93.62
20,49,ASIANELEC,EQ,1342,921,68.63
20,50,ASIANHOTEL,EQ,1905,1820,95.54
20,51,ASIANPAINT,EQ,19010,16141,84.91
20,52,ATCOIND,EQ,6254,3701,59.18
20,53,ATFL,EQ,1200,1200,100.00
20,54,ATLASCOPCO,EQ,710,546,76.90
20,55,ATLASCYCLE,EQ,25,25,100.00
20,56,ATULPROD,EQ,7885,7687,97.49
20,57,AUROPHARMA,EQ,11946,6713,56.19
20,58,AUTORIDFIN,EQ,915,905,98.91
20,59,AZTEC,EQ,88388,45847,51.87
20,60,BAJAJAUTO,EQ,51784,25284,48.83
20,61,BAJAJHIND,EQ,811,608,74.97
20,62,BAJAJPLAST,EQ,98,49,50.00
20,63,BAJAUTOFIN,EQ,2172,2171,99.95
20,64,BALAJIDIST,EQ,3446,3445,99.97
20,65,BALAJITELE,EQ,164854,95887,58.16
20,66,BALMLAWRIE,EQ,3770,3225,85.54
20,67,BALRAMCHIN,EQ,15265,5005,32.79
20,68,BANARISUG,EQ,232,216,93.10
20,69,BANKBARODA,EQ,1478718,562794,38.06
20,70,BANKINDIA,EQ,486970,229549,47.14
20,71,BANKPUNJAB,EQ,64438,54490,84.56
20,72,BANKRAJAS,EQ,98888,57206,57.85
20,73,BASF,EQ,6194,5853,94.49
20,74,BATAINDIA,EQ,18334,16218,88.46
20,75,BAUSCHLOMB,EQ,54649,50597,92.59
20,76,BAYER,EQ,149,143,95.97
20,77,BBTC,EQ,50600,50600,100.00
20,78,BEL,EQ,66632,36483,54.75
20,79,BELCERAMIC,EQ,15000,15000,100.00
20,80,BEML,EQ,126385,32911,26.04
20,81,BERGEPAINT,EQ,150,150,100.00
20,82,BFLSOFTWAR,EQ,11230,5433,48.38
20,83,BGFL,EQ,800,775,96.88
20,84,BHARATFORG,EQ,45215,38112,84.29
20,85,BHARATGEAR,EQ,50,50,100.00
20,86,BHARTI,EQ,320200,239715,74.86
20,87,BHEL,EQ,1395155,504275,36.14
20,88,BIL,EQ,1691,1501,88.76
20,89,BILT,EQ,40939,26922,65.76
20,90,BINDALAGRO,EQ,24439,20036,81.98
20,91,BIRLA3M,EQ,548,527,96.17
20,92,BIRLAERIC,EQ,13333,12415,93.11
20,93,BIRLAJUTE,EQ,12339,9988,80.95
20,94,BLBLIMITED,EQ,1747,1500,85.86
20,95,BLUECHIP,EQ,10,10,100.00
20,96,BLUEDART,EQ,5416,4346,80.24
20,97,BLUESTARCO,EQ,14320,11272,78.72
20,98,BLUESTINFO,EQ,11461,7686,67.06
20,99,BOMDYEING,EQ,11275,10367,91.95
20,100,BONGAIREFN,EQ,92092,67425,73.21
20,101,BOOTSPHARM,EQ,631,630,99.84
20,102,BPCL,EQ,571361,215713,37.75
20,103,BPL,EQ,8346,5706,68.37
20,104,BPLENGG,EQ,10876,10876,100.00
20,105,BPLREFRIG,EQ,1000,1000,100.00
20,106,BPLSANTECH,EQ,100,100,100.00
20,107,BPLSANUTIL,EQ,223,222,99.55
20,108,BRITANNIA,EQ,7769,6998,90.08
20,109,BSELINFO,EQ,50,50,100.00
20,110,BSES,EQ,30181,22381,74.16
20,111,BURRWELCOM,EQ,1157,1051,90.84
20,112,CADILAHC,EQ,10537,6475,61.45
20,113,CANBK,EQ,4244166,1000882,23.58
20,114,CANFINHOME,EQ,1310,1260,96.18
20,115,CARBORUNIV,EQ,1350,1250,92.59
20,116,CARRIERAIR,EQ,30300,300,0.99
20,117,CASTROL,EQ,32148,17146,53.33
20,118,CEAT,EQ,27961,22923,81.98
20,119,CENTENKA,EQ,10690,9739,91.10
20,120,CENTEXTRU,EQ,100,100,100.00
20,121,CENTURION,EQ,137193,102702,74.86
20,122,CENTURYTEX,EQ,149061,78333,52.55
20,123,CESC,EQ,10844,9109,84.00
20,124,CGIGARSH,EQ,1000,850,85.00
20,125,CHAMBLFERT,EQ,104250,70945,68.05
20,126,CHEMPLAST,EQ,300,300,100.00
20,127,CHENNPETRO,EQ,61191,49168,80.35
20,128,CHESLINTEX,EQ,100,100,100.00
20,129,CHLORIDIND,EQ,1191,821,68.93
20,130,CHOLAINV,EQ,12575,12525,99.60
20,131,CIBASPEC,EQ,445,445,100.00
20,132,CIMCOBIRLA,EQ,690,690,100.00
20,133,CINEVISTA,EQ,2615,2165,82.79
20,134,CIPL,EQ,6000,6000,100.00
20,135,CIPLA,EQ,43897,30192,68.78
20,136,CITICORSEC,EQ,14126,12308,87.13
20,137,CLARIANT,EQ,975,900,92.31
20,138,CMC,EQ,130565,13953,10.69
20,139,COATESIND,EQ,181,181,100.00
20,140,COCHINREFN,EQ,19549,15793,80.79
20,141,COLGATE,EQ,29323,21917,74.74
20,142,COLORCHEM,EQ,93934,90924,96.80
20,143,COMPUDYNE,EQ,63915,37315,58.38
20,144,COMPUTECH,EQ,24571,19251,78.35
20,145,CONCOR,EQ,22962,20937,91.18
20,146,CONSCOFFEE,EQ,205,201,98.05
20,147,COREPARENT,EQ,3051,2901,95.08
20,148,COROMNFERT,EQ,510,410,80.39
20,149,CORPBANK,EQ,24389,14151,58.02
20,150,COSMOFILMS,EQ,27813,11561,41.57
20,151,CREATIVEYE,EQ,4741,4560,96.18
20,152,CRESTCOMM,EQ,15297,9575,62.59
20,153,CRISIL,EQ,515,435,84.47
20,154,CROMPGREAV,EQ,70251,62021,88.28
20,155,CUB,EQ,15555,14415,92.67
20,156,CYBERTECH,EQ,38969,36702,94.18
20,157,D-LINK,EQ,9064,6016,66.37
20,158,DABUR,EQ,135774,81014,59.67
20,159,DALALSTCOM,EQ,37687,31504,83.59
20,160,DALMIACEM,EQ,350,350,100.00
20,161,DCM,EQ,276,276,100.00
20,162,DCMFINSERV,EQ,2034,2001,98.38
20,163,DCMSRMCONS,EQ,63,63,100.00
20,164,DCW,EQ,22417,15153,67.60
20,165,DEEPAKFERT,EQ,4349,3793,87.22
20,166,DENABANK,EQ,25738,18422,71.58
20,167,DEWANHOUS,EQ,2983,2600,87.16
20,168,DGPWINDSOR,EQ,1313,1305,99.39
20,169,DHAMPURSUG,EQ,2825,2825,100.00
20,170,DHARSUGAR,EQ,200,200,100.00
20,171,DIGITALEQP,EQ,5962388,163512,2.74
20,172,DIVISLAB,EQ,227349,50321,22.13
20,173,DRREDDY,EQ,163527,101720,62.20
20,174,DUNCANSIND,EQ,4591,4590,99.98
20,175,DYNACONS,EQ,23798,23798,100.00
20,176,EASTSILK,EQ,1000,1000,100.00
20,177,EASUNREYRL,EQ,201,201,100.00
20,178,EICHERLTD,EQ,5722,5222,91.26
20,179,EICHERMOT,EQ,5668,4858,85.71
20,180,EIDPARRY,EQ,2715,2415,88.95
20,181,EIHOTEL,EQ,1617,1395,86.27
20,182,ELDERPHARM,EQ,1400,1150,82.14
20,183,ELECTCAST,EQ,6683,6340,94.87
20,184,ELGIEQUIP,EQ,4850,4750,97.94
20,185,ELGITYRE,EQ,110,110,100.00
20,186,EMERCK,EQ,283,232,81.98
20,187,ENGINERSIN,EQ,16107,7337,45.55
20,188,ESABINDIA,EQ,2455,2355,95.93
20,189,ESCORTS,EQ,14249,9429,66.17
20,190,ESSARGUJ,EQ,674176,367417,54.50
20,191,ESSAROIL,EQ,66184,62242,94.04
20,192,ESSELPACK,EQ,22037,17006,77.17
20,193,ETERNEVRST,EQ,650,550,84.62
20,194,EUROTEXIND,EQ,400,400,100.00
20,195,EXCELIND,EQ,2153,1686,78.31
20,196,FACT,EQ,31351,16720,53.33
20,197,FAGBEARING,EQ,37701,36450,96.68
20,198,FDC,EQ,590,590,100.00
20,199,FEDERALBNK,EQ,127644,37645,29.49
20,200,FINCABLES,EQ,5396,3001,55.62
20,201,FINPIPE,EQ,14539,13839,95.19
20,202,FIRSTLEASE,EQ,3901,3206,82.18
20,203,FLEX,EQ,17542,17172,97.89
20,204,FLEXCHEM,EQ,388,325,83.76
20,205,FLEXENGG,EQ,308,162,52.60
20,206,FLOATGLASS,EQ,7883,7883,100.00
