Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27032003,042502989,0000684
Trade Date <27-MAR-2003>,Settlement Type <D>,Settlement No <2003060>,Settlement Date <03-APR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0746H17,GC,1000,1000,100.00
Trade Date <27-MAR-2003>,Settlement Type <N>,Settlement No <2003060>,Settlement Date <03-APR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIIND,EQ,200,200,100.00
20,3,ABANLLOYD,EQ,24126,23316,96.64
20,4,ABB,EQ,15227,10753,70.62
20,5,ABBALPO,EQ,6461,5286,81.81
20,6,ABSHEKINDS,EQ,142435,142255,99.87
20,7,ABSIND,EQ,12972,11471,88.43
20,8,ACC,EQ,520605,281888,54.15
20,9,ADANIEXPO,EQ,35605,1480,4.16
20,10,ADLABSFILM,EQ,23489,11122,47.35
20,11,ADVANIORLI,EQ,3230,3050,94.43
20,12,AFTEKINFO,EQ,1228046,136613,11.12
20,13,AGREVOIND,EQ,415,370,89.16
20,14,AGRODUTCH,EQ,17085,16200,94.82
20,15,AHMEDELEC,EQ,100,100,100.00
20,16,AHMEDFORGE,EQ,201,201,100.00
20,17,AJANTPHARM,EQ,5319,584,10.98
20,18,AKSHOPTFBR,EQ,8332,6769,81.24
20,19,ALBK,EQ,145809,91648,62.85
20,20,ALEMBICLTD,EQ,1800,1055,58.61
20,21,ALFALAVAL,EQ,254,221,87.01
20,22,ALOKTEXT,EQ,12685,10825,85.34
20,23,ALPSINDUS,EQ,346,150,43.35
20,24,AMARAJABAT,EQ,6738,6038,89.61
20,25,AMBUJARAJN,EQ,41577,40675,97.83
20,26,AMITSPIN,EQ,300,300,100.00
20,27,AMTREXAPPL,EQ,2799,2399,85.71
20,28,ANDHRABANK,EQ,1005494,309360,30.77
20,29,ANDHRSUGAR,EQ,2550,2450,96.08
20,30,ANTGRAPHIC,EQ,203,202,99.51
20,31,APCOTEXLAT,EQ,950,950,100.00
20,32,APOLLOHOSP,EQ,51651,24905,48.22
20,33,APOLLOTYRE,EQ,134051,76320,56.93
20,34,APTECHT,EQ,20032,16083,80.29
20,35,ARCHIES,EQ,2461,1252,50.87
20,36,ARHAMFISCL,EQ,50,50,100.00
20,37,ARIHANTCRE,EQ,49425,8850,17.91
20,38,ARL,EQ,468215,348646,74.46
20,39,ARVINDMILL,EQ,191666,112228,58.55
20,40,ASAHIINDIA,EQ,900,600,66.67
