Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17042003,048401757,0000679
Trade Date <17-APR-2003>,Settlement Type <D>,Settlement No <2003074>,Settlement Date <22-APR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,1000,0,0.00
20,2,0746H17,GC,1000,1000,100.00
20,3,0807A17,GC,1600,1600,100.00
20,4,1025E21,GC,1000,0,0.00
Trade Date <17-APR-2003>,Settlement Type <N>,Settlement No <2003074>,Settlement Date <22-APR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,5,AARTIIND,EQ,500,500,100.00
20,6,ABANLLOYD,EQ,3957,3563,90.04
20,7,ABB,EQ,11368,5386,47.38
20,8,ABBALPO,EQ,11887,8955,75.33
20,9,ABSHEKINDS,EQ,6826,6826,100.00
20,10,ABSIND,EQ,2707,1955,72.22
20,11,ACC,EQ,207400,99386,47.92
20,12,ADANIEXPO,EQ,34445,2389,6.94
20,13,ADLABSFILM,EQ,9344,5935,63.52
20,14,ADVANIORLI,EQ,2162,2085,96.44
20,15,AEGISCHEM,EQ,1600,1245,77.81
20,16,AFTEKINFO,EQ,787353,63585,8.08
20,17,AGEEGOLD,EQ,351,251,71.51
20,18,AGREVOIND,EQ,56,56,100.00
20,19,AGRODUTCH,EQ,1930,1794,92.95
20,20,AHMEDELEC,EQ,1092,880,80.59
20,21,AHMEDFORGE,EQ,100,100,100.00
20,22,AJANTPHARM,EQ,4471,1371,30.66
20,23,AKSHOPTFBR,EQ,3248,3080,94.83
20,24,ALBK,EQ,357207,222602,62.32
20,25,ALEMBICLTD,EQ,1445,553,38.27
20,26,ALFALAVAL,EQ,3260,3255,99.85
20,27,ALOKTEXT,EQ,69704,52094,74.74
20,28,ALPSINDUS,EQ,10,10,100.00
20,29,AMARAJABAT,EQ,3385,2815,83.16
20,30,AMBUJARAJN,EQ,14656,14353,97.93
20,31,AMITSPIN,EQ,253,150,59.29
20,32,AMTREXAPPL,EQ,1655,1450,87.61
20,33,ANDHRABANK,EQ,3242716,840234,25.91
20,34,ANDHRSUGAR,EQ,1090,890,81.65
20,35,ANTGRAPHIC,EQ,500,500,100.00
20,36,APCOTEXLAT,EQ,200,200,100.00
20,37,APOLLOHOSP,EQ,58954,15429,26.17
20,38,APOLLOTYRE,EQ,15427,9654,62.58
20,39,APTECHT,EQ,68577,63744,92.95
20,40,ARCHIES,EQ,2241,2082,92.90
20,41,ARHAMFISCL,EQ,6800,6000,88.24
20,42,ARIHANTCRE,EQ,42902,3401,7.93
20,43,ARL,EQ,114021,36620,32.12
20,44,ARVINDMILL,EQ,746211,332660,44.58
20,45,ASAHIINDIA,EQ,5465,4605,84.26
20,46,ASHIMASYN,EQ,100,100,100.00
20,47,ASHKLEYFIN,EQ,5026,4676,93.04
20,48,ASHOKLEY,EQ,6350,5455,85.91
20,49,ASIANELEC,EQ,100,100,100.00
20,50,ASIANHOTEL,EQ,2023,2021,99.90
20,51,ASIANPAINT,EQ,6292,4538,72.12
20,52,ASTRAIDL,EQ,3,3,100.00
20,53,ATCOIND,EQ,18030,16250,90.13
20,54,ATFL,EQ,152,152,100.00
20,55,ATLASCYCLE,EQ,350,300,85.71
20,56,AUROPHARMA,EQ,12500,10829,86.63
20,57,AZTEC,EQ,22132,17701,79.98
20,58,BAJAJAUTO,EQ,243693,181616,74.53
20,59,BAJAJHIND,EQ,1649,1414,85.75
20,60,BAJAJPLAST,EQ,303,300,99.01
20,61,BAJAUTOFIN,EQ,3620,3600,99.45
20,62,BALAJIDIST,EQ,11000,9850,89.55
20,63,BALAJITELE,EQ,41853,23466,56.07
20,64,BALMLAWRIE,EQ,201,201,100.00
20,65,BALRAMCHIN,EQ,9513,9499,99.85
20,66,BANARISUG,EQ,10,10,100.00
20,67,BANKBARODA,EQ,674460,256305,38.00
20,68,BANKINDIA,EQ,393784,168552,42.80
20,69,BANKPUNJAB,EQ,98970,68632,69.35
20,70,BANKRAJAS,EQ,103325,82772,80.11
20,71,BASF,EQ,2000,1718,85.90
20,72,BATAINDIA,EQ,33600,24207,72.04
20,73,BEL,EQ,313246,98081,31.31
20,74,BELCERAMIC,EQ,18000,18000,100.00
20,75,BEML,EQ,132824,58185,43.81
20,76,BERGEPAINT,EQ,2440,2440,100.00
20,77,BFLSOFTWAR,EQ,24051,6793,28.24
20,78,BGFL,EQ,200,200,100.00
20,79,BHARATFORG,EQ,7344,5963,81.20
20,80,BHARATHOT,EQ,1565,1565,100.00
20,81,BHARTI,EQ,587250,257095,43.78
20,82,BHEL,EQ,396366,137315,34.64
20,83,BIL,EQ,554,553,99.82
20,84,BILT,EQ,36501,30791,84.36
20,85,BINDALAGRO,EQ,32119,30917,96.26
20,86,BIRLA3M,EQ,280,280,100.00
20,87,BIRLAERIC,EQ,5015,3610,71.98
20,88,BIRLAJUTE,EQ,16383,15569,95.03
20,89,BLBLIMITED,EQ,780,780,100.00
20,90,BLUEDART,EQ,2705,2185,80.78
20,91,BLUESTARCO,EQ,1749,1649,94.28
20,92,BLUESTINFO,EQ,4105,2322,56.57
20,93,BOMDYEING,EQ,16354,12136,74.21
20,94,BONGAIREFN,EQ,323511,229872,71.06
20,95,BPCL,EQ,570927,257222,45.05
20,96,BPL,EQ,7345,5730,78.01
20,97,BPLENGG,EQ,1952,1300,66.60
20,98,BRITANNIA,EQ,3595,2198,61.14
20,99,BSELINFO,EQ,147,147,100.00
20,100,BSES,EQ,37449,20066,53.58
20,101,CADILAHC,EQ,9516,6146,64.59
20,102,CANBK,EQ,4075239,1003249,24.62
20,103,CANFINHOME,EQ,1485,1309,88.15
20,104,CARBORUNIV,EQ,610,610,100.00
20,105,CASTROL,EQ,40456,26541,65.60
20,106,CEAT,EQ,17706,12975,73.28
20,107,CENTENKA,EQ,16406,11530,70.28
20,108,CENTURION,EQ,646873,408154,63.10
20,109,CENTURYTEX,EQ,100270,36118,36.02
20,110,CESC,EQ,10013,8593,85.82
20,111,CGIGARSH,EQ,8334,7884,94.60
20,112,CHAMBLFERT,EQ,245086,204380,83.39
20,113,CHEMPLAST,EQ,350,350,100.00
20,114,CHENNPETRO,EQ,31198,25610,82.09
20,115,CHESLINTEX,EQ,1100,1100,100.00
20,116,CHLORIDIND,EQ,1115,815,73.09
20,117,CHOLAINV,EQ,8933,7760,86.87
20,118,CIMCOBIRLA,EQ,2000,2000,100.00
20,119,CINEVISTA,EQ,900,714,79.33
20,120,CIPL,EQ,1250,1250,100.00
20,121,CIPLA,EQ,43415,26032,59.96
20,122,CITICORSEC,EQ,16121,10627,65.92
20,123,CLARIANT,EQ,100,100,100.00
20,124,CMC,EQ,20125,10313,51.24
20,125,COATESIND,EQ,120,120,100.00
20,126,COCHINREFN,EQ,33664,25850,76.79
20,127,COLGATE,EQ,26994,18467,68.41
20,128,COLORCHEM,EQ,14836,12494,84.21
20,129,COMPUDYNE,EQ,9676,7601,78.56
20,130,COMPUTECH,EQ,17500,15300,87.43
20,131,CONCOR,EQ,187010,93435,49.96
20,132,CONSCOFFEE,EQ,62,62,100.00
20,133,COREPARENT,EQ,201,201,100.00
20,134,COROMNFERT,EQ,200,200,100.00
20,135,CORPBANK,EQ,22522,11909,52.88
20,136,COSMOFILMS,EQ,341402,99974,29.28
20,137,CREATIVEYE,EQ,255460,255460,100.00
20,138,CRESTCOMM,EQ,12157,8705,71.60
20,139,CRISIL,EQ,891,856,96.07
20,140,CROMPGREAV,EQ,58307,26295,45.10
20,141,CUB,EQ,11468,8713,75.98
20,142,CYBERTECH,EQ,13012,10385,79.81
20,143,D-LINK,EQ,4587,4343,94.68
20,144,DABUR,EQ,53638,37815,70.50
20,145,DALALSTCOM,EQ,14002,13000,92.84
20,146,DALMIACEM,EQ,207,175,84.54
20,147,DALMIACEM,W1,100,100,100.00
20,148,DCM,EQ,209,209,100.00
20,149,DCMFINSERV,EQ,200,200,100.00
20,150,DCMSRMCONS,EQ,4347,4235,97.42
20,151,DCW,EQ,2800,2700,96.43
20,152,DEEPAKFERT,EQ,8951,8876,99.16
20,153,DENABANK,EQ,65359,39645,60.66
20,154,DGPWINDSOR,EQ,300,300,100.00
20,155,DHAMPURSUG,EQ,1375,1375,100.00
20,156,DIGITALEQP,EQ,3226499,170342,5.28
20,157,DIVISLAB,EQ,220243,30881,14.02
20,158,DRREDDY,EQ,98064,72320,73.75
20,159,DUNCANSIND,EQ,102,102,100.00
20,160,DYNACONS,EQ,39856,39856,100.00
20,161,EASTSILK,EQ,3,1,33.33
20,162,EASUNREYRL,EQ,2,1,50.00
20,163,EICHERLTD,EQ,4904,4053,82.65
20,164,EICHERMOT,EQ,6217,4545,73.11
20,165,EIDPARRY,EQ,1228,1043,84.93
20,166,EIHOTEL,EQ,1017,817,80.33
20,167,EIMCOELECO,EQ,100,100,100.00
20,168,ELDERPHARM,EQ,1220,1000,81.97
20,169,ELECTCAST,EQ,6773,6291,92.88
20,170,ELGIEQUIP,EQ,3,3,100.00
20,171,ELGITYRE,EQ,40,20,50.00
20,172,EMERCK,EQ,1179,1110,94.15
20,173,ENGINERSIN,EQ,19055,14093,73.96
20,174,ESABINDIA,EQ,3347,3036,90.71
20,175,ESCORTS,EQ,15678,14097,89.92
20,176,ESSARGUJ,EQ,258619,175629,67.91
20,177,ESSAROIL,EQ,50095,46896,93.61
20,178,ESSELPACK,EQ,4612,3125,67.76
20,179,ETERNEVRST,EQ,1000,1000,100.00
20,180,EXCELIND,EQ,4176,3495,83.69
20,181,FACT,EQ,6631,5579,84.14
20,182,FAGBEARING,EQ,28026,26565,94.79
20,183,FDC,EQ,2425,1826,75.30
20,184,FEDERALBNK,EQ,68311,32011,46.86
20,185,FINCABLES,EQ,2603,2412,92.66
20,186,FINPIPE,EQ,47249,34588,73.20
20,187,FIRSTLEASE,EQ,2405,2305,95.84
20,188,FLEX,EQ,7188,7183,99.93
20,189,FLEXCHEM,EQ,145248,144647,99.59
20,190,FLEXENGG,EQ,755,655,86.75
20,191,FLOATGLASS,EQ,1910,1900,99.48
20,192,FOSECOIND,EQ,2143,1945,90.76
20,193,FUJITSICIM,EQ,14849,8024,54.04
20,194,GAEL,EQ,5903,5241,88.79
20,195,GAIL,EQ,74742,52477,70.21
20,196,GAMMONIND,EQ,535,406,75.89
20,197,GARDENSILK,EQ,4272,3570,83.57
20,198,GENESYS,EQ,100,100,100.00
20,199,GEOMETRIC,EQ,1298565,36861,2.84
20,200,GEORGWILIM,EQ,895,600,67.04
20,201,GERMANREM,EQ,380,318,83.68
20,202,GESCOCORP,EQ,845,795,94.08
20,203,GESHIPPING,EQ,109351,67808,62.01
20,204,GHCL,EQ,43364,36200,83.48
20,205,GICHSGFIN,EQ,6275,5175,82.47
20,206,GINNIFILA,EQ,23073,17697,76.70
20,207,GIPCL,EQ,21289,18531,87.04
20,208,GKW,EQ,3390,3389,99.97
20,209,GLAXO,EQ,13138,6559,49.92
20,210,GLENMARK,EQ,579,571,98.62
20,211,GLOBALTELE,EQ,3321366,242109,7.29
20,212,GLOBLTRUST,EQ,89533,59124,66.04
20,213,GMBREW,EQ,700,700,100.00
20,214,GMDCLTD,EQ,924,696,75.32
20,215,GNFC,EQ,39009,35909,92.05
20,216,GODAVRFERT,EQ,5000,3400,68.00
20,217,GODFRYPHLP,EQ,7800,7467,95.73
20,218,GODREJCP,EQ,5016,4766,95.02
20,219,GODREJIND,EQ,3042,3042,100.00
20,220,GOETZEIND,EQ,650,650,100.00
20,221,GOLDTECH,EQ,65216,27231,41.76
20,222,GOLDTELE,EQ,13429,8350,62.18
20,223,GOODLASNER,EQ,520,470,90.38
20,224,GPELECT,EQ,200,200,100.00
20,225,GRANDFONRY,EQ,5753,5753,100.00
20,226,GRAPHITE,EQ,11200,11040,98.57
20,227,GRASIM,EQ,51979,43063,82.85
20,228,GSFC,EQ,16847,15745,93.46
20,229,GTCIND,EQ,4240,4177,98.51
20,230,GTNTEXT,EQ,4183,3763,89.96
20,231,GUJALKALI,EQ,14563,12506,85.88
20,232,GUJAMBCEM,EQ,32074,24833,77.42
20,233,GUJFLUORO,EQ,5475,5475,100.00
20,234,GUJRATGAS,EQ,321,199,61.99
20,235,GUJSIDHCEM,EQ,9800,8800,89.80
20,236,HARRMALAYA,EQ,3784,2951,77.99
20,237,HAVELLS,EQ,100,100,100.00
20,238,HCL-INSYS,EQ,25429,11054,43.47
20,239,HCLTECH,EQ,945274,175081,18.52
20,240,HDFC,EQ,147607,96943,65.68
20,241,HDFCBANK,EQ,369924,331882,89.72
20,242,HEG,EQ,16761,16436,98.06
20,243,HERITGFOOD,EQ,2800,2600,92.86
20,244,HEROHONDA,EQ,741387,426132,57.48
20,245,HEXAWARE,EQ,2083563,127066,6.10
20,246,HIKAL,EQ,170,170,100.00
20,247,HIMACHLFUT,EQ,4043005,1051095,26.00
20,248,HIMATSEIDE,EQ,1280,1080,84.38
20,249,HINDALC0,EQ,45626,35776,78.41
20,250,HINDCOMPOS,EQ,100,100,100.00
20,251,HINDCONS,EQ,7864,6650,84.56
20,252,HINDDORROL,EQ,300,300,100.00
20,253,HINDINKS,EQ,1035,605,58.45
20,254,HINDLEVCHM,EQ,1489,985,66.15
20,255,HINDLEVER,EQ,1795929,735784,40.97
20,256,HINDMOTOR,EQ,48294,37021,76.66
20,257,HINDOILEXP,EQ,36942,35497,96.09
20,258,HINDPETRO,EQ,810444,286207,35.31
20,259,HINDSANIT,EQ,620,520,83.87
20,260,HMT,EQ,13883,13358,96.22
20,261,HOCL,EQ,99738,68315,68.49
20,262,HOECHST,EQ,4038,3600,89.15
20,263,HOTELEELA,EQ,26450,25759,97.39
20,264,HTMT,EQ,744420,58450,7.85
20,265,HUGHESSOFT,EQ,2046087,159018,7.77
20,266,HUGHESTELE,EQ,34648,26434,76.29
20,267,HYDRBADIND,EQ,4571,3918,85.71
20,268,I-FLEX,EQ,158766,39023,24.58
20,269,IBP,EQ,5541,4053,73.15
20,270,ICI,EQ,2404,2129,88.56
20,271,ICICIBANK,EQ,740781,464617,62.72
20,272,IDBI,EQ,74419,53634,72.07
20,273,IDBIBANK,EQ,79066,49377,62.45
20,274,IFBAGRO,EQ,300,300,100.00
20,275,IFCI,EQ,73235,53230,72.68
20,276,IFCI,N2,4,4,100.00
20,277,IGFLFERT,EQ,37705,35937,95.31
20,278,INDAL,EQ,1051,1051,100.00
20,279,INDHOTEL,EQ,37269,25142,67.46
20,280,INDIACEM,EQ,23515,16505,70.19
20,281,INDIAFOILS,EQ,201,100,49.75
20,282,INDIANCARD,EQ,25,25,100.00
20,283,INDNIPPON,EQ,350,295,84.29
20,284,INDORAMSYN,EQ,54701,38156,69.75
20,285,INDRAMEDCO,EQ,10052,8050,80.08
20,286,INDRAYON,EQ,49843,34855,69.93
20,287,INDSHAVING,EQ,1951,1681,86.16
20,288,INDSWFTLAB,EQ,15350,3775,24.59
20,289,INDUSINDBK,EQ,70533,58535,82.99
