Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30042003,051748328,0000691
Trade Date <30-APR-2003>,Settlement Type <D>,Settlement No <2003082>,Settlement Date <05-MAY-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0807A17,GC,500,500,100.00
20,2,0985J15,GC,1000,1000,100.00
Trade Date <30-APR-2003>,Settlement Type <N>,Settlement No <2003082>,Settlement Date <05-MAY-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3,AARTIIND,EQ,400,400,100.00
20,4,ABANLLOYD,EQ,9412,8871,94.25
20,5,ABB,EQ,17263,10441,60.48
20,6,ABBALPO,EQ,11254,8893,79.02
20,7,ABSHEKINDS,EQ,20700,17340,83.77
20,8,ABSIND,EQ,6601,6150,93.17
20,9,ACC,EQ,681509,208361,30.57
20,10,ADANIEXPO,EQ,33650,361,1.07
20,11,ADLABSFILM,EQ,62138,20053,32.27
20,12,ADVANIORLI,EQ,1385,1275,92.06
20,13,AEGISCHEM,EQ,5737,5086,88.65
20,14,AFTEKINFO,EQ,1019416,76320,7.49
20,15,AGEEGOLD,EQ,516,500,96.90
20,16,AGRODUTCH,EQ,1000,900,90.00
20,17,AHMEDELEC,EQ,650,460,70.77
20,18,AHMEDFORGE,EQ,6451,3263,50.58
20,19,AJANTPHARM,EQ,4340,300,6.91
20,20,AKSHOPTFBR,EQ,8737,7877,90.16
20,21,ALBK,EQ,468813,285923,60.99
20,22,ALEMBICLTD,EQ,8503,5280,62.10
20,23,ALFALAVAL,EQ,1741,1740,99.94
20,24,ALOKTEXT,EQ,220193,131135,59.55
20,25,ALPSINDUS,EQ,4093,2857,69.80
20,26,AMARAJABAT,EQ,17255,12790,74.12
20,27,AMBUJARAJN,EQ,41722,40322,96.64
20,28,AMITSPIN,EQ,22,7,31.82
20,29,AMTREXAPPL,EQ,2250,2250,100.00
20,30,ANDHRABANK,EQ,1931799,477882,24.74
20,31,ANDHRSUGAR,EQ,8850,8600,97.18
20,32,ANTGRAPHIC,EQ,500,500,100.00
20,33,APCOTEXLAT,EQ,550,500,90.91
20,34,APOLLOHOSP,EQ,36907,20254,54.88
20,35,APOLLOTYRE,EQ,7005,4885,69.74
20,36,APTECHT,EQ,14694,9967,67.83
20,37,ARCHIES,EQ,3785,1906,50.36
20,38,ARHAMFISCL,EQ,3650,3250,89.04
20,39,ARIHANTCRE,EQ,51301,22301,43.47
20,40,ARL,EQ,99103,44201,44.60
20,41,ARVINDMILL,EQ,931602,368635,39.57
20,42,ASAHIINDIA,EQ,11275,10675,94.68
20,43,ASHIMASYN,EQ,589,589,100.00
20,44,ASHKLEYFIN,EQ,5702,4998,87.65
20,45,ASHOKLEY,EQ,48147,37262,77.39
20,46,ASIANELEC,EQ,945,845,89.42
20,47,ASIANHOTEL,EQ,1611,1411,87.59
20,48,ASIANPAINT,EQ,41317,40754,98.64
20,49,ASTRAIDL,EQ,2,1,50.00
