Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08052003,040863603,0000697
Trade Date <08-MAY-2003>,Settlement Type <D>,Settlement No <2003087>,Settlement Date <12-MAY-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0807A17,GC,70,70,100.00
20,2,0981E13,GC,120,120,100.00
20,3,1025E21,GC,20,20,100.00
Trade Date <08-MAY-2003>,Settlement Type <N>,Settlement No <2003087>,Settlement Date <12-MAY-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,4,ABANLLOYD,EQ,4065,3029,74.51
20,5,ABB,EQ,12808,6722,52.48
20,6,ABBALPO,EQ,27122,18034,66.49
20,7,ABSHEKINDS,EQ,14441,11069,76.65
20,8,ABSIND,EQ,17201,16400,95.34
20,9,ACC,EQ,684586,311540,45.51
20,10,ADANIEXPO,EQ,35271,2135,6.05
20,11,ADLABSFILM,EQ,9808,6737,68.69
20,12,ADVANIORLI,EQ,6168,4407,71.45
20,13,AEGISCHEM,EQ,1060,1060,100.00
20,14,AFTEKINFO,EQ,5148086,341544,6.63
20,15,AGEEGOLD,EQ,2500,1500,60.00
20,16,AGREVOIND,EQ,348,348,100.00
20,17,AGRODUTCH,EQ,3602,2800,77.73
20,18,AHMEDELEC,EQ,1149,1149,100.00
20,19,AHMEDFORGE,EQ,22410,17974,80.21
20,20,AJANTPHARM,EQ,3705,525,14.17
20,21,AKSHOPTFBR,EQ,10064,8959,89.02
20,22,ALBK,EQ,394571,204349,51.79
20,23,ALEMBICLTD,EQ,4756,3460,72.75
20,24,ALFALAVAL,EQ,2137,1966,92.00
20,25,ALOKTEXT,EQ,53789,49636,92.28
20,26,ALPSINDUS,EQ,847,570,67.30
20,27,AMARAJABAT,EQ,6004,3344,55.70
20,28,AMBUJARAJN,EQ,70810,70810,100.00
20,29,AMITSPIN,EQ,1355,1345,99.26
20,30,AMTREXAPPL,EQ,7215,5980,82.88
20,31,ANDHRABANK,EQ,7691090,1773527,23.06
20,32,ANDHRSUGAR,EQ,1400,1300,92.86
20,33,APCOTEXLAT,EQ,198,173,87.37
20,34,APOLLOHOSP,EQ,62726,20445,32.59
20,35,APOLLOTYRE,EQ,135824,88693,65.30
20,36,APTECHT,EQ,8715,5916,67.88
20,37,ARCHIES,EQ,4706,3457,73.46
20,38,ARHAMFISCL,EQ,36419,11219,30.81
20,39,ARIHANTCRE,EQ,43700,9600,21.97
20,40,ARL,EQ,154220,106781,69.24
20,41,ARVINDMILL,EQ,830747,391302,47.10
20,42,ASAHIINDIA,EQ,18101,16175,89.36
20,43,ASHIMASYN,EQ,150,100,66.67
20,44,ASHKLEYFIN,EQ,13808,10647,77.11
20,45,ASHOKLEY,EQ,169640,135880,80.10
20,46,ASIANELEC,EQ,1450,1450,100.00
20,47,ASIANHOTEL,EQ,1907,1555,81.54
20,48,ASIANPAINT,EQ,5330,3720,69.79
20,49,ASTRAIDL,EQ,50,50,100.00
20,50,ATCOIND,EQ,13279,12479,93.98
20,51,ATFL,EQ,871,770,88.40
20,52,ATLASCYCLE,EQ,240,210,87.50
20,53,ATULPROD,EQ,1328,1265,95.26
20,54,AUROPHARMA,EQ,14948,9132,61.09
20,55,AUTORIDFIN,EQ,7855,7855,100.00
20,56,AZTEC,EQ,18004,11273,62.61
20,57,BAJAJAUTO,EQ,241700,165644,68.53
20,58,BAJAUTOFIN,EQ,8476,7710,90.96
20,59,BALAJIDIST,EQ,3421,2221,64.92
20,60,BALAJITELE,EQ,428312,170956,39.91
20,61,BALMLAWRIE,EQ,11569,11363,98.22
20,62,BALRAMCHIN,EQ,6202,4847,78.15
20,63,BANARISUG,EQ,2450,350,14.29
20,64,BANKBARODA,EQ,806037,215336,26.72
20,65,BANKINDIA,EQ,681401,213911,31.39
20,66,BANKPUNJAB,EQ,67022,43570,65.01
20,67,BANKRAJAS,EQ,131198,101898,77.67
20,68,BASF,EQ,7039,6609,93.89
20,69,BATAINDIA,EQ,9042,6920,76.53
20,70,BEL,EQ,138632,41894,30.22
20,71,BELCERAMIC,EQ,2539,2300,90.59
20,72,BEML,EQ,91238,24435,26.78
20,73,BERGEPAINT,EQ,1122,1042,92.87
20,74,BFLSOFTWAR,EQ,7590,3567,47.00
20,75,BGFL,EQ,2600,2450,94.23
20,76,BHARATFORG,EQ,22477,12467,55.47
20,77,BHARATGEAR,EQ,67424,45601,67.63
20,78,BHARATHOT,EQ,369,309,83.74
20,79,BHARATRAS,EQ,154,152,98.70
20,80,BHARTI,EQ,60997,43037,70.56
20,81,BHEL,EQ,936373,487100,52.02
20,82,BILT,EQ,118003,77095,65.33
20,83,BINDALAGRO,EQ,17827,15425,86.53
20,84,BIRLA3M,EQ,1830,1415,77.32
20,85,BIRLAERIC,EQ,6050,4052,66.98
20,86,BIRLAJUTE,EQ,89626,65421,72.99
20,87,BLBLIMITED,EQ,500,500,100.00
20,88,BLUECHIP,EQ,1300,1300,100.00
20,89,BLUEDART,EQ,5989,4800,80.15
20,90,BLUESTARCO,EQ,5903,4481,75.91
20,91,BLUESTINFO,EQ,8239,4256,51.66
20,92,BOMDYEING,EQ,27661,22227,80.36
20,93,BONGAIREFN,EQ,464096,249659,53.79
20,94,BPCL,EQ,956898,221116,23.11
20,95,BPL,EQ,19127,12395,64.80
20,96,BPLENGG,EQ,1759,1400,79.59
20,97,BPLREFRIG,EQ,2305,2300,99.78
20,98,BPLSANTECH,EQ,1500,1500,100.00
20,99,BPLSANUTIL,EQ,1105,1100,99.55
20,100,BRITANNIA,EQ,8846,4882,55.19
20,101,BSES,EQ,32672,18731,57.33
20,102,BSL,EQ,142,142,100.00
20,103,CADILAHC,EQ,14977,12565,83.90
20,104,CALSOFT,EQ,200,200,100.00
20,105,CANBK,EQ,2909672,484710,16.66
20,106,CANFINHOME,EQ,8978,7237,80.61
20,107,CARBORUNIV,EQ,433,392,90.53
20,108,CEAT,EQ,13944,10251,73.52
20,109,CENTENKA,EQ,35088,27590,78.63
20,110,CENTURION,EQ,585009,369280,63.12
20,111,CENTURYTEX,EQ,431125,233833,54.24
20,112,CESC,EQ,21005,11421,54.37
20,113,CGIGARSH,EQ,6800,6450,94.85
20,114,CHAMBLFERT,EQ,425377,302488,71.11
20,115,CHEMPLAST,EQ,416,416,100.00
20,116,CHENNPETRO,EQ,201637,137146,68.02
20,117,CHESLINTEX,EQ,1529,1529,100.00
20,118,CHLORIDIND,EQ,55850,33004,59.09
20,119,CHOLAINV,EQ,10498,10448,99.52
20,120,CIMCOBIRLA,EQ,1000,1000,100.00
20,121,CINEVISTA,EQ,2275,2185,96.04
20,122,CIPL,EQ,2900,2800,96.55
20,123,CIPLA,EQ,52118,34788,66.75
20,124,CITICORSEC,EQ,5456,3104,56.89
20,125,CLARIANT,EQ,7295,4834,66.26
20,126,CMC,EQ,309856,60111,19.40
20,127,COATESIND,EQ,1264,1256,99.37
20,128,COCHINREFN,EQ,322517,202533,62.80
20,129,COLGATE,EQ,36417,25996,71.38
20,130,COLORCHEM,EQ,4973,4718,94.87
20,131,COMPUDYNE,EQ,13364,6359,47.58
20,132,COMPUTECH,EQ,17599,14774,83.95
20,133,CONCOR,EQ,23366,18713,80.09
20,134,CONSCOFFEE,EQ,1088,1088,100.00
20,135,COREPARENT,EQ,6101,6000,98.34
20,136,COROMNFERT,EQ,249,199,79.92
20,137,CORPBANK,EQ,85236,57221,67.13
20,138,COSMOFILMS,EQ,99797,82090,82.26
20,139,CREATIVEYE,EQ,8162,5788,70.91
20,140,CRESTCOMM,EQ,9501,5225,54.99
20,141,CRISIL,EQ,322,322,100.00
20,142,CROMPGREAV,EQ,43240,20973,48.50
20,143,CUB,EQ,8429,6428,76.26
20,144,CYBERTECH,EQ,1718,1147,66.76
20,145,D-LINK,EQ,13830,12370,89.44
20,146,DABUR,EQ,189620,112598,59.38
20,147,DALALSTCOM,EQ,6000,6000,100.00
20,148,DALMIACEM,EQ,215,215,100.00
20,149,DCM,EQ,2488,2436,97.91
20,150,DCMFINSERV,EQ,1602,1500,93.63
20,151,DCMSRMCONS,EQ,1671,1619,96.89
20,152,DCW,EQ,26851,18195,67.76
20,153,DEEPAKFERT,EQ,32703,30057,91.91
20,154,DENABANK,EQ,71429,56813,79.54
20,155,DEWANHOUS,EQ,100,50,50.00
20,156,DGPWINDSOR,EQ,2500,2500,100.00
20,157,DHAMPURSUG,EQ,3303,3265,98.85
20,158,DHARSUGAR,EQ,100,100,100.00
20,159,DIGITALEQP,EQ,6707118,497493,7.42
20,160,DIVISLAB,EQ,256066,60358,23.57
20,161,DRREDDY,EQ,272711,155525,57.03
20,162,DUNCANSIND,EQ,597,294,49.25
20,163,DYNACONS,EQ,20970,20970,100.00
20,164,EASTSILK,EQ,3076,2350,76.40
20,165,EASUNREYRL,EQ,253,251,99.21
20,166,EICHERLTD,EQ,8550,4350,50.88
20,167,EICHERMOT,EQ,55020,51377,93.38
20,168,EIDPARRY,EQ,4742,4232,89.25
20,169,EIHOTEL,EQ,962,782,81.29
20,170,EIMCOELECO,EQ,75,75,100.00
20,171,ELDERPHARM,EQ,1025,775,75.61
20,172,ELECTCAST,EQ,9493,8024,84.53
20,173,ELGIEQUIP,EQ,232837,171403,73.62
20,174,ELGITYRE,EQ,27,25,92.59
20,175,EMERCK,EQ,1965,1699,86.46
20,176,ENGINERSIN,EQ,34971,11652,33.32
20,177,ESABINDIA,EQ,12355,10575,85.59
20,178,ESCORTS,EQ,82714,46929,56.74
20,179,ESSARGUJ,EQ,220660,159925,72.48
20,180,ESSAROIL,EQ,84621,72906,86.16
20,181,ESSELPACK,EQ,10569,6867,64.97
20,182,ETERNEVRST,EQ,3692,3193,86.48
20,183,EUROTEXIND,EQ,1565,1363,87.09
20,184,EXCELIND,EQ,15002,9503,63.34
20,185,FACT,EQ,7942,5650,71.14
20,186,FAGBEARING,EQ,13022,12970,99.60
20,187,FDC,EQ,5870,5670,96.59
20,188,FEDERALBNK,EQ,130731,62963,48.16
20,189,FINCABLES,EQ,2680,2430,90.67
20,190,FINPIPE,EQ,43544,26994,61.99
20,191,FIRSTLEASE,EQ,2900,2900,100.00
20,192,FLEX,EQ,5492,5217,94.99
20,193,FLEXCHEM,EQ,834,634,76.02
20,194,FLEXENGG,EQ,1250,1050,84.00
20,195,FLOATGLASS,EQ,12227,11000,89.96
20,196,FOSECOIND,EQ,1325,1205,90.94
20,197,FUJITSICIM,EQ,25257,9289,36.78
