Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30052003,114553886,0000726
Trade Date <30-MAY-2003>,Settlement Type <D>,Settlement No <2003103>,Settlement Date <03-JUN-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,10,10,100.00
20,2,0807A17,GC,30,30,100.00
20,3,0985J15,GC,50,50,100.00
Trade Date <30-MAY-2003>,Settlement Type <N>,Settlement No <2003103>,Settlement Date <03-JUN-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,4,AARTIIND,EQ,775,775,100.00
20,5,ABANLLOYD,EQ,35355,17428,49.29
20,6,ABB,EQ,31031,22412,72.22
20,7,ABSHEKINDS,EQ,74501,69128,92.79
20,8,ABSIND,EQ,57381,52909,92.21
20,9,ACC,EQ,501747,171043,34.09
20,10,ADANIEXPO,EQ,34591,3940,11.39
20,11,ADLABSFILM,EQ,23745,16722,70.42
20,12,ADVANIORLI,EQ,37551,28655,76.31
20,13,AEGISCHEM,EQ,7197,6655,92.47
20,14,AFTEKINFO,EQ,1158197,252581,21.81
20,15,AGEEGOLD,EQ,4000,4000,100.00
20,16,AGREVOIND,EQ,2607,1821,69.85
20,17,AGRODUTCH,EQ,22256,16640,74.77
20,18,AHMEDELEC,EQ,3131,2191,69.98
20,19,AHMEDFORGE,EQ,5326,4152,77.96
20,20,AJANTPHARM,EQ,2789,2339,83.87
20,21,AKSHOPTFBR,EQ,34062,18801,55.20
20,22,ALBK,EQ,3734174,1487039,39.82
20,23,ALEMBICLTD,EQ,12817,7917,61.77
20,24,ALFALAVAL,EQ,681,566,83.11
20,25,ALOKTEXT,EQ,1111640,550129,49.49
20,26,ALPSINDUS,EQ,705,701,99.43
20,27,AMARAJABAT,EQ,102248,62058,60.69
20,28,AMBUJARAJN,EQ,209731,184075,87.77
20,29,AMITSPIN,EQ,2400,2200,91.67
20,30,AMTREXAPPL,EQ,9002,9002,100.00
20,31,ANAMALFIN,EQ,600,600,100.00
20,32,ANDHRABANK,EQ,4043647,1483549,36.69
20,33,ANDHRSUGAR,EQ,49650,38850,78.25
20,34,ANTGRAPHIC,EQ,2400,2400,100.00
20,35,APCOTEXLAT,EQ,1694,1634,96.46
20,36,APIL,EQ,22670,18571,81.92
20,37,APOLLOHOSP,EQ,540857,236549,43.74
20,38,APOLLOTYRE,EQ,449831,186721,41.51
20,39,APTECHT,EQ,175504,140771,80.21
20,40,ARCHIES,EQ,4423,3361,75.99
20,41,ARHAMFISCL,EQ,145872,105872,72.58
20,42,ARIHANTCRE,EQ,73645,30645,41.61
20,43,ARL,EQ,396733,255823,64.48
20,44,ARVINDMILL,EQ,5281038,1785085,33.80
20,45,ASAHIINDIA,EQ,27091,21897,80.83
20,46,ASHIMASYN,EQ,1052,852,80.99
20,47,ASHKLEYFIN,EQ,30404,21878,71.96
20,48,ASHOKLEY,EQ,409837,308575,75.29
20,49,ASIANELEC,EQ,12110,12110,100.00
20,50,ASIANHOTEL,EQ,1789,1104,61.71
20,51,ASIANPAINT,EQ,20177,12842,63.65
20,52,ASTRAIDL,EQ,91,91,100.00
20,53,ATCOIND,EQ,46315,35694,77.07
20,54,ATFL,EQ,1575,1425,90.48
20,55,ATLASCYCLE,EQ,6017,5788,96.19
20,56,ATULPROD,EQ,8746,7821,89.42
20,57,AUROPHARMA,EQ,169217,115762,68.41
20,58,AUTOAXLES,EQ,94837,78259,82.52
