Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,12062003,076087572,0000727
Trade Date <12-JUN-2003>,Settlement Type <D>,Settlement No <2003112>,Settlement Date <16-JUN-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0835E22,GC,100,100,100.00
20,2,0981E13,GC,20,20,100.00
20,3,0985J15,GC,10,10,100.00
20,4,1045D18,GC,10,10,100.00
Trade Date <12-JUN-2003>,Settlement Type <N>,Settlement No <2003112>,Settlement Date <16-JUN-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,5,AARTIIND,EQ,1525,1175,77.05
20,6,ABANLLOYD,EQ,120233,67606,56.23
20,7,ABB,EQ,97193,46143,47.48
20,8,ABSHEKINDS,EQ,20450,19147,93.63
20,9,ABSIND,EQ,232746,102127,43.88
20,10,ACC,EQ,219866,72932,33.17
20,11,ADANIEXPO,EQ,34952,551,1.58
20,12,ADLABSFILM,EQ,15523,11539,74.33
20,13,ADVANIORLI,EQ,13759,11029,80.16
20,14,AEGISCHEM,EQ,6249,4954,79.28
20,15,AFTEKINFO,EQ,377540,34917,9.25
20,16,AGEEGOLD,EQ,563,410,72.82
20,17,AGREVOIND,EQ,773,648,83.83
20,18,AGRODUTCH,EQ,34365,24422,71.07
20,19,AHMEDELEC,EQ,53819,31922,59.31
20,20,AHMEDFORGE,EQ,3359,3359,100.00
20,21,AJANTPHARM,EQ,9384,3779,40.27
20,22,AKSHOPTFBR,EQ,34102,24813,72.76
20,23,ALBK,EQ,736850,315922,42.87
20,24,ALEMBICLTD,EQ,6819,4624,67.81
20,25,ALFALAVAL,EQ,1352,1087,80.40
20,26,ALOKTEXT,EQ,960732,483873,50.37
20,27,ALPSINDUS,EQ,2250,1750,77.78
20,28,AMARAJABAT,EQ,16100,12039,74.78
20,29,AMBUJARAJN,EQ,192577,149087,77.42
20,30,AMITSPIN,EQ,569,569,100.00
20,31,AMTREXAPPL,EQ,7626,7524,98.66
20,32,ANAMALFIN,EQ,2604,1601,61.48
20,33,ANDHRABANK,EQ,1903142,801091,42.09
20,34,ANDHRSUGAR,EQ,6131,6031,98.37
20,35,ANTGRAPHIC,EQ,1099,1099,100.00
20,36,APCOTEXLAT,EQ,1880,1113,59.20
20,37,APIL,EQ,273866,129516,47.29
20,38,APOLLOHOSP,EQ,52372,20442,39.03
20,39,APOLLOTYRE,EQ,219582,109194,49.73
20,40,APTECHT,EQ,54817,33680,61.44
20,41,ARCHIES,EQ,4865,3404,69.97
20,42,ARHAMFISCL,EQ,59114,47504,80.36
20,43,ARIHANTCRE,EQ,155860,78187,50.16
20,44,ARL,EQ,113800,49650,43.63
20,45,ARVINDMILL,EQ,2893555,1557588,53.83
20,46,ASAHIINDIA,EQ,31352,29601,94.42
20,47,ASHAPURMIN,EQ,50,50,100.00
20,48,ASHIMASYN,EQ,5747,4937,85.91
20,49,ASHKLEYFIN,EQ,13718,12793,93.26
20,50,ASHOKLEY,EQ,280585,209778,74.76
20,51,ASIANELEC,EQ,321302,165857,51.62
20,52,ASIANHOTEL,EQ,6521,6140,94.16
20,53,ASIANPAINT,EQ,9936,5894,59.32
20,54,ASTRAIDL,EQ,65,65,100.00
20,55,ATCOIND,EQ,29082,19416,66.76
20,56,ATFL,EQ,9616,8372,87.06
20,57,ATLASCYCLE,EQ,2717,2603,95.80
20,58,ATULPROD,EQ,7156,6956,97.21
20,59,AUROPHARMA,EQ,52282,22514,43.06
20,60,AUTOAXLES,EQ,6975,5689,81.56
20,61,AUTORIDFIN,EQ,6706,6706,100.00
20,62,AVENTIS,EQ,13272,9671,72.87
20,63,AZTEC,EQ,29039,20481,70.53
20,64,BAJAJAUTO,EQ,259004,182057,70.29
20,65,BAJAJHIND,EQ,253,253,100.00
20,66,BAJAJPLAST,EQ,7200,4238,58.86
20,67,BAJAUTOFIN,EQ,3932,2800,71.21
20,68,BALAJIDIST,EQ,36617,34095,93.11
20,69,BALAJITELE,EQ,2797464,900945,32.21
20,70,BALMLAWRIE,EQ,5813,5269,90.64
20,71,BALRAMCHIN,EQ,43969,27154,61.76
20,72,BANARISUG,EQ,359,340,94.71
20,73,BANKBARODA,EQ,5290543,1044261,19.74
20,74,BANKINDIA,EQ,1366124,418535,30.64
20,75,BANKPUNJAB,EQ,3425469,1598671,46.67
20,76,BANKRAJAS,EQ,378370,237663,62.81
20,77,BASF,EQ,37195,21216,57.04
20,78,BATAINDIA,EQ,152855,78694,51.48
20,79,BBTC,EQ,550,500,90.91
20,80,BEL,EQ,132046,35901,27.19
20,81,BELCERAMIC,EQ,33105,32605,98.49
20,82,BEML,EQ,808735,346672,42.87
20,83,BERGEPAINT,EQ,9114,6747,74.03
20,84,BFLSOFTWAR,EQ,4719,3457,73.26
20,85,BGFL,EQ,8101,7900,97.52
20,86,BHARATFORG,EQ,64640,50617,78.31
20,87,BHARATGEAR,EQ,36006,27552,76.52
20,88,BHARATHOT,EQ,800,800,100.00
20,89,BHARATRAS,EQ,202,201,99.50
20,90,BHARTI,EQ,308432,251874,81.66
20,91,BHEL,EQ,1004288,293663,29.24
20,92,BIL,EQ,1970,1550,78.68
20,93,BILT,EQ,129483,80605,62.25
20,94,BINDALAGRO,EQ,75052,59530,79.32
20,95,BIRLA3M,EQ,934,769,82.33
20,96,BIRLAERIC,EQ,12207,10605,86.88
20,97,BIRLAJUTE,EQ,49755,45575,91.60
20,98,BLBLIMITED,EQ,2201,2200,99.95
20,99,BLUEDART,EQ,11333,8860,78.18
20,100,BLUESTARCO,EQ,5424,4541,83.72
20,101,BLUESTINFO,EQ,2968,2623,88.38
20,102,BOMDYEING,EQ,213850,122534,57.30
20,103,BONGAIREFN,EQ,1090624,443556,40.67
20,104,BPCL,EQ,1025671,347484,33.88
20,105,BPL,EQ,39135,28527,72.89
20,106,BPLENGG,EQ,9297,7400,79.60
20,107,BPLREFRIG,EQ,1600,1100,68.75
20,108,BPLSANTECH,EQ,1919,1886,98.28
20,109,BPLSANUTIL,EQ,420,420,100.00
20,110,BRITANNIA,EQ,2551,1945,76.24
20,111,BSELINFO,EQ,400,400,100.00
20,112,BSES,EQ,1132963,118311,10.44
20,113,BSL,EQ,1155,1155,100.00
20,114,CADILAHC,EQ,16870,10611,62.90
20,115,CANBK,EQ,5113282,990702,19.38
20,116,CANFINHOME,EQ,19796,18016,91.01
20,117,CARBORUNIV,EQ,25901,23647,91.30
20,118,CEAT,EQ,52325,31963,61.09
20,119,CENTENKA,EQ,24216,19597,80.93
20,120,CENTEXTRU,EQ,17600,16500,93.75
20,121,CENTURION,EQ,631147,399786,63.34
20,122,CENTURYTEX,EQ,535884,202202,37.73
20,123,CESC,EQ,504399,248636,49.29
20,124,CGIGARSH,EQ,4444,3575,80.45
20,125,CHAMBLFERT,EQ,224292,150822,67.24
20,126,CHEMPLAST,EQ,3427,2898,84.56
20,127,CHENNPETRO,EQ,156234,80486,51.52
20,128,CHESLINTEX,EQ,8275,8275,100.00
20,129,CHLORIDIND,EQ,90864,78744,86.66
20,130,CHOLAINV,EQ,12506,11399,91.15
20,131,CIMCOBIRLA,EQ,1620,1610,99.38
20,132,CINEVISTA,EQ,5394,4123,76.44
20,133,CIPL,EQ,10863,9146,84.19
20,134,CIPLA,EQ,23585,16321,69.20
20,135,CITICORSEC,EQ,1251,825,65.95
20,136,CLARIANT,EQ,3357,2992,89.13
20,137,CMC,EQ,2105,821,39.00
20,138,COATESIND,EQ,608,608,100.00
20,139,COCHINREFN,EQ,806387,536361,66.51
20,140,COLGATE,EQ,109694,65467,59.68
20,141,COLORCHEM,EQ,4085,4015,98.29
20,142,COMPUDYNE,EQ,15886,9104,57.31
20,143,COMPUTECH,EQ,52828,41226,78.04
20,144,CONCOR,EQ,46363,28551,61.58
20,145,CONSCOFFEE,EQ,3071,2871,93.49
20,146,COREPARENT,EQ,22916,21401,93.39
20,147,COROMNFERT,EQ,5320,4620,86.84
20,148,CORPBANK,EQ,339975,79634,23.42
20,149,COSMOFILMS,EQ,47343,14945,31.57
20,150,CREATIVEYE,EQ,123472,118260,95.78
20,151,CRESTCOMM,EQ,14572,9546,65.51
20,152,CRISIL,EQ,46,46,100.00
20,153,CROMPGREAV,EQ,373251,215540,57.75
20,154,CUB,EQ,23068,17400,75.43
20,155,CYBERTECH,EQ,13616,9895,72.67
20,156,D-LINK,EQ,822712,350417,42.59
20,157,DABUR,EQ,129713,81117,62.54
20,158,DALALSTCOM,EQ,51270,41868,81.66
20,159,DALMIACEM,EQ,957,957,100.00
20,160,DCM,EQ,11411,9658,84.64
20,161,DCMFINSERV,EQ,6300,6300,100.00
20,162,DCMSRMCONS,EQ,2761,2221,80.44
20,163,DCW,EQ,1065921,612191,57.43
20,164,DEEPAKFERT,EQ,35171,32840,93.37
20,165,DENABANK,EQ,89595,60814,67.88
20,166,DEWANHOUS,EQ,250,250,100.00
20,167,DGPWINDSOR,EQ,5600,5500,98.21
20,168,DHAMPURSUG,EQ,11674,8972,76.85
20,169,DHARSUGAR,EQ,1700,1700,100.00
20,170,DIGITALEQP,EQ,2282885,212665,9.32
20,171,DIVISLAB,EQ,132563,38466,29.02
20,172,DRREDDY,EQ,48493,24185,49.87
20,173,DUNCANSIND,EQ,7541,6887,91.33
20,174,DYNACONS,EQ,724276,563600,77.82
20,175,EASTSILK,EQ,3850,3655,94.94
20,176,EASUNREYRL,EQ,15557,13256,85.21
20,177,EICHERLTD,EQ,3327,3159,94.95
20,178,EICHERMOT,EQ,83892,76189,90.82
20,179,EIDPARRY,EQ,76704,56593,73.78
20,180,EIHOTEL,EQ,10332,8047,77.88
20,181,EIMCOELECO,EQ,840,739,87.98
20,182,ELDERPHARM,EQ,33055,16656,50.39
20,183,ELECTCAST,EQ,27006,22166,82.08
20,184,ELGIEQUIP,EQ,54400,43847,80.60
20,185,ELGITYRE,EQ,148,126,85.14
20,186,EMERCK,EQ,2594,2243,86.47
20,187,ENGINERSIN,EQ,18914,10415,55.07
20,188,ESABINDIA,EQ,32297,24225,75.01
20,189,ESCORTS,EQ,106063,64496,60.81
20,190,ESSARGUJ,EQ,4384400,1814183,41.38
20,191,ESSAROIL,EQ,668686,454335,67.94
20,192,ESSELPACK,EQ,23451,13159,56.11
20,193,ETERNEVRST,EQ,10165,7875,77.47
20,194,EUROTEXIND,EQ,29804,21516,72.19
20,195,EXCELIND,EQ,15002,9560,63.72
20,196,FACT,EQ,75656,37104,49.04
20,197,FAGBEARING,EQ,19093,18191,95.28
20,198,FDC,EQ,15814,12541,79.30
20,199,FEDERALBNK,EQ,373914,104274,27.89
20,200,FINCABLES,EQ,19224,11926,62.04
20,201,FINPIPE,EQ,81383,79982,98.28
20,202,FIRSTLEASE,EQ,5353,4653,86.92
20,203,FLEX,EQ,32189,29987,93.16
20,204,FLEXCHEM,EQ,150,150,100.00
20,205,FLEXENGG,EQ,14832,14100,95.06
20,206,FLOATGLASS,EQ,11122,5697,51.22
20,207,FOSECOIND,EQ,1581,1245,78.75
20,208,FUJITSICIM,EQ,58560,19416,33.16
20,209,GAEL,EQ,4414,4364,98.87
20,210,GAIL,EQ,3890518,1301763,33.46
20,211,GAMMONIND,EQ,1487,1276,85.81
20,212,GARDENSILK,EQ,72969,54568,74.78
20,213,GENESYS,EQ,2603,1901,73.03
20,214,GEOMETRIC,EQ,215916,23223,10.76
20,215,GEORGWILIM,EQ,24537,14763,60.17
20,216,GERMANREM,EQ,1486,1314,88.43
20,217,GESCOCORP,EQ,39431,20773,52.68
20,218,GESHIPPING,EQ,100098,73602,73.53
20,219,GHCL,EQ,26600,23595,88.70
20,220,GICHSGFIN,EQ,664734,362950,54.60
20,221,GINNIFILA,EQ,7180,6650,92.62
20,222,GIPCL,EQ,972510,476904,49.04
20,223,GKW,EQ,54673,37080,67.82
20,224,GLAXO,EQ,16702,12967,77.64
20,225,GLENMARK,EQ,11770,11252,95.60
20,226,GLFL,EQ,3862,3812,98.71
20,227,GLOBALTELE,EQ,1478724,264655,17.90
20,228,GLOBLTRUST,EQ,581844,239877,41.23
20,229,GMBREW,EQ,1673,1572,93.96
20,230,GMDCLTD,EQ,95568,57204,59.86
20,231,GNFC,EQ,172468,120908,70.10
20,232,GODAVRFERT,EQ,34383,20520,59.68
20,233,GODFRYPHLP,EQ,570,550,96.49
20,234,GODREJCP,EQ,3095,2345,75.77
20,235,GODREJIND,EQ,46790,43764,93.53
20,236,GOETZEIND,EQ,21282,18299,85.98
20,237,GOLDTECH,EQ,47768,25523,53.43
20,238,GOLDTELE,EQ,17766,11733,66.04
