Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23072003,075518958,0000729
Trade Date <23-JUL-2003>,Settlement Type <D>,Settlement No <2003141>,Settlement Date <25-JUL-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,100,100,100.00
20,2,1025E21,GC,20,20,100.00
20,3,1119H05,GC,40,40,100.00
Trade Date <23-JUL-2003>,Settlement Type <N>,Settlement No <2003141>,Settlement Date <25-JUL-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,4,AARTIIND,EQ,11110,10270,92.44
20,5,ABANLLOYD,EQ,100010,66144,66.14
20,6,ABB,EQ,28709,15369,53.53
20,7,ABSHEKINDS,EQ,24871,14981,60.23
20,8,ABSIND,EQ,53641,39633,73.89
20,9,ACC,EQ,663123,117641,17.74
20,10,ADANIEXPO,EQ,34214,1287,3.76
20,11,ADLABSFILM,EQ,9842,5919,60.14
20,12,ADVANIORLI,EQ,4945,3714,75.11
20,13,AEGISCHEM,EQ,3178,2156,67.84
20,14,AFTEKINFO,EQ,407794,43747,10.73
20,15,AGEEGOLD,EQ,700,650,92.86
20,16,AGREVOIND,EQ,1466,1466,100.00
20,17,AGRODUTCH,EQ,28135,20680,73.50
20,18,AHMEDELEC,EQ,8374,3740,44.66
20,19,AHMEDFORGE,EQ,157599,102792,65.22
20,20,AJANTPHARM,EQ,248086,107608,43.38
20,21,AKSHOPTFBR,EQ,28191,15955,56.60
20,22,ALBK,EQ,486116,239410,49.25
20,23,ALEMBICLTD,EQ,9713,6199,63.82
20,24,ALFALAVAL,EQ,1163,927,79.71
20,25,ALOKTEXT,EQ,237015,145694,61.47
20,26,ALPSINDUS,EQ,1190,1110,93.28
20,27,AMARAJABAT,EQ,18065,11900,65.87
20,28,AMBUJARAJN,EQ,91755,80536,87.77
20,29,AMITSPIN,EQ,1500,1100,73.33
20,30,AMTREXAPPL,EQ,2430,2330,95.88
20,31,ANAMALFIN,EQ,900,900,100.00
20,32,ANDHRABANK,EQ,2698126,1031170,38.22
20,33,ANDHRSUGAR,EQ,109503,79825,72.90
20,34,ANTGRAPHIC,EQ,300,300,100.00
20,35,APCOTEXLAT,EQ,1395,1300,93.19
20,36,APIL,EQ,164464,72684,44.19
20,37,APOLLOHOSP,EQ,144525,33321,23.06
20,38,APOLLOTYRE,EQ,107211,35664,33.27
20,39,APTECHT,EQ,730347,247391,33.87
20,40,ARCHIES,EQ,1905,1740,91.34
20,41,ARHAMFISCL,EQ,20873,18651,89.35
20,42,ARIHANTCRE,EQ,76953,22463,29.19
20,43,ARL,EQ,77979,58557,75.09
20,44,ARVINDMILL,EQ,492459,278855,56.63
20,45,ASAHIINDIA,EQ,136125,80897,59.43
20,46,ASHAPURMIN,EQ,250,250,100.00
20,47,ASHIMASYN,EQ,852,850,99.77
20,48,ASHKLEYFIN,EQ,32092,27337,85.18
20,49,ASHOKLEY,EQ,569021,310847,54.63
20,50,ASIANELEC,EQ,3676,2449,66.62
20,51,ASIANHOTEL,EQ,775,775,100.00
20,52,ASIANPAINT,EQ,2962,1546,52.19
20,53,ASTRAIDL,EQ,560,550,98.21
20,54,ATCOIND,EQ,7252,6351,87.58
20,55,ATFL,EQ,844,787,93.25
20,56,ATLASCYCLE,EQ,274,167,60.95
20,57,ATULPROD,EQ,43571,26255,60.26
20,58,AUROPHARMA,EQ,48109,28486,59.21
20,59,AUTOAXLES,EQ,13437,11137,82.88
20,60,AUTORIDFIN,EQ,1851,1700,91.84
20,61,AVENTIS,EQ,16907,6195,36.64
20,62,AZTEC,EQ,101631,50600,49.79
20,63,BAJAJAUTO,EQ,88241,37207,42.17
20,64,BAJAJHIND,EQ,29868,25868,86.61
