Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31072003,125074999,0000745
Trade Date <31-JUL-2003>,Settlement Type <D>,Settlement No <2003147>,Settlement Date <04-AUG-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0755E10,GC,320,320,100.00
Trade Date <31-JUL-2003>,Settlement Type <N>,Settlement No <2003147>,Settlement Date <04-AUG-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIIND,EQ,48078,37929,78.89
20,3,ABANLLOYD,EQ,74152,40679,54.86
20,4,ABB,EQ,41167,30363,73.76
20,5,ABSHEKINDS,EQ,39906,34375,86.14
20,6,ABSIND,EQ,8241,6453,78.30
20,7,ACC,EQ,1917376,435067,22.69
20,8,ADANIEXPO,EQ,38694,6752,17.45
20,9,ADLABSFILM,EQ,33701,17938,53.23
20,10,ADVANIORLI,EQ,11057,9294,84.06
20,11,AEGISCHEM,EQ,4650,4650,100.00
20,12,AFTEKINFO,EQ,755906,117271,15.51
20,13,AGEEGOLD,EQ,200,200,100.00
20,14,AGREVOIND,EQ,5856,5007,85.50
20,15,AGRODUTCH,EQ,11318,9286,82.05
20,16,AHMEDELEC,EQ,31967,15133,47.34
20,17,AHMEDFORGE,EQ,55895,54017,96.64
20,18,AJANTPHARM,EQ,257034,131421,51.13
20,19,AKSHOPTFBR,EQ,31839,22757,71.48
20,20,ALBK,EQ,788873,487213,61.76
20,21,ALEMBICLTD,EQ,19255,12027,62.46
20,22,ALFALAVAL,EQ,1553,1041,67.03
20,23,ALOKTEXT,EQ,1212006,699186,57.69
20,24,ALPSINDUS,EQ,22792,4308,18.90
20,25,AMARAJABAT,EQ,38536,16736,43.43
20,26,AMBUJARAJN,EQ,421160,323433,76.80
20,27,AMITSPIN,EQ,2620,2610,99.62
20,28,AMTEKAUTO,EQ,16567,12986,78.38
20,29,AMTREXAPPL,EQ,2200,1650,75.00
20,30,ANAMALFIN,EQ,1256,601,47.85
20,31,ANDHRABANK,EQ,3524180,1479351,41.98
20,32,ANDHRSUGAR,EQ,130589,73237,56.08
20,33,ANTGRAPHIC,EQ,840,840,100.00
20,34,APCOTEXLAT,EQ,607,548,90.28
20,35,APIL,EQ,56258,42788,76.06
20,36,APOLLOHOSP,EQ,65085,24509,37.66
20,37,APOLLOTYRE,EQ,135738,67594,49.80
20,38,APTECHT,EQ,582604,252994,43.42
20,39,ARCHIES,EQ,8089,5620,69.48
20,40,ARHAMFISCL,EQ,13550,3400,25.09
20,41,ARIHANTCRE,EQ,102401,22250,21.73
20,42,ARL,EQ,1633568,1071042,65.56
