Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27082003,172928030,0000740
Trade Date <27-AUG-2003>,Settlement Type <D>,Settlement No <2003165>,Settlement Date <29-AUG-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1025E21,GC,1000,1000,100.00
Trade Date <27-AUG-2003>,Settlement Type <N>,Settlement No <2003165>,Settlement Date <29-AUG-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIIND,EQ,7430,5760,77.52
20,3,ABANLLOYD,EQ,17836,15767,88.40
20,4,ABB,EQ,46617,19164,41.11
20,5,ABSHEKINDS,EQ,36264,32539,89.73
20,6,ABSIND,EQ,24224,19474,80.39
20,7,ACC,EQ,2208888,469479,21.25
20,8,ADANIEXPO,EQ,34623,3079,8.89
20,9,ADLABSFILM,EQ,16889,12994,76.94
20,10,ADVANIORLI,EQ,21922,17564,80.12
20,11,AEGISCHEM,EQ,18526,13376,72.20
20,12,AFTEKINFO,EQ,260541,53666,20.60
20,13,AGEEGOLD,EQ,13641,12226,89.63
20,14,AGREVOIND,EQ,905,810,89.50
20,15,AGRODUTCH,EQ,47793,42359,88.63
20,16,AHMEDELEC,EQ,24753,21050,85.04
20,17,AHMEDFORGE,EQ,38595,29392,76.15
20,18,AJANTPHARM,EQ,125123,87636,70.04
20,19,AKSHOPTFBR,EQ,39985,21106,52.78
20,20,ALBK,EQ,3914907,1770430,45.22
20,21,ALEMBICLTD,EQ,30091,20579,68.39
20,22,ALFALAVAL,EQ,761,736,96.71
20,23,ALOKTEXT,EQ,506783,285828,56.40
20,24,ALPSINDUS,EQ,2799,2799,100.00
20,25,AMARAJABAT,EQ,16242,11810,72.71
20,26,AMBUJARAJN,EQ,1114512,535789,48.07
20,27,AMITSPIN,EQ,5228,4214,80.60
20,28,AMTEKAUTO,EQ,32113,15012,46.75
20,29,AMTREXAPPL,EQ,4626,4425,95.65
20,30,ANAMALFIN,EQ,13470,12270,91.09
20,31,ANDHRABANK,EQ,12930808,5297522,40.97
20,32,ANDHRSUGAR,EQ,94938,60485,63.71
20,33,ANTGRAPHIC,EQ,22130,17350,78.40
20,34,APCOTEXLAT,EQ,1891,1716,90.75
20,35,APIL,EQ,46663,30464,65.29
20,36,APOLLOHOSP,EQ,125065,77151,61.69
20,37,APOLLOTYRE,EQ,568285,289792,50.99
20,38,APTECHT,EQ,100747,44098,43.77
20,39,ARCHIES,EQ,7724,6534,84.59
20,40,ARHAMFISCL,EQ,22135,21035,95.03
20,41,ARIHANTCRE,EQ,384171,213973,55.70
20,42,ARL,EQ,6194718,3265767,52.72
20,43,ARVINDMILL,EQ,653285,329157,50.38
20,44,ASAHIINDIA,EQ,37141,29612,79.73
20,45,ASHAPURMIN,EQ,20,20,100.00
20,46,ASHIMASYN,EQ,1735,1735,100.00
20,47,ASHKLEYFIN,EQ,13888,11186,80.54
20,48,ASHOKLEY,EQ,213843,153756,71.90
20,49,ASIANELEC,EQ,8364,6521,77.97
20,50,ASIANHOTEL,EQ,2930,2595,88.57
20,51,ASIANPAINT,EQ,51009,36520,71.60
20,52,ASTRAIDL,EQ,355,335,94.37
20,53,ATCOIND,EQ,50808,27155,53.45
20,54,ATFL,EQ,21395,14458,67.58
20,55,ATLASCYCLE,EQ,2728,2121,77.75
20,56,ATULPROD,EQ,46591,36540,78.43
20,57,AUROPHARMA,EQ,286637,160295,55.92
20,58,AUTOAXLES,EQ,42675,30590,71.68
20,59,AUTORIDFIN,EQ,22335,21734,97.31
20,60,AVENTIS,EQ,12775,8003,62.65
20,61,AZTEC,EQ,522974,314396,60.12
20,62,BAJAJAUTO,EQ,179933,100104,55.63
20,63,BAJAJHIND,EQ,15549,9942,63.94
20,64,BAJAJPLAST,EQ,2800,2200,78.57
20,65,BAJAUTOFIN,EQ,7242,6842,94.48
20,66,BALAJIDIST,EQ,16420,16420,100.00
20,67,BALAJITELE,EQ,282033,183650,65.12
20,68,BALMLAWRIE,EQ,12399,10719,86.45
20,69,BALRAMCHIN,EQ,42342,30753,72.63
20,70,BANARISUG,EQ,1575,869,55.17
20,71,BANKBARODA,EQ,4580324,1242122,27.12
20,72,BANKINDIA,EQ,10754099,3828954,35.60
20,73,BANKPUNJAB,EQ,1438021,674360,46.90
20,74,BANKRAJAS,EQ,1305349,654116,50.11
20,75,BASF,EQ,79348,43375,54.66
20,76,BATAINDIA,EQ,111370,82717,74.27
20,77,BBTC,EQ,1075,950,88.37
20,78,BEL,EQ,263498,104477,39.65
20,79,BELCERAMIC,EQ,48852,31052,63.56
20,80,BEML,EQ,698856,319358,45.70
20,81,BERGEPAINT,EQ,8583,6843,79.73
20,82,BFLSOFTWAR,EQ,67839,63850,94.12
20,83,BGFL,EQ,20788,18151,87.31
20,84,BHARATFORG,EQ,58717,39657,67.54
20,85,BHARATGEAR,EQ,19910,15735,79.03
20,86,BHARATRAS,EQ,1855,1650,88.95
20,87,BHARTI,EQ,1654354,1032969,62.44
20,88,BHEL,EQ,1009982,305545,30.25
20,89,BIL,EQ,51064,37244,72.94
20,90,BILT,EQ,505866,345717,68.34
20,91,BINDALAGRO,EQ,191635,152248,79.45
20,92,BIRLA3M,EQ,943,594,62.99
20,93,BIRLAERIC,EQ,30395,23950,78.80
20,94,BIRLAJUTE,EQ,445110,219107,49.23
20,95,BLBLIMITED,EQ,2450,2450,100.00
20,96,BLUECHIP,EQ,75,75,100.00
20,97,BLUEDART,EQ,20714,17464,84.31
20,98,BLUESTARCO,EQ,7723,6198,80.25
20,99,BLUESTINFO,EQ,9252,8064,87.16
20,100,BOMDYEING,EQ,78058,62875,80.55
20,101,BONGAIREFN,EQ,4251211,1290658,30.36
20,102,BPCL,EQ,1206685,307978,25.52
20,103,BPL,EQ,954662,280288,29.36
20,104,BPLENGG,EQ,85306,56012,65.66
20,105,BPLREFRIG,EQ,7204,6300,87.45
20,106,BPLSANTECH,EQ,4100,4100,100.00
20,107,BPLSANUTIL,EQ,2672,1869,69.95
20,108,BRITANNIA,EQ,21847,16206,74.18
20,109,BSELINFO,EQ,3500,3100,88.57
20,110,BSES,EQ,525529,221191,42.09
20,111,BSL,EQ,1258,1258,100.00
20,112,CADILAHC,EQ,936643,368696,39.36
20,113,CALSOFT,EQ,510,510,100.00
20,114,CANBK,EQ,13573862,3479122,25.63
20,115,CANFINHOME,EQ,44702,29583,66.18
20,116,CARBORUNIV,EQ,5174,4716,91.15
20,117,CEAT,EQ,92215,61133,66.29
