Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29082003,166891767,0000745
Trade Date <29-AUG-2003>,Settlement Type <N>,Settlement No <2003167>,Settlement Date <02-SEP-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,10508,8365,79.61
20,2,ABANLLOYD,EQ,13275,10724,80.78
20,3,ABB,EQ,33170,18038,54.38
20,4,ABSHEKINDS,EQ,32924,30299,92.03
20,5,ABSIND,EQ,33464,25642,76.63
20,6,ACC,EQ,4280955,878512,20.52
20,7,ADANIEXPO,EQ,40892,4735,11.58
20,8,ADLABSFILM,EQ,55686,40540,72.80
20,9,ADVANIORLI,EQ,17607,14672,83.33
20,10,AEGISCHEM,EQ,13578,10014,73.75
20,11,AFTEKINFO,EQ,615602,144248,23.43
20,12,AGEEGOLD,EQ,58572,54850,93.65
20,13,AGREVOIND,EQ,1614,1608,99.63
20,14,AGRODUTCH,EQ,116007,105972,91.35
20,15,AHMEDELEC,EQ,19251,14641,76.05
20,16,AHMEDFORGE,EQ,11492,11238,97.79
20,17,AJANTPHARM,EQ,887871,382422,43.07
20,18,AKSHOPTFBR,EQ,39765,32855,82.62
20,19,ALBK,EQ,1217621,537799,44.17
20,20,ALEMBICLTD,EQ,93713,49056,52.35
20,21,ALFALAVAL,EQ,877,717,81.76
20,22,ALOKTEXT,EQ,408340,247611,60.64
20,23,ALPSINDUS,EQ,2652,2652,100.00
20,24,AMARAJABAT,EQ,22391,18873,84.29
20,25,AMBUJARAJN,EQ,673219,310316,46.09
20,26,AMITSPIN,EQ,15615,11700,74.93
20,27,AMTEKAUTO,EQ,49755,17920,36.02
20,28,AMTREXAPPL,EQ,80090,39584,49.42
20,29,ANAMALFIN,EQ,2300,2000,86.96
20,30,ANDHRABANK,EQ,8770916,3472848,39.60
20,31,ANDHRSUGAR,EQ,44225,41275,93.33
20,32,ANTGRAPHIC,EQ,5004,4001,79.96
20,33,APCOTEXLAT,EQ,1607,1126,70.07
20,34,APIL,EQ,67004,31546,47.08
20,35,APOLLOHOSP,EQ,80738,54626,67.66
20,36,APOLLOTYRE,EQ,268854,162746,60.53
20,37,APTECHT,EQ,175102,78067,44.58
20,38,ARCHIES,EQ,10410,9106,87.47
20,39,ARHAMFISCL,EQ,73122,53147,72.68
20,40,ARIHANTCRE,EQ,109400,69400,63.44
20,41,ARL,EQ,21924616,15885085,72.45
20,42,ARVINDMILL,EQ,1558712,894190,57.37
20,43,ASAHIINDIA,EQ,28311,21984,77.65
20,44,ASHIMASYN,EQ,1325,980,73.96
20,45,ASHKLEYFIN,EQ,26100,24570,94.14
20,46,ASHOKLEY,EQ,216047,155548,72.00
20,47,ASIANELEC,EQ,5768,3932,68.17
20,48,ASIANHOTEL,EQ,3534,3394,96.04
20,49,ASIANPAINT,EQ,84123,78556,93.38
20,50,ASTRAIDL,EQ,122,122,100.00
20,51,ATCOIND,EQ,40384,26392,65.35
20,52,ATFL,EQ,6967,6051,86.85
20,53,ATLASCYCLE,EQ,1085,910,83.87
20,54,ATULPROD,EQ,49224,40344,81.96
20,55,AUROPHARMA,EQ,606892,270085,44.50
20,56,AUTOAXLES,EQ,15975,14233,89.10
20,57,AUTORIDFIN,EQ,8200,7800,95.12
20,58,AVENTIS,EQ,37224,28667,77.01
20,59,AZTEC,EQ,500692,237821,47.50
20,60,BAJAJAUTO,EQ,227602,168314,73.95
20,61,BAJAJHIND,EQ,2975,2680,90.08
20,62,BAJAJPLAST,EQ,13376,13376,100.00
