Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05092003,099278919,0000736
Trade Date <05-SEP-2003>,Settlement Type <N>,Settlement No <2003172>,Settlement Date <09-SEP-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,132554,64901,48.96
20,2,ABANLLOYD,EQ,85767,52879,61.65
20,3,ABB,EQ,50427,41147,81.60
20,4,ABSHEKINDS,EQ,19481,16989,87.21
20,5,ABSIND,EQ,15486,12420,80.20
20,6,ACC,EQ,2332854,440934,18.90
20,7,ADANIEXPO,EQ,43406,4843,11.16
20,8,ADLABSFILM,EQ,13995,10731,76.68
20,9,ADVANIORLI,EQ,4646,3120,67.15
20,10,AEGISCHEM,EQ,9510,7887,82.93
20,11,AFTEKINFO,EQ,1287965,305346,23.71
20,12,AGEEGOLD,EQ,251,251,100.00
20,13,AGREVOIND,EQ,1760,1610,91.48
20,14,AGRODUTCH,EQ,47049,40920,86.97
20,15,AHMEDELEC,EQ,15048,11001,73.11
20,16,AHMEDFORGE,EQ,3940,3740,94.92
20,17,AJANTPHARM,EQ,1076889,213596,19.83
20,18,AKSHOPTFBR,EQ,235071,147867,62.90
20,19,ALBK,EQ,362632,205989,56.80
20,20,ALEMBICLTD,EQ,210239,106041,50.44
20,21,ALFALAVAL,EQ,2154,1866,86.63
20,22,ALOKTEXT,EQ,634089,266512,42.03
20,23,ALPSINDUS,EQ,101,101,100.00
20,24,AMARAJABAT,EQ,15783,12759,80.84
20,25,AMBUJARAJN,EQ,346537,204686,59.07
20,26,AMITSPIN,EQ,4102,3700,90.20
20,27,AMTEKAUTO,EQ,62246,27109,43.55
20,28,AMTREXAPPL,EQ,3865,3865,100.00
20,29,ANAMALFIN,EQ,6702,6600,98.48
20,30,ANDHRABANK,EQ,2470314,964685,39.05
20,31,ANDHRSUGAR,EQ,9255,8915,96.33
20,32,ANTGRAPHIC,EQ,4051,2700,66.65
20,33,APCOTEXLAT,EQ,4461,3757,84.22
20,34,APIL,EQ,34598,24373,70.45
20,35,APOLLOHOSP,EQ,82546,48767,59.08
20,36,APOLLOTYRE,EQ,62371,42550,68.22
20,37,APTECHT,EQ,178299,95674,53.66
