Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29092003,078761810,0000604
Trade Date <29-SEP-2003>,Settlement Type <D>,Settlement No <2003188>,Settlement Date <03-OCT-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0795H32,GC,1000,1000,100.00
Trade Date <29-SEP-2003>,Settlement Type <N>,Settlement No <2003188>,Settlement Date <03-OCT-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIDRUGS,EQ,97787,47824,48.91
20,3,AARTIIND,EQ,54037,24248,44.87
20,4,ABANLLOYD,EQ,10130,6217,61.37
20,5,ABB,EQ,16081,10483,65.19
20,6,ABSHEKINDS,EQ,57034,44885,78.70
20,7,ABSIND,EQ,11035,10035,90.94
20,8,ACC,EQ,3036936,665047,21.90
20,9,ADANIEXPO,EQ,26426,1633,6.18
20,10,ADLABSFILM,EQ,48753,29178,59.85
20,11,ADVANIORLI,EQ,22084,20569,93.14
20,12,AGEEGOLD,EQ,1530,1480,96.73
20,13,AGREVOIND,EQ,852,805,94.48
20,14,AGRODUTCH,EQ,55195,53625,97.16
20,15,AHMEDELEC,EQ,6589,6038,91.64
20,16,AHMEDFORGE,EQ,12829,12119,94.47
20,17,AJANTPHARM,EQ,85458,34252,40.08
20,18,AKSHOPTFBR,EQ,29641,21423,72.27
20,19,ALBK,EQ,794659,409996,51.59
20,20,ALEMBICLTD,EQ,45158,18713,41.44
20,21,ALFALAVAL,EQ,712,676,94.94
20,22,ALOKTEXT,EQ,613104,319738,52.15
20,23,AMARAJABAT,EQ,6113,3871,63.32
20,24,AMBUJARAJN,EQ,234525,164466,70.13
20,25,AMTEKAUTO,EQ,8392,6161,73.42
20,26,AMTREXAPPL,EQ,8389,4782,57.00
20,27,ANDHRABANK,EQ,2304512,797300,34.60
20,28,ANDHRSUGAR,EQ,11551,7941,68.75
20,29,APCOTEXLAT,EQ,782,750,95.91
20,30,APIL,EQ,15453,9273,60.01
20,31,APOLLOHOSP,EQ,48164,36118,74.99
20,32,APOLLOTYRE,EQ,61703,41965,68.01
20,33,APTECHT,EQ,153638,68373,44.50
20,34,ARCHIES,EQ,4521,4461,98.67
20,35,ARHAMFISCL,EQ,11101,9100,81.97
20,36,ARVINDMILL,EQ,4085461,1944842,47.60
20,37,ASAHIINDIA,EQ,22201,20550,92.56
20,38,ASHAPURMIN,EQ,150,100,66.67
20,39,ASHIMASYN,EQ,1794,1494,83.28
20,40,ASHKLEYFIN,EQ,33030,27277,82.58
20,41,ASHOKLEY,EQ,276154,165577,59.96
20,42,ASIANELEC,EQ,29654,27953,94.26
20,43,ASIANHOTEL,EQ,4554,4550,99.91
20,44,ASIANPAINT,EQ,20492,14493,70.73
20,45,ASTRAIDL,EQ,67,60,89.55
20,46,ATCOIND,EQ,13007,8680,66.73
20,47,ATFL,EQ,11865,10067,84.85
20,48,ATLASCYCLE,EQ,1225,1150,93.88
20,49,ATNINT,EQ,243692,150661,61.82
20,50,ATULPROD,EQ,11162,10490,93.98
20,51,AUROPHARMA,EQ,292702,96952,33.12
20,52,AUTOAXLES,EQ,2285,1126,49.28
20,53,AVENTIS,EQ,6905,4725,68.43
20,54,AZTEC,EQ,63090,39537,62.67
20,55,BAJAJAUTO,EQ,107308,64322,59.94
20,56,BAJAJHIND,EQ,283,283,100.00
