Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27102003,084887006,0000602
Trade Date <27-OCT-2003>,Settlement Type <D>,Settlement No <2003207>,Settlement Date <29-OCT-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0835E22,GC,200,0,0.00
Trade Date <27-OCT-2003>,Settlement Type <N>,Settlement No <2003207>,Settlement Date <29-OCT-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIDRUGS,EQ,109912,6043,5.50
20,3,AARTIIND,EQ,79550,10760,13.53
20,4,ABANLLOYD,EQ,10259,5930,57.80
20,5,ABB,EQ,77099,33539,43.50
20,6,ABSHEKINDS,EQ,36697,31597,86.10
20,7,ABSIND,EQ,9533,7802,81.84
20,8,ACC,EQ,6742186,701085,10.40
20,9,ADANIEXPO,EQ,42531,1473,3.46
20,10,ADLABSFILM,EQ,173224,68202,39.37
20,11,ADVANIORLI,EQ,17608,11977,68.02
20,12,AGEEGOLD,EQ,350,275,78.57
20,13,AGREVOIND,EQ,3180,2706,85.09
20,14,AGRODUTCH,EQ,7060,4840,68.56
20,15,AHMEDELEC,EQ,41082,25586,62.28
20,16,AHMEDFORGE,EQ,5669,5249,92.59
20,17,AJANTPHARM,EQ,46307,24131,52.11
20,18,AKSHOPTFBR,EQ,15556,8659,55.66
20,19,ALBK,EQ,2498906,1142381,45.72
20,20,ALEMBICLTD,EQ,13501,6492,48.09
20,21,ALFALAVAL,EQ,1973,1546,78.36
20,22,ALOKTEXT,EQ,481863,240888,49.99
20,23,ALPSINDUS,EQ,300,200,66.67
20,24,AMARAJABAT,EQ,14946,11922,79.77
20,25,AMBUJARAJN,EQ,99637,77128,77.41
20,26,AMTEKAUTO,EQ,39343,35435,90.07
20,27,AMTREXAPPL,EQ,2850,2550,89.47
