Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06112003,110740428,0000610
Trade Date <06-NOV-2003>,Settlement Type <D>,Settlement No <2003215>,Settlement Date <10-NOV-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0835E22,GC,50,50,100.00
20,2,1025E21,GC,40,40,100.00
Trade Date <06-NOV-2003>,Settlement Type <N>,Settlement No <2003215>,Settlement Date <10-NOV-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3,AARTIDRUGS,EQ,78503,30161,38.42
20,4,AARTIIND,EQ,42121,5722,13.58
20,5,ABANLLOYD,EQ,14878,13301,89.40
20,6,ABB,EQ,83477,57384,68.74
20,7,ABSHEKINDS,EQ,46083,43298,93.96
20,8,ABSIND,EQ,42114,38145,90.58
20,9,ACC,EQ,4021419,663323,16.49
20,10,ADANIEXPO,EQ,39891,3064,7.68
20,11,ADLABSFILM,EQ,109122,64460,59.07
20,12,ADVANIORLI,EQ,6413,4029,62.83
20,13,AGREVOIND,EQ,4861,3883,79.88
20,14,AGRODUTCH,EQ,6665,4960,74.42
20,15,AHMEDELEC,EQ,358197,126484,35.31
20,16,AHMEDFORGE,EQ,2050,2050,100.00
20,17,AJANTPHARM,EQ,52330,26277,50.21
20,18,AKSHOPTFBR,EQ,20614,12610,61.17
20,19,ALBK,EQ,582833,374272,64.22
20,20,ALEMBICLTD,EQ,11824,7795,65.93
20,21,ALFALAVAL,EQ,2661,2182,82.00
20,22,ALOKTEXT,EQ,1010219,579940,57.41
20,23,ALPSINDUS,EQ,700,700,100.00
20,24,AMARAJABAT,EQ,31999,27190,84.97
20,25,AMBUJARAJN,EQ,247930,172566,69.60
20,26,AMTEKAUTO,EQ,67297,43805,65.09
20,27,AMTREXAPPL,EQ,9599,9124,95.05
20,28,ANDHRABANK,EQ,1194983,509733,42.66
20,29,ANDHRSUGAR,EQ,21650,20600,95.15
20,30,APCOTEXLAT,EQ,1643,1609,97.93
20,31,APIL,EQ,89709,62341,69.49
20,32,APOLLOHOSP,EQ,35074,17042,48.59
20,33,APOLLOTYRE,EQ,442012,214821,48.60
20,34,APTECHT,EQ,149165,73949,49.58
20,35,ARCHIES,EQ,13906,12256,88.13
20,36,ARHAMFISCL,EQ,28529,23250,81.50
20,37,ARVINDMILL,EQ,1526726,586772,38.43
20,38,ASAHIINDIA,EQ,58300,35198,60.37
20,39,ASAL,EQ,4350,3065,70.46
20,40,ASHAPURMIN,EQ,300,300,100.00
20,41,ASHIMASYN,EQ,500,400,80.00
20,42,ASHKLEYFIN,EQ,63772,57069,89.49
20,43,ASHOKLEY,EQ,417848,278625,66.68
20,44,ASIANELEC,EQ,27870,18574,66.65
20,45,ASIANHOTEL,EQ,5007,3963,79.15
20,46,ASIANPAINT,EQ,78370,57259,73.06
20,47,ASTRAIDL,EQ,250,225,90.00
20,48,ATCOIND,EQ,30282,26132,86.30
20,49,ATFL,EQ,11120,10443,93.91
20,50,ATLASCYCLE,EQ,1628,1051,64.56
20,51,ATNINT,EQ,77001,65551,85.13
20,52,ATULPROD,EQ,20728,19156,92.42
20,53,AUROPHARMA,EQ,300433,148679,49.49
20,54,AUTOAXLES,EQ,7355,5750,78.18
20,55,AVENTIS,EQ,18080,13860,76.66
20,56,AZTEC,EQ,145503,65865,45.27
20,57,BAGFILMS,E1,8211,7961,96.96
20,58,BAGFILMS,EQ,41493,32126,77.43
20,59,BAGYAMETAL,EQ,935,935,100.00
20,60,BAJAJAUTO,EQ,172405,93677,54.34
20,61,BAJAJHIND,EQ,11091,10964,98.85
20,62,BAJAUTOFIN,EQ,8000,7700,96.25
20,63,BALAJITELE,EQ,545503,205390,37.65
20,64,BALMLAWRIE,EQ,7527,6756,89.76
20,65,BALRAMCHIN,EQ,25308,19504,77.07
20,66,BANARISUG,EQ,5315,4309,81.07
20,67,BANKBARODA,EQ,2733238,861391,31.52
20,68,BANKINDIA,EQ,898177,403715,44.95
20,69,BANKPUNJAB,EQ,430343,271930,63.19
20,70,BANKRAJAS,EQ,447665,281697,62.93
20,71,BASF,EQ,65937,50280,76.25
20,72,BATAINDIA,EQ,156798,100114,63.85
20,73,BBTC,EQ,2040,1070,52.45
20,74,BEL,EQ,96164,32626,33.93
20,75,BEML,EQ,1452125,267050,18.39
20,76,BERGEPAINT,EQ,18997,16141,84.97
20,77,BFLSOFTWAR,EQ,39160,32394,82.72
20,78,BGFL,EQ,65523,60859,92.88
20,79,BHARATFORG,EQ,36295,26825,73.91
20,80,BHARATRAS,EQ,1750,1750,100.00
20,81,BHARTI,EQ,2668424,1438875,53.92
20,82,BHEL,EQ,433197,141686,32.71
20,83,BIL,EQ,5120,4970,97.07
20,84,BILT,EQ,2876284,1467018,51.00
20,85,BIRLA3M,EQ,670,665,99.25
20,86,BIRLAERIC,EQ,16575,14065,84.86
20,87,BIRLAJUTE,EQ,1088138,517623,47.57
20,88,BLUECHIP,EQ,100,100,100.00
20,89,BLUEDART,EQ,14584,9590,65.76
20,90,BLUESTARCO,EQ,17009,13860,81.49
20,91,BLUESTINFO,EQ,8457,5466,64.63
