Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28112003,101831997,0000608
Trade Date <28-NOV-2003>,Settlement Type <N>,Settlement No <2003230>,Settlement Date <02-DEC-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIDRUGS,EQ,34164,11485,33.62
20,2,AARTIIND,EQ,33660,8376,24.88
20,3,ABANLLOYD,EQ,13622,9284,68.15
20,4,ABB,EQ,14974,9968,66.57
20,5,ABSHEKINDS,EQ,849157,518396,61.05
20,6,ABSIND,EQ,23787,19375,81.45
20,7,ACC,EQ,3588117,600693,16.74
20,8,ADANIEXPO,EQ,35264,5531,15.68
20,9,ADLABSFILM,EQ,274314,132654,48.36
20,10,ADVANIORLI,EQ,24653,19309,78.32
20,11,AGEEGOLD,EQ,4808,3520,73.21
20,12,AGRODUTCH,EQ,10460,10060,96.18
20,13,AHMEDELEC,EQ,73914,37528,50.77
20,14,AHMEDFORGE,EQ,4425,4425,100.00
20,15,AJANTPHARM,EQ,65237,30326,46.49
20,16,AKSHOPTFBR,EQ,169199,90884,53.71
20,17,ALBK,EQ,414720,229414,55.32
20,18,ALEMBICLTD,EQ,12079,6637,54.95
20,19,ALFALAVAL,EQ,2447,1975,80.71
20,20,ALOKTEXT,EQ,690418,359226,52.03
20,21,ALPSINDUS,EQ,21815,16950,77.70
20,22,AMARAJABAT,EQ,28765,18316,63.67
20,23,AMBUJARAJN,EQ,387588,207702,53.59
20,24,AMTEKAUTO,EQ,120004,69322,57.77
20,25,AMTREXAPPL,EQ,24230,17737,73.20
20,26,ANDHRABANK,EQ,2573532,1204321,46.80
20,27,ANDHRSUGAR,EQ,136307,118510,86.94
20,28,APCOTEXLAT,EQ,20211,15661,77.49
20,29,APIL,EQ,72074,40875,56.71
20,30,APOLLOHOSP,EQ,128293,60936,47.50
20,31,APOLLOTYRE,EQ,360108,89882,24.96
20,32,APTECHT,EQ,150380,74262,49.38
20,33,ARCHIES,EQ,32270,19583,60.68
20,34,ARHAMFISCL,EQ,371079,280925,75.70
20,35,ARVINDMILL,EQ,4216102,919707,21.81
20,36,ASAHIINDIA,EQ,110629,87493,79.09
20,37,ASAL,EQ,8327,8127,97.60
20,38,ASHAPURMIN,EQ,1170,870,74.36
20,39,ASHIMASYN,EQ,12901,10601,82.17
20,40,ASHKLEYFIN,EQ,22578,17044,75.49
20,41,ASHOKLEY,EQ,559907,352734,63.00
20,42,ASIANELEC,EQ,12868,9688,75.29
20,43,ASIANHOTEL,EQ,6596,4200,63.67
20,44,ASIANPAINT,EQ,26293,20774,79.01
20,45,ASTRAIDL,EQ,954,746,78.20
20,46,ATCOIND,EQ,150523,106083,70.48
20,47,ATFL,EQ,4266,4066,95.31
20,48,ATLASCYCLE,EQ,2483,1700,68.47
20,49,ATNINT,EQ,245148,158581,64.69
20,50,ATULPROD,EQ,195870,103923,53.06
20,51,AUROPHARMA,EQ,210220,101205,48.14
20,52,AUTOAXLES,EQ,10033,4980,49.64
20,53,AVENTIS,EQ,11924,10480,87.89
20,54,AZTEC,EQ,163472,95122,58.19
20,55,BAGFILMS,E1,39330,27466,69.83
20,56,BAGFILMS,EQ,349236,191978,54.97
20,57,BAJAJAUTO,EQ,218825,139120,63.58
20,58,BAJAJHIND,EQ,1858,1558,83.85
20,59,BAJAUTOFIN,EQ,10226,9101,89.00
20,60,BALAJITELE,EQ,2363296,866885,36.68
20,61,BALMLAWRIE,EQ,56693,43100,76.02
20,62,BALRAMCHIN,EQ,51272,35853,69.93
20,63,BANARISUG,EQ,1900,1726,90.84
20,64,BANKBARODA,EQ,1532314,275638,17.99
20,65,BANKINDIA,EQ,933179,340797,36.52
20,66,BANKPUNJAB,EQ,240267,145900,60.72
20,67,BANKRAJAS,EQ,453288,257564,56.82
20,68,BASF,EQ,36540,26774,73.27
20,69,BATAINDIA,EQ,434406,174515,40.17
20,70,BBTC,EQ,1147,1131,98.61
20,71,BEL,EQ,162087,58767,36.26
20,72,BEML,EQ,507183,168744,33.27
20,73,BERGEPAINT,EQ,8446,7600,89.98
20,74,BFLSOFTWAR,EQ,53709,48112,89.58
20,75,BGFL,EQ,187690,107035,57.03
20,76,BHARATFORG,EQ,55416,36729,66.28
20,77,BHARATRAS,EQ,4307,3616,83.96
20,78,BHARTI,EQ,1544811,905225,58.60
20,79,BHEL,EQ,473612,189868,40.09
20,80,BHUSANSTL,EQ,106162,59351,55.91
20,81,BIL,EQ,9324,7954,85.31
20,82,BILT,EQ,271759,153270,56.40
20,83,BIRLA3M,EQ,3430,2929,85.39
20,84,BIRLAERIC,EQ,658625,335864,50.99
20,85,BIRLAJUTE,EQ,497075,159362,32.06
20,86,BLUEDART,EQ,5038,3724,73.92
20,87,BLUESTARCO,EQ,38974,32779,84.10
20,88,BLUESTINFO,EQ,12626,9372,74.23
20,89,BOMDYEING,EQ,146889,86573,58.94
20,90,BONGAIREFN,EQ,994651,426276,42.86
20,91,BPCL,EQ,528197,220140,41.68
20,92,BPL,EQ,496724,201528,40.57
20,93,BRITANNIA,EQ,7572,5653,74.66
20,94,BSES,EQ,342345,151745,44.33
20,95,BSL,EQ,695,690,99.28
20,96,CADILAHC,EQ,104918,37335,35.58
20,97,CANBK,EQ,2996327,636826,21.25
20,98,CANFINHOME,EQ,21774,17690,81.24
20,99,CARBORUNIV,EQ,2460,1852,75.28
20,100,CEAT,EQ,152699,57424,37.61
20,101,CENTENKA,EQ,45782,20504,44.79
20,102,CENTURION,EQ,345819,230848,66.75
20,103,CENTURYTEX,EQ,275768,106942,38.78
20,104,CESC,EQ,381996,116544,30.51
20,105,CGIGARSH,EQ,158326,77237,48.78
20,106,CHAMBLFERT,EQ,657831,497500,75.63
20,107,CHEMPLAST,EQ,6171,5821,94.33
20,108,CHENNPETRO,EQ,136305,90801,66.62
20,109,CHESLINTEX,EQ,61265,47848,78.10
20,110,CHLORIDIND,EQ,44505,33422,75.10
20,111,CHOLAINV,EQ,13531,12050,89.05
20,112,CINEVISTA,EQ,85580,43255,50.54
20,113,CIPLA,EQ,95896,51956,54.18
20,114,CLARIANT,EQ,2857,2372,83.02
20,115,CMC,EQ,35209,20627,58.58
20,116,COATESIND,EQ,2360,1431,60.64
20,117,COCHINREFN,EQ,176705,101816,57.62
20,118,COLGATE,EQ,92593,67420,72.81
20,119,COLORCHEM,EQ,3796,2282,60.12
20,120,COMPUDYNE,EQ,60531,42658,70.47
20,121,COMPUTECH,EQ,147030,89419,60.82
20,122,CONCOR,EQ,2609,1396,53.51
20,123,CONSCOFFEE,EQ,12999,10336,79.51
20,124,COROMNFERT,EQ,26097,4222,16.18
20,125,CORPBANK,EQ,77132,39705,51.48
20,126,COSMOFILMS,EQ,180332,120482,66.81
20,127,CREATIVEYE,EQ,365283,180049,49.29
20,128,CRESTCOMM,EQ,946269,288561,30.49
20,129,CRISIL,EQ,268,258,96.27
20,130,CROMPGREAV,EQ,68621,46955,68.43
20,131,CUB,EQ,18651,16188,86.79
20,132,D-LINK,EQ,1090891,245371,22.49
20,133,DABUR,EQ,162635,124146,76.33
20,134,DALMIACEM,EQ,6740,5689,84.41
20,135,DCMSRMCONS,EQ,39831,35382,88.83
20,136,DCW,EQ,116286,83146,71.50
20,137,DEEPAKFERT,EQ,134999,96874,71.76
20,138,DENABANK,EQ,351824,234128,66.55
20,139,DEWANHOUS,EQ,5813,5390,92.72
20,140,DHAMPURSUG,EQ,195923,150258,76.69
20,141,DIGITALEQP,EQ,1629679,122221,7.50
20,142,DIVISLAB,EQ,124153,39536,31.84
20,143,DRREDDY,EQ,162230,78521,48.40
20,144,E-SERVEINT,EQ,12355,11431,92.52
20,145,EASTSILK,EQ,37450,24117,64.40
20,146,EASUNREYRL,EQ,1874,1461,77.96
20,147,EICHERLTD,EQ,26357,19933,75.63
20,148,EICHERMOT,EQ,33339,25833,77.49
20,149,EIDPARRY,EQ,21520,20595,95.70
20,150,EIHOTEL,EQ,5499,4470,81.29
20,151,EIMCOELECO,EQ,427,377,88.29
20,152,ELDERPHARM,EQ,137439,69704,50.72
20,153,ELGIEQUIP,EQ,37901,22782,60.11
20,154,ELGITYRE,EQ,1630,1565,96.01
20,155,EMERCK,EQ,17824,9667,54.24
20,156,ENGINERSIN,EQ,60647,34527,56.93
20,157,ESABINDIA,EQ,73161,46495,63.55
20,158,ESCORTS,EQ,563501,278334,49.39
20,159,ESSARGUJ,EQ,1994901,574389,28.79
20,160,ESSAROIL,EQ,745044,416448,55.90
20,161,ESSELPACK,EQ,230314,97759,42.45
20,162,ETCNETWORK,EQ,780625,280762,35.97
20,163,ETERNEVRST,EQ,7517,6064,80.67
20,164,FACT,EQ,13339,10432,78.21
20,165,FAGBEARING,EQ,12473,10885,87.27
20,166,FDC,EQ,19260,11465,59.53
20,167,FEDERALBNK,EQ,240438,115891,48.20
20,168,FINCABLES,EQ,202709,71734,35.39
20,169,FINPIPE,EQ,98979,60005,60.62
20,170,FIRSTLEASE,EQ,38920,31448,80.80
20,171,FLEX,EQ,171185,120907,70.63
20,172,FLEXCHEM,EQ,2820,2500,88.65
20,173,FOSECOIND,EQ,3045,2183,71.69
20,174,FUJITSICIM,EQ,242000,77045,31.84
20,175,GAEL,EQ,13119,11309,86.20
20,176,GAIL,EQ,1758747,648353,36.86
20,177,GAMMONIND,EQ,509741,502259,98.53
20,178,GARDENSILK,EQ,154104,104070,67.53
20,179,GENESYS,EQ,9750,5829,59.78
20,180,GEOMETRIC,EQ,124618,26162,20.99
20,181,GEORGWILIM,EQ,8078,5634,69.74
20,182,GESCOCORP,EQ,10489,9544,90.99
20,183,GESHIPPING,EQ,1090831,402749,36.92
20,184,GHCL,EQ,181754,135256,74.42
20,185,GICHSGFIN,EQ,60815,48793,80.23
20,186,GIPCL,EQ,673458,227145,33.73
20,187,GKW,EQ,213050,176326,82.76
20,188,GLAXO,EQ,45718,39044,85.40
20,189,GLENMARK,EQ,176342,98925,56.10
20,190,GMDCLTD,EQ,72111,51436,71.33
20,191,GNFC,EQ,273187,162416,59.45
20,192,GODAVRFERT,EQ,6070,5995,98.76
20,193,GODFRYPHLP,EQ,11555,11369,98.39
20,194,GODREJCP,EQ,7659,5268,68.78
20,195,GODREJIND,EQ,5092,3262,64.06
20,196,GOETZEIND,EQ,135403,101303,74.82
20,197,GOLDTECH,EQ,214618,109390,50.97
20,198,GOLDTELE,EQ,131931,41128,31.17
20,199,GOODLASNER,EQ,10804,6430,59.51
20,200,GRAPHITE,EQ,17080,12575,73.62
20,201,GRASIM,EQ,207816,76257,36.69
20,202,GSFC,EQ,636632,313781,49.29
20,203,GSKCONS,EQ,14166,11266,79.53
20,204,GTCIND,EQ,64524,48129,74.59
20,205,GTNTEXT,EQ,33394,24323,72.84
20,206,GUJALKALI,EQ,200911,109856,54.68
20,207,GUJAMBCEM,EQ,1116266,537012,48.11
20,208,GUJFLUORO,EQ,6256,4819,77.03
20,209,GUJRATGAS,EQ,1915,1555,81.20
20,210,GUJSIDHCEM,EQ,338418,202514,59.84
20,211,HAVELLS,EQ,91249,8509,9.33
20,212,HCL-INSYS,EQ,42132,16956,40.24
20,213,HCLTECH,EQ,1155396,224138,19.40
20,214,HDFC,EQ,186388,110225,59.14
20,215,HDFCBANK,EQ,480564,375585,78.16
20,216,HEG,EQ,227180,122385,53.87
20,217,HERDILCHEM,EQ,7913,6751,85.32
20,218,HERITGFOOD,EQ,12860,11630,90.44
20,219,HEROHONDA,EQ,514626,254469,49.45
20,220,HEXAWARE,EQ,467139,40194,8.60
20,221,HIKAL,EQ,4505,4155,92.23
20,222,HIMATSEIDE,EQ,29496,20001,67.81
20,223,HINDALC0,EQ,211680,79439,37.53
20,224,HINDCOMPOS,EQ,735,635,86.39
