Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24122003,125713221,0000613
Trade Date <24-DEC-2003>,Settlement Type <D>,Settlement No <2003248>,Settlement Date <29-DEC-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0795H32,GC,150,150,100.00
Trade Date <24-DEC-2003>,Settlement Type <N>,Settlement No <2003248>,Settlement Date <29-DEC-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIDRUGS,EQ,56307,18344,32.58
20,3,AARTIIND,EQ,105764,86336,81.63
20,4,ABANLLOYD,EQ,16721,11017,65.89
20,5,ABB,EQ,24416,12650,51.81
20,6,ABSHEKINDS,EQ,302736,207306,68.48
20,7,ABSIND,EQ,19237,14998,77.96
20,8,ACC,EQ,3706846,1399125,37.74
20,9,ADANIEXPO,EQ,84050,14895,17.72
20,10,ADLABSFILM,EQ,341019,194534,57.04
20,11,ADVANIORLI,EQ,104323,64029,61.38
20,12,AGEEGOLD,EQ,14096,12650,89.74
20,13,AGRODUTCH,EQ,63882,38329,60.00
20,14,AHMEDELEC,EQ,54589,30779,56.38
20,15,AHMEDFORGE,EQ,52742,45020,85.36
20,16,AJANTPHARM,EQ,103564,42521,41.06
20,17,AKSHOPTFBR,EQ,114591,62334,54.40
20,18,ALBK,EQ,742660,430127,57.92
20,19,ALEMBICLTD,EQ,6222,3957,63.60
20,20,ALFALAVAL,EQ,4000,2786,69.65
20,21,ALOKTEXT,EQ,1071574,712536,66.49
20,22,ALPSINDUS,EQ,778043,241982,31.10
20,23,AMARAJABAT,EQ,83882,33848,40.35
20,24,AMBUJARAJN,EQ,250596,206012,82.21
20,25,AMTEKAUTO,EQ,24732,9634,38.95
20,26,AMTREXAPPL,EQ,16106,13607,84.48
20,27,ANDHRABANK,EQ,4548416,1709152,37.58
20,28,ANDHRSUGAR,EQ,128781,111290,86.42
20,29,APCOTEXLAT,EQ,9437,7008,74.26
20,30,APIL,EQ,75026,34232,45.63
20,31,APOLLOHOSP,EQ,628984,237334,37.73
20,32,APOLLOTYRE,EQ,57401,22782,39.69
20,33,APTECHT,EQ,306069,126314,41.27
20,34,ARCHIES,EQ,295614,100305,33.93
20,35,ARHAMFISCL,EQ,64206,47211,73.53
20,36,ARVINDMILL,EQ,4989952,1512376,30.31
20,37,ASAHIINDIA,EQ,85382,70287,82.32
20,38,ASAL,EQ,3465,3365,97.11
20,39,ASHAPURMIN,EQ,48015,28132,58.59
20,40,ASHIMASYN,EQ,61297,49242,80.33
20,41,ASHKLEYFIN,EQ,45112,32370,71.75
20,42,ASHOKLEY,EQ,144093,93586,64.95
20,43,ASIANELEC,EQ,17357,9982,57.51
20,44,ASIANHOTEL,EQ,10602,9746,91.93
20,45,ASIANPAINT,EQ,18231,15744,86.36
20,46,ASTRAIDL,EQ,782,720,92.07
20,47,ATCOIND,EQ,45626,28280,61.98
20,48,ATFL,EQ,134524,85525,63.58
20,49,ATLASCYCLE,EQ,7099,5831,82.14
20,50,ATNINT,EQ,426608,303401,71.12
20,51,ATULPROD,EQ,26062,16882,64.78
20,52,AUROPHARMA,EQ,241053,105135,43.61
20,53,AUTOAXLES,EQ,8889,5785,65.08
20,54,AVENTIS,EQ,4989,4123,82.64
20,55,AZTEC,EQ,83028,42786,51.53
20,56,BAGFILMS,EQ,151675,93611,61.72
20,57,BAGYAMETAL,EQ,960,810,84.38
20,58,BAJAJAUTO,EQ,195157,134743,69.04
20,59,BAJAJHIND,EQ,12697,8361,65.85
20,60,BAJAUTOFIN,EQ,7683,6682,86.97
20,61,BALAJITELE,EQ,911346,333734,36.62
20,62,BALASPONGE,EQ,727845,320090,43.98
20,63,BALMLAWRIE,EQ,10048,7695,76.58
20,64,BALRAMCHIN,EQ,70716,42918,60.69
20,65,BANARISUG,EQ,2687,2178,81.06
20,66,BANKBARODA,EQ,2011103,391725,19.48
20,67,BANKINDIA,EQ,3666859,1478309,40.32
20,68,BANKPUNJAB,EQ,1773338,863935,48.72
20,69,BANKRAJAS,EQ,622947,317783,51.01
20,70,BASF,EQ,23317,13155,56.42
20,71,BATAINDIA,EQ,162757,104101,63.96
20,72,BBTC,EQ,7028,6753,96.09
20,73,BEL,EQ,87964,36352,41.33
20,74,BEML,EQ,1684879,518583,30.78
20,75,BERGEPAINT,EQ,61117,30631,50.12
20,76,BFLSOFTWAR,EQ,9579,6035,63.00
20,77,BGFL,EQ,102080,61514,60.26
20,78,BHARATFORG,EQ,28080,15715,55.97
20,79,BHARATRAS,EQ,3863,3053,79.03
20,80,BHARTI,EQ,11059535,3293152,29.78
20,81,BHEL,EQ,998809,399504,40.00
20,82,BHUSANSTL,EQ,215929,86288,39.96
20,83,BIL,EQ,9420,6570,69.75
20,84,BILT,EQ,1370136,803190,58.62
20,85,BIRLA3M,EQ,101,90,89.11
20,86,BIRLAERIC,EQ,54914,36902,67.20
20,87,BIRLAJUTE,EQ,394219,154799,39.27
20,88,BLUEDART,EQ,12905,11770,91.20
20,89,BLUESTARCO,EQ,16104,13243,82.23
20,90,BLUESTINFO,EQ,19124,12273,64.18
20,91,BOMDYEING,EQ,249754,90243,36.13
20,92,BONGAIREFN,EQ,1111129,727230,65.45
20,93,BPCL,EQ,859003,400792,46.66
20,94,BPL,EQ,351783,148917,42.33
20,95,BRITANNIA,EQ,21115,18766,88.88
20,96,BSES,EQ,272795,120603,44.21
20,97,CADILAHC,EQ,82339,47382,57.55
20,98,CALSOFT,EQ,475,475,100.00
20,99,CANBK,EQ,4173839,1008066,24.15
20,100,CANFINHOME,EQ,26625,19185,72.06
20,101,CARBORUNIV,EQ,2077,1734,83.49
20,102,CEAT,EQ,149646,95500,63.82
20,103,CENTENKA,EQ,106242,41721,39.27
20,104,CENTURION,EQ,848435,458633,54.06
20,105,CENTURYTEX,EQ,898374,262127,29.18
20,106,CESC,EQ,414243,184283,44.49
20,107,CGIGARSH,EQ,43426,21258,48.95
20,108,CHAMBLFERT,EQ,2348767,1240869,52.83
20,109,CHEMPLAST,EQ,25829,17267,66.85
20,110,CHENNPETRO,EQ,330640,210936,63.80
20,111,CHESLINTEX,EQ,34387,28125,81.79
20,112,CHLORIDIND,EQ,43574,31647,72.63
20,113,CHOLAINV,EQ,24315,18756,77.14
20,114,CINEVISTA,EQ,18562,9644,51.96
20,115,CIPLA,EQ,136432,56688,41.55
20,116,CLARIANT,EQ,4233,3824,90.34
20,117,CMC,EQ,59462,24106,40.54
20,118,COATESIND,EQ,2341,2141,91.46
20,119,COCHINREFN,EQ,430882,236445,54.87
20,120,COLGATE,EQ,206516,121412,58.79
20,121,COLORCHEM,EQ,3527,3140,89.03
20,122,COMPUDYNE,EQ,80589,41964,52.07
20,123,COMPUTECH,EQ,415097,191155,46.05
20,124,CONCOR,EQ,16702,15470,92.62
20,125,CONSCOFFEE,EQ,20239,10362,51.20
20,126,COROMNFERT,EQ,37183,23202,62.40
20,127,CORPBANK,EQ,206630,96013,46.47
20,128,COSMOFILMS,EQ,104645,65674,62.76
20,129,CREATIVEYE,EQ,399098,238184,59.68
20,130,CRESTCOMM,EQ,116903,59697,51.07
20,131,CRISIL,EQ,1774,1664,93.80
20,132,CROMPGREAV,EQ,212413,121585,57.24
20,133,CUB,EQ,288584,145496,50.42
20,134,D-LINK,EQ,132702,54500,41.07
20,135,DABUR,EQ,626864,332886,53.10
20,136,DALMIACEM,EQ,2758,2640,95.72
20,137,DCMSRMCONS,EQ,31479,24726,78.55
20,138,DCW,EQ,60129,40156,66.78
20,139,DEEPAKFERT,EQ,159589,113994,71.43
20,140,DENABANK,EQ,576841,372931,64.65
20,141,DEWANHOUS,EQ,10253,6751,65.84
20,142,DHAMPURSUG,EQ,241696,125643,51.98
20,143,DIGITALEQP,EQ,123441,65784,53.29
20,144,DIVISLAB,EQ,29842,5631,18.87
20,145,DRREDDY,EQ,184419,76793,41.64
20,146,E-SERVEINT,EQ,3755,3360,89.48
20,147,EASTSILK,EQ,21534,18204,84.54
20,148,EASUNREYRL,EQ,11631,7556,64.96
20,149,EICHERLTD,EQ,8872,6835,77.04
20,150,EICHERMOT,EQ,13593,7882,57.99
