Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31122003,104804498,0000714
Trade Date <31-DEC-2003>,Settlement Type <D>,Settlement No <2003252>,Settlement Date <02-JAN-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0795H32,GC,1600,1600,100.00
20,2,0807A17,GC,200,200,100.00
20,3,0981E13,GC,100,100,100.00
20,4,0985J15,GC,80,80,100.00
Trade Date <31-DEC-2003>,Settlement Type <N>,Settlement No <2003252>,Settlement Date <02-JAN-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,5,AARTIDRUGS,EQ,50426,13964,27.69
20,6,AARTIIND,EQ,55337,19004,34.34
20,7,ABANLLOYD,EQ,22275,18698,83.94
20,8,ABB,EQ,59311,28164,47.49
20,9,ABSHEKINDS,EQ,305722,226119,73.96
20,10,ABSIND,EQ,24889,17991,72.28
20,11,ACC,EQ,3066246,508623,16.59
20,12,ADANIEXPO,EQ,66013,15905,24.09
20,13,ADLABSFILM,EQ,164955,71707,43.47
20,14,ADVANIORLI,EQ,16009,11728,73.26
20,15,AEGISCHEM,EQ,21017,14375,68.40
20,16,AFTEKINFO,EQ,65611,23810,36.29
20,17,AGEEGOLD,EQ,6939,6745,97.20
20,18,AGRODUTCH,EQ,30255,20290,67.06
20,19,AHMEDELEC,EQ,44339,25867,58.34
20,20,AHMEDFORGE,EQ,10449,10449,100.00
20,21,AJANTPHARM,EQ,82351,48158,58.48
20,22,AKSHOPTFBR,EQ,62613,41948,67.00
20,23,ALBK,EQ,475872,311985,65.56
20,24,ALEMBICLTD,EQ,7682,5371,69.92
20,25,ALFALAVAL,EQ,3696,2756,74.57
20,26,ALOKTEXT,EQ,283693,208549,73.51
20,27,ALPSINDUS,EQ,25127,18178,72.34
20,28,AMARAJABAT,EQ,76224,39595,51.95
20,29,AMBUJARAJN,EQ,343990,242855,70.60
20,30,AMITSPIN,EQ,7926,7124,89.88
20,31,AMTEKAUTO,EQ,110081,52906,48.06
20,32,AMTREXAPPL,EQ,21851,20859,95.46
20,33,ANDHRABANK,EQ,1228807,710046,57.78
20,34,ANDHRSUGAR,EQ,121189,108648,89.65
20,35,ANTGRAPHIC,EQ,35623,30623,85.96
20,36,APCOTEXLAT,EQ,2796,2535,90.67
20,37,APIL,EQ,279500,122635,43.88
20,38,APOLLOHOSP,EQ,210282,98649,46.91
20,39,APOLLOTYRE,EQ,87038,43362,49.82
20,40,APTECHT,EQ,143780,86835,60.39
20,41,ARCHIES,EQ,71053,30604,43.07
