Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,19012004,084955519,0000714
Trade Date <19-JAN-2004>,Settlement Type <D>,Settlement No <2004013>,Settlement Date <21-JAN-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0795H32,GC,150,150,100.00
20,2,0835E22,GC,3500,3500,100.00
Trade Date <19-JAN-2004>,Settlement Type <N>,Settlement No <2004013>,Settlement Date <21-JAN-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3,AARTIDRUGS,EQ,21812,7052,32.33
20,4,AARTIIND,EQ,49632,22900,46.14
20,5,ABANLLOYD,EQ,9790,7234,73.89
20,6,ABB,EQ,86395,77211,89.37
20,7,ABSHEKINDS,EQ,98545,64343,65.29
20,8,ABSIND,EQ,24920,17695,71.01
20,9,ACC,EQ,4157987,670528,16.13
20,10,ADANIEXPO,EQ,42845,5177,12.08
20,11,ADLABSFILM,EQ,84480,33173,39.27
20,12,ADVANIORLI,EQ,8142,6334,77.79
20,13,AEGISCHEM,EQ,6684,5835,87.30
20,14,AFTEKINFO,EQ,67349,34478,51.19
20,15,AGEEGOLD,EQ,1273,1251,98.27
20,16,AGRODUTCH,EQ,36300,26627,73.35
20,17,AHMEDELEC,EQ,90746,38278,42.18
20,18,AHMEDFORGE,EQ,26895,17849,66.37
20,19,AJANTPHARM,EQ,39567,19930,50.37
20,20,AKSHOPTFBR,EQ,44650,31076,69.60
20,21,ALBK,EQ,1857902,662243,35.64
20,22,ALEMBICLTD,EQ,11191,9064,80.99
20,23,ALFALAVAL,EQ,3910,2762,70.64
20,24,ALOKTEXT,EQ,250407,153344,61.24
20,25,ALPSINDUS,EQ,37397,14999,40.11
20,26,AMARAJABAT,EQ,28678,17805,62.09
20,27,AMBUJARAJN,EQ,209026,151130,72.30
20,28,AMITSPIN,EQ,10604,10002,94.32
20,29,AMTEKAUTO,EQ,14048,10249,72.96
20,30,AMTREXAPPL,EQ,3514,3012,85.71
20,31,ANDHRABANK,EQ,1636894,408695,24.97
20,32,ANDHRSUGAR,EQ,63632,43917,69.02
20,33,ANTGRAPHIC,EQ,16710,14810,88.63
20,34,APCOTEXLAT,EQ,3836,1925,50.18
20,35,APIL,EQ,54639,23893,43.73
20,36,APOLLOHOSP,EQ,226398,88816,39.23
20,37,APOLLOTYRE,EQ,95233,64237,67.45
20,38,APTECHT,EQ,200652,75216,37.49
20,39,ARCHIES,EQ,19224,12068,62.78
20,40,ARHAMFISCL,EQ,37962,24935,65.68
20,41,ARL,EQ,1284006,757882,59.02
20,42,ARVINDMILL,EQ,1032535,363971,35.25
20,43,ASAHIINDIA,EQ,46382,21797,46.99
20,44,ASAL,EQ,18729,18729,100.00
20,45,ASHAPURMIN,EQ,5438,3218,59.18
20,46,ASHIMASYN,EQ,14900,13000,87.25
20,47,ASHKLEYFIN,EQ,36975,24155,65.33
20,48,ASHOKLEY,EQ,245050,109029,44.49
20,49,ASIANELEC,EQ,11145,5280,47.38
20,50,ASIANHOTEL,EQ,2355,2114,89.77
20,51,ASIANPAINT,EQ,14941,11154,74.65
20,52,ASTRAIDL,EQ,206,206,100.00
20,53,ATCOIND,EQ,29700,22650,76.26
20,54,ATLASCYCLE,EQ,1123,943,83.97
20,55,ATNINT,EQ,139345,109482,78.57
20,56,ATULPROD,EQ,11370,6166,54.23
20,57,AUROPHARMA,EQ,138185,68240,49.38
20,58,AUTOAXLES,EQ,1774,1472,82.98
20,59,AUTORIDFIN,EQ,7671,5661,73.80
20,60,AVENTIS,EQ,12681,10452,82.42
20,61,AZTEC,EQ,245457,110080,44.85
20,62,BAGFILMS,EQ,137652,73317,53.26
20,63,BAGYAMETAL,EQ,1,0,0.00
20,64,BAJAJAUTO,EQ,328452,222203,67.65
20,65,BAJAJHIND,EQ,9291,8281,89.13
20,66,BAJAJPLAST,EQ,7562,4993,66.03
20,67,BAJAUTOFIN,EQ,19268,15069,78.21
20,68,BALAJIDIST,EQ,30848,24049,77.96
20,69,BALAJITELE,EQ,361511,150413,41.61
20,70,BALASPONGE,EQ,326539,132371,40.54
20,71,BALMLAWRIE,EQ,6052,4885,80.72
20,72,BALRAMCHIN,EQ,14483,11473,79.22
20,73,BANARISUG,EQ,4240,4190,98.82
20,74,BANKBARODA,EQ,910003,167081,18.36
20,75,BANKINDIA,EQ,2570779,539466,20.98
20,76,BANKPUNJAB,EQ,944274,353184,37.40
20,77,BANKRAJAS,EQ,816172,387533,47.48
20,78,BASF,EQ,32073,27482,85.69
20,79,BATAINDIA,EQ,150519,81706,54.28
20,80,BBTC,EQ,3034,2428,80.03
20,81,BEL,EQ,95172,58881,61.87
20,82,BEML,EQ,224482,63446,28.26
20,83,BERGEPAINT,EQ,11571,10351,89.46
20,84,BFLSOFTWAR,EQ,22669,20351,89.77
20,85,BGFL,EQ,19219,14034,73.02
20,86,BHARATFORG,EQ,60444,21466,35.51
20,87,BHARATGEAR,EQ,7350,4150,56.46
20,88,BHARATRAS,EQ,3016,1961,65.02
20,89,BHARTI,EQ,3947241,2458794,62.29
20,90,BHEL,EQ,611317,187195,30.62
20,91,BHUSANSTL,EQ,90482,48219,53.29
20,92,BIL,EQ,13237,10563,79.80
20,93,BILT,EQ,468182,259973,55.53
20,94,BINDALAGRO,EQ,112087,91177,81.34
20,95,BIRLA3M,EQ,275,275,100.00
