Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30012004,073062383,0000715
Trade Date <30-JAN-2004>,Settlement Type <N>,Settlement No <2004021>,Settlement Date <04-FEB-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIDRUGS,EQ,34426,4825,14.02
20,2,AARTIIND,EQ,27825,7764,27.90
20,3,ABANLLOYD,EQ,1922,1610,83.77
20,4,ABB,EQ,36812,24232,65.83
20,5,ABSHEKINDS,EQ,65194,48387,74.22
20,6,ABSIND,EQ,30717,26630,86.69
20,7,ACC,EQ,6627065,513898,7.75
20,8,ADANIEXPO,EQ,50132,15496,30.91
20,9,ADLABSFILM,EQ,70315,40618,57.77
20,10,ADVANIORLI,EQ,7390,6475,87.62
20,11,AEGISCHEM,EQ,9814,9214,93.89
20,12,AFTEKINFO,EQ,110233,61451,55.75
20,13,AGEEGOLD,EQ,100,100,100.00
20,14,AGRODUTCH,EQ,13432,10712,79.75
20,15,AHMEDELEC,EQ,36314,14997,41.30
20,16,AHMEDFORGE,EQ,1719,1699,98.84
20,17,AJANTPHARM,EQ,18442,12270,66.53
20,18,AKSHOPTFBR,EQ,48687,41519,85.28
20,19,ALBK,EQ,680415,352072,51.74
20,20,ALEMBICLTD,EQ,4125,3923,95.10
20,21,ALFALAVAL,EQ,1488,698,46.91
20,22,ALOKTEXT,EQ,197413,119643,60.61
20,23,ALPSINDUS,EQ,27486,7826,28.47
20,24,AMARAJABAT,EQ,19586,11555,59.00
20,25,AMBUJARAJN,EQ,171765,139061,80.96
20,26,AMITSPIN,EQ,4400,4400,100.00
20,27,AMTEKAUTO,EQ,35831,20237,56.48
20,28,AMTREXAPPL,EQ,9675,8975,92.76
20,29,ANDHRABANK,EQ,1588683,592677,37.31
20,30,ANDHRSUGAR,EQ,36889,28815,78.11
20,31,ANTGRAPHIC,EQ,6750,5162,76.47
20,32,APCOTEXLAT,EQ,1864,1731,92.86
20,33,APIL,EQ,265877,68625,25.81
20,34,APOLLOHOSP,EQ,127591,58506,45.85
20,35,APOLLOTYRE,EQ,24071,9305,38.66
20,36,APTECHT,EQ,105523,33392,31.64
20,37,ARCHIES,EQ,13116,9088,69.29
20,38,ARHAMFISCL,EQ,41750,26392,63.21
20,39,ARL,EQ,804645,608550,75.63
20,40,ARVINDMILL,EQ,3428361,1258995,36.72
20,41,ASAHIINDIA,EQ,40736,21917,53.80
20,42,ASAL,EQ,6225,6225,100.00
20,43,ASHAPURMIN,EQ,1380,1150,83.33
20,44,ASHIMASYN,EQ,13637,12862,94.32
20,45,ASHKLEYFIN,EQ,8092,5225,64.57
20,46,ASHOKLEY,EQ,456972,284513,62.26
20,47,ASIANELEC,EQ,12176,8759,71.94
20,48,ASIANHOTEL,EQ,3162,2882,91.14
20,49,ASIANPAINT,EQ,21315,13207,61.96
20,50,ASTRAIDL,EQ,405,195,48.15
20,51,ATCOIND,EQ,31906,29231,91.62
20,52,ATLASCYCLE,EQ,1487,1464,98.45
20,53,ATNINT,EQ,72808,52254,71.77
20,54,ATULPROD,EQ,18798,15829,84.21
20,55,AUROPHARMA,EQ,112649,69866,62.02
20,56,AUTOAXLES,EQ,2227,1955,87.79
20,57,AUTORIDFIN,EQ,4900,4900,100.00
20,58,AVENTIS,EQ,18930,18371,97.05
20,59,AZTEC,EQ,50313,31717,63.04
20,60,BAGFILMS,EQ,115142,92620,80.44
20,61,BAGYAMETAL,EQ,377,377,100.00
20,62,BAJAJAUTO,EQ,192604,125758,65.29
20,63,BAJAJHIND,EQ,7948,6522,82.06
20,64,BAJAJPLAST,EQ,3178,3178,100.00
20,65,BAJAUTOFIN,EQ,8031,7206,89.73
20,66,BALAJIDIST,EQ,12000,11800,98.33
20,67,BALAJITELE,EQ,415400,285747,68.79
20,68,BALASPONGE,EQ,158993,97662,61.43
20,69,BALMLAWRIE,EQ,10712,9095,84.90
20,70,BALRAMCHIN,EQ,54266,30951,57.04
20,71,BANARISUG,EQ,1381,1200,86.89
20,72,BANKBARODA,EQ,795489,178841,22.48
20,73,BANKINDIA,EQ,2542070,557705,21.94
20,74,BANKPUNJAB,EQ,357484,173147,48.43
20,75,BANKRAJAS,EQ,499799,263905,52.80
20,76,BASF,EQ,9748,6184,63.44
20,77,BATAINDIA,EQ,58678,37835,64.48
20,78,BBTC,EQ,700,700,100.00
20,79,BEL,EQ,83910,50290,59.93
20,80,BEML,EQ,216378,79741,36.85
20,81,BERGEPAINT,EQ,53586,40528,75.63
20,82,BFLSOFTWAR,EQ,50455,47150,93.45
20,83,BGFL,EQ,26660,23671,88.79
