Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23022004,055477105,0000715
Trade Date <23-FEB-2004>,Settlement Type <D>,Settlement No <2004036>,Settlement Date <25-FEB-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0939G11,GC,20,20,100.00
Trade Date <23-FEB-2004>,Settlement Type <N>,Settlement No <2004036>,Settlement Date <25-FEB-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIDRUGS,EQ,19026,3374,17.73
20,3,AARTIIND,EQ,39412,13461,34.15
20,4,ABANLLOYD,EQ,24099,18630,77.31
20,5,ABB,EQ,20464,16379,80.04
20,6,ABSHEKINDS,EQ,53372,41217,77.23
20,7,ABSIND,EQ,3276,2522,76.98
20,8,ACC,EQ,2170783,258702,11.92
20,9,ADANIEXPO,EQ,36033,3571,9.91
20,10,ADLABSFILM,EQ,64016,39374,61.51
20,11,ADVANIORLI,EQ,1550,1350,87.10
20,12,AEGISCHEM,EQ,4228,3697,87.44
20,13,AFTEKINFO,EQ,177152,103850,58.62
20,14,AGEEGOLD,EQ,4500,4100,91.11
20,15,AGRODUTCH,EQ,27870,18980,68.10
20,16,AHMEDELEC,EQ,14378,8203,57.05
20,17,AHMEDFORGE,EQ,5900,5400,91.53
20,18,AJANTPHARM,EQ,22199,8210,36.98
20,19,AKSHOPTFBR,EQ,11751,10492,89.29
20,20,ALBK,EQ,575777,277052,48.12
20,21,ALEMBICLTD,EQ,85679,22496,26.26
20,22,ALFALAVAL,EQ,1347,1234,91.61
20,23,ALOKTEXT,EQ,219240,165311,75.40
20,24,ALPSINDUS,EQ,11092,2718,24.50
20,25,AMARAJABAT,EQ,7512,5837,77.70
20,26,AMBUJARAJN,EQ,57676,35874,62.20
20,27,AMITSPIN,EQ,3500,3200,91.43
20,28,AMTEKAUTO,EQ,11480,9555,83.23
20,29,AMTREXAPPL,EQ,12128,11551,95.24
20,30,ANDHRABANK,EQ,1576792,764179,48.46
20,31,ANDHRSUGAR,EQ,17521,14550,83.04
20,32,ANTGRAPHIC,EQ,4997,2997,59.98
20,33,APCOTEXLAT,EQ,818,618,75.55
20,34,APIL,EQ,30436,18273,60.04
20,35,APOLLOHOSP,EQ,107826,40909,37.94
20,36,APOLLOTYRE,EQ,14261,8576,60.14
20,37,APTECHT,EQ,121003,39652,32.77
20,38,ARCHIES,EQ,8175,6792,83.08
20,39,ARHAMFISCL,EQ,11484,8100,70.53
20,40,ARL,EQ,767263,578615,75.41
20,41,ARVINDMILL,EQ,716958,208142,29.03
20,42,ASAHIINDIA,EQ,38322,26077,68.05
20,43,ASAL,EQ,5,5,100.00
20,44,ASHAPURMIN,EQ,575,550,95.65
20,45,ASHIMASYN,EQ,4200,3150,75.00
20,46,ASHKLEYFIN,EQ,9717,8399,86.44
20,47,ASHOKLEY,EQ,651388,195935,30.08
20,48,ASIANELEC,EQ,10746,8743,81.36
20,49,ASIANHOTEL,EQ,1830,1440,78.69
20,50,ASIANPAINT,EQ,128739,124955,97.06
20,51,ASTRAIDL,EQ,495,348,70.30
20,52,ATCOIND,EQ,11877,10725,90.30
20,53,ATLASCYCLE,EQ,2201,1616,73.42
20,54,ATNINT,EQ,77950,70150,89.99
20,55,ATULPROD,EQ,57704,48348,83.79
20,56,AUROPHARMA,EQ,82691,28507,34.47
20,57,AUTOAXLES,EQ,181,100,55.25
20,58,AUTORIDFIN,EQ,2150,2150,100.00
20,59,AVENTIS,EQ,17293,14727,85.16
20,60,AZTEC,EQ,32336,23095,71.42
20,61,BAGFILMS,EQ,30352,24150,79.57
20,62,BAJAJAUTO,EQ,509951,288266,56.53
20,63,BAJAJHIND,EQ,3117,1949,62.53
20,64,BAJAJPLAST,EQ,301,299,99.34
20,65,BAJAUTOFIN,EQ,3185,2251,70.68
20,66,BALAJIDIST,EQ,25056,22556,90.02
20,67,BALAJITELE,EQ,109694,43040,39.24
20,68,BALASPONGE,EQ,64590,42455,65.73
20,69,BALMLAWRIE,EQ,4962,2799,56.41
20,70,BALRAMCHIN,EQ,21457,16560,77.18
20,71,BANARISUG,EQ,1209,979,80.98
20,72,BANKBARODA,EQ,975958,205622,21.07
20,73,BANKINDIA,EQ,1453091,339268,23.35
20,74,BANKPUNJAB,EQ,182235,96220,52.80
20,75,BANKRAJAS,EQ,630682,193387,30.66
20,76,BASF,EQ,17897,13172,73.60
20,77,BATAINDIA,EQ,78644,56103,71.34
20,78,BBTC,EQ,1090,1090,100.00
20,79,BEL,EQ,17035,7700,45.20
20,80,BEML,EQ,118992,55077,46.29
20,81,BERGEPAINT,EQ,7643,3959,51.80
20,82,BFLSOFTWAR,EQ,12429,11036,88.79
20,83,BGFL,EQ,17197,13567,78.89
20,84,BHARATFORG,EQ,26576,21052,79.21
20,85,BHARATGEAR,EQ,18893,13278,70.28
20,86,BHARATRAS,EQ,1703,1151,67.59
20,87,BHARTI,EQ,2293124,1064038,46.40
20,88,BHEL,EQ,968952,278260,28.72
20,89,BHUSANSTL,EQ,33973,17912,52.72
20,90,BIL,EQ,5550,4200,75.68
20,91,BILT,EQ,196530,143978,73.26
20,92,BINDALAGRO,EQ,115422,100453,87.03
20,93,BIRLA3M,EQ,1310,1010,77.10
20,94,BIRLAERIC,EQ,16237,11438,70.44
20,95,BIRLAJUTE,EQ,122285,88321,72.23
20,96,BLUEDART,EQ,17154,13324,77.67
20,97,BLUESTARCO,EQ,6558,6067,92.51
20,98,BLUESTINFO,EQ,5622,3549,63.13
20,99,BOMDYEING,EQ,57573,19433,33.75
20,100,BONGAIREFN,EQ,772342,340370,44.07
20,101,BPCL,EQ,472188,190651,40.38
20,102,BPL,EQ,36598,29211,79.82
20,103,BPLENGG,EQ,2802,2200,78.52
20,104,BPLSANTECH,EQ,2145,2100,97.90
20,105,BPLSANUTIL,EQ,4825,4385,90.88
20,106,BRITANNIA,EQ,7276,5856,80.48
20,107,BSELINFO,EQ,93583,4418,4.72
20,108,BSES,EQ,1440177,261029,18.12
20,109,BSL,EQ,300,300,100.00
20,110,CADILAHC,EQ,161965,83749,51.71
20,111,CALSOFT,EQ,200,200,100.00
20,112,CANBK,EQ,5081104,1213037,23.87
20,113,CANFINHOME,EQ,22931,19606,85.50
20,114,CARBORUNIV,EQ,2582,1270,49.19
20,115,CEAT,EQ,49735,35096,70.57
20,116,CENTENKA,EQ,19228,14087,73.26
20,117,CENTURYTEX,EQ,74943,47179,62.95
20,118,CESC,EQ,133859,66424,49.62
20,119,CGIGARSH,EQ,3875,2948,76.08
20,120,CHAMBLFERT,EQ,481528,357360,74.21
20,121,CHEMPLAST,EQ,400,375,93.75
20,122,CHENNPETRO,EQ,382545,164002,42.87
20,123,CHESLINTEX,EQ,9385,8625,91.90
20,124,CHLORIDIND,EQ,15907,11047,69.45
20,125,CHOLAINV,EQ,15993,11441,71.54
20,126,CIMCOBIRLA,EQ,1102,1096,99.46
20,127,CINEVISTA,EQ,2515,1715,68.19
20,128,CIPL,EQ,27000,22200,82.22
20,129,CIPLA,EQ,60599,41005,67.67
20,130,CLARIANT,EQ,3171,2890,91.14
20,131,CMC,EQ,51113,18239,35.68
20,132,COATESIND,EQ,726,567,78.10
20,133,COCHINREFN,EQ,151037,90679,60.04
20,134,COLGATE,EQ,80303,48973,60.99
20,135,COLORCHEM,EQ,7795,6930,88.90
20,136,COMPUDYNE,EQ,9617,5217,54.25
20,137,COMPUTECH,EQ,33463,26850,80.24
20,138,CONCOR,EQ,4309,2815,65.33
20,139,CONSCOFFEE,EQ,4594,3259,70.94
20,140,COREPARENT,EQ,6438,6428,99.84
20,141,COROMNFERT,EQ,1394,1234,88.52
20,142,CORPBANK,EQ,19096,12941,67.77
20,143,COSMOFILMS,EQ,41656,36488,87.59
20,144,CRESTCOMM,EQ,33078,19946,60.30
20,145,CRISIL,EQ,1491,1481,99.33
20,146,CROMPGREAV,EQ,52144,37987,72.85
20,147,CUB,EQ,20936,15041,71.84
20,148,CYBERTECH,EQ,5575,4675,83.86
20,149,D-LINK,EQ,242684,69592,28.68
20,150,DABUR,EQ,104126,58364,56.05
20,151,DALALSTCOM,EQ,9000,7005,77.83
20,152,DALMIACEM,EQ,1539,1269,82.46
20,153,DCM,EQ,1129,327,28.96
20,154,DCMFINSERV,EQ,1152,1152,100.00
20,155,DCMSRMCONS,EQ,4574,3893,85.11
20,156,DCW,EQ,51047,42762,83.77
20,157,DEEPAKFERT,EQ,41377,37271,90.08
20,158,DENABANK,EQ,273000,170373,62.41
20,159,DEWANHOUS,EQ,1928,1815,94.14
20,160,DGPWINDSOR,EQ,600,400,66.67
20,161,DHAMPURSUG,EQ,70979,39380,55.48
20,162,DHARSUGAR,EQ,1366,1366,100.00
20,163,DIGITALEQP,EQ,10528,6090,57.85
20,164,DIVISLAB,EQ,102781,10786,10.49
20,165,DREDGECORP,EQ,3121,1327,42.52
20,166,DRREDDY,EQ,268385,150335,56.01
20,167,DYNACONS,EQ,1400,700,50.00
20,168,E-SERVEINT,EQ,2375,2205,92.84
20,169,EASTSILK,EQ,4801,4360,90.81
20,170,EASUNREYRL,EQ,1400,1400,100.00
20,171,EICHERLTD,EQ,550,520,94.55
20,172,EICHERMOT,EQ,7297,6672,91.43
20,173,EIDPARRY,EQ,6910,6346,91.84
20,174,EIHOTEL,EQ,6895,6246,90.59
20,175,EIMCOELECO,EQ,250,250,100.00
20,176,ELDERPHARM,EQ,44266,17757,40.11
20,177,ELECTCAST,EQ,7889,6278,79.58
20,178,ELGIEQUIP,EQ,48258,37748,78.22
20,179,ELGITYRE,EQ,1266,811,64.06
20,180,EMERCK,EQ,7530,6225,82.67
20,181,ENGINERSIN,EQ,8710,5615,64.47
20,182,ESABINDIA,EQ,9924,6436,64.85
20,183,ESCORTS,EQ,589466,220147,37.35
20,184,ESSARGUJ,EQ,2765733,724492,26.20
20,185,ESSELPACK,EQ,24226,18261,75.38
20,186,ETCNETWORK,EQ,9690,7867,81.19
20,187,ETERNEVRST,EQ,13625,10395,76.29
20,188,EUROTEXIND,EQ,3660,3660,100.00
20,189,FACT,EQ,4352,3822,87.82
20,190,FAGBEARING,EQ,14031,10771,76.77
20,191,FDC,EQ,750511,196239,26.15
20,192,FEDERALBNK,EQ,121932,51343,42.11
20,193,FINCABLES,EQ,6790,5535,81.52
20,194,FINPIPE,EQ,86037,48981,56.93
20,195,FIRSTLEASE,EQ,18415,16415,89.14
20,196,FLEX,EQ,28114,24799,88.21
20,197,FLEXCHEM,EQ,503,378,75.15
20,198,FLEXENGG,EQ,1054,802,76.09
20,199,FOSECOIND,EQ,767,753,98.17
20,200,FUJITSICIM,EQ,51104,15924,31.16
20,201,GAEL,EQ,72702,44281,60.91
20,202,GAIL,EQ,7961498,1227106,15.41
20,203,GAMMONIND,EQ,116,106,91.38
20,204,GARDENSILK,EQ,21720,17552,80.81
20,205,GEOMETRIC,EQ,78853,18894,23.96
20,206,GEORGWILIM,EQ,4091,3840,93.86
20,207,GESCOCORP,EQ,7083,6822,96.32
20,208,GESHIPPING,EQ,302394,163696,54.13
20,209,GHCL,EQ,56385,41190,73.05
20,210,GICHSGFIN,EQ,15375,13300,86.50
20,211,GINNIFILA,EQ,1860,1560,83.87
20,212,GIPCL,EQ,158440,60693,38.31
20,213,GKW,EQ,31628,24414,77.19
20,214,GLAXO,EQ,19264,12995,67.46
20,215,GLENMARK,EQ,170763,55284,32.37
20,216,GLOBALTELE,EQ,3364824,482618,14.34
20,217,GLOBLTRUST,EQ,453270,234266,51.68
20,218,GMBREW,EQ,401,400,99.75
20,219,GMDCLTD,EQ,24941,10567,42.37
20,220,GNFC,EQ,97792,73900,75.57
20,221,GODAVRFERT,EQ,1250,1250,100.00
20,222,GODFRYPHLP,EQ,306,306,100.00
20,223,GODREJCP,EQ,2755,2313,83.96
20,224,GODREJIND,EQ,8324,4660,55.98
20,225,GOETZEIND,EQ,9186,7630,83.06
20,226,GOLDTECH,EQ,52311,33770,64.56
20,227,GOLDTELE,EQ,19557,18857,96.42
20,228,GOODLASNER,EQ,2467,1838,74.50
20,229,GPELECT,EQ,50,50,100.00
20,230,GRANDFONRY,EQ,42699,31620,74.05
20,231,GRAPHITE,EQ,8839,6571,74.34
20,232,GRASIM,EQ,193213,79250,41.02
20,233,GSFC,EQ,109645,81083,73.95
20,234,GSKCONS,EQ,6026,4217,69.98
20,235,GTCIND,EQ,8430,8030,95.26
20,236,GTNTEXT,EQ,3335,3273,98.14
20,237,GUJALKALI,EQ,62238,49689,79.84
20,238,GUJAMBCEM,EQ,774394,260593,33.65
20,239,GUJFLUORO,EQ,4354,4107,94.33
20,240,GUJRATGAS,EQ,1161,776,66.84
20,241,GUJSIDHCEM,EQ,146417,112432,76.79
20,242,HARRMALAYA,EQ,10164,9594,94.39
20,243,HAVELLS,EQ,28720,7266,25.30
20,244,HCL-INSYS,EQ,20886,15373,73.60
20,245,HCLTECH,EQ,936881,358244,38.24
