Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25032004,076618630,0000742
Trade Date <25-MAR-2004>,Settlement Type <N>,Settlement No <2004058>,Settlement Date <29-MAR-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIDRUGS,EQ,11460,2415,21.07
20,2,AARTIIND,EQ,15280,2096,13.72
20,3,ABANLLOYD,EQ,8758,6260,71.48
20,4,ABB,EQ,32204,20300,63.04
20,5,ABSHEKINDS,EQ,77741,60160,77.39
20,6,ABSIND,EQ,13897,12850,92.47
20,7,ACC,EQ,1288775,214728,16.66
20,8,ADANIEXPO,EQ,33766,1661,4.92
20,9,ADLABSFILM,EQ,42876,31158,72.67
20,10,ADVANIORLI,EQ,17980,15870,88.26
20,11,AEGISCHEM,EQ,860,660,76.74
20,12,AFTEKINFO,EQ,533944,302420,56.64
20,13,AGEEGOLD,EQ,200,200,100.00
20,14,AGRODUTCH,EQ,63091,62100,98.43
20,15,AHMEDELEC,EQ,11721,7018,59.88
20,16,AHMEDFORGE,EQ,4439,3762,84.75
20,17,AJANTPHARM,EQ,22188,15725,70.87
20,18,AKSHOPTFBR,EQ,28436,25116,88.32
20,19,ALBK,EQ,474751,239118,50.37
20,20,ALEMBICLTD,EQ,135319,41866,30.94
20,21,ALFALAVAL,EQ,1286,1191,92.61
20,22,ALOKTEXT,EQ,289492,177632,61.36
20,23,ALPSINDUS,EQ,12129,1024,8.44
20,24,AMARAJABAT,EQ,25739,21290,82.71
20,25,AMBUJARAJN,EQ,141090,118247,83.81
20,26,AMITSPIN,EQ,503,501,99.60
20,27,AMTEKAUTO,EQ,4392,3756,85.52
20,28,AMTREXAPPL,EQ,7951,7875,99.04
20,29,ANDHRABANK,EQ,1821665,997747,54.77
20,30,ANDHRSUGAR,EQ,26450,25000,94.52
20,31,ANTGRAPHIC,EQ,6350,6300,99.21
20,32,APCOTEXLAT,EQ,837,833,99.52
20,33,APIL,EQ,57036,52122,91.38
20,34,APOLLOHOSP,EQ,103101,58074,56.33
20,35,APOLLOTYRE,EQ,12995,5367,41.30
20,36,APTECHT,EQ,117917,58373,49.50
20,37,ARCHIES,EQ,4761,3916,82.25
20,38,ARHAMFISCL,EQ,19496,16549,84.88
20,39,ARL,EQ,1741108,1299981,74.66
20,40,ARVINDMILL,EQ,1562865,1029192,65.85
20,41,ASAHIINDIA,EQ,36953,24450,66.17
20,42,ASAL,EQ,8450,2050,24.26
20,43,ASHAPURMIN,EQ,913,663,72.62
20,44,ASHIMASYN,EQ,4905,3145,64.12
20,45,ASHKLEYFIN,EQ,2932,2563,87.41
20,46,ASHOKLEY,EQ,136089,68386,50.25
20,47,ASIANELEC,EQ,18879,13727,72.71
20,48,ASIANHOTEL,EQ,2087,1982,94.97
20,49,ASIANPAINT,EQ,6415,4175,65.08
20,50,ASTRAIDL,EQ,1131,254,22.46
20,51,ATCOIND,EQ,17371,12908,74.31
20,52,ATFL,EQ,10926,9974,91.29
20,53,ATLASCYCLE,EQ,4080,3830,93.87
20,54,ATNINT,EQ,145525,113650,78.10
20,55,ATULPROD,EQ,31942,19525,61.13
20,56,AUROPHARMA,EQ,75212,28609,38.04
20,57,AUTOAXLES,EQ,1289,1231,95.50
20,58,AVENTIS,EQ,8183,7537,92.11
20,59,AZTEC,EQ,38268,19873,51.93
20,60,BAGFILMS,EQ,74170,69489,93.69
20,61,BAJAJAUTO,EQ,193755,130560,67.38
20,62,BAJAJHIND,EQ,2387,2291,95.98
20,63,BAJAJPLAST,EQ,200,200,100.00
20,64,BAJAUTOFIN,EQ,14737,14100,95.68
20,65,BALAJITELE,EQ,73636,33773,45.86
20,66,BALASPONGE,EQ,67511,61860,91.63
20,67,BALMLAWRIE,EQ,22607,22456,99.33
20,68,BALRAMCHIN,EQ,10885,9352,85.92
20,69,BANARISUG,EQ,535,535,100.00
20,70,BANKBARODA,EQ,2640227,517920,19.62
20,71,BANKINDIA,EQ,2560038,1353445,52.87
20,72,BANKPUNJAB,EQ,331104,162813,49.17
20,73,BANKRAJAS,EQ,120452,78104,64.84
20,74,BASF,EQ,39350,33863,86.06
20,75,BATAINDIA,EQ,60449,33118,54.79
20,76,BBTC,EQ,935,935,100.00
20,77,BEL,EQ,73706,61753,83.78
20,78,BELCERAMIC,EQ,9588,7376,76.93
20,79,BEML,EQ,106944,44872,41.96
20,80,BERGEPAINT,EQ,35890,19566,54.52
20,81,BFLSOFTWAR,EQ,15167,12505,82.45
20,82,BGFL,EQ,4045,3791,93.72
20,83,BHARATFORG,EQ,3667,2796,76.25
20,84,BHARATGEAR,EQ,5613,2578,45.93
20,85,BHARATRAS,EQ,1616,1506,93.19
20,86,BHARTI,EQ,3130194,1833474,58.57
20,87,BHEL,EQ,609576,275578,45.21
20,88,BHUSANSTL,EQ,20328,17629,86.72
20,89,BIL,EQ,1900,1530,80.53
20,90,BILT,EQ,160189,128527,80.23
20,91,BINDALAGRO,EQ,109522,109419,99.91
20,92,BIRLA3M,EQ,1125,1074,95.47
20,93,BIRLAERIC,EQ,15569,12644,81.21
20,94,BIRLAJUTE,EQ,217806,170460,78.26
20,95,BLBLIMITED,EQ,563,563,100.00
20,96,BLUEDART,EQ,30798,26945,87.49
20,97,BLUESTARCO,EQ,5688,5488,96.48
20,98,BLUESTINFO,EQ,4242,2942,69.35
20,99,BOMDYEING,EQ,308716,119702,38.77
20,100,BONGAIREFN,EQ,623444,263058,42.19
20,101,BPCL,EQ,1175679,380996,32.41
20,102,BPL,EQ,37046,30867,83.32
20,103,BPLENGG,EQ,3800,3300,86.84
20,104,BPLREFRIG,EQ,2100,2100,100.00
20,105,BPLSANTECH,EQ,502,500,99.60
20,106,BPLSANUTIL,EQ,254,152,59.84
20,107,BRITANNIA,EQ,5245,2951,56.26
20,108,BSELINFRA,EQ,5807,4428,76.25
20,109,BSL,EQ,290,290,100.00
20,110,CADILAHC,EQ,20500,8705,42.46
20,111,CALSOFT,EQ,405,401,99.01
20,112,CANBK,EQ,2254668,477621,21.18
20,113,CANFINHOME,EQ,12812,11654,90.96
20,114,CARBORUNIV,EQ,15680,15630,99.68
20,115,CEAT,EQ,90860,77411,85.20
20,116,CENBNK,EQ,1137727,782978,68.82
20,117,CENTENKA,EQ,20840,13953,66.95
20,118,CENTURYTEX,EQ,196197,99619,50.77
20,119,CESC,EQ,113235,48721,43.03
20,120,CGIGARSH,EQ,3607,2910,80.68
20,121,CHAMBLFERT,EQ,479416,405055,84.49
20,122,CHEMPLAST,EQ,2961,1996,67.41
20,123,CHENNPETRO,EQ,509785,161891,31.76
20,124,CHESLINTEX,EQ,5808,5608,96.56
20,125,CHLORIDIND,EQ,6433,4737,73.64
20,126,CHOLAINV,EQ,103430,55293,53.46
20,127,CIMCOBIRLA,EQ,2501,2500,99.96
20,128,CINEVISTA,EQ,8014,6527,81.44
20,129,CIPL,EQ,31152,21800,69.98
20,130,CIPLA,EQ,155769,88103,56.56
20,131,CLARIANT,EQ,2522,2345,92.98
20,132,CMC,EQ,70001,60377,86.25
20,133,COATESIND,EQ,5631,3020,53.63
20,134,COCHINREFN,EQ,129350,36360,28.11
20,135,COLGATE,EQ,52788,34036,64.48
20,136,COLORCHEM,EQ,2525,2525,100.00
20,137,COMPUDYNE,EQ,10437,10137,97.13
20,138,COMPUTECH,EQ,49000,37750,77.04
20,139,CONCOR,EQ,2454,1834,74.74
20,140,CONSCOFFEE,EQ,1866,1347,72.19
20,141,COREPARENT,EQ,5270,5170,98.10
