Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30042004,073051191,0000743
Trade Date <30-APR-2004>,Settlement Type <N>,Settlement No <2004081>,Settlement Date <05-MAY-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIDRUGS,EQ,43914,11637,26.50
20,2,AARTIIND,EQ,18580,3919,21.09
20,3,ABANLLOYD,EQ,62314,41937,67.30
20,4,ABB,EQ,8861,6061,68.40
20,5,ABSHEKINDS,EQ,51273,39763,77.55
20,6,ABSIND,EQ,13222,11946,90.35
20,7,ACC,EQ,3694642,386603,10.46
20,8,ADANIEXPO,EQ,50824,1230,2.42
20,9,ADLABSFILM,EQ,37001,21773,58.84
20,10,ADVANIORLI,EQ,4730,4480,94.71
20,11,AEGISCHEM,EQ,1150,1150,100.00
20,12,AFTEKINFO,EQ,285826,139172,48.69
20,13,AGEEGOLD,EQ,1000,650,65.00
20,14,AGRODUTCH,EQ,19270,15825,82.12
20,15,AHMEDELEC,EQ,14311,7500,52.41
20,16,AHMEDFORGE,EQ,1750,1750,100.00
20,17,AJANTPHARM,EQ,109195,37426,34.27
20,18,AKSHOPTFBR,EQ,17771,11406,64.18
20,19,ALBK,EQ,1518374,640107,42.16
20,20,ALEMBICLTD,EQ,12962,7126,54.98
20,21,ALFALAVAL,EQ,1383,1104,79.83
20,22,ALOKTEXT,EQ,214551,126221,58.83
20,23,ALPSINDUS,EQ,13670,5820,42.57
20,24,AMARAJABAT,EQ,10111,7400,73.19
20,25,AMBUJARAJN,EQ,339600,201533,59.34
20,26,AMTEKAUTO,EQ,262682,131791,50.17
20,27,AMTREXAPPL,EQ,31400,30925,98.49
20,28,ANDHRABANK,EQ,6512662,1867553,28.68
20,29,ANDHRSUGAR,EQ,437023,145013,33.18
20,30,ANTGRAPHIC,EQ,1267,767,60.54
20,31,APCOTEXLAT,EQ,350,350,100.00
20,32,APIL,EQ,16231,9965,61.39
20,33,APOLLOHOSP,EQ,136325,49794,36.53
20,34,APOLLOTYRE,EQ,19515,13698,70.19
20,35,APTECHT,EQ,229161,116731,50.94
20,36,ARCHIES,EQ,7589,5770,76.03
20,37,ARHAMFISCL,EQ,30811,25285,82.06
20,38,ARL,EQ,666874,560275,84.02
20,39,ARVINDMILL,EQ,2042167,785172,38.45
20,40,ASAHIINDIA,EQ,9457,7454,78.82
20,41,ASAL,EQ,700,643,91.86
20,42,ASHAPURMIN,EQ,4034,3034,75.21
20,43,ASHIMASYN,EQ,20052,18001,89.77
20,44,ASHKLEYFIN,EQ,59201,29394,49.65
20,45,ASHOKLEY,EQ,52596,34896,66.35
20,46,ASIANELEC,EQ,23654,15125,63.94
20,47,ASIANHOTEL,EQ,888,743,83.67
20,48,ASIANPAINT,EQ,13238,9445,71.35
20,49,ASTRAIDL,EQ,551,417,75.68
20,50,ATCOM,EQ,3310,2455,74.17
20,51,ATFL,EQ,4575,4475,97.81
20,52,ATLASCYCLE,EQ,1310,1100,83.97
20,53,ATNINT,EQ,20253,19251,95.05
20,54,ATULPROD,EQ,4577,4073,88.99
20,55,AUROPHARMA,EQ,132983,93039,69.96
20,56,AUTOAXLES,EQ,2005,1816,90.57
20,57,AVENTIS,EQ,6007,4350,72.42
20,58,AZTEC,EQ,50430,39305,77.94
20,59,BAGFILMS,EQ,81890,61291,74.85
20,60,BAGYAMETAL,EQ,800,800,100.00
20,61,BAJAJAUTO,EQ,81034,54654,67.45
20,62,BAJAJPLAST,EQ,1150,1150,100.00
20,63,BAJAUTOFIN,EQ,3686,3282,89.04
20,64,BALAJITELE,EQ,152959,140719,92.00
20,65,BALASPONGE,EQ,53914,42914,79.60
20,66,BALMLAWRIE,EQ,2359,2214,93.85
20,67,BALRAMCHIN,EQ,108951,54485,50.01
20,68,BANARISUG,EQ,11331,7479,66.00
20,69,BANKBARODA,EQ,972336,229800,23.63
20,70,BANKINDIA,EQ,1454132,346484,23.83
20,71,BANKPUNJAB,EQ,411433,166379,40.44
20,72,BANKRAJAS,EQ,340254,186368,54.77
20,73,BASF,EQ,13135,10548,80.30
20,74,BATAINDIA,EQ,187633,68422,36.47
20,75,BBTC,EQ,2250,1655,73.56
20,76,BEL,EQ,65295,37503,57.44
20,77,BELCERAMIC,EQ,12553,9978,79.49
20,78,BEML,EQ,133809,36189,27.05
20,79,BERGEPAINT,EQ,12765,6302,49.37
20,80,BFLSOFTWAR,EQ,36286,26300,72.48
20,81,BGFL,EQ,3646,3246,89.03
20,82,BHARATFORG,EQ,22969,17075,74.34
20,83,BHARATGEAR,EQ,740,688,92.97
20,84,BHARTI,EQ,3266021,1050148,32.15
20,85,BHEL,EQ,554365,190285,34.32
20,86,BHUSANSTL,EQ,115799,72554,62.66
20,87,BIL,EQ,2998,2400,80.05
20,88,BILT,EQ,126955,69362,54.64
20,89,BINDALAGRO,EQ,120699,105524,87.43
20,90,BIOCON,EQ,904319,144415,15.97
20,91,BIRLA3M,EQ,1329,495,37.25
20,92,BIRLAERIC,EQ,17911,10855,60.61
20,93,BIRLAJUTE,EQ,671861,204864,30.49
20,94,BLBLIMITED,EQ,1010,1010,100.00
20,95,BLUEDART,EQ,32145,30804,95.83
20,96,BLUESTARCO,EQ,1060,837,78.96
20,97,BLUESTINFO,EQ,2900,2426,83.66
20,98,BOMDYEING,EQ,74774,55729,74.53
20,99,BONGAIREFN,EQ,1266637,443882,35.04
20,100,BPCL,EQ,652543,213434,32.71
20,101,BPL,EQ,15188,11909,78.41
20,102,BPLENGG,EQ,10740,6900,64.25
20,103,BPLREFRIG,EQ,10403,10000,96.13
20,104,BPLSANTECH,EQ,1308,1308,100.00
20,105,BPLSANUTIL,EQ,2,1,50.00
20,106,BRITANNIA,EQ,7019,4910,69.95
20,107,BSELINFRA,EQ,909,600,66.01
20,108,BSL,EQ,1824,1824,100.00
20,109,CADILAHC,EQ,26181,10260,39.19
20,110,CANBK,EQ,5068307,1642288,32.40
20,111,CANFINHOME,EQ,6599,5901,89.42
20,112,CARBORUNIV,EQ,534,534,100.00
20,113,CEAT,EQ,15677,10486,66.89
20,114,CENBNK,EQ,2072046,1404272,67.77
20,115,CENTENKA,EQ,32659,16013,49.03
20,116,CENTURYTEX,EQ,410286,226996,55.33
20,117,CESC,EQ,258075,95252,36.91
20,118,CGIGARSH,EQ,1410,1110,78.72
20,119,CHAMBLFERT,EQ,1662122,889619,53.52
20,120,CHEMPLAST,EQ,1658,1504,90.71
20,121,CHENNPETRO,EQ,367306,107539,29.28
20,122,CHESLINTEX,EQ,2000,1900,95.00
20,123,CHLORIDIND,EQ,15553,12365,79.50
20,124,CHOLAINV,EQ,18016,16056,89.12
20,125,CIMCOBIRLA,EQ,4228,4226,99.95
20,126,CINEVISTA,EQ,4675,4400,94.12
20,127,CIPL,EQ,27734,19970,72.01
20,128,CIPLA,EQ,123220,78810,63.96
20,129,CLARIANT,EQ,1208,639,52.90
20,130,CMC,EQ,5387,4103,76.16
20,131,COATESIND,EQ,7798,4622,59.27
20,132,COCHINREFN,EQ,316856,101286,31.97
20,133,COLGATE,EQ,38804,30896,79.62
20,134,COLORCHEM,EQ,1640,1540,93.90
20,135,COMPUDYNE,EQ,2479,2479,100.00
20,136,COMPUTECH,EQ,10943,9593,87.66
20,137,CONCOR,EQ,14460,13618,94.18
20,138,CONSCOFFEE,EQ,2376,2303,96.93
20,139,COREPARENT,EQ,8775,7550,86.04
20,140,COROMNFERT,EQ,14404,10696,74.26
20,141,CORPBANK,EQ,227768,90175,39.59
20,142,COSMOFILMS,EQ,10380,8163,78.64
20,143,CREATIVEYE,EQ,4941,3210,64.97
20,144,CRESTCOMM,EQ,68187,44875,65.81
20,145,CRISIL,EQ,39,35,89.74
20,146,CROMPGREAV,EQ,181578,91049,50.14
20,147,CUB,EQ,122363,87532,71.53
20,148,CYBERTECH,EQ,1702,1702,100.00
20,149,D-LINK,EQ,13629,7782,57.10
20,150,DABUR,EQ,522181,196051,37.54
20,151,DALMIACEM,EQ,1034,959,92.75
20,152,DCM,EQ,427,427,100.00
20,153,DCMFINSERV,EQ,500,500,100.00
20,154,DCMSRMCONS,EQ,18558,14005,75.47
20,155,DCW,EQ,30463,26376,86.58
20,156,DEEPAKFERT,EQ,89847,48379,53.85
20,157,DENABANK,EQ,833029,432835,51.96
20,158,DEWANHOUS,EQ,293,200,68.26
20,159,DHAMPURSUG,EQ,1054121,407031,38.61
20,160,DHANBANK,EQ,15445,14255,92.30
20,161,DHARSUGAR,EQ,35562,30356,85.36
20,162,DISHMAN,EQ,767598,149557,19.48
20,163,DIVISLAB,EQ,11818,5545,46.92
20,164,DREDGECORP,EQ,18707,14328,76.59
20,165,DRREDDY,EQ,356803,242396,67.94
20,166,DUNCANSIND,EQ,30460,18190,59.72
20,167,DYNACONS,EQ,3501,3500,99.97
20,168,E-SERVEINT,EQ,176623,175951,99.62
20,169,EASTSILK,EQ,2721,2271,83.46
20,170,EASUNREYRL,EQ,450,378,84.00
20,171,EICHERLTD,EQ,4119,3518,85.41
20,172,EICHERMOT,EQ,18222,14238,78.14
20,173,EIDPARRY,EQ,31652,23425,74.01
20,174,EIHOTEL,EQ,1087,852,78.38
20,175,EIMCOELECO,EQ,350,349,99.71
20,176,ELDERPHARM,EQ,91829,36599,39.86
20,177,ELECTCAST,EQ,5908,1721,29.13
20,178,ELGIEQUIP,EQ,37294,24029,64.43
20,179,ELGITYRE,EQ,5395,3795,70.34
20,180,EMERCK,EQ,5885,5505,93.54
20,181,ENGINERSIN,EQ,5607,3695,65.90
20,182,ESABINDIA,EQ,36478,20930,57.38
20,183,ESCORTS,EQ,285034,64787,22.73
20,184,ESSARGUJ,EQ,1326835,603874,45.51
20,185,ESSAROIL,EQ,432550,236353,54.64
20,186,ESSELPACK,EQ,28887,25817,89.37
20,187,ETCNETWORK,EQ,20667,16297,78.86
20,188,ETERNEVRST,EQ,9470,7110,75.08
20,189,EUROTEXIND,EQ,16645,16095,96.70
20,190,FACT,EQ,5421,4339,80.04
20,191,FAGBEARING,EQ,24367,20809,85.40
20,192,FDC,EQ,211892,88226,41.64
20,193,FEDERALBNK,EQ,181570,44208,24.35
20,194,FINCABLES,EQ,7787,5922,76.05
20,195,FINPIPE,EQ,73104,45466,62.19
20,196,FIRSTLEASE,EQ,12805,12355,96.49
20,197,FLEX,EQ,21119,15462,73.21
20,198,FLEXCHEM,EQ,847,550,64.94
20,199,FLEXENGG,EQ,8242,7040,85.42
20,200,FOSECOIND,EQ,1101,1001,90.92
20,201,FOURSOFT,EQ,44015,27057,61.47
20,202,GAEL,EQ,69664,33190,47.64
20,203,GAIL,EQ,4223746,941121,22.28
20,204,GAMMONIND,EQ,140,140,100.00
20,205,GARDENSILK,EQ,62861,53669,85.38
20,206,GENESYS,EQ,235,235,100.00
20,207,GEOMETRIC,EQ,63856,22809,35.72
20,208,GEORGWILIM,EQ,67194,45088,67.10
20,209,GESCOCORP,EQ,7816,6599,84.43
20,210,GESHIPPING,EQ,2313909,676579,29.24
20,211,GHCL,EQ,39832,26737,67.12
20,212,GICHSGFIN,EQ,66430,62349,93.86
20,213,GINNIFILA,EQ,13910,11080,79.65
20,214,GIPCL,EQ,59656,30116,50.48
20,215,GKW,EQ,11288,9778,86.62
20,216,GLAXO,EQ,38452,30271,78.72
20,217,GLENMARK,EQ,35426,15087,42.59
20,218,GLFL,EQ,625,625,100.00
20,219,GLOBALTELE,EQ,180210,64425,35.75
20,220,GLOBLTRUST,EQ,749630,386852,51.61
20,221,GMDCLTD,EQ,82236,46328,56.34
20,222,GNFC,EQ,154019,89054,57.82
20,223,GODAVRFERT,EQ,2803,2500,89.19
20,224,GODFRYPHLP,EQ,460,410,89.13
20,225,GODREJCP,EQ,9826,9364,95.30
20,226,GODREJIND,EQ,7570,7320,96.70
20,227,GOETZEIND,EQ,23953,20540,85.75
20,228,GOLDTECH,EQ,23272,13192,56.69
20,229,GOLDTELE,EQ,3940,1270,32.23
20,230,GOODLASNER,EQ,10718,5996,55.94
20,231,GRANDFONRY,EQ,203,203,100.00
20,232,GRAPHITE,EQ,7188,6901,96.01
20,233,GRASIM,EQ,221751,62751,28.30
20,234,GSFC,EQ,164712,82257,49.94
20,235,GSKCONS,EQ,5036,3811,75.68
20,236,GTCIND,EQ,4461,4349,97.49
20,237,GTNTEXT,EQ,6484,5808,89.57
20,238,GUJALKALI,EQ,63437,34713,54.72
20,239,GUJAMBCEM,EQ,1252431,622624,49.71
20,240,GUJFLUORO,EQ,520,370,71.15
20,241,GUJRATGAS,EQ,965,689,71.40
20,242,GUJSIDHCEM,EQ,354487,267194,75.37
20,243,HARRMALAYA,EQ,13781,10090,73.22
20,244,HARYANSHET,EQ,1205,1205,100.00
20,245,HAVELLS,EQ,13106,1662,12.68
20,246,HBSTOCK,EQ,1112,862,77.52
20,247,HCL-INSYS,EQ,15895,6475,40.74
20,248,HCLTECH,EQ,334657,117471,35.10
20,249,HDFC,EQ,220420,143771,65.23
20,250,HDFCBANK,EQ,117795,75066,63.73
20,251,HEG,EQ,15216,10307,67.74
20,252,HERDILCHEM,EQ,700,700,100.00
20,253,HERITGFOOD,EQ,7226,6176,85.47
20,254,HEROHONDA,EQ,267576,125271,46.82
20,255,HEXAWARE,EQ,64273,8036,12.50
20,256,HIKAL,EQ,2250,1250,55.56
20,257,HIMACHLFUT,EQ,710622,451931,63.60
20,258,HIMATSEIDE,EQ,2515,2480,98.61
20,259,HINDALC0,EQ,78859,29913,37.93
20,260,HINDCOMPOS,EQ,308,307,99.68
20,261,HINDCONS,EQ,16414,9815,59.80
20,262,HINDDORROL,EQ,175,175,100.00
20,263,HINDLEVCHM,EQ,2386,1995,83.61
20,264,HINDLEVER,EQ,1740856,1041800,59.84
20,265,HINDLEVER,N1,45630,45630,100.00
20,266,HINDMOTOR,EQ,238281,131990,55.39
20,267,HINDOILEXP,EQ,69265,36389,52.54
20,268,HINDPETRO,EQ,1172247,402189,34.31
20,269,HINDSANIT,EQ,18658,18307,98.12
20,270,HINDSPG,EQ,2400,1000,41.67
20,271,HITECHGEAR,EQ,310,310,100.00
20,272,HMT,EQ,2557,1935,75.67
20,273,HOCL,EQ,44975,22599,50.25
20,274,HOTELEELA,EQ,108800,62132,57.11
20,275,HTMT,EQ,51851,14911,28.76
20,276,HUGHESSOFT,EQ,39629,9419,23.77
20,277,HYDRBADIND,EQ,350,200,57.14
20,278,I-FLEX,EQ,174705,105294,60.27
20,279,IBP,EQ,68567,34181,49.85
20,280,ICI,EQ,3199,2462,76.96
20,281,ICICIBANK,E1,56446,34405,60.95
20,282,ICICIBANK,EQ,2521774,1136698,45.08
20,283,IDBI,EQ,1833460,933075,50.89
20,284,IDBIBANK,EQ,119970,70905,59.10
20,285,IFBAGRO,EQ,8219,4199,51.09
20,286,IFBIND,EQ,5658,4907,86.73
20,287,IFCI,EQ,1471264,769489,52.30
20,288,IFGLREFRAC,EQ,7905,7670,97.03
20,289,IGFLFERT,EQ,48619,39589,81.43
20,290,IGL,EQ,466606,117435,25.17
20,291,IGS,EQ,14604,4932,33.77
20,292,INDHOTEL,EQ,10185,7345,72.12
20,293,INDIACEM,EQ,1695808,399576,23.56
20,294,INDIAFOILS,EQ,3041,2841,93.42
20,295,INDIANCARD,EQ,100,100,100.00
20,296,INDIANHUME,EQ,1,0,0.00
