Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29062004,060094742,0000750
Trade Date <29-JUN-2004>,Settlement Type <N>,Settlement No <2004123>,Settlement Date <02-JUL-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3MINDIA,EQ,1164,1045,89.78
20,2,AARTIDRUGS,EQ,57845,4205,7.27
20,3,AARTIIND,EQ,72176,7560,10.47
20,4,ABANLLOYD,EQ,21660,14441,66.67
20,5,ABB,EQ,15789,6449,40.84
20,6,ABSHEKINDS,EQ,57440,44184,76.92
20,7,ABSIND,EQ,2164,1803,83.32
20,8,ACC,EQ,2523573,327152,12.96
20,9,ADANIEXPO,EQ,77775,986,1.27
20,10,ADLABSFILM,EQ,34414,17904,52.03
20,11,ADVANIORLI,EQ,7555,6576,87.04
20,12,AEGISCHEM,EQ,500,400,80.00
20,13,AFTEKINFO,EQ,157706,61872,39.23
20,14,AGRODUTCH,EQ,7320,6370,87.02
20,15,AHMEDELEC,EQ,5003,3124,62.44
20,16,AHMEDFORGE,EQ,4711,3359,71.30
20,17,AJANTPHARM,EQ,95790,36966,38.59
20,18,AKSHOPTFBR,EQ,1510,1110,73.51
20,19,ALBK,EQ,912130,249550,27.36
20,20,ALEMBICLTD,EQ,37563,14022,37.33
20,21,ALFALAVAL,EQ,1951,1776,91.03
20,22,ALOKTEXT,EQ,968781,266603,27.52
20,23,ALPSINDUS,EQ,26926,9800,36.40
20,24,AMARAJABAT,EQ,8515,7256,85.21
20,25,AMBICAAGAR,EQ,1600,1600,100.00
20,26,AMITSPIN,EQ,1000,900,90.00
20,27,AMTEKAUTO,EQ,7262,4729,65.12
20,28,AMTREXAPPL,EQ,1375,875,63.64
20,29,ANDHRABANK,EQ,3056872,496179,16.23
20,30,ANDHRSUGAR,EQ,78445,66425,84.68
20,31,ANTGRAPHIC,EQ,2154,2149,99.77
20,32,APCOTEXLAT,EQ,400,400,100.00
20,33,APIL,EQ,72493,40401,55.73
20,34,APOLLOHOSP,EQ,108618,65953,60.72
20,35,APOLLOTYRE,EQ,34606,22435,64.83
20,36,APPAPER,EQ,580,580,100.00
20,37,APTECHT,EQ,390040,126979,32.56
20,38,ARCHIES,EQ,3178,2352,74.01
20,39,ARHAMFISCL,EQ,11450,7500,65.50
20,40,ARL,EQ,225106,149827,66.56
20,41,ARSBONDS,N1,180501,178125,98.68
20,42,ARVINDMILL,EQ,9964261,1110812,11.15
20,43,ASAHIINDIA,EQ,38113,32443,85.12
20,44,ASAL,EQ,1586,518,32.66
20,45,ASHAPURMIN,EQ,310,310,100.00
20,46,ASHIMASYN,EQ,4703,3505,74.53
20,47,ASHKLEYFIN,EQ,40222,27020,67.18
20,48,ASIANELEC,EQ,12452,6910,55.49
20,49,ASIANHOTEL,EQ,3256,2372,72.85
20,50,ASIANPAINT,EQ,87493,80456,91.96
20,51,ASTRAIDL,EQ,52,52,100.00
20,52,ATCOM,EQ,12871,10370,80.57
20,53,ATFL,EQ,2300,1500,65.22
20,54,ATLASCYCLE,EQ,1374,1337,97.31
20,55,ATNINT,EQ,15401,13200,85.71
20,56,ATULPROD,EQ,4079,3301,80.93
20,57,AUROPHARMA,EQ,146057,88785,60.79
20,58,AUTOAXLES,EQ,206,204,99.03
20,59,AVENTIS,EQ,3555,3413,96.01
20,60,AZTEC,EQ,13620,9547,70.10
20,61,BAGFILMS,EQ,11164,10251,91.82
20,62,BAJAJAUTO,EQ,150636,101695,67.51
20,63,BAJAJHIND,EQ,70921,41041,57.87
20,64,BAJAJPLAST,EQ,1,1,100.00
20,65,BAJAUTOFIN,EQ,2872,2757,96.00
20,66,BALAJITELE,EQ,297116,173935,58.54
20,67,BALASPONGE,EQ,41550,28382,68.31
20,68,BALMLAWRIE,EQ,1218,1043,85.63
20,69,BALRAMCHIN,EQ,33492,12240,36.55
20,70,BANARISUG,EQ,5815,3886,66.83
20,71,BANKBARODA,EQ,3109425,793827,25.53
20,72,BANKINDIA,EQ,4291734,1483103,34.56
20,73,BANKPUNJAB,EQ,342301,190932,55.78
20,74,BANKRAJAS,EQ,335329,146862,43.80
20,75,BASF,EQ,7848,5401,68.82
20,76,BATAINDIA,EQ,56413,21226,37.63
20,77,BBTC,EQ,1600,1000,62.50
20,78,BEL,EQ,22225,10122,45.54
20,79,BELCERAMIC,EQ,13500,7977,59.09
20,80,BEML,EQ,180709,59598,32.98
20,81,BERGEPAINT,EQ,11688,7896,67.56
20,82,BGFL,EQ,8335,8057,96.66
20,83,BHARATFORG,EQ,15178,12956,85.36
20,84,BHARATGEAR,EQ,11386,9244,81.19
20,85,BHARTI,EQ,2096261,626413,29.88
20,86,BHEL,EQ,827128,118061,14.27
20,87,BHUSANSTL,EQ,59352,37516,63.21
20,88,BIL,EQ,3515,2415,68.71
20,89,BILT,EQ,169987,62188,36.58
20,90,BINDALAGRO,EQ,24114,23114,95.85
20,91,BIOCON,EQ,877300,109944,12.53
20,92,BIRLAERIC,EQ,7328,5379,73.40
20,93,BIRLAJUTE,EQ,333486,79071,23.71
20,94,BLUEDART,EQ,11216,5914,52.73
20,95,BLUESTARCO,EQ,2628,2438,92.77
20,96,BLUESTINFO,EQ,3324,2890,86.94
20,97,BOMDYEING,EQ,99040,31836,32.14
20,98,BONGAIREFN,EQ,929382,311537,33.52
20,99,BPCL,EQ,995886,326342,32.77
20,100,BPL,EQ,38128,23560,61.79
20,101,BPLENGG,EQ,1800,1800,100.00
20,102,BPLREFRIG,EQ,301,301,100.00
20,103,BPLSANTECH,EQ,3602,3177,88.20
20,104,BPLSANUTIL,EQ,276,175,63.41
20,105,BRITANNIA,EQ,5001,1397,27.93
20,106,BSELINFRA,EQ,750,500,66.67
20,107,CADILAHC,EQ,13708,8082,58.96
20,108,CANBK,EQ,4636137,331286,7.15
20,109,CANFINHOME,EQ,15241,8690,57.02
20,110,CARBORUNIV,EQ,2013,1775,88.18
20,111,CCL,EQ,4022,1252,31.13
20,112,CEAT,EQ,18944,10065,53.13
20,113,CENBNK,EQ,778849,378010,48.53
20,114,CENTENKA,EQ,35392,20384,57.59
20,115,CENTURYTEX,EQ,459902,120846,26.28
20,116,CESC,EQ,101999,29832,29.25
20,117,CGIGARSH,EQ,1131,1041,92.04
20,118,CHAMBLFERT,EQ,620695,433801,69.89
20,119,CHEMPLAST,EQ,40819,24206,59.30
20,120,CHENNPETRO,EQ,692576,122111,17.63
20,121,CHESLINTEX,EQ,10008,7743,77.37
20,122,CHLORIDIND,EQ,13120,6432,49.02
20,123,CHOLAINV,EQ,6756,6270,92.81
20,124,CINEVISTA,EQ,7311,5367,73.41
20,125,CIPL,EQ,5419,5392,99.50
20,126,CIPLA,EQ,477255,195147,40.89
20,127,CLARIANT,EQ,730,730,100.00
20,128,CLASSIC,EQ,1861,1634,87.80
20,129,CMC,EQ,26102,18812,72.07
20,130,COATESIND,EQ,50,50,100.00
20,131,COCHINREFN,EQ,333609,100320,30.07
20,132,COLGATE,EQ,109343,36422,33.31
20,133,COLORCHEM,EQ,574,500,87.11
20,134,COMPUDYNE,EQ,750,650,86.67
20,135,COMPUTECH,EQ,20870,12670,60.71
20,136,CONCOR,EQ,10834,9769,90.17
20,137,CONSCOFFEE,EQ,2593,2320,89.47
20,138,COREPARENT,EQ,3366,2690,79.92
20,139,COROMNFERT,EQ,7075,4943,69.87
20,140,CORPBANK,EQ,147337,112931,76.65
20,141,COSMOFILMS,EQ,24658,12073,48.96
20,142,CREATIVEYE,EQ,1983,1503,75.79
20,143,CRESTCOMM,EQ,12852,10932,85.06
20,144,CRISIL,EQ,101,101,100.00
20,145,CROMPGREAV,EQ,19677,12498,63.52
20,146,CUB,EQ,45411,31550,69.48
20,147,CYBERTECH,EQ,1947,1897,97.43
20,148,D-LINK,EQ,69626,16352,23.49
20,149,DABUR,EQ,214932,71982,33.49
20,150,DALMIACEM,EQ,356,255,71.63
20,151,DATATECH,EQ,39659,22646,57.10
20,152,DCM,EQ,300,300,100.00
20,153,DCMFINSERV,EQ,6001,5000,83.32
20,154,DCMSRMCONS,EQ,368,271,73.64
20,155,DCW,EQ,28471,26233,92.14
20,156,DEEPAKFERT,EQ,148159,126810,85.59
20,157,DENABANK,EQ,249264,102090,40.96
20,158,DEWANHOUS,EQ,2762,750,27.15
20,159,DGPWINDSOR,EQ,3768,3634,96.44
20,160,DHAMPURSUG,EQ,140608,66446,47.26
20,161,DHANBANK,EQ,4370,3800,86.96
20,162,DHARSUGAR,EQ,1900,1900,100.00
20,163,DISHMAN,EQ,25789,8312,32.23
20,164,DIVISLAB,EQ,64237,39876,62.08
20,165,DREDGECORP,EQ,4145,3312,79.90
20,166,DRREDDY,EQ,113740,48885,42.98
20,167,DUNCANSIND,EQ,2577,2561,99.38
20,168,DYNACONS,EQ,9500,9500,100.00
20,169,E-SERVEINT,EQ,2677,1846,68.96
20,170,EASTSILK,EQ,1801,1300,72.18
20,171,EASUNREYRL,EQ,944,741,78.50
20,172,EICHERLTD,EQ,165,115,69.70
20,173,EICHERMOT,EQ,3662,2586,70.62
20,174,EIDPARRY,EQ,12717,11206,88.12
20,175,EIHOTEL,EQ,2149,1279,59.52
20,176,EIMCOELECO,EQ,348,348,100.00
20,177,ELDERPHARM,EQ,421094,378565,89.90
20,178,ELECTCAST,EQ,3485,2505,71.88
20,179,ELGIEQUIP,EQ,13834,10705,77.38
20,180,ELGITYRE,EQ,250,250,100.00
20,181,EMERCK,EQ,21297,9494,44.58
20,182,ENGINERSIN,EQ,33760,19447,57.60
20,183,ESABINDIA,EQ,7637,6118,80.11
20,184,ESCORTS,EQ,106679,43594,40.86
20,185,ESSARGUJ,EQ,1848005,396323,21.45
20,186,ESSAROIL,EQ,485843,203252,41.83
