Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30062004,069519775,0000751
Trade Date <30-JUN-2004>,Settlement Type <D>,Settlement No <2004124>,Settlement Date <02-JUL-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,130,130,100.00
Trade Date <30-JUN-2004>,Settlement Type <N>,Settlement No <2004124>,Settlement Date <02-JUL-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,3MINDIA,EQ,1369,815,59.53
20,3,AARTIDRUGS,EQ,28199,5889,20.88
20,4,AARTIIND,EQ,44981,1574,3.50
20,5,ABANLLOYD,EQ,56294,27176,48.28
20,6,ABB,EQ,23187,12550,54.13
20,7,ABSHEKINDS,EQ,51926,38258,73.68
20,8,ABSIND,EQ,3752,3000,79.96
20,9,ACC,EQ,1824718,358666,19.66
20,10,ADANIEXPO,EQ,75343,941,1.25
20,11,ADLABSFILM,EQ,12832,6073,47.33
20,12,ADVANIORLI,EQ,6775,6625,97.79
20,13,AEGISCHEM,EQ,1100,400,36.36
20,14,AFTEKINFO,EQ,89666,44832,50.00
20,15,AGRODUTCH,EQ,12096,8925,73.78
20,16,AHMEDELEC,EQ,4573,2803,61.29
20,17,AHMEDFORGE,EQ,2070,1190,57.49
20,18,AJANTPHARM,EQ,74549,26171,35.11
20,19,AKSHOPTFBR,EQ,14331,12375,86.35
20,20,ALBK,EQ,472562,128291,27.15
20,21,ALEMBICLTD,EQ,19613,9351,47.68
20,22,ALFALAVAL,EQ,185,85,45.95
20,23,ALOKTEXT,EQ,604374,277239,45.87
20,24,ALPSINDUS,EQ,48600,9537,19.62
20,25,AMARAJABAT,EQ,10773,4463,41.43
20,26,AMBICAAGAR,EQ,1031,999,96.90
20,27,AMITSPIN,EQ,8100,7600,93.83
20,28,AMTEKAUTO,EQ,33687,31570,93.72
20,29,AMTREXAPPL,EQ,2050,2050,100.00
20,30,ANDHRABANK,EQ,1228591,222930,18.15
20,31,ANDHRSUGAR,EQ,52770,42570,80.67
20,32,ANTGRAPHIC,EQ,6,1,16.67
20,33,APCOTEXLAT,EQ,350,300,85.71
20,34,APIL,EQ,34719,19307,55.61
20,35,APOLLOHOSP,EQ,106307,51035,48.01
20,36,APOLLOTYRE,EQ,111646,64709,57.96
20,37,APPAPER,EQ,215,105,48.84
20,38,APTECHT,EQ,240920,58532,24.30
20,39,ARCHIES,EQ,4824,3977,82.44
20,40,ARHAMFISCL,EQ,21052,11300,53.68
20,41,ARL,EQ,1259072,638992,50.75
20,42,ARSBONDS,N1,214989,214989,100.00
20,43,ARVINDMILL,EQ,6380628,1527303,23.94
20,44,ASAHIINDIA,EQ,9164,6935,75.68
20,45,ASAL,EQ,405,402,99.26
20,46,ASHAPURMIN,EQ,325,300,92.31
20,47,ASHIMASYN,EQ,1700,1700,100.00
20,48,ASHKLEYFIN,EQ,48449,24504,50.58
20,49,ASIANELEC,EQ,9405,2498,26.56
20,50,ASIANHOTEL,EQ,595,445,74.79
20,51,ASIANPAINT,EQ,3443,2854,82.89
20,52,ASTRAIDL,EQ,60,55,91.67
20,53,ATCOM,EQ,2700,2200,81.48
20,54,ATFL,EQ,5627,5577,99.11
20,55,ATLASCYCLE,EQ,570,486,85.26
20,56,ATNINT,EQ,62552,51750,82.73
20,57,ATULPROD,EQ,5899,4535,76.88
20,58,AUROPHARMA,EQ,55576,19388,34.89
20,59,AUTOAXLES,EQ,836,566,67.70
20,60,AVENTIS,EQ,36431,33232,91.22
20,61,AZTEC,EQ,14747,9414,63.84
20,62,BAGFILMS,EQ,13241,11871,89.65
20,63,BAJAJAUTO,EQ,187404,132851,70.89
20,64,BAJAJHIND,EQ,49077,28096,57.25
20,65,BAJAJPLAST,EQ,1000,1000,100.00
20,66,BAJAUTOFIN,EQ,5860,5550,94.71
20,67,BALAJITELE,EQ,69103,35751,51.74
20,68,BALASPONGE,EQ,28685,24505,85.43
20,69,BALMLAWRIE,EQ,282,275,97.52
20,70,BALRAMCHIN,EQ,25163,12254,48.70
20,71,BANARISUG,EQ,3171,1306,41.19
20,72,BANKBARODA,EQ,1645679,317280,19.28
20,73,BANKINDIA,EQ,2304866,859704,37.30
20,74,BANKPUNJAB,EQ,112839,61414,54.43
20,75,BANKRAJAS,EQ,160662,93358,58.11
20,76,BASF,EQ,5738,3668,63.92
20,77,BATAINDIA,EQ,54109,29676,54.84
20,78,BBTC,EQ,655,505,77.10
20,79,BEL,EQ,45940,24738,53.85
20,80,BELCERAMIC,EQ,15847,12509,78.94
20,81,BEML,EQ,141168,23704,16.79
20,82,BERGEPAINT,EQ,5999,3835,63.93
20,83,BGFL,EQ,1004,900,89.64
20,84,BHARATFORG,EQ,5960,5272,88.46
20,85,BHARATGEAR,EQ,4743,3721,78.45
20,86,BHARTI,EQ,2747257,789261,28.73
20,87,BHEL,EQ,568429,66974,11.78
20,88,BHUSANSTL,EQ,128455,61345,47.76
20,89,BIL,EQ,6491,4345,66.94
20,90,BILT,EQ,109923,90327,82.17
20,91,BINDALAGRO,EQ,28226,27826,98.58
20,92,BIOCON,EQ,516907,57107,11.05
20,93,BIRLAERIC,EQ,9400,7050,75.00
20,94,BIRLAJUTE,EQ,335209,77019,22.98
20,95,BLUECHIP,EQ,100,0,0.00
20,96,BLUEDART,EQ,10914,7091,64.97
20,97,BLUESTARCO,EQ,995,895,89.95
20,98,BLUESTINFO,EQ,5138,4549,88.54
20,99,BOMDYEING,EQ,34470,13508,39.19
20,100,BONGAIREFN,EQ,626107,296802,47.40
20,101,BPCL,EQ,520463,126706,24.34
20,102,BPL,EQ,33556,25421,75.76
20,103,BPLREFRIG,EQ,1,0,0.00
20,104,BPLSANTECH,EQ,5952,1715,28.81
20,105,BPLSANUTIL,EQ,225,175,77.78
20,106,BRITANNIA,EQ,8856,2426,27.39
