Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29072004,104883311,0000761
Trade Date <29-JUL-2004>,Settlement Type <N>,Settlement No <2004145>,Settlement Date <02-AUG-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3MINDIA,EQ,481,197,40.96
20,2,AARTIDRUGS,EQ,20688,2329,11.26
20,3,AARTIIND,EQ,26345,6916,26.25
20,4,ABANLLOYD,EQ,4052,3105,76.63
20,5,ABB,EQ,13875,2695,19.42
20,6,ABSHEKINDS,EQ,237178,120083,50.63
20,7,ABSIND,EQ,6035,4865,80.61
20,8,ACC,EQ,1982206,635424,32.06
20,9,ADLABSFILM,EQ,89767,48261,53.76
20,10,ADVANIORLI,EQ,3818,3743,98.04
20,11,AEGISCHEM,EQ,302,300,99.34
20,12,AFTEKINFO,EQ,103464,36596,35.37
20,13,AGEEGOLD,EQ,613,537,87.60
20,14,AGRODUTCH,EQ,6305,6005,95.24
20,15,AHMEDELEC,EQ,23239,8499,36.57
20,16,AHMEDFORGE,EQ,1447,1137,78.58
20,17,AJANTPHARM,EQ,46906,14365,30.63
20,18,AKSHOPTFBR,EQ,6396,6196,96.87
20,19,ALBK,EQ,438458,210706,48.06
20,20,ALEMBICLTD,EQ,21171,8071,38.12
20,21,ALFALAVAL,EQ,629,578,91.89
20,22,ALOKTEXT,EQ,396537,149983,37.82
20,23,ALPSINDUS,EQ,172647,76499,44.31
20,24,AMARAJABAT,EQ,50781,25518,50.25
20,25,AMBICAAGAR,EQ,1975,1125,56.96
20,26,AMITSPIN,EQ,1135,1135,100.00
20,27,AMTEKAUTO,EQ,20301,18511,91.18
20,28,AMTREXAPPL,EQ,482,480,99.59
20,29,ANDHRABANK,EQ,3541843,1311498,37.03
20,30,ANDHRSUGAR,EQ,59153,54664,92.41
20,31,ANTGRAPHIC,EQ,3401,2300,67.63
20,32,APARINDS,EQ,2760,2460,89.13
20,33,APCOTEXLAT,EQ,2076,1200,57.80
20,34,APIL,EQ,18338,12921,70.46
20,35,APOLLOHOSP,EQ,27226,18600,68.32
20,36,APOLLOTYRE,EQ,55684,37400,67.16
20,37,APPAPER,EQ,5,1,20.00
20,38,APTECHT,EQ,221139,91005,41.15
20,39,ARCHIES,EQ,8503,6775,79.68
20,40,ARHAMFISCL,EQ,6610,5900,89.26
20,41,ARL,EQ,645509,434602,67.33
20,42,ARSBONDS,N1,9741,9741,100.00
20,43,ARVINDMILL,EQ,4127247,1168164,28.30
20,44,ASAHIINDIA,EQ,18135,13573,74.84
20,45,ASAL,EQ,1670,1660,99.40
