Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20092004,101379739,0000765
Trade Date <20-SEP-2004>,Settlement Type <D>,Settlement No <2004182>,Settlement Date <22-SEP-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0665D09,GC,300,300,100.00
Trade Date <20-SEP-2004>,Settlement Type <N>,Settlement No <2004182>,Settlement Date <22-SEP-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,3MINDIA,EQ,729,677,92.87
20,3,AARTIDRUGS,EQ,174510,127301,72.95
20,4,AARTIIND,EQ,188579,140774,74.65
20,5,ABANLLOYD,EQ,44986,33335,74.10
20,6,ABB,EQ,13837,3633,26.26
20,7,ABSHEKINDS,EQ,548268,218813,39.91
20,8,ABSIND,EQ,17805,13720,77.06
20,9,ACC,EQ,1788407,472165,26.40
20,10,ADANIEXPO,EQ,530614,30823,5.81
20,11,ADLABSFILM,EQ,34171,17330,50.72
20,12,ADVANIORLI,EQ,27462,17603,64.10
20,13,AEGISCHEM,EQ,93576,47661,50.93
20,14,AFTEKINFO,EQ,865499,314582,36.35
20,15,AGEEGOLD,EQ,52,51,98.08
20,16,AGRODUTCH,EQ,172019,140895,81.91
20,17,AHMEDELEC,EQ,79555,67655,85.04
20,18,AHMEDFORGE,EQ,36216,19748,54.53
20,19,AJANTPHARM,EQ,33956,11853,34.91
20,20,AKSHOPTFBR,EQ,374118,132472,35.41
20,21,ALBK,EQ,257109,172260,67.00
20,22,ALEMBICLTD,EQ,29995,18975,63.26
20,23,ALFALAVAL,EQ,7912,7069,89.35
20,24,ALOKTEXT,EQ,1761243,526724,29.91
20,25,ALPSINDUS,EQ,46960,20303,43.23
20,26,AMARAJABAT,EQ,24056,12699,52.79
20,27,AMBICAAGAR,EQ,1100,1100,100.00
20,28,AMITSPIN,EQ,3199,2648,82.78
20,29,AMTEKAUTO,EQ,12429,7686,61.84
20,30,AMTREXAPPL,EQ,7679,7149,93.10
20,31,ANDHRABANK,EQ,1101144,403553,36.65
20,32,ANDHRSUGAR,EQ,92459,63782,68.98
20,33,ANTGRAPHIC,EQ,4750,4750,100.00
20,34,APARINDS,EQ,3953,3724,94.21
20,35,APCOTEXLAT,EQ,1850,1770,95.68
20,36,APIL,EQ,32223,19596,60.81
20,37,APOLLOHOSP,EQ,88796,31710,35.71
20,38,APOLLOTYRE,EQ,150401,95571,63.54
20,39,APPAPER,EQ,36496,34290,93.96
20,40,APTECHT,EQ,525854,268699,51.10
20,41,ARCHIES,EQ,7538,5568,73.87
20,42,ARHAMFISCL,EQ,71256,65502,91.92
20,43,ARL,EQ,576585,321606,55.78
20,44,ARSBONDS,N1,50178,46197,92.07
20,45,ARVINDMILL,EQ,3924522,880319,22.43
20,46,ASAHIINDIA,EQ,23230,15059,64.83
20,47,ASAL,EQ,1802,1302,72.25
20,48,ASHAPURMIN,EQ,12974,7285,56.15
20,49,ASHIMASYN,EQ,462750,182819,39.51
20,50,ASHOKLEY,EQ,2066507,895786,43.35
20,51,ASIANELEC,EQ,12975,4492,34.62
20,52,ASIANHOTEL,EQ,7623,6495,85.20
20,53,ASIANPAINT,EQ,13543,11425,84.36
20,54,ASTRAIDL,EQ,158,105,66.46
20,55,ATCOM,EQ,11635,10735,92.26
20,56,ATFL,EQ,20870,14763,70.74
20,57,ATLASCYCLE,EQ,2950,2650,89.83
20,58,ATNINT,EQ,53970,47210,87.47
20,59,AUROPHARMA,EQ,28856,16512,57.22
20,60,AUTOAXLES,EQ,4216,3423,81.19
20,61,AUTORIDFIN,EQ,281,281,100.00
20,62,AVENTIS,EQ,34123,31824,93.26
20,63,BAGFILMS,EQ,1588980,734416,46.22
20,64,BAGYAMETAL,EQ,3633,3273,90.09
20,65,BAJAJAUTO,EQ,140141,67729,48.33
20,66,BAJAJHIND,EQ,129525,84128,64.95
20,67,BAJAJPLAST,EQ,9028,8950,99.14
20,68,BAJAUTOFIN,EQ,9790,7961,81.32
20,69,BALAJITELE,EQ,380858,176076,46.23
20,70,BALASPONGE,EQ,233688,140356,60.06
20,71,BALMLAWRIE,EQ,2882,2321,80.53
20,72,BALRAMCHIN,EQ,87880,41389,47.10
20,73,BANARISUG,EQ,2367,2105,88.93
20,74,BANKBARODA,EQ,303798,90798,29.89
20,75,BANKINDIA,EQ,2599047,1107067,42.60
20,76,BANKPUNJAB,EQ,223147,122907,55.08
20,77,BANKRAJAS,EQ,562151,255637,45.47
20,78,BASF,EQ,8619,5526,64.11
20,79,BATAINDIA,EQ,221569,99780,45.03
20,80,BBTC,EQ,889,775,87.18
20,81,BEL,EQ,215959,93836,43.45
20,82,BELCERAMIC,EQ,89714,59074,65.85
20,83,BEML,EQ,506106,130591,25.80
20,84,BERGEPAINT,EQ,620482,281903,45.43
20,85,BHARATFORG,EQ,13598,11998,88.23
20,86,BHARATGEAR,EQ,170180,92161,54.16
20,87,BHARATRAS,EQ,16698,7069,42.33
20,88,BHARTI,EQ,2887719,588003,20.36
20,89,BHEL,EQ,479225,106290,22.18
20,90,BHUSANSTL,EQ,112287,32766,29.18
20,91,BIL,EQ,41848,23189,55.41
20,92,BILT,EQ,164884,90889,55.12
20,93,BINDALAGRO,EQ,398482,262751,65.94
20,94,BIOCON,EQ,286717,97855,34.13
20,95,BIRLAERIC,EQ,605193,219225,36.22
20,96,BIRLAJUTE,EQ,162302,79332,48.88
20,97,BLBLIMITED,EQ,300,200,66.67
20,98,BLUECHIP,EQ,10500,10200,97.14
20,99,BLUEDART,EQ,8819,7084,80.33
20,100,BLUESTARCO,EQ,6393,3617,56.58
20,101,BLUESTINFO,EQ,1929,1511,78.33
20,102,BOMDYEING,EQ,267544,90572,33.85
20,103,BONGAIREFN,EQ,1542054,680457,44.13
20,104,BPCL,EQ,400713,87232,21.77
20,105,BPLENGG,EQ,16600,16600,100.00
20,106,BPLREFRIG,EQ,2400,2200,91.67
20,107,BRITANNIA,EQ,5680,3058,53.84
20,108,BSELINFRA,EQ,11599,10082,86.92
20,109,BSL,EQ,3074,1633,53.12
20,110,CADILAHC,EQ,23173,14716,63.50
20,111,CALSOFT,EQ,100,100,100.00
20,112,CANBK,EQ,2130340,455651,21.39
20,113,CANFINHOME,EQ,68307,61191,89.58
20,114,CARBORUNIV,EQ,16666,12797,76.79
20,115,CCL,EQ,9354,7750,82.85
20,116,CEAT,EQ,84604,51457,60.82
20,117,CENBNK,EQ,1112229,741795,66.69
20,118,CENTENKA,EQ,50738,28503,56.18
20,119,CENTEXT,EQ,4027,4026,99.98
20,120,CENTURYTEX,EQ,821104,185698,22.62
20,121,CESC,EQ,194803,80627,41.39
20,122,CHAMBLFERT,EQ,864115,555399,64.27
20,123,CHAMPDANY,EQ,192,142,73.96
20,124,CHEMPLAST,EQ,6608,5352,80.99
20,125,CHENNPETRO,EQ,1034916,343313,33.17
20,126,CHESLINTEX,EQ,23686,14322,60.47
20,127,CHLORIDIND,EQ,25635,12472,48.65
20,128,CHOLAINV,EQ,21973,17457,79.45
20,129,CIMCOBIRLA,EQ,3234,3100,95.86
20,130,CINEVISTA,EQ,3455,2405,69.61
20,131,CIPL,EQ,49042,37804,77.08
20,132,CIPLA,EQ,659621,212510,32.22
20,133,CLARIANT,EQ,19533,12056,61.72
20,134,CLASSIC,EQ,9868,6418,65.04
20,135,CMC,EQ,19178,10796,56.29
20,136,COCHINREFN,EQ,245164,122497,49.97
20,137,COLGATE,EQ,90459,41232,45.58
20,138,COLORCHEM,EQ,6610,6063,91.72
20,139,COMPUDYNE,EQ,7700,6690,86.88
20,140,COMPUTECH,EQ,199465,93104,46.68
20,141,CONCOR,EQ,1686,1489,88.32
20,142,CONSCOFFEE,EQ,10930,5618,51.40
20,143,COREEMBLG,EQ,300,300,100.00
20,144,COREPARENT,EQ,27780,24150,86.93
20,145,COROMNFERT,EQ,11443,10709,93.59
20,146,CORPBANK,EQ,34433,19800,57.50
20,147,COSMOFILMS,EQ,23685,17563,74.15
20,148,CREATIVEYE,EQ,47534,39262,82.60
20,149,CRISIL,EQ,1115,1115,100.00
20,150,CROMPGREAV,EQ,21380,12281,57.44
20,151,CUB,EQ,25851,17554,67.90
20,152,CYBERTECH,EQ,7268,6936,95.43
20,153,D-LINK,EQ,312552,153528,49.12
20,154,DABUR,EQ,330533,180607,54.64
20,155,DALMIACEM,EQ,9039,8787,97.21
20,156,DATATECH,EQ,71126,35248,49.56
20,157,DCM,EQ,9815,9045,92.15
20,158,DCMFINSERV,EQ,3200,3000,93.75
20,159,DCMSRMCONS,EQ,3198,2925,91.46
20,160,DCW,EQ,80087,53717,67.07
20,161,DEEPAKFERT,EQ,149922,95738,63.86
20,162,DENABANK,EQ,213797,109506,51.22
20,163,DEWANHOUS,EQ,3317,2791,84.14
20,164,DGPWINDSOR,EQ,1310,1200,91.60
20,165,DHAMPURSUG,EQ,248406,105357,42.41
20,166,DHANBANK,EQ,19753,18028,91.27
20,167,DHARSUGAR,EQ,210868,132138,62.66
20,168,DICIND,EQ,1774,1660,93.57
20,169,DISHMAN,EQ,2536,1906,75.16
20,170,DIVISLAB,EQ,19281,5782,29.99
20,171,DREDGECORP,EQ,23100,18049,78.13
20,172,DRREDDY,EQ,104966,31968,30.46
20,173,DSKULKARNI,EQ,700,598,85.43
20,174,DUNCANSIND,EQ,117794,73330,62.25
20,175,DYNACONS,EQ,125300,125300,100.00
20,176,E-SERVEINT,EQ,650,550,84.62
20,177,EASTSILK,EQ,64142,35070,54.68
20,178,EASUNREYRL,EQ,135468,19780,14.60
20,179,EICHERMOT,EQ,33120,17044,51.46
20,180,EIDPARRY,EQ,8522,6230,73.10
20,181,EIHOTEL,EQ,40655,24306,59.79
20,182,EIMCOELECO,EQ,97121,35123,36.16
20,183,ELDERPHARM,EQ,70327,32794,46.63
20,184,ELECTCAST,EQ,2184,1637,74.95
20,185,ELGIEQUIP,EQ,40687,20123,49.46
20,186,ELGITYRE,EQ,31304,22341,71.37
20,187,EMERCK,EQ,13849,10374,74.91
20,188,ENGINERSIN,EQ,108486,52671,48.55
20,189,ESCORTS,EQ,137965,78898,57.19
20,190,ESSARGUJ,EQ,6232091,1770912,28.42
20,191,ESSAROIL,EQ,3370691,1116554,33.13
20,192,ESSELPACK,EQ,22316,18212,81.61
20,193,ETCNETWORK,EQ,25113,18458,73.50
20,194,ETERNEVRST,EQ,13645,11150,81.71
20,195,EUROTEXIND,EQ,12860,8909,69.28
20,196,EXCELCROP,EQ,5019,3353,66.81
20,197,EXCELINDUS,EQ,7245,4225,58.32
20,198,FACT,EQ,8340,5114,61.32
20,199,FAGBEARING,EQ,11237,9645,85.83
20,200,FDC,EQ,138993,80625,58.01
20,201,FEDERALBNK,EQ,116866,50287,43.03
20,202,FINCABLES,EQ,60683,26189,43.16
20,203,FINPIPE,EQ,81295,59807,73.57
20,204,FIRSTLEASE,EQ,36129,33868,93.74
20,205,FLEX,EQ,114937,81397,70.82
20,206,FLEXCHEM,EQ,800,800,100.00
20,207,FLEXENGG,EQ,4319,3919,90.74
20,208,FOSECOIND,EQ,2194,1512,68.92
20,209,FOURSOFT,EQ,187656,111018,59.16
20,210,GAEL,EQ,10550,8645,81.94
20,211,GAIL,EQ,2926095,971147,33.19
20,212,GAMMONIND,EQ,2474,1932,78.09
20,213,GARDENSILK,EQ,103391,59231,57.29
20,214,GENESYS,EQ,7635,6227,81.56
20,215,GEOINFO,EQ,1000,1000,100.00
20,216,GEOMETRIC,EQ,93281,34045,36.50
20,217,GEORGWILIM,EQ,48166,30813,63.97
20,218,GESCOCORP,EQ,12208,8314,68.10
20,219,GESHIPPING,EQ,801289,334713,41.77
20,220,GHCL,EQ,89701,72576,80.91
20,221,GICHSGFIN,EQ,43861,34530,78.73
20,222,GINNIFILA,EQ,23284,16301,70.01
20,223,GIPCL,EQ,165589,71987,43.47
20,224,GKW,EQ,64745,48718,75.25
20,225,GLAXO,EQ,44557,26412,59.28
20,226,GLENMARK,EQ,153742,83035,54.01
20,227,GLFL,EQ,1004,1000,99.60
20,228,GLOBALTELE,EQ,436452,135516,31.05
20,229,GMBREW,EQ,520,500,96.15
20,230,GMDCLTD,EQ,159014,84817,53.34
20,231,GNFC,EQ,377381,203385,53.89
20,232,GODAVRFERT,EQ,105516,25916,24.56
20,233,GODFRYPHLP,EQ,8142,6872,84.40
20,234,GODREJCP,EQ,19974,17227,86.25
20,235,GODREJIND,EQ,21327,16263,76.26
20,236,GOETZEIND,EQ,4761,4081,85.72
20,237,GOLDTECH,EQ,58212,41149,70.69
20,238,GOLDTELE,EQ,23851,17850,74.84
20,239,GOODLASNER,EQ,21564,21513,99.76
20,240,GPELECT,EQ,1200,900,75.00
20,241,GRANDFONRY,EQ,7415,6915,93.26
20,242,GRAPHITE,EQ,25359,19601,77.29
20,243,GRASIM,EQ,324142,154039,47.52
20,244,GREAVESCOT,EQ,5779,5479,94.81
20,245,GRUH,EQ,19931,16210,81.33
20,246,GSFC,EQ,174434,92592,53.08
20,247,GSKCONS,EQ,6358,4970,78.17
20,248,GTCIND,EQ,71748,55523,77.39
20,249,GTNTEXT,EQ,12218,9125,74.68
20,250,GUJALKALI,EQ,737312,391164,53.05
20,251,GUJAMBCEM,EQ,657190,282248,42.95
20,252,GUJFLUORO,EQ,24832,18609,74.94
20,253,GUJRATGAS,EQ,1346,951,70.65
20,254,GUJSIDHCEM,EQ,264178,147862,55.97
20,255,HARRMALAYA,EQ,36729,21834,59.45
20,256,HARYANSHET,EQ,1373,1368,99.64
20,257,HAVELLS,EQ,53382,28512,53.41
20,258,HBSTOCK,EQ,1300,1300,100.00
20,259,HCL-INSYS,EQ,40726,32429,79.63
20,260,HCLTECH,EQ,662692,246359,37.18
20,261,HDFC,EQ,206475,103419,50.09
20,262,HDFCBANK,EQ,642275,233074,36.29
20,263,HEG,EQ,95009,53760,56.58
20,264,HERDILCHEM,EQ,4011,2511,62.60
20,265,HERITGFOOD,EQ,8760,8150,93.04
20,266,HEROHONDA,EQ,256599,87806,34.22
20,267,HEXAWARE,EQ,567179,145222,25.60
20,268,HIKAL,EQ,6424,3768,58.66
20,269,HIMACHLFUT,EQ,1664946,1184747,71.16
20,270,HIMATSEIDE,EQ,433,321,74.13
20,271,HINDALC0,EQ,234073,79588,34.00
20,272,HINDCOMPOS,EQ,4275,3824,89.45
20,273,HINDCONS,EQ,16401,13829,84.32
20,274,HINDDORROL,EQ,1955,1701,87.01
20,275,HINDLEVER,EQ,2373594,1105931,46.59
20,276,HINDLEVER,N1,14765,14765,100.00
20,277,HINDOILEXP,EQ,2290457,396335,17.30
20,278,HINDPETRO,EQ,1715759,793637,46.26
20,279,HINDSANIT,EQ,12525,7309,58.36
20,280,HINDSYNTEX,EQ,3001,2600,86.64
20,281,HITECHGEAR,EQ,3282,3225,98.26
20,282,HMT,EQ,54000,38411,71.13
20,283,HOCL,EQ,111204,76898,69.15
20,284,HOTELEELA,EQ,293699,110054,37.47
20,285,HTMT,EQ,180482,48484,26.86
20,286,HUGHESSOFT,EQ,14237,7908,55.55
20,287,HYDRBADIND,EQ,31923,24176,75.73
20,288,I-FLEX,EQ,42854,22922,53.49
20,289,IBP,EQ,19062,14812,77.70
20,290,ICI,EQ,38100,29335,76.99
20,291,ICICIBANK,EQ,1583702,875444,55.28
20,292,IDBI,EQ,2539843,811963,31.97
20,293,IDBIBANK,EQ,186043,103233,55.49
20,294,IFBAGRO,EQ,952,852,89.50
20,295,IFBIND,EQ,14395,10545,73.25
20,296,IFCI,EQ,18815847,6998168,37.19
20,297,IFGLREFRAC,EQ,129209,96634,74.79
20,298,IGFLFERT,EQ,15303,12892,84.24
20,299,IGL,EQ,287752,111862,38.87
20,300,IGS,EQ,38894,25594,65.80
20,301,INDGYPSUM,EQ,374,374,100.00
20,302,INDHOTEL,EQ,43298,21660,50.03
20,303,INDIACEM,EQ,1202757,457388,38.03
20,304,INDIAFOILS,EQ,21681,17980,82.93
20,305,INDIANCARD,EQ,18061,5844,32.36
20,306,INDIANHUME,EQ,425,345,81.18
20,307,INDLMETER,EQ,610,400,65.57
20,308,INDNIPPON,EQ,1659,1155,69.62
20,309,INDORAMA,EQ,551101,285162,51.74
20,310,INDORAMTEX,EQ,29848,24075,80.66
20,311,INDRAMEDCO,EQ,20764,16700,80.43
20,312,INDRAYON,EQ,121263,53900,44.45
20,313,INDSHAVING,EQ,2639,2093,79.31
20,314,INDSWFTLAB,EQ,2068407,766403,37.05
20,315,INDUJENERT,EQ,170,170,100.00
20,316,INDUSINDBK,EQ,403697,222524,55.12
20,317,INFOSYSTCH,EQ,1301464,521392,40.06
20,318,INFOTECENT,EQ,152452,38240,25.08
20,319,INGERRAND,EQ,13322,9023,67.73
20,320,INVESTCORP,EQ,18368,13046,71.03
20,321,IOB,EQ,569602,323899,56.86
20,322,IOC,EQ,686316,385631,56.19
20,323,IOL,EQ,54183,38309,70.70
20,324,IPCALAB,EQ,17619,15688,89.04
20,325,IPCL,EQ,2460136,734885,29.87
20,326,IT&T,EQ,6580,5755,87.46
20,327,ITC,EQ,550042,164742,29.95
20,328,ITCHOTEL,EQ,32410,24089,74.33
20,329,IVC,EQ,2000,1640,82.00
20,330,IVP,EQ,3800,3600,94.74
20,331,IVRCLINFRA,EQ,76788,26930,35.07
20,332,J&KBANK,EQ,144490,72053,49.87
20,333,JAGSNPHARM,EQ,80347,54287,67.57
20,334,JAICORPLTD,EQ,1804,1543,85.53
20,335,JAYAGROGN,EQ,1255,1055,84.06
20,336,JAYBARMARU,EQ,1507,1381,91.64
20,337,JAYPEEHOT,EQ,53309,40462,75.90
20,338,JAYSREETEA,EQ,25414,14733,57.97
20,339,JBCHEPHARM,EQ,7583,5020,66.20
20,340,JBFIND,EQ,27446,19392,70.66
20,341,JCTELEC,EQ,34197,31498,92.11
20,342,JENSONICOL,EQ,20472,18900,92.32
20,343,JIKINDS,EQ,167412,120132,71.76
20,344,JINDALFOTO,EQ,60822,34201,56.23
20,345,JINDALIRON,EQ,1398261,265262,18.97
20,346,JINDALPOLY,EQ,23510,21410,91.07
20,347,JINDALSTEL,EQ,76935,41063,53.37
20,348,JINDVIJSTL,EQ,3539659,1658944,46.87
20,349,JISLJALEQS,EQ,70237,49369,70.29
20,350,JKINDUSTRY,EQ,11440,6632,57.97
20,351,JPASSOCIAT,EQ,1556286,622986,40.03
20,352,JSTAINLESS,EQ,389873,225027,57.72
20,353,JSTRIPS,EQ,5647,3430,60.74
20,354,JUBILANT,EQ,8191,3095,37.79
20,355,JUNIORBEES,EQ,50,25,50.00
20,356,JYOTISTRUC,EQ,203928,127685,62.61
20,357,KABRAEXTRU,EQ,6093,5155,84.61
20,358,KAJARIACER,EQ,5131,4270,83.22
20,359,KAKATCEM,EQ,44270,35127,79.35
20,360,KALECONSUL,EQ,242911,91062,37.49
20,361,KALPATPOWR,EQ,13666,12752,93.31
20,362,KALYANBRAK,EQ,550,550,100.00
20,363,KAMATHOTEL,EQ,12083,8800,72.83
20,364,KANORICHEM,EQ,3431,2260,65.87
20,365,KARURVYSYA,EQ,12256,10052,82.02
20,366,KCP,EQ,11603,9861,84.99
20,367,KCPSUGIND,EQ,23402,9307,39.77
20,368,KECINTL,EQ,1134016,288633,25.45
20,369,KESORAMIND,EQ,163537,50764,31.04
20,370,KEYCORPSER,EQ,1520,1100,72.37
20,371,KHAITANELE,EQ,1275,905,70.98
20,372,KHANDSE,EQ,2000,2000,100.00
20,373,KINETICMOT,EQ,5920,2679,45.25
20,374,KIRLOSKCUM,EQ,121680,90452,74.34
20,375,KIRLOSOIL,EQ,10344,9744,94.20
20,376,KITPLYIND,EQ,47924,38596,80.54
20,377,KLGSYSTEL,EQ,6975,5404,77.48
20,378,KOPDRUGS,EQ,124272,85848,69.08
20,379,KOPRAN,EQ,355355,196847,55.39
20,380,KOTAKBANK,EQ,19510,14401,73.81
20,381,KOTHARIPET,EQ,4246,3473,81.79
20,382,KOTHARIPRO,EQ,766,764,99.74
20,383,KPIT,EQ,80010,22713,28.39
20,384,KRBL,EQ,91691,38712,42.22
20,385,KSBPUMPS,EQ,52293,37171,71.08
20,386,KTKBANK,EQ,139129,70192,50.45
20,387,LAKSHVILAS,EQ,8838,4362,49.36
