Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27042005,081674703,0000754
Trade Date <27-APR-2005>,Settlement Type <N>,Settlement No <2005079>,Settlement Date <29-APR-2005>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,4680904,431202,9.21
20,2,3MINDIA,EQ,505,435,86.14
20,3,AARTIDRUGS,EQ,87629,73627,84.02
20,4,AARTIIND,EQ,26894,14046,52.23
20,5,ABANLOYD,EQ,10653,6787,63.71
20,6,ABB,EQ,21455,8745,40.76
20,7,ABSHEKINDS,EQ,100008,76929,76.92
20,8,ABSIND,EQ,39118,20519,52.45
20,9,ACC,EQ,305315,111034,36.37
20,10,ADANIEXPO,EQ,449653,48448,10.77
20,11,ADLABSFILM,EQ,187274,97422,52.02
20,12,ADORWELD,EQ,430099,155205,36.09
20,13,AEGISCHEM,EQ,44060,30784,69.87
20,14,AFTEKINFO,EQ,167226,104928,62.75
20,15,AGRODUTCH,EQ,17978,9651,53.68
20,16,AHMEDELEC,EQ,17449,15796,90.53
20,17,AHMEDFORGE,EQ,77399,30890,39.91
20,18,AJANTPHARM,EQ,12027,8518,70.82
20,19,AKSHOPTFBR,EQ,116334,51982,44.68
20,20,ALBK,EQ,2670672,1763419,66.03
20,21,ALEMBICLTD,EQ,15280,9675,63.32
20,22,ALFALAVAL,EQ,5052,1416,28.03
20,23,ALOKTEXT,EQ,739764,318623,43.07
20,24,ALPSINDUS,EQ,53815,35537,66.04
20,25,AMARAJABAT,EQ,182854,68374,37.39
20,26,AMBICAAGAR,EQ,17535,13210,75.34
20,27,AMITSPIN,EQ,16706,11952,71.54
20,28,AMTEKAUTO,EQ,257013,232220,90.35
20,29,AMTREXAPPL,EQ,14879,12352,83.02
20,30,ANDHRABANK,EQ,2552861,263858,10.34
20,31,ANDHRSUGAR,EQ,40919,33063,80.80
20,32,APARINDS,EQ,2489,2215,88.99
20,33,APCOTEXLAT,EQ,3007,2507,83.37
20,34,APIL,EQ,1644268,246972,15.02
20,35,APOLLOHOSP,EQ,79618,45906,57.66
20,36,APOLLOTYRE,EQ,46901,27399,58.42
20,37,APPAPER,EQ,2206,1728,78.33
20,38,APTECHT,EQ,157121,107078,68.15
20,39,ARCHIES,EQ,3642,2552,70.07
20,40,ARHAMFISCL,EQ,30364,19249,63.39
20,41,ARL,EQ,385612,226392,58.71
20,42,ARSBONDS,N1,103995,100995,97.12
20,43,ARVINDMILL,EQ,4991838,912680,18.28
20,44,ASAHIINDIA,EQ,57236,47587,83.14
20,45,ASAL,EQ,8854,6339,71.59
20,46,ASHAPURMIN,EQ,1526,798,52.29
20,47,ASHOKLEY,EQ,1074896,564114,52.48
20,48,ASIANELEC,EQ,111218,40126,36.08
20,49,ASIANHOTEL,EQ,2912,1895,65.08
20,50,ASIANPAINT,EQ,19075,17992,94.32
20,51,ASTRAIDL,EQ,921,736,79.91
20,52,ASTRAMICRO,EQ,5814,4445,76.45
20,53,ATFL,EQ,11126,9684,87.04
20,54,ATLASCYCLE,EQ,1806,1688,93.47
20,55,ATUL,EQ,244829,83390,34.06
20,56,AUROPHARMA,EQ,259134,174907,67.50
20,57,AUTOAXLES,EQ,5984,5352,89.44
20,58,AVAYAGCL,EQ,2326,1386,59.59
20,59,AVENTIS,EQ,4247,3708,87.31
20,60,AZTEC,EQ,176645,58053,32.86
20,61,BAGFILMS,EQ,62116,39995,64.39
20,62,BAGYAMETAL,EQ,41407,26596,64.23
20,63,BAJAJAUTO,EQ,86431,61721,71.41
20,64,BAJAJHIND,EQ,46505,27582,59.31
20,65,BAJAJPLAST,EQ,726,708,97.52
20,66,BAJAUTOFIN,EQ,6915,5030,72.74
20,67,BALAJITELE,EQ,38647,30785,79.66
20,68,BALASPONGE,EQ,53374,41123,77.05
20,69,BALMLAWRIE,EQ,14748,10514,71.29
20,70,BALRAMCHIN,EQ,161211,90660,56.24
20,71,BANARISUG,EQ,2355,2149,91.25
20,72,BANKBARODA,EQ,164753,36167,21.95
20,73,BANKINDIA,EQ,393653,182461,46.35
20,74,BANKPUNJAB,EQ,118837,59329,49.92
20,75,BANKRAJAS,EQ,227314,116518,51.26
20,76,BASF,EQ,17390,12109,69.63
20,77,BATAINDIA,EQ,809263,212171,26.22
20,78,BEL,EQ,18271,7122,38.98
20,79,BELCERAMIC,EQ,26380,20074,76.10
20,80,BEML,EQ,441928,77175,17.46
20,81,BEPL,EQ,65425,59921,91.59
20,82,BERGEPAINT,EQ,405788,199512,49.17
20,83,BGFL,EQ,6566,4893,74.52
20,84,BHARATFORG,EQ,22324,8473,37.95
20,85,BHARATGEAR,EQ,4547,3865,85.00
20,86,BHARATRAS,EQ,2114,1530,72.37
20,87,BHARTI,EQ,800785,341045,42.59
20,88,BHARTISHIP,EQ,1061538,219162,20.65
20,89,BHEL,EQ,233131,115680,49.62
20,90,BHUSANSTL,EQ,218065,47067,21.58
20,91,BIL,EQ,10144,7822,77.11
20,92,BILT,EQ,1514722,655999,43.31
20,93,BINDALAGRO,EQ,107692,72987,67.77
20,94,BIOCON,EQ,80395,33020,41.07
20,95,BIRLAERIC,EQ,82592,54816,66.37
20,96,BIRLAJUTE,EQ,34765,31354,90.19
20,97,BLUECHIP,EQ,2253,1900,84.33
20,98,BLUEDART,EQ,2821,1360,48.21
20,99,BLUESTARCO,EQ,1974,1554,78.72
20,100,BLUESTINFO,EQ,2086,1450,69.51
20,101,BOC,EQ,3490506,628914,18.02
20,102,BOMDYEING,EQ,309304,44103,14.26
20,103,BONGAIREFN,EQ,325298,199724,61.40
20,104,BPCL,EQ,178715,87442,48.93
20,105,BPL,EQ,1296224,496784,38.33
20,106,BPLENGG,EQ,143008,76860,53.75
20,107,BPLSANTECH,EQ,47017,42290,89.95
20,108,BPLSANUTIL,EQ,6559,6398,97.55
20,109,BRITANNIA,EQ,26125,26009,99.56
20,110,BSELINFRA,EQ,57567,28224,49.03
20,111,CADILAHC,EQ,13825,7007,50.68
20,112,CALSOFT,EQ,1946,1451,74.56
20,113,CANBK,EQ,402750,131848,32.74
20,114,CANFINHOME,EQ,67259,39592,58.86
20,115,CARBORUNIV,EQ,197719,91660,46.36
20,116,CAROLINFO,EQ,247114,106689,43.17
20,117,CCL,EQ,5198,2670,51.37
20,118,CEAT,EQ,470306,97898,20.82
20,119,CENBNK,EQ,1530954,1088486,71.10
20,120,CENTENKA,EQ,31307,19382,61.91
20,121,CENTURYTEX,EQ,964470,253776,26.31
20,122,CESC,EQ,205511,111611,54.31
20,123,CHAMBLFERT,EQ,389854,236728,60.72
20,124,CHAMPDANY,EQ,191,150,78.53
20,125,CHEMPLAST,EQ,329810,96621,29.30
20,126,CHENNPETRO,EQ,128684,113540,88.23
20,127,CHLORIDIND,EQ,7108,3919,55.14
20,128,CHOLAINV,EQ,77978,50490,64.75
20,129,CINEVISTA,EQ,14378,6458,44.92
20,130,CIPLA,EQ,2112747,1085212,51.36
20,131,CLARIANT,EQ,7560,7450,98.54
20,132,CLASSIC,EQ,16220,9309,57.39
20,133,CMC,EQ,14902,12800,85.89
20,134,COCHINREFN,EQ,112976,75237,66.60
20,135,COLGATE,EQ,99607,56331,56.55
20,136,COLORCHEM,EQ,2024,1899,93.82
20,137,CONCOR,EQ,10727,10257,95.62
20,138,CONSCOFFEE,EQ,1748,1450,82.95
20,139,CONSOFINVT,EQ,222488,105957,47.62
20,140,COREEMBLG,EQ,7288,5758,79.01
20,141,COREPARENT,EQ,16117,10380,64.40
20,142,COROMNFERT,EQ,10006,7445,74.41
20,143,CORPBANK,EQ,11292,7230,64.03
20,144,COSMOFILMS,EQ,25596,18118,70.78
20,145,CRANESSOFT,EQ,587,587,100.00
20,146,CRESTANI,EQ,64127,26746,41.71
20,147,CREWBOS,EQ,154532,46938,30.37
20,148,CRISIL,EQ,13868,10634,76.68
20,149,CROMPGREAV,EQ,17898,8750,48.89
20,150,CUB,EQ,8412,6742,80.15
20,151,CYBERTECH,EQ,6235,3789,60.77
20,152,D-LINK,EQ,28481,10740,37.71
20,153,DABUR,EQ,310408,118148,38.06
20,154,DABURPHARM,EQ,40541,30287,74.71
20,155,DALMIACEM,EQ,3057,2194,71.77
20,156,DATATECH,EQ,233830,191227,81.78
20,157,DCHL,EQ,17554,10841,61.76
20,158,DCM,EQ,2930,1909,65.15
20,159,DCMSRMCONS,EQ,2389,2232,93.43
20,160,DCW,EQ,50277,38910,77.39
20,161,DEEPAKFERT,EQ,180780,77851,43.06
20,162,DENABANK,EQ,338056,218544,64.65
20,163,DEWANHOUS,EQ,141572,92394,65.26
20,164,DHAMPURSUG,EQ,496909,179749,36.17
20,165,DHANBANK,EQ,8715,7415,85.08
20,166,DHARSUGAR,EQ,4987,4392,88.07
20,167,DICIND,EQ,1131,900,79.58
20,168,DISHMAN,EQ,836,595,71.17
20,169,DIVISLAB,EQ,9204,5053,54.90
20,170,DREDGECORP,EQ,9264,8949,96.60
20,171,DRREDDY,EQ,174107,115424,66.29
20,172,DSKULKARNI,EQ,5639,5638,99.98
20,173,DWARKESH,EQ,46235,22344,48.33
20,174,DYNACONS,EQ,165516,144856,87.52
20,175,EASTSILK,EQ,71294,34116,47.85
20,176,EASUNREYRL,EQ,15874,10188,64.18
20,177,EICHER,EQ,3022,2846,94.18
20,178,EICHERMOT,EQ,16884,16705,98.94
20,179,EIDPARRY,EQ,19925,18605,93.38
20,180,EIHOTEL,EQ,27004,16331,60.48
20,181,EIMCOELECO,EQ,1098,762,69.40
20,182,ELDERPHARM,EQ,14672,7515,51.22
20,183,ELECTCAST,EQ,11064,6962,62.92
20,184,ELGIEQUIP,EQ,55137,44562,80.82
20,185,ELGITYRE,EQ,17937,13736,76.58
20,186,EMERCK,EQ,4230,3721,87.97
20,187,ENGINERSIN,EQ,46732,17090,36.57
20,188,ESABINDIA,EQ,322123,130440,40.49
20,189,ESCORTS,EQ,858701,289528,33.72
20,190,ESSAROIL,EQ,1883835,718940,38.16
20,191,ESSELPACK,EQ,3639,3259,89.56
20,192,ETCNET,EQ,28761,10987,38.20
20,193,ETERNEVRST,EQ,6168,3802,61.64
20,194,EUROTEXIND,EQ,11329,9696,85.59
20,195,EVEREADY,EQ,8196526,1222970,14.92
20,196,EXCELCROP,EQ,17091,8668,50.72
20,197,EXCELINDUS,EQ,2222,1123,50.54
20,198,FACT,EQ,4814,4323,89.80
20,199,FAGBEARING,EQ,15275,11291,73.92
20,200,FDC,EQ,70517,40513,57.45
20,201,FEDERALBNK,EQ,94660,55929,59.08
