Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01062005,096396246,0000717
Trade Date <01-JUN-2005>,Settlement Type <N>,Settlement No <2005104>,Settlement Date <03-JUN-2005>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,167369,36623,21.88
20,2,3MINDIA,EQ,439,369,84.05
20,3,AARTIDRUGS,EQ,39202,25386,64.76
20,4,AARTIIND,EQ,40322,25381,62.95
20,5,ABANLOYD,EQ,51051,22138,43.36
20,6,ABB,EQ,7613,3701,48.61
20,7,ABSHEKINDS,EQ,137753,88817,64.48
20,8,ABSIND,EQ,32515,8939,27.49
20,9,ACC,EQ,241708,70529,29.18
20,10,ADANIEXPO,EQ,470252,16480,3.50
20,11,ADLABSFILM,EQ,29005,14128,48.71
20,12,ADORWELD,EQ,124869,52516,42.06
20,13,AEGISCHEM,EQ,9292,8650,93.09
20,14,AFTEKINFO,EQ,640963,288941,45.08
20,15,AGRODUTCH,EQ,992130,387795,39.09
20,16,AHMEDELEC,EQ,5083,3328,65.47
20,17,AHMEDFORGE,EQ,51199,43715,85.38
20,18,AJANTPHARM,EQ,1880137,303167,16.12
20,19,AKSHOPTFBR,EQ,388104,101486,26.15
20,20,ALBK,EQ,1038816,589667,56.76
20,21,ALEMBICLTD,EQ,39173,13599,34.72
20,22,ALFALAVAL,EQ,315,305,96.83
20,23,ALLSEC,EQ,486023,79558,16.37
20,24,ALOKTEXT,EQ,2485007,907640,36.52
20,25,ALPSINDUS,EQ,274784,29434,10.71
20,26,AMARAJABAT,EQ,20229,12196,60.29
20,27,AMBICAAGAR,EQ,49926,30181,60.45
20,28,AMTEKAUTO,EQ,60779,22741,37.42
20,29,AMTREXAPPL,EQ,288905,72393,25.06
20,30,ANDHRABANK,EQ,609272,94218,15.46
20,31,ANDHRSUGAR,EQ,43509,27921,64.17
20,32,APARINDS,EQ,24392,15974,65.49
20,33,APCOTEXLAT,EQ,20430,12803,62.67
20,34,APIL,EQ,537051,127678,23.77
20,35,APOLLOHOSP,EQ,37189,17523,47.12
20,36,APOLLOTYRE,EQ,35889,25617,71.38
20,37,APPAPER,EQ,6693,5793,86.55
20,38,APTECHT,EQ,728086,331228,45.49
20,39,ARCHIES,EQ,110841,25229,22.76
20,40,ARHAMFISCL,EQ,41371,28588,69.10
20,41,ARL,EQ,430193,309494,71.94
20,42,ARSBONDS,N1,45569,44724,98.15
20,43,ARVINDMILL,EQ,3651436,1666273,45.63
20,44,ASAHIINDIA,EQ,38966,32506,83.42
20,45,ASHAPURMIN,EQ,2235,1457,65.19
20,46,ASHOKLEY,EQ,3570002,1692446,47.41
20,47,ASIANELEC,EQ,99450,19423,19.53
20,48,ASIANHOTEL,EQ,993,645,64.95
20,49,ASIANPAINT,EQ,12963,7269,56.07
20,50,ASTRAIDL,EQ,636,604,94.97
20,51,ASTRAMICRO,EQ,7664,7292,95.15
20,52,ATLASCYCLE,EQ,2364,1653,69.92
20,53,ATUL,EQ,837175,230994,27.59
20,54,AUROPHARMA,EQ,186645,86010,46.08
20,55,AUTOAXLES,EQ,2379,1753,73.69
20,56,AVAYAGCL,EQ,12306,10421,84.68
20,57,AVENTIS,EQ,3742,2474,66.11
20,58,AZTEC,EQ,60220,24601,40.85
20,59,BAGFILMS,EQ,619917,358162,57.78
20,60,BAGYAMETAL,EQ,72978,47612,65.24
20,61,BAJAJAUTO,EQ,211820,113561,53.61
20,62,BAJAJHIND,EQ,193769,75970,39.21
20,63,BAJAUTOFIN,EQ,3146,1419,45.10
20,64,BALAJITELE,EQ,49617,31141,62.76
20,65,BALASPONGE,EQ,32335,16555,51.20
20,66,BALMLAWRIE,EQ,67117,31511,46.95
20,67,BALRAMCHIN,EQ,206348,137550,66.66
20,68,BANARISUG,EQ,540,490,90.74
20,69,BANKBARODA,EQ,331943,75106,22.63
20,70,BANKINDIA,EQ,1306211,369412,28.28
20,71,BANKPUNJAB,EQ,170808,99421,58.21
20,72,BANKRAJAS,EQ,329144,133757,40.64
20,73,BASF,EQ,6158,3967,64.42
20,74,BATAINDIA,EQ,178830,91375,51.10
20,75,BEL,EQ,47692,41727,87.49
20,76,BELCERAMIC,EQ,137906,89763,65.09
20,77,BEML,EQ,615599,139671,22.69
20,78,BEPL,EQ,44707,32092,71.78
20,79,BERGEPAINT,EQ,133325,103667,77.76
20,80,BGFL,EQ,7990,5065,63.39
20,81,BHARATFORG,EQ,126421,118226,93.52
20,82,BHARATGEAR,EQ,11716,9909,84.58
20,83,BHARTI,EQ,744198,408987,54.96
20,84,BHARTISHIP,EQ,55423,22480,40.56
20,85,BHEL,EQ,113535,37402,32.94
20,86,BHUSANSTL,EQ,144784,33745,23.31
20,87,BIL,EQ,43205,24828,57.47
20,88,BILT,EQ,1044049,534332,51.18
20,89,BINDALAGRO,EQ,322147,174197,54.07
20,90,BIOCON,EQ,394039,135390,34.36
20,91,BIRLAERIC,EQ,424114,186503,43.97
20,92,BIRLAJUTE,EQ,19189,15928,83.01
20,93,BLUECHIP,EQ,21554,14300,66.34
20,94,BLUEDART,EQ,1837,1558,84.81
20,95,BLUESTARCO,EQ,1157,878,75.89
20,96,BLUESTINFO,EQ,8897,5284,59.39
20,97,BOC,EQ,245601,65331,26.60
20,98,BOMDYEING,EQ,252688,79489,31.46
20,99,BONGAIREFN,EQ,254138,144976,57.05
20,100,BPCL,EQ,237599,102297,43.05
20,101,BPLSANUTIL,EQ,12747,8521,66.85
20,102,BRITANNIA,EQ,2291,1781,77.74
20,103,BSELINFRA,EQ,362696,167469,46.17
20,104,CADILAHC,EQ,36186,19305,53.35
20,105,CANBK,EQ,985846,260246,26.40
20,106,CANFINHOME,EQ,66226,51447,77.68
20,107,CARBORUNIV,EQ,108588,62424,57.49
20,108,CAROLINFO,EQ,1115048,306422,27.48
20,109,CCL,EQ,21014,18156,86.40
20,110,CEAT,EQ,377728,117131,31.01
20,111,CENBNK,EQ,1032703,514736,49.84
20,112,CENTENKA,EQ,53913,29035,53.86
20,113,CENTURYTEX,EQ,383953,172737,44.99
20,114,CESC,EQ,420584,160795,38.23
20,115,CHAMBLFERT,EQ,939178,447204,47.62
20,116,CHAMPDANY,EQ,2456,2456,100.00
20,117,CHEMPLAST,EQ,35799,19770,55.23
20,118,CHENNPETRO,EQ,111893,60364,53.95
20,119,CHLORIDIND,EQ,22013,14929,67.82
20,120,CHOLAINV,EQ,793380,349743,44.08
20,121,CINEVISTA,EQ,4685,2770,59.12
20,122,CIPLA,EQ,319970,126496,39.53
20,123,CLARIANT,EQ,4038,3838,95.05
20,124,CLASSIC,EQ,93037,21347,22.94
20,125,CMC,EQ,4724,2647,56.03
20,126,COCHINREFN,EQ,130412,96461,73.97
20,127,COLGATE,EQ,420733,200265,47.60
20,128,COLORCHEM,EQ,15863,13804,87.02
20,129,CONCOR,EQ,3332,2897,86.94
20,130,CONSCOFFEE,EQ,17805,11680,65.60
20,131,CONSOFINVT,EQ,45728,23962,52.40
20,132,COREEMBLG,EQ,24109,24109,100.00
20,133,COROMNFERT,EQ,1258,958,76.15
20,134,CORPBANK,EQ,5101,2899,56.83
20,135,COSMOFILMS,EQ,46761,23728,50.74
20,136,CRANESSOFT,EQ,249,100,40.16
20,137,CREWBOS,EQ,280528,77928,27.78
20,138,CRISIL,EQ,849,675,79.51
20,139,CROMPGREAV,EQ,34053,21307,62.57
20,140,CUB,EQ,36212,21583,59.60
20,141,CYBERTECH,EQ,3804,3604,94.74
20,142,D-LINK,EQ,88436,55223,62.44
20,143,DABUR,EQ,216215,86933,40.21
20,144,DABURPHARM,EQ,238493,106744,44.76
20,145,DALMIACEM,EQ,5471,5310,97.06
20,146,DATATECH,EQ,40388,23821,58.98
20,147,DCHL,EQ,23284,9288,39.89
20,148,DCMSRMCONS,EQ,3918,3809,97.22
20,149,DCW,EQ,49215,33201,67.46
20,150,DEEPAKFERT,EQ,181695,79127,43.55
20,151,DENABANK,EQ,410581,223521,54.44
20,152,DEWANHOUS,EQ,611917,386453,63.15
20,153,DHAMPURSUG,EQ,536525,101652,18.95
20,154,DHARSUGAR,EQ,103164,66486,64.45
20,155,DICIND,EQ,8972,5908,65.85
20,156,DISHMAN,EQ,934,719,76.98
20,157,DIVISLAB,EQ,31858,9342,29.32
20,158,DREDGECORP,EQ,6684,5660,84.68
20,159,DRREDDY,EQ,252165,148844,59.03
20,160,DSKULKARNI,EQ,140035,47263,33.75
20,161,DWARKESH,EQ,113565,47419,41.75
20,162,DYNACONS,EQ,177263,125250,70.66
20,163,EASTSILK,EQ,8048,5939,73.79
20,164,EASUNREYRL,EQ,5884,4054,68.90
20,165,EICHER,EQ,149806,29180,19.48
20,166,EICHERMOT,EQ,23640,5271,22.30
20,167,EIHOTEL,EQ,201441,161043,79.95
20,168,EIMCOELECO,EQ,3294,1991,60.44
20,169,ELDERPHARM,EQ,108370,27170,25.07
20,170,ELECTCAST,EQ,31614,12612,39.89
20,171,ELGIEQUIP,EQ,27694,16649,60.12
20,172,ELGITYRE,EQ,16495,11437,69.34
20,173,EMERCK,EQ,21910,7630,34.82
20,174,ENGINERSIN,EQ,8230,6063,73.67
20,175,ESABINDIA,EQ,146417,63972,43.69
20,176,ESCORTS,EQ,431703,206780,47.90
20,177,ESSAROIL,EQ,757773,347727,45.89
20,178,ESSELPACK,EQ,1958,1615,82.48
20,179,ETCNET,EQ,11341,8474,74.72
20,180,EUROTEXIND,EQ,7491,4616,61.62
20,181,EVEREADY,EQ,1081676,267722,24.75
20,182,EVERESTIND,EQ,5037,3270,64.92
20,183,EXCELCROP,EQ,19633,13442,68.47
20,184,EXCELINDUS,EQ,12751,9154,71.79
20,185,FACT,EQ,30065,16530,54.98
20,186,FAGBEARING,EQ,10254,6694,65.28
20,187,FDC,EQ,327504,133883,40.88
20,188,FEDERALBNK,EQ,280078,123101,43.95
20,189,FINCABLES,EQ,7097,4813,67.82
20,190,FINPIPE,EQ,110068,54428,49.45
20,191,FIRSTLEASE,EQ,73010,42074,57.63
20,192,FLEX,EQ,135516,64134,47.33
