Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30032006,277120412,0000804
Trade Date <30-MAR-2006>,Settlement Type <N>,Settlement No <2006060>,Settlement Date <03-APR-2006>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,390256,125992,32.28
20,2,3MINDIA,EQ,6512,6158,94.56
20,3,AARTIDRUGS,EQ,8759,6224,71.06
20,4,AARTIIND,EQ,49045,45533,92.84
20,5,ABANLOYD,EQ,37536,21981,58.56
20,6,ABB,EQ,197182,104856,53.18
20,7,ABIRLANUVO,EQ,14535,13170,90.61
20,8,ABSHEKINDS,EQ,125250,73257,58.49
20,9,ACC,EQ,1248684,613436,49.13
20,10,ADANIEXPO,EQ,373371,22417,6.00
20,11,ADLABSFILM,EQ,184811,37410,20.24
20,12,ADORWELD,EQ,16395,8824,53.82
20,13,AEGISCHEM,EQ,40669,19978,49.12
20,14,AFTEKINFO,EQ,712217,289311,40.62
20,15,AGRODUTCH,EQ,87280,52729,60.41
20,16,AIAENG,EQ,55052,40657,73.85
20,17,AJANTPHARM,EQ,26380,13193,50.01
20,18,AKSHOPTFBR,EQ,33721,29209,86.62
20,19,ALBK,EQ,2309849,1854863,80.30
20,20,ALEMBICLTD,EQ,4915,3852,78.37
20,21,ALFALAVAL,EQ,11886,11741,98.78
20,22,ALLSEC,EQ,16310,12859,78.84
20,23,ALOKTEXT,EQ,986696,820781,83.18
20,24,ALPSINDUS,EQ,158972,54963,34.57
20,25,AMAR,EQ,4755297,439214,9.24
20,26,AMARAJABAT,EQ,15462,8677,56.12
20,27,AMBICAAGAR,EQ,37857,24621,65.04
20,28,AMTEKAUTO,EQ,216234,171328,79.23
20,29,AMTEKINDIA,EQ,407618,215153,52.78
20,30,AMTREXAPPL,EQ,65287,44733,68.52
20,31,ANDHRABANK,EQ,1461732,939001,64.24
20,32,ANDHRSUGAR,EQ,314487,87378,27.78
20,33,ANSALINFRA,EQ,39565,23882,60.36
20,34,ANTGRAPHIC,EQ,84230,71230,84.57
20,35,APARINDS,EQ,2853,2652,92.95
20,36,APCOTEXLAT,EQ,3580,2354,65.75
20,37,APIL,EQ,224927,55327,24.60
20,38,APOLLOHOSP,EQ,76014,46605,61.31
20,39,APOLLOTYRE,EQ,4632,2623,56.63
20,40,APPAPER,EQ,4500,4000,88.89
20,41,APTECHT,EQ,247099,136988,55.44
20,42,ARCHIES,EQ,4760,3204,67.31
20,43,ARHAMFISCL,EQ,28447,19914,70.00
20,44,ARL,EQ,459394,274038,59.65
20,45,ARSBONDS,N1,7342,5871,79.96
20,46,ARVINDMILL,EQ,1704842,904997,53.08
20,47,ASAHIINDIA,EQ,74645,50422,67.55
20,48,ASAL,EQ,1324,1229,92.82
20,49,ASHOKLEY,EQ,10799906,6625689,61.35
20,50,ASIANELEC,EQ,476524,134941,28.32
20,51,ASIANHOTEL,EQ,6462,5261,81.41
20,52,ASIANPAINT,EQ,7672,5354,69.79
20,53,ASTRAIDL,EQ,147,72,48.98
20,54,ASTRAMICRO,EQ,71048,27535,38.76
20,55,ATFL,EQ,42280,21680,51.28
20,56,ATNINT,EQ,94912,69059,72.76
20,57,ATUL,EQ,35325,20263,57.36
20,58,AURIONPRO,EQ,5876,4425,75.31
20,59,AUROPHARMA,EQ,291711,156104,53.51
20,60,AUTOAXLES,EQ,6832,5248,76.81
20,61,AVAYAGCL,EQ,4879,4478,91.78
20,62,AVENTIS,EQ,13274,13090,98.61
20,63,AZTEC,EQ,21336,11649,54.60
20,64,BAGFILMS,EQ,499833,395162,79.06
20,65,BAGYAMETAL,EQ,18796,16251,86.46
20,66,BAJAJAUTO,EQ,176068,116031,65.90
20,67,BAJAJHIND,EQ,896366,358204,39.96
20,68,BAJAUTOFIN,EQ,1967,1833,93.19
20,69,BALAJITELE,EQ,20517,13111,63.90
20,70,BALASPONGE,EQ,30980,22215,71.71
20,71,BALASTEELS,EQ,76927,55674,72.37
20,72,BALKRISIND,EQ,280,225,80.36
20,73,BALMLAWRIE,EQ,17121,16468,96.19
20,74,BALRAMCHIN,EQ,1488742,544258,36.56
20,75,BANARISUG,EQ,11314,4047,35.77
20,76,BANKBARODA,EQ,1580799,1170342,74.03
20,77,BANKBEES,EQ,10,10,100.00
20,78,BANKINDIA,EQ,687295,347052,50.50
20,79,BANKRAJAS,BL,650000,650000,100.00
20,80,BANKRAJAS,EQ,258987,148935,57.51
20,81,BARTRONICS,EQ,137305,34296,24.98
20,82,BASF,EQ,43876,36275,82.68
20,83,BASML,EQ,42748,24902,58.25
20,84,BATAINDIA,EQ,6102175,745434,12.22
20,85,BBTC,EQ,15048,6867,45.63
20,86,BCCL,EQ,7135,5728,80.28
20,87,BEL,EQ,1501414,880661,58.66
20,88,BELCERAMIC,EQ,28235,22223,78.71
20,89,BEML,EQ,47893,26781,55.92
20,90,BERGEPAINT,EQ,88676,44641,50.34
20,91,BGFL,EQ,5636,5536,98.23
20,92,BHARATFORG,EQ,1452701,799652,55.05
20,93,BHARATGEAR,EQ,424103,144940,34.18
20,94,BHARATRAS,EQ,10664,7200,67.52
20,95,BHARTI,EQ,2983476,1858308,62.29
20,96,BHARTISHIP,EQ,26669,14819,55.57
20,97,BHEL,EQ,127465,41564,32.61
20,98,BHUSANSTL,EQ,118128,40139,33.98
20,99,BIL,EQ,22179,21298,96.03
20,100,BILT,EQ,464482,226029,48.66
20,101,BINDALAGRO,EQ,1010414,843516,83.48
20,102,BIOCON,EQ,40766,14068,34.51
20,103,BIRLAERIC,EQ,41348,19606,47.42
20,104,BIRLAJUTE,EQ,214791,166289,77.42
20,105,BLBLIMITED,EQ,102,102,100.00
20,106,BLKASHYAP,EQ,183328,58374,31.84
20,107,BLOWPLAST,EQ,3638,1306,35.90
20,108,BLUEDART,EQ,1516,1008,66.49
20,109,BLUESTARCO,EQ,2628,2220,84.47
20,110,BLUESTINFO,EQ,12180,5952,48.87
