Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16052007,201558655,0001054
Trade Date <16-MAY-2007>,Settlement Type <N>,Settlement No <2007090>,Settlement Date <18-MAY-2007>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,922704,350615,38.00
20,2,3MINDIA,EQ,257,231,89.88
20,3,AARTIDRUGS,EQ,2550,2101,82.39
20,4,AARTIIND,EQ,11564,7830,67.71
20,5,AARVEEDEN,EQ,12683,5399,42.57
20,6,ABAN,EQ,141480,38750,27.39
20,7,ABB,EQ,41120,17621,42.85
20,8,ABGSHIP,EQ,69168,65458,94.64
20,9,ABIRLANUVO,EQ,104456,63921,61.19
20,10,ABSHEKINDS,EQ,79651,56142,70.48
20,11,ACC,EQ,199434,30852,15.47
20,12,ACE,EQ,121752,61287,50.34
20,13,ADANIENT,EQ,72745,57520,79.07
20,14,ADHUNIK,EQ,2107856,1169503,55.48
20,15,ADLABSFILM,EQ,1634586,390614,23.90
20,16,ADORWELD,EQ,33707,5031,14.93
20,17,ADVANTA,EQ,112741,13572,12.04
20,18,AEGISCHEM,EQ,3919,3124,79.71
20,19,AFTEK,EQ,1455796,453419,31.15
20,20,AGRODUTCH,EQ,108770,55757,51.26
20,21,AHMEDFORGE,EQ,9351,8347,89.26
20,22,AIAENG,EQ,126739,49455,39.02
20,23,AICHAMP,EQ,2511,1495,59.54
20,24,AIRDECCAN,EQ,443277,210151,47.41
20,25,AJANTPHARM,EQ,12914,9105,70.50
20,26,AKRUTI,EQ,216581,49338,22.78
20,27,AKSHOPTFBR,EQ,66205,24206,36.56
20,28,ALBK,EQ,242446,110635,45.63
20,29,ALCHEMIST,EQ,93645,64576,68.96
20,30,ALEMBICLTD,EQ,16022,9742,60.80
20,31,ALFALAVAL,EQ,450147,239822,53.28
20,32,ALLCARGO,EQ,1132,684,60.42
20,33,ALLSEC,EQ,7531,4138,54.95
20,34,ALOKTEXT,EQ,501045,189324,37.79
20,35,ALPHAGEO,EQ,2003,1815,90.61
20,36,ALPSINDUS,EQ,96886,71884,74.19
20,37,AMAR,EQ,327475,130128,39.74
20,38,AMARAJABAT,EQ,2285,1688,73.87
20,39,AMBICAAGAR,EQ,9977,7256,72.73
20,40,AMDMET,EQ,924286,222185,24.04
20,41,AML,EQ,79275,19510,24.61
20,42,AMTEKAUTO,EQ,291316,235347,80.79
20,43,AMTEKINDIA,EQ,302208,199756,66.10
20,44,ANANTRAJ,EQ,101008,100470,99.47
20,45,ANDHRABANK,EQ,2094251,1004790,47.98
20,46,ANDHRSUGAR,EQ,8581,5957,69.42
20,47,ANGAUTO,EQ,170,160,94.12
20,48,ANSALHSG,EQ,44591,28785,64.55
20,49,ANSALINFRA,EQ,513916,191356,37.23
20,50,ANTGRAPHIC,EQ,34600,34100,98.55
20,51,APARINDS,EQ,6913,5975,86.43
20,52,APCOTEXIND,EQ,3695,2775,75.10
20,53,APIL,EQ,268886,97843,36.39
20,54,APOLLOHOSP,EQ,8887,6308,70.98
20,55,APOLLOTYRE,EQ,41563,28305,68.10
20,56,APPAPER,EQ,2395,1295,54.07
20,57,APTECHT,EQ,1050742,362023,34.45
20,58,ARCHIES,EQ,35373,10569,29.88
20,59,ARIHANT,EQ,5478,5305,96.84
20,60,ARL,EQ,2198728,1461272,66.46
20,61,AROGRANITE,EQ,1051,993,94.48
20,62,ARSBONDS,N1,15726,15725,99.99
20,63,ARVINDMILL,EQ,2827157,1282129,45.35
20,64,ASAHIINDIA,EQ,34926,27391,78.43
20,65,ASAL,EQ,1148,1049,91.38
20,66,ASHAPURMIN,EQ,3376,3217,95.29
20,67,ASHIMASYN,EQ,4729,4379,92.60
20,68,ASHOKLEY,EQ,1598302,1021057,63.88
20,69,ASIANELEC,EQ,21282,10109,47.50
20,70,ASIANHOTEL,EQ,5639,3605,63.93
20,71,ASIANPAINT,EQ,46025,18107,39.34
20,72,ASIL,EQ,2153,1900,88.25
20,73,ASSAMCO,EQ,167158,117543,70.32
20,74,ASTRAL,EQ,26455,14155,53.51
20,75,ASTRAMICRO,EQ,30455,23737,77.94
20,76,ASTRAZEN,EQ,125,115,92.00
20,77,ATFL,EQ,258759,121801,47.07
20,78,ATLANTA,EQ,112382,35462,31.55
20,79,ATLASCYCLE,EQ,790,550,69.62
20,80,ATNINTER,EQ,21925,17100,77.99
20,81,ATUL,EQ,6753,4818,71.35
20,82,AURIONPRO,EQ,5095,2509,49.24
20,83,AUROPHARMA,EQ,39195,23504,59.97
20,84,AUTOAXLES,EQ,1292,1150,89.01
20,85,AUTOIND,EQ,41365,15470,37.40
20,86,AVAYAGCL,EQ,27633,15651,56.64
20,87,AVENTIS,EQ,4170,3501,83.96
20,88,AVTNPL,EQ,296,296,100.00
20,89,AXIS-IT&T,EQ,707,606,85.71
20,90,AZTECSOFT,EQ,594357,166983,28.09
20,91,BAJAJAUTO,EQ,489040,294150,60.15
20,92,BAJAJHIND,EQ,1889236,597974,31.65
20,93,BAJAUTOFIN,EQ,29395,16275,55.37
20,94,BALAJITELE,EQ,1252722,394614,31.50
20,95,BALAMINES,EQ,200,200,100.00
20,96,BALASPONGE,EQ,42476,28397,66.85
20,97,BALASTEELS,EQ,58922,48958,83.09
20,98,BALKRISIND,EQ,336,312,92.86
20,99,BALMLAWRIE,EQ,1630,1630,100.00
20,100,BALPHARMA,EQ,1576,1526,96.83
20,101,BALRAMCHIN,EQ,3803298,932071,24.51
20,102,BANARISUG,EQ,1279,1194,93.35
20,103,BANCOINDIA,EQ,143,143,100.00
20,104,BANKBARODA,EQ,649271,249481,38.42
20,105,BANKBEES,EQ,4161,4100,98.53
20,106,BANKINDIA,EQ,2245730,974412,43.39
20,107,BANKRAJAS,EQ,943865,314514,33.32
20,108,BANSWRAS,EQ,13747,9917,72.14
20,109,BARTRONICS,EQ,263529,165718,62.88
20,110,BASF,EQ,103777,62283,60.02
20,111,BASML,EQ,2155,1602,74.34
20,112,BATAINDIA,EQ,204519,104617,51.15
20,113,BATLIBOI,EQ,34303,11118,32.41
20,114,BBL,EQ,7426,6966,93.81
20,115,BBTC,EQ,7358,6515,88.54
20,116,BCCL,EQ,2027,1669,82.34
20,117,BEL,EQ,215817,133843,62.02
20,118,BELCERAMIC,EQ,5399,3979,73.70
20,119,BEML,EQ,84770,57600,67.95
20,120,BEPL,EQ,5766,3725,64.60
20,121,BERGEPAINT,EQ,85651,70253,82.02
20,122,BFUTILITIE,EQ,2053,1186,57.77
20,123,BHAGYNAGAR,EQ,925028,403211,43.59
20,124,BHARATFORG,EQ,249451,136167,54.59
20,125,BHARATGEAR,EQ,66286,45010,67.90
20,126,BHARATRAS,EQ,431,330,76.57
20,127,BHARTIARTL,EQ,666560,260539,39.09
20,128,BHARTIARTL,IL,63800,63800,100.00
20,129,BHARTISHIP,EQ,25870,22274,86.10
20,130,BHEL,EQ,869840,510424,58.68
20,131,BHUSANSTL,EQ,98943,17101,17.28
20,132,BIL,EQ,2092,1416,67.69
20,133,BILPOWER,EQ,42420,20449,48.21
20,134,BILT,EQ,226371,145487,64.27
20,135,BINANIIND,EQ,15379,11923,77.53
20,136,BINDALAGRO,EQ,3412142,1579159,46.28
20,137,BIOCON,EQ,81890,39604,48.36
20,138,BIRLAERIC,EQ,24300,18019,74.15
20,139,BIRLAJUTE,EQ,137659,69506,50.49
20,140,BLBLIMITED,EQ,410,410,100.00
20,141,BLKASHYAP,EQ,9542,5352,56.09
20,142,BLUEBIRD,EQ,1309533,321876,24.58
20,143,BLUECHIP,EQ,75582,63134,83.53
20,144,BLUECOAST,EQ,14,14,100.00
20,145,BLUEDART,EQ,4036,3981,98.64
20,146,BLUESTARCO,EQ,21504,18893,87.86
20,147,BLUESTINFO,EQ,35499,14666,41.31
20,148,BOC,EQ,20261,12841,63.38
20,149,BOMDYEING,EQ,409778,111426,27.19
20,150,BONGAIREFN,EQ,1104498,599467,54.28
20,151,BOSCHCHASY,EQ,5124,4128,80.56
20,152,BPCL,EQ,857213,544647,63.54
20,153,BPL,EQ,19895,16984,85.37
20,154,BPLENGG,EQ,22182,17400,78.44
20,155,BRFL,EQ,2135841,824594,38.61
20,156,BRITANNIA,EQ,3680,2050,55.71
20,157,BROADCAST,EQ,1223095,267773,21.89
20,158,BSCFAUG08A,EQ,10,10,100.00
20,159,BSELINFRA,EQ,310540,156839,50.51
20,160,BSL,EQ,755,755,100.00
20,161,BVXL,EQ,85826,57620,67.14
20,162,CADILAHC,EQ,10315,8586,83.24
20,163,CAIRN,EQ,554043,340678,61.49
20,164,CALSOFT,EQ,2596,1757,67.68
20,165,CAMBRIDGE,EQ,62711,28525,45.49
20,166,CANBK,EQ,854551,294974,34.52
20,167,CANDC,EQ,181494,69762,38.44
20,168,CANFINHOME,EQ,5549,4535,81.73
20,169,CARBORUNIV,EQ,4273,3716,86.96
20,170,CAROLINFO,EQ,13804,11469,83.08
20,171,CCL,EQ,997,598,59.98
20,172,CEAT,EQ,62900,31349,49.84
20,173,CELEBRITY,EQ,1322540,295185,22.32
20,174,CENTBOP,EQ,365325,213440,58.42
20,175,CENTENKA,EQ,13997,7408,52.93
20,176,CENTEXT,EQ,11953,9851,82.41
20,177,CENTURYPLY,EQ,18841,11915,63.24
20,178,CENTURYTEX,EQ,2278609,835090,36.65
20,179,CESC,EQ,80332,40209,50.05
20,180,CHAMBLFERT,EQ,441823,273671,61.94
20,181,CHEMFALKAL,EQ,1788,1680,93.96
20,182,CHEMPLAST,EQ,117102,96011,81.99
20,183,CHENNPETRO,EQ,36513,26287,71.99
20,184,CHESLINTEX,EQ,3284,2684,81.73
20,185,CHOLADBS,EQ,12047,11498,95.44
20,186,CINEMAX,EQ,1303526,247057,18.95
20,187,CINEVISTA,EQ,312514,120290,38.49
20,188,CIPLA,EQ,1662551,1163190,69.96
20,189,CLASSIC,EQ,16015,14753,92.12
20,190,CLNINDIA,EQ,55409,24927,44.99
20,191,CLUTCHAUTO,EQ,101474,92908,91.56
20,192,CMC,EQ,9549,7159,74.97
20,193,COLGATE,EQ,150496,91131,60.55
20,194,COLORCHIPS,EQ,29903,20979,70.16
20,195,COMPUTECH,EQ,12015,10295,85.68
20,196,COMSYS,EQ,7315,6519,89.12
20,197,CONCOR,EQ,9529,8900,93.40
20,198,CONSOFINVT,EQ,3584,3302,92.13
20,199,COREEMBLG,EQ,8425,8325,98.81
20,200,COROMNFERT,EQ,5213,3726,71.48
20,201,CORPBANK,EQ,366395,206116,56.26
20,202,COSMOFILMS,EQ,11993,6789,56.61
20,203,CRANESSOFT,EQ,81541,53500,65.61
20,204,CREATIVEYE,EQ,89767,63041,70.23
20,205,CRESTANI,EQ,46778,26263,56.14
20,206,CREWBOS,EQ,7588,4773,62.90
20,207,CRISIL,EQ,2120,1762,83.11
20,208,CROMPGREAV,EQ,715919,376820,52.63
20,209,CTE,EQ,217169,58886,27.12
20,210,CUB,EQ,26528,20493,77.25
20,211,CUMMINSIND,EQ,515897,343135,66.51
20,212,CYBERMEDIA,EQ,22999,18009,78.30
20,213,CYBERTECH,EQ,2915,2558,87.75
20,214,D-LINK,EQ,565589,115951,20.50
20,215,DAAWAT,EQ,521919,161739,30.99
20,216,DABUR,EQ,1538751,1230918,79.99
20,217,DABURPHARM,EQ,90962,70093,77.06
20,218,DALMIACEM,EQ,3486,2685,77.02
20,219,DCB,EQ,3746065,899450,24.01
20,220,DCHL,EQ,401703,317192,78.96
20,221,DCM,EQ,4583,3315,72.33
20,222,DCMFINSERV,EQ,27602,21944,79.50
20,223,DCMSRMCONS,EQ,153370,101109,65.92
20,224,DCW,EQ,1360390,474068,34.85
20,225,DEEPAKFERT,EQ,67299,34311,50.98
20,226,DENABANK,EQ,10082135,3076940,30.52
20,227,DEWANHOUS,EQ,183748,86048,46.83
20,228,DHAMPURSUG,EQ,520906,267556,51.36
20,229,DHANBANK,EQ,17754,12089,68.09
20,230,DHARSUGAR,EQ,8208,3872,47.17
20,231,DICIND,EQ,3896,3846,98.72
20,232,DISHMAN,EQ,114045,77265,67.75
20,233,DISHTV,EQ,2968140,893827,30.11
20,234,DIVISLAB,EQ,51316,15994,31.17
20,235,DOLPHINOFF,EQ,6112,5359,87.68
20,236,DONEAR,EQ,1866,1758,94.21
20,237,DREDGECORP,EQ,61431,61252,99.71
20,238,DRREDDY,EQ,2123490,1565496,73.72
20,239,DSKULKARNI,EQ,92039,52887,57.46
20,240,DUNCANSIND,EQ,21906,18456,84.25
