Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30052007,182386086,0001048
Trade Date <30-MAY-2007>,Settlement Type <N>,Settlement No <2007100>,Settlement Date <01-JUN-2007>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,443258,196152,44.25
20,2,3MINDIA,EQ,2525,2078,82.30
20,3,AARTIDRUGS,EQ,1446,1428,98.76
20,4,AARTIIND,EQ,13342,12047,90.29
20,5,AARVEEDEN,EQ,30560,29078,95.15
20,6,ABAN,EQ,42536,14710,34.58
20,7,ABB,EQ,66706,17269,25.89
20,8,ABGSHIP,EQ,60962,40410,66.29
20,9,ABIRLANUVO,EQ,199089,112623,56.57
20,10,ABSHEKINDS,EQ,53172,41303,77.68
20,11,ACC,EQ,352578,153830,43.63
20,12,ACE,EQ,93227,54459,58.42
20,13,ADANIENT,EQ,1031179,415490,40.29
20,14,ADHUNIK,EQ,183734,132000,71.84
20,15,ADLABSFILM,EQ,164798,40778,24.74
20,16,ADORWELD,EQ,23721,16024,67.55
20,17,ADVANTA,EQ,521712,59633,11.43
20,18,AEGISCHEM,EQ,39787,23737,59.66
20,19,AFTEK,EQ,754924,359036,47.56
20,20,AGRODUTCH,EQ,82062,46893,57.14
20,21,AHMEDFORGE,EQ,2770,2494,90.04
20,22,AIAENG,EQ,26027,10257,39.41
20,23,AICHAMP,EQ,7871,4490,57.04
20,24,AIRDECCAN,EQ,1269291,611518,48.18
20,25,AJANTPHARM,EQ,18791,18465,98.27
20,26,AKRUTI,EQ,67858,36213,53.37
20,27,AKSHOPTFBR,EQ,20502,12544,61.18
20,28,ALBK,EQ,151503,72954,48.15
20,29,ALCHEMIST,EQ,75366,37934,50.33
20,30,ALEMBICLTD,EQ,98346,62041,63.08
20,31,ALFALAVAL,EQ,3259,2907,89.20
20,32,ALLCARGO,EQ,736,560,76.09
20,33,ALLSEC,EQ,4550,2783,61.16
20,34,ALOKTEXT,EQ,342976,262896,76.65
20,35,ALPHAGEO,EQ,5242,5033,96.01
20,36,ALPSINDUS,EQ,23629,18923,80.08
20,37,AMAR,EQ,46883,27001,57.59
20,38,AMARAJABAT,EQ,11300,10191,90.19
20,39,AMBICAAGAR,EQ,17377,10780,62.04
20,40,AMDMET,EQ,3182436,1271944,39.97
20,41,AML,EQ,138729,60289,43.46
20,42,AMTEKAUTO,EQ,61579,48931,79.46
20,43,AMTEKINDIA,EQ,145684,120181,82.49
20,44,ANANTRAJ,EQ,7701,5922,76.90
20,45,ANDHRABANK,EQ,386073,174580,45.22
20,46,ANDHRSUGAR,EQ,8530,7907,92.70
20,47,ANGAUTO,EQ,277,203,73.29
20,48,ANKURDRUGS,EQ,8145,4514,55.42
20,49,ANSALHSG,EQ,19332,11048,57.15
20,50,ANSALINFRA,EQ,480196,130403,27.16
20,51,ANTGRAPHIC,EQ,44204,40204,90.95
20,52,APARINDS,EQ,3030,2116,69.83
20,53,APCOTEXIND,EQ,2568,1982,77.18
20,54,APIL,EQ,462385,109846,23.76
20,55,APOLLOHOSP,EQ,40766,15388,37.75
20,56,APOLLOTYRE,EQ,58184,40036,68.81
20,57,APPAPER,EQ,1025,800,78.05
20,58,APTECHT,EQ,1399967,470108,33.58
20,59,ARCHIES,EQ,70946,19996,28.18
20,60,ARIHANT,EQ,2412,2289,94.90
20,61,ARL,EQ,249745,166921,66.84
20,62,AROGRANITE,EQ,602,502,83.39
20,63,ARSBONDS,N1,76193,75818,99.51
20,64,ARVINDMILL,EQ,1989834,1186504,59.63
20,65,ASAHIINDIA,EQ,68738,51505,74.93
20,66,ASAL,EQ,655,550,83.97
20,67,ASHAPURMIN,EQ,147807,65161,44.09
20,68,ASHIMASYN,EQ,20823,18780,90.19
20,69,ASHOKLEY,EQ,2655001,1293395,48.72
20,70,ASIANELEC,EQ,28535,16506,57.84
20,71,ASIANHOTEL,EQ,876,840,95.89
20,72,ASIANPAINT,EQ,83816,81634,97.40
20,73,ASIL,EQ,4702,4000,85.07
20,74,ASSAMCO,EQ,3389468,1368850,40.39
20,75,ASTRAL,EQ,10894,8033,73.74
20,76,ASTRAMICRO,EQ,35049,21206,60.50
20,77,ASTRAZEN,EQ,44,44,100.00
20,78,ATFL,EQ,118197,72431,61.28
20,79,ATLANTA,EQ,98052,20484,20.89
20,80,ATLASCYCLE,EQ,1138,847,74.43
20,81,ATNINTER,EQ,20100,17800,88.56
20,82,ATUL,EQ,3905,3518,90.09
20,83,AURIONPRO,EQ,8895,8387,94.29
20,84,AUROPHARMA,EQ,383030,208608,54.46
20,85,AUTOAXLES,EQ,1254,958,76.40
20,86,AUTOIND,EQ,35079,20022,57.08
20,87,AVAYAGCL,EQ,708511,142537,20.12
20,88,AVENTIS,EQ,2069,1428,69.02
20,89,AVTNPL,EQ,532,532,100.00
20,90,AXIS-IT&T,EQ,970,970,100.00
20,91,AZTECSOFT,EQ,29892,18152,60.73
