Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30102007,305693567,0001084
Trade Date <30-OCT-2007>,Settlement Type <N>,Settlement No <2007207>,Settlement Date <01-NOV-2007>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,419070,234067,55.85
20,2,3MINDIA,EQ,743,614,82.64
20,3,AARTIDRUGS,EQ,1630,1253,76.87
20,4,AARTIIND,EQ,92615,55519,59.95
20,5,AARVEEDEN,EQ,2895,2334,80.62
20,6,ABAN,EQ,154486,66788,43.23
20,7,ABB,EQ,1021366,264803,25.93
20,8,ABGSHIP,EQ,64853,44614,68.79
20,9,ABIRLANUVO,EQ,74825,39732,53.10
20,10,ABSHEKINDS,EQ,107838,83073,77.03
20,11,ACC,EQ,714852,332290,46.48
20,12,ACE,EQ,120486,69384,57.59
20,13,ADANIENT,EQ,465168,251224,54.01
20,14,ADHUNIK,EQ,375782,271227,72.18
20,15,ADLABSFILM,EQ,1514082,384990,25.43
20,16,ADORWELD,EQ,6086,5309,87.23
20,17,ADSL,EQ,10064,6073,60.34
20,18,ADVANTA,EQ,6014,2283,37.96
20,19,AEGISCHEM,EQ,81787,43142,52.75
20,20,AFL,EQ,28327,21378,75.47
20,21,AFTEK,EQ,275183,122933,44.67
20,22,AGRODUTCH,EQ,48174,31517,65.42
20,23,AHMEDFORGE,EQ,10539,5870,55.70
20,24,AIAENG,EQ,73882,38404,51.98
20,25,AIRDECCAN,EQ,1155369,594486,51.45
20,26,AJANTPHARM,EQ,3666,2554,69.67
20,27,AKRUTI,EQ,108921,59934,55.03
20,28,ALBK,EQ,2087006,953040,45.67
20,29,ALCHEM,EQ,21226,14535,68.48
20,30,ALEMBICLTD,EQ,73602,57149,77.65
20,31,ALFALAVAL,EQ,6222,3687,59.26
20,32,ALLCARGO,EQ,7220,1264,17.51
20,33,ALLSEC,EQ,57308,42012,73.31
20,34,ALOKTEXT,EQ,725679,249820,34.43
20,35,ALPA,EQ,27704,17217,62.15
20,36,ALPHAGEO,EQ,7184,5224,72.72
20,37,ALPSINDUS,EQ,18704,14347,76.71
20,38,AMAR,EQ,54340,44818,82.48
20,39,AMARAJABAT,EQ,69025,43360,62.82
20,40,AMBICAAGAR,EQ,31256,24464,78.27
20,41,AMBUJACEM,EQ,1084563,797477,73.53
20,42,AMDMET,EQ,31457,15631,49.69
20,43,AML,EQ,62928,40558,64.45
20,44,AMTEKAUTO,EQ,168974,138497,81.96
20,45,AMTEKINDIA,EQ,96059,76013,79.13
20,46,ANANTRAJ,EQ,76624,47733,62.30
20,47,ANDHRABANK,EQ,2470465,1338143,54.17
20,48,ANDHRSUGAR,EQ,64613,29362,45.44
20,49,ANGAUTO,EQ,5021,4491,89.44
20,50,ANKURDRUGS,EQ,2964,2157,72.77
20,51,ANSALHSG,EQ,19682,11373,57.78
20,52,ANSALINFRA,EQ,581966,258574,44.43
20,53,APARINDS,EQ,109874,32639,29.71
20,54,APCOTEXIND,EQ,48651,37247,76.56
20,55,APIL,EQ,298090,94583,31.73
20,56,APOLLOHOSP,EQ,33187,28455,85.74
20,57,APOLLOTYRE,EQ,555414,260264,46.86
20,58,APPAPER,EQ,2496,2435,97.56
20,59,APTECHT,EQ,583193,147113,25.23
20,60,ARCHIES,EQ,11839,8433,71.23
20,61,ARIHANT,EQ,12384,12383,99.99
20,62,ARL,EQ,476687,335173,70.31
20,63,AROGRANITE,EQ,18652,17965,96.32
20,64,ARSBONDS,N1,6200,6200,100.00
20,65,ARVINDMILL,EQ,4805680,1272050,26.47
20,66,ASAHIINDIA,EQ,72474,54611,75.35
20,67,ASAL,EQ,270,175,64.81
20,68,ASHAPURMIN,EQ,247381,177501,71.75
20,69,ASHCO,EQ,409888,326357,79.62
20,70,ASHIMASYN,EQ,24040,18059,75.12
20,71,ASHOKLEY,EQ,5881573,2331861,39.65
20,72,ASIANELEC,EQ,42624,27547,64.63
20,73,ASIANHOTEL,EQ,2708,1985,73.30
20,74,ASIANPAINT,EQ,191193,188833,98.77
20,75,ASIANTILES,EQ,21695,16323,75.24
20,76,ASIL,EQ,14436,13033,90.28
20,77,ASTRAL,EQ,3117,2385,76.52
20,78,ASTRAMICRO,EQ,67433,54730,81.16
20,79,ASTRAZEN,EQ,509,439,86.25
20,80,ATFL,EQ,8069,5468,67.77
20,81,ATLANTA,EQ,36929,19598,53.07
20,82,ATLASCYCLE,EQ,3651,2489,68.17
20,83,ATUL,EQ,53905,29828,55.33
20,84,AURIONPRO,EQ,3418,2895,84.70
20,85,AUROPHARMA,EQ,186872,107246,57.39
20,86,AUTOAXLES,EQ,1638,1325,80.89
20,87,AUTOIND,EQ,10070,7622,75.69
20,88,AVAYAGCL,EQ,57820,46464,80.36
20,89,AVENTIS,EQ,3417,2637,77.17
20,90,AVTNPL,EQ,3433,2141,62.37
20,91,AXISBANK,EQ,705040,369208,52.37
20,92,AZTECSOFT,EQ,80924,66099,81.68
20,93,BAGFILMS,EQ,358117,191396,53.45
20,94,BAJAJAUTO,EQ,93462,59338,63.49
20,95,BAJAJHIND,EQ,5703064,1542987,27.06
20,96,BAJAUTOFIN,EQ,6913,6532,94.49
20,97,BALAJITELE,EQ,128674,39647,30.81
20,98,BALAMINES,EQ,469,330,70.36
20,99,BALKRISIND,EQ,1372,1095,79.81
20,100,BALMLAWRIE,EQ,29612,17064,57.63
20,101,BALPHARMA,EQ,3725,2825,75.84
20,102,BALRAMCHIN,EQ,15703785,4223971,26.90
20,103,BANARISUG,EQ,13490,12893,95.57
20,104,BANCOINDIA,EQ,2519,2068,82.10
20,105,BANKBARODA,EQ,3734884,1696669,45.43
20,106,BANKBEES,EQ,552,552,100.00
20,107,BANKINDIA,EQ,8612511,1627663,18.90
20,108,BANKRAJAS,EQ,332902,137332,41.25
20,109,BANSWRAS,EQ,5650,4627,81.89
20,110,BARTRONICS,EQ,83293,53317,64.01
20,111,BASF,EQ,136031,133512,98.15
20,112,BASML,EQ,22030,20900,94.87
20,113,BATAINDIA,EQ,517478,187053,36.15
20,114,BATLIBOI,EQ,9175,6185,67.41
20,115,BBL,EQ,9977,6656,66.71
20,116,BBTC,EQ,11109,8638,77.76
20,117,BCCL,EQ,27325,17958,65.72
20,118,BEL,EQ,128454,91062,70.89
20,119,BELCERAMIC,EQ,11189,6967,62.27
20,120,BEML,EQ,364660,323836,88.80
20,121,BEPL,EQ,26831,24565,91.55
20,122,BERGEPAINT,EQ,52518,35893,68.34
20,123,BFUTILITIE,EQ,33926,16467,48.54
20,124,BHAGWATIHO,EQ,146924,78512,53.44
20,125,BHAGYNAGAR,EQ,68815,57802,84.00
20,126,BHARATFORG,EQ,1276125,899646,70.50
20,127,BHARATGEAR,EQ,9752,8822,90.46
20,128,BHARATRAS,EQ,100,100,100.00
20,129,BHARTIARTL,EQ,2752027,1765620,64.16
20,130,BHARTISHIP,EQ,126933,107768,84.90
20,131,BHEL,EQ,1502980,613121,40.79
20,132,BHUSANSTL,EQ,51484,5314,10.32
20,133,BIL,EQ,2235,1887,84.43
20,134,BILPOWER,EQ,6875,4545,66.11
20,135,BILT,EQ,603136,487575,80.84
20,136,BINANICEM,EQ,471620,273508,57.99
20,137,BINANIIND,EQ,81933,58410,71.29
20,138,BINDALAGRO,EQ,5519803,3312981,60.02
20,139,BIOCON,EQ,176626,54835,31.05
20,140,BIRLAERIC,EQ,26435,18223,68.94
20,141,BIRLAJUTE,EQ,185758,96002,51.68
20,142,BIRLAPOWER,EQ,244498,143638,58.75
20,143,BLBLIMITED,EQ,16088,10092,62.73
20,144,BLKASHYAP,EQ,5596,4107,73.39
20,145,BLUEBIRD,EQ,34939,25245,72.25
20,146,BLUECHIP,EQ,48296,44193,91.50
20,147,BLUEDART,EQ,3217,1052,32.70
20,148,BLUESTARCO,EQ,36232,28472,78.58
20,149,BLUESTINFO,EQ,4898,2656,54.23
20,150,BOC,EQ,61141,42513,69.53
