Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21012008,391515512,0001020
Trade Date <21-JAN-2008>,Settlement Type <N>,Settlement No <2008015>,Settlement Date <23-JAN-2008>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,1006260,753536,74.88
20,2,3MINDIA,EQ,656,637,97.10
20,3,AARTIDRUGS,EQ,9685,6832,70.54
20,4,AARTIIND,EQ,241901,122352,50.58
20,5,AARVEEDEN,EQ,6266,4276,68.24
20,6,ABAN,EQ,227020,154442,68.03
20,7,ABB,EQ,489114,350871,71.74
20,8,ABGSHIP,EQ,207065,192387,92.91
20,9,ABIRLANUVO,EQ,254870,163147,64.01
20,10,ABSHEKINDS,EQ,30703,24527,79.88
20,11,ACC,EQ,1016639,638799,62.83
20,12,ACE,EQ,15690,9083,57.89
20,13,ADANIENT,EQ,200324,184183,91.94
20,14,ADHUNIK,EQ,269496,233652,86.70
20,15,ADLABSFILM,EQ,938056,399204,42.56
20,16,ADORWELD,EQ,17379,13533,77.87
20,17,ADSL,EQ,11253,9952,88.44
20,18,ADVANIHOTR,EQ,8122,7967,98.09
20,19,ADVANTA,EQ,11289,9022,79.92
20,20,AEGISCHEM,EQ,26638,13415,50.36
20,21,AFL,EQ,17745,15441,87.02
20,22,AFTEK,EQ,847682,472660,55.76
20,23,AHMEDFORGE,EQ,39031,30071,77.04
20,24,AIAENG,EQ,49788,46510,93.42
20,25,AIRDECCAN,EQ,2171748,1371536,63.15
20,26,AJANTPHARM,EQ,20151,17387,86.28
20,27,AKRUTI,EQ,93660,52930,56.51
20,28,AKSHOPTFBR,EQ,6759,6246,92.41
20,29,ALBK,EQ,803253,363613,45.27
20,30,ALCHEM,EQ,36701,28603,77.94
20,31,ALEMBICLTD,EQ,163311,100364,61.46
20,32,ALFALAVAL,EQ,2743,2503,91.25
20,33,ALKYLAMINE,EQ,782,782,100.00
20,34,ALLCARGO,EQ,7118,1635,22.97
20,35,ALLSEC,EQ,18104,10776,59.52
20,36,ALOKTEXT,EQ,2830830,1770288,62.54
20,37,ALPA,EQ,97232,57139,58.77
20,38,ALPHAGEO,EQ,2973,2559,86.07
20,39,ALPSINDUS,EQ,275077,139237,50.62
20,40,AMAR,EQ,304872,134771,44.21
20,41,AMARAJABAT,EQ,148424,96113,64.76
20,42,AMBICAAGAR,EQ,24736,23720,95.89
20,43,AMBUJACEM,EQ,1158171,793274,68.49
20,44,AMDMET,EQ,61351,33506,54.61
20,45,AML,EQ,3342,3111,93.09
20,46,AMTEKAUTO,EQ,98312,77565,78.90
20,47,AMTEKINDIA,EQ,63555,49736,78.26
20,48,ANANTRAJ,EQ,86939,62824,72.26
20,49,ANDHRABANK,EQ,1184601,678508,57.28
20,50,ANDHRSUGAR,EQ,85373,43497,50.95
20,51,ANGAUTO,EQ,20927,14395,68.79
20,52,ANKURDRUGS,EQ,17382,10582,60.88
20,53,ANSALHSG,EQ,42139,38011,90.20
20,54,ANSALINFRA,EQ,877959,488812,55.68
20,55,APARINDS,EQ,13145,11957,90.96
20,56,APCOTEXIND,EQ,1766,1222,69.20
20,57,APIL,EQ,55369,36921,66.68
20,58,APOLLOHOSP,EQ,37828,25793,68.18
20,59,APOLLOTYRE,EQ,6311222,2901356,45.97
20,60,APPAPER,EQ,6338,4559,71.93
20,61,APTECHT,EQ,1070244,803978,75.12
20,62,ARCHIES,EQ,34644,25737,74.29
20,63,ARIES,EQ,965635,172275,17.84
20,64,ARIHANT,EQ,63,63,100.00
20,65,AROGRANITE,EQ,13737,7666,55.81
20,66,ARSBONDS,N1,14474,14474,100.00
20,67,ARVINDMILL,EQ,3333915,1619148,48.57
20,68,ASAHIINDIA,EQ,82638,76878,93.03
20,69,ASAL,EQ,8428,4853,57.58
20,70,ASHAPURMIN,EQ,107040,75018,70.08
20,71,ASHCO,EQ,63099,38758,61.42
20,72,ASHOKLEY,EQ,14526538,6347734,43.70
20,73,ASIANELEC,EQ,199790,96173,48.14
20,74,ASIANHOTEL,EQ,6152,5377,87.40
20,75,ASIANPAINT,EQ,104043,99245,95.39
20,76,ASIANTILES,EQ,42169,27842,66.02
20,77,ASSAMCO,EQ,111440,98383,88.28
20,78,ASTRAL,EQ,17804,15311,86.00
20,79,ASTRAMICRO,EQ,162534,127160,78.24
20,80,ASTRAZEN,EQ,881,744,84.45
20,81,ATFL,EQ,28273,15806,55.90
20,82,ATLANTA,EQ,71396,27129,38.00
20,83,ATLASCYCLE,EQ,4909,3886,79.16
20,84,ATUL,EQ,101575,68330,67.27
20,85,AURIONPRO,EQ,57324,56212,98.06
20,86,AUROPHARMA,EQ,833603,661664,79.37
20,87,AUTOAXLES,EQ,1583,1374,86.80
20,88,AUTOIND,EQ,34870,26854,77.01
20,89,AVAYAGCL,EQ,21353,14797,69.30
20,90,AVENTIS,EQ,5288,4673,88.37
20,91,AVTNPL,EQ,310,310,100.00
20,92,AXISBANK,EQ,481688,287436,59.67
20,93,AZTECSOFT,EQ,122555,71714,58.52
20,94,BAGFILMS,EQ,489752,254315,51.93
20,95,BAJAJAUTO,EQ,254530,168499,66.20
20,96,BAJAJELEC,EQ,2533,1607,63.44
20,97,BAJAJHIND,EQ,8040605,1668217,20.75
20,98,BAJAUTOFIN,EQ,28364,22129,78.02
20,99,BALAJITELE,EQ,20528,12758,62.15
20,100,BALAMINES,EQ,2296,2181,94.99
20,101,BALKRISIND,EQ,2382,1395,58.56
20,102,BALMLAWRIE,EQ,77472,63344,81.76
20,103,BALPHARMA,EQ,16328,11697,71.64
20,104,BALRAMCHIN,EQ,7758004,2600079,33.51
20,105,BANARISUG,EQ,1785,1423,79.72
20,106,BANCOINDIA,EQ,53983,32796,60.75
20,107,BANKBARODA,EQ,455087,298590,65.61
20,108,BANKBEES,EQ,334,329,98.50
20,109,BANKINDIA,EQ,1477436,754696,51.08
20,110,BANKRAJAS,EQ,143316,82128,57.31
20,111,BANSWRAS,EQ,5547,4614,83.18
20,112,BARTRONICS,EQ,213589,132295,61.94
20,113,BASF,EQ,22742,17276,75.97
20,114,BASML,EQ,6580,6306,95.84
20,115,BATAINDIA,EQ,562330,312887,55.64
20,116,BATLIBOI,EQ,20121,15369,76.38
20,117,BBL,EQ,4576,3150,68.84
20,118,BBTC,EQ,7418,6870,92.61
20,119,BEL,EQ,50531,40378,79.91
20,120,BEML,EQ,50675,37111,73.23
20,121,BEPL,EQ,21958,14509,66.08
20,122,BERGEPAINT,EQ,191378,113218,59.16
20,123,BFUTILITIE,EQ,7940,6562,82.64
20,124,BGRENERGY,EQ,161002,88247,54.81
20,125,BHAGYNAGAR,EQ,240076,140481,58.52
20,126,BHARATFORG,EQ,679750,450978,66.34
20,127,BHARATGEAR,EQ,16023,13791,86.07
20,128,BHARATRAS,EQ,3744,2126,56.78
20,129,BHARTIARTL,EQ,4284030,2806481,65.51
20,130,BHARTISHIP,EQ,58873,50557,85.87
20,131,BHEL,EQ,1059313,666834,62.95
20,132,BHUSANSTL,EQ,65105,21889,33.62
20,133,BIL,EQ,1711,1522,88.95
20,134,BILPOWER,EQ,15594,11206,71.86
20,135,BILT,EQ,358123,194154,54.21
20,136,BINANICEM,EQ,198354,96037,48.42
20,137,BINANIIND,EQ,27936,20793,74.43
