Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11082008,176901625,0001198
Trade Date <11-AUG-2008>,Settlement Type <N>,Settlement No <2008153>,Settlement Date <13-AUG-2008>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,119508,48504,40.59
20,2,3MINDIA,EQ,226,226,100.00
20,3,AARTIDRUGS,EQ,44030,27188,61.75
20,4,AARTIIND,EQ,147657,71334,48.31
20,5,AARVEEDEN,EQ,7295,4719,64.69
20,6,ABAN,EQ,55780,19671,35.27
20,7,ABB,EQ,319097,144471,45.27
20,8,ABGSHIP,EQ,104236,44932,43.11
20,9,ABHISHEK,EQ,1798,1445,80.37
20,10,ABIRLANUVO,EQ,104311,64637,61.97
20,11,ABSHEKINDS,EQ,86509,51873,59.96
20,12,ACC,EQ,187411,57885,30.89
20,13,ACE,EQ,50883,22122,43.48
20,14,ADANIENT,EQ,30374,23158,76.24
20,15,ADHUNIK,EQ,141434,81003,57.27
20,16,ADLABSFILM,EQ,1461046,277720,19.01
20,17,ADORWELD,EQ,5190,3851,74.20
20,18,ADSL,EQ,5602,5234,93.43
20,19,ADVANIHOTR,EQ,450,400,88.89
20,20,ADVANTA,EQ,509,414,81.34
20,21,AEGISCHEM,EQ,15532,6594,42.45
20,22,AFL,EQ,2105,1985,94.30
20,23,AFTEK,EQ,1838315,781651,42.52
20,24,AGRODUTCH,EQ,16140,11646,72.16
20,25,AHMEDFORGE,EQ,48903,34766,71.09
20,26,AIAENG,EQ,4091,2411,58.93
20,27,AICHAMP,EQ,670,370,55.22
20,28,AIRDECCAN,EQ,662348,164970,24.91
20,29,AJANTPHARM,EQ,1422,1184,83.26
20,30,AKRUTI,EQ,40942,8246,20.14
20,31,AKSHOPTFBR,EQ,6039,4292,71.07
20,32,ALBK,EQ,1293070,438833,33.94
20,33,ALCHEM,EQ,75185,28511,37.92
20,34,ALEMBICLTD,EQ,131133,86512,65.97
20,35,ALFALAVAL,EQ,713,440,61.71
20,36,ALLCARGO,EQ,2512,1267,50.44
20,37,ALLSEC,EQ,165119,72862,44.13
20,38,ALMONDZ,EQ,1018,404,39.69
20,39,ALOKTEXT,EQ,387204,114726,29.63
20,40,ALPA,EQ,128884,108350,84.07
20,41,ALPHAGEO,EQ,3106,2546,81.97
20,42,ALPSINDUS,EQ,49573,35897,72.41
20,43,AMAR,EQ,17799,9599,53.93
20,44,AMARAJABAT,EQ,24873,15887,63.87
20,45,AMBICAAGAR,EQ,5774,5434,94.11
20,46,AMBUJACEM,EQ,857808,509946,59.45
20,47,AMDIND,EQ,14747,8540,57.91
20,48,AMTEKAUTO,EQ,261574,121890,46.60
20,49,AMTEKINDIA,EQ,43932,29992,68.27
20,50,ANANTRAJ,EQ,24095,20845,86.51
20,51,ANDHRABANK,EQ,431983,201579,46.66
20,52,ANDHRSUGAR,EQ,26783,13809,51.56
20,53,ANGAUTO,EQ,5146,4760,92.50
20,54,ANIKINDS,EQ,1443,943,65.35
20,55,ANKURDRUGS,EQ,16984,14375,84.64
20,56,ANSALHSG,EQ,11811,5438,46.04
20,57,ANSALINFRA,EQ,1067743,307509,28.80
20,58,ANTGRAPHIC,EQ,19360,19360,100.00
20,59,APARINDS,EQ,2175,2020,92.87
20,60,APIL,EQ,111945,47331,42.28
20,61,APOLLOHOSP,EQ,2416,1446,59.85
20,62,APOLLOSIND,EQ,18494,10050,54.34
20,63,APOLLOTYRE,EQ,1518808,937648,61.74
20,64,APPAPER,EQ,175,175,100.00
20,65,APTECHT,EQ,1665274,324452,19.48
20,66,ARCHIDPLY,EQ,83248,50158,60.25
20,67,ARCHIES,EQ,10354,6863,66.28
20,68,AREVAT&D,EQ,9976,6314,63.29
20,69,ARIES,EQ,5088,3373,66.29
20,70,ARIHANT,EQ,2045,2045,100.00
20,71,ARL,EQ,225779,153072,67.80
20,72,AROGRANITE,EQ,120,21,17.50
20,73,ARSBONDS,N1,32300,32300,100.00
20,74,ARVIND,EQ,826478,264164,31.96
20,75,ASAHIINDIA,EQ,92483,50990,55.13
20,76,ASAL,EQ,1801,1800,99.94
20,77,ASHAPURMIN,EQ,636617,210210,33.02
20,78,ASHCO,EQ,25068,22141,88.32
