Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29092008,214854425,0001215
Trade Date <29-SEP-2008>,Settlement Type <N>,Settlement No <2008186>,Settlement Date <03-OCT-2008>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,636368,368058,57.84
20,2,3MINDIA,EQ,250,175,70.00
20,3,AARTIDRUGS,EQ,24282,22019,90.68
20,4,ABAN,EQ,254264,96591,37.99
20,5,ABB,EQ,299922,113611,37.88
20,6,ABGSHIP,EQ,56541,49617,87.75
20,7,ABHISHEK,EQ,7744,6132,79.18
20,8,ABIRLANUVO,EQ,140326,119158,84.92
20,9,ABSHEKINDS,EQ,76697,43454,56.66
20,10,ACC,EQ,411588,115864,28.15
20,11,ACE,EQ,36825,22117,60.06
20,12,ADANIENT,EQ,125337,78106,62.32
20,13,ADHUNIK,EQ,693623,408693,58.92
20,14,ADLABSFILM,EQ,1197531,240457,20.08
20,15,ADORWELD,EQ,6348,5341,84.14
20,16,ADSL,EQ,6819,3324,48.75
20,17,ADVANIHOTR,EQ,2625,2623,99.92
20,18,ADVANTA,EQ,110492,110413,99.93
20,19,AEGISCHEM,EQ,9049,6471,71.51
20,20,AFL,EQ,508,414,81.50
20,21,AFTEK,EQ,475812,267555,56.23
20,22,AGRODUTCH,EQ,16742,11308,67.54
20,23,AHMEDFORGE,EQ,23130,19103,82.59
20,24,AIAENG,EQ,3953,2801,70.86
20,25,AIRDECCAN,EQ,527507,197724,37.48
20,26,AJANTPHARM,EQ,2398,908,37.86
20,27,AKRUTI,EQ,2113574,476185,22.53
20,28,AKSHOPTFBR,EQ,11493,8631,75.10
20,29,ALBK,EQ,708233,404639,57.13
20,30,ALCHEM,EQ,84394,43232,51.23
20,31,ALEMBICLTD,EQ,104284,75532,72.43
20,32,ALFALAVAL,EQ,1663,1299,78.11
20,33,ALKYLAMINE,EQ,190,190,100.00
20,34,ALLCARGO,EQ,8964,2318,25.86
20,35,ALLSEC,EQ,63975,31391,49.07
20,36,ALMONDZ,EQ,11514,11511,99.97
20,37,ALOKTEXT,EQ,490551,271290,55.30
20,38,ALPA,EQ,27095,21229,78.35
20,39,ALPHAGEO,EQ,6413,4053,63.20
20,40,ALPSINDUS,EQ,45518,32843,72.15
20,41,AMAR,EQ,26340,15754,59.81
20,42,AMARAJABAT,EQ,38598,23322,60.42
20,43,AMBICAAGAR,EQ,11261,10452,92.82
20,44,AMBIKCO,EQ,43,28,65.12
20,45,AMBUJACEM,EQ,1133328,616801,54.42
20,46,AMDIND,EQ,5591,3237,57.90
20,47,AMTEKAUTO,EQ,108978,92086,84.50
20,48,AMTEKINDIA,EQ,153998,146906,95.39
20,49,ANANTRAJ,EQ,544403,528616,97.10
20,50,ANDHRABANK,EQ,413586,189098,45.72
20,51,ANDHRSUGAR,EQ,36852,32686,88.70
20,52,ANGAUTO,EQ,2870,1886,65.71
20,53,ANIKINDS,EQ,1143,987,86.35
20,54,ANKURDRUGS,EQ,19893,11802,59.33
20,55,ANSALHSG,EQ,10780,6996,64.90
20,56,ANSALINFRA,EQ,379243,133730,35.26
20,57,ANTGRAPHIC,EQ,255585,171756,67.20
20,58,APARINDS,EQ,2107,1191,56.53
20,59,APCOTEXIND,EQ,1792,1084,60.49
20,60,APIL,EQ,116453,48249,41.43
20,61,APOLLOHOSP,EQ,2258,1801,79.76
20,62,APOLLOSIND,EQ,120747,113728,94.19
20,63,APOLLOTYRE,EQ,1206170,946631,78.48
20,64,APPAPER,EQ,322,319,99.07
20,65,APTECHT,EQ,2482239,723714,29.16
20,66,ARCHIDPLY,EQ,30113,22497,74.71
20,67,ARCHIES,EQ,11412,6290,55.12
20,68,AREVAT&D,EQ,23357,8259,35.36
